nohup: ignoring input
[2026-08-25 11:40:58] 🚀 Auto-switch daemon started. Monitoring XĂNG (3 Seeds: 42, 123, 777)...
[2026-08-25 11:40:58] Status: XĂNG 963/987 completed (97.57%) | 24 jobs remaining
[2026-08-25 11:41:58] Status: XĂNG 963/987 completed (97.57%) | 24 jobs remaining
[2026-08-25 11:42:58] Status: XĂNG 963/987 completed (97.57%) | 24 jobs remaining
[2026-08-25 11:43:58] Status: XĂNG 963/987 completed (97.57%) | 24 jobs remaining
[2026-08-25 11:44:58] Status: XĂNG 963/987 completed (97.57%) | 24 jobs remaining
[2026-08-25 11:45:58] Status: XĂNG 963/987 completed (97.57%) | 24 jobs remaining
[2026-08-25 11:46:59] Status: XĂNG 963/987 completed (97.57%) | 24 jobs remaining
[2026-08-25 11:47:59] Status: XĂNG 963/987 completed (97.57%) | 24 jobs remaining
[2026-08-25 11:48:59] Status: XĂNG 963/987 completed (97.57%) | 24 jobs remaining
[2026-08-25 11:49:59] Status: XĂNG 963/987 completed (97.57%) | 24 jobs remaining
[2026-08-25 11:50:59] Status: XĂNG 963/987 completed (97.57%) | 24 jobs remaining
[2026-08-25 11:51:59] Status: XĂNG 963/987 completed (97.57%) | 24 jobs remaining
[2026-08-25 11:52:59] Status: XĂNG 963/987 completed (97.57%) | 24 jobs remaining
[2026-08-25 11:53:59] Status: XĂNG 963/987 completed (97.57%) | 24 jobs remaining
[2026-08-25 11:54:59] Status: XĂNG 963/987 completed (97.57%) | 24 jobs remaining
[2026-08-25 11:56:00] Status: XĂNG 963/987 completed (97.57%) | 24 jobs remaining
[2026-08-25 11:57:00] Status: XĂNG 963/987 completed (97.57%) | 24 jobs remaining
[2026-08-25 11:58:00] Status: XĂNG 963/987 completed (97.57%) | 24 jobs remaining
[2026-08-25 11:59:00] Status: XĂNG 963/987 completed (97.57%) | 24 jobs remaining
[2026-08-25 12:00:00] Status: XĂNG 963/987 completed (97.57%) | 24 jobs remaining
[2026-08-25 12:01:00] Status: XĂNG 963/987 completed (97.57%) | 24 jobs remaining
[2026-08-25 12:02:00] Status: XĂNG 963/987 completed (97.57%) | 24 jobs remaining
[2026-08-25 12:03:00] Status: XĂNG 963/987 completed (97.57%) | 24 jobs remaining
[2026-08-25 12:04:00] Status: XĂNG 963/987 completed (97.57%) | 24 jobs remaining
[2026-08-25 12:05:00] Status: XĂNG 963/987 completed (97.57%) | 24 jobs remaining
[2026-08-25 12:06:01] Status: XĂNG 963/987 completed (97.57%) | 24 jobs remaining
[2026-08-25 12:07:01] Status: XĂNG 963/987 completed (97.57%) | 24 jobs remaining
[2026-08-25 12:08:01] Status: XĂNG 963/987 completed (97.57%) | 24 jobs remaining
[2026-08-25 12:09:01] Status: XĂNG 963/987 completed (97.57%) | 24 jobs remaining
[2026-08-25 12:10:01] Status: XĂNG 963/987 completed (97.57%) | 24 jobs remaining
[2026-08-25 12:11:01] Status: XĂNG 963/987 completed (97.57%) | 24 jobs remaining
[2026-08-25 12:12:01] Status: XĂNG 963/987 completed (97.57%) | 24 jobs remaining
[2026-08-25 12:13:01] Status: XĂNG 963/987 completed (97.57%) | 24 jobs remaining
[2026-08-25 12:14:01] Status: XĂNG 963/987 completed (97.57%) | 24 jobs remaining
[2026-08-25 12:15:02] Status: XĂNG 963/987 completed (97.57%) | 24 jobs remaining
[2026-08-25 12:16:02] Status: XĂNG 963/987 completed (97.57%) | 24 jobs remaining
[2026-08-25 12:17:02] Status: XĂNG 963/987 completed (97.57%) | 24 jobs remaining
[2026-08-25 12:18:02] Status: XĂNG 963/987 completed (97.57%) | 24 jobs remaining
[2026-08-25 12:19:02] Status: XĂNG 963/987 completed (97.57%) | 24 jobs remaining
[2026-08-25 12:20:02] Status: XĂNG 963/987 completed (97.57%) | 24 jobs remaining
[2026-08-25 12:21:02] Status: XĂNG 963/987 completed (97.57%) | 24 jobs remaining
[2026-08-25 12:22:02] Status: XĂNG 963/987 completed (97.57%) | 24 jobs remaining
[2026-08-25 12:23:02] Status: XĂNG 963/987 completed (97.57%) | 24 jobs remaining
[2026-08-25 12:24:03] Status: XĂNG 963/987 completed (97.57%) | 24 jobs remaining
[2026-08-25 12:25:03] Status: XĂNG 963/987 completed (97.57%) | 24 jobs remaining
[2026-08-25 12:26:03] Status: XĂNG 963/987 completed (97.57%) | 24 jobs remaining
[2026-08-25 12:27:03] Status: XĂNG 963/987 completed (97.57%) | 24 jobs remaining
[2026-08-25 12:28:03] Status: XĂNG 963/987 completed (97.57%) | 24 jobs remaining
[2026-08-25 12:29:03] Status: XĂNG 963/987 completed (97.57%) | 24 jobs remaining
[2026-08-25 12:30:03] Status: XĂNG 963/987 completed (97.57%) | 24 jobs remaining
[2026-08-25 12:31:03] Status: XĂNG 963/987 completed (97.57%) | 24 jobs remaining
[2026-08-25 12:32:03] Status: XĂNG 963/987 completed (97.57%) | 24 jobs remaining
[2026-08-25 12:33:03] Status: XĂNG 963/987 completed (97.57%) | 24 jobs remaining
[2026-08-25 12:34:04] Status: XĂNG 963/987 completed (97.57%) | 24 jobs remaining
[2026-08-25 12:35:04] Status: XĂNG 963/987 completed (97.57%) | 24 jobs remaining
[2026-08-25 12:36:04] Status: XĂNG 963/987 completed (97.57%) | 24 jobs remaining
[2026-08-25 12:37:04] Status: XĂNG 963/987 completed (97.57%) | 24 jobs remaining
[2026-08-25 12:38:04] Status: XĂNG 963/987 completed (97.57%) | 24 jobs remaining
[2026-08-25 12:39:04] Status: XĂNG 963/987 completed (97.57%) | 24 jobs remaining
[2026-08-25 12:40:04] Status: XĂNG 963/987 completed (97.57%) | 24 jobs remaining
[2026-08-25 12:41:04] Status: XĂNG 963/987 completed (97.57%) | 24 jobs remaining
[2026-08-25 12:42:04] Status: XĂNG 963/987 completed (97.57%) | 24 jobs remaining
[2026-08-25 12:43:05] Status: XĂNG 963/987 completed (97.57%) | 24 jobs remaining
[2026-08-25 12:44:05] Status: XĂNG 963/987 completed (97.57%) | 24 jobs remaining
[2026-08-25 12:45:05] Status: XĂNG 963/987 completed (97.57%) | 24 jobs remaining
[2026-08-25 12:46:05] Status: XĂNG 963/987 completed (97.57%) | 24 jobs remaining
[2026-08-25 12:47:05] Status: XĂNG 963/987 completed (97.57%) | 24 jobs remaining
[2026-08-25 12:48:05] Status: XĂNG 963/987 completed (97.57%) | 24 jobs remaining
[2026-08-25 12:49:05] Status: XĂNG 963/987 completed (97.57%) | 24 jobs remaining
[2026-08-25 12:50:05] Status: XĂNG 963/987 completed (97.57%) | 24 jobs remaining
[2026-08-25 12:51:05] Status: XĂNG 963/987 completed (97.57%) | 24 jobs remaining
[2026-08-25 12:52:06] Status: XĂNG 963/987 completed (97.57%) | 24 jobs remaining
[2026-08-25 12:53:06] Status: XĂNG 963/987 completed (97.57%) | 24 jobs remaining
[2026-08-25 12:54:06] Status: XĂNG 963/987 completed (97.57%) | 24 jobs remaining
[2026-08-25 12:55:06] Status: XĂNG 963/987 completed (97.57%) | 24 jobs remaining
[2026-08-25 12:56:06] Status: XĂNG 963/987 completed (97.57%) | 24 jobs remaining
[2026-08-25 12:57:06] Status: XĂNG 963/987 completed (97.57%) | 24 jobs remaining
[2026-08-25 12:58:06] Status: XĂNG 963/987 completed (97.57%) | 24 jobs remaining
[2026-08-25 12:59:06] Status: XĂNG 963/987 completed (97.57%) | 24 jobs remaining
[2026-08-25 13:00:06] Status: XĂNG 963/987 completed (97.57%) | 24 jobs remaining
[2026-08-25 13:01:07] Status: XĂNG 963/987 completed (97.57%) | 24 jobs remaining
[2026-08-25 13:02:07] Status: XĂNG 963/987 completed (97.57%) | 24 jobs remaining
[2026-08-25 13:03:07] Status: XĂNG 963/987 completed (97.57%) | 24 jobs remaining
[2026-08-25 13:04:07] Status: XĂNG 963/987 completed (97.57%) | 24 jobs remaining
[2026-08-25 13:05:07] Status: XĂNG 963/987 completed (97.57%) | 24 jobs remaining
[2026-08-25 13:06:07] Status: XĂNG 963/987 completed (97.57%) | 24 jobs remaining
[2026-08-25 13:07:07] Status: XĂNG 963/987 completed (97.57%) | 24 jobs remaining
[2026-08-25 13:08:07] Status: XĂNG 963/987 completed (97.57%) | 24 jobs remaining
[2026-08-25 13:09:07] Status: XĂNG 963/987 completed (97.57%) | 24 jobs remaining
