Concurrent run started: 2026-08-25T11:40:32.341065
GPU: 2 | Models: 14 | Jobs: 98

[   1/98]   1.0% | OK:1    FAIL:0    SKIP:0   | OK           | 19782s | ETA:31980m | GUMNet|DAU|H1|s777
[   2/98]   2.0% | OK:2    FAIL:0    SKIP:0   | OK           | 29679s | ETA:23744m | GUMNet_Patch|DAU|H1|s777
[   3/98]   3.1% | OK:3    FAIL:0    SKIP:0   | OK           | 30454s | ETA:16073m | GUMNet_Mamba|DAU|H1|s777
[   4/98]   4.1% | OK:4    FAIL:0    SKIP:0   | OK           | 31332s | ETA:12272m | GUMNet_Wavelet|DAU|H1|s777
[   5/98]   5.1% | OK:5    FAIL:0    SKIP:0   | OK           | 31739s | ETA:9839m | GUMNet_Fourier|DAU|H1|s777
[   6/98]   6.1% | OK:6    FAIL:0    SKIP:0   | OK           | 34218s | ETA:8745m | GUMNet_iTrans|DAU|H1|s777
[   7/98]   7.1% | OK:7    FAIL:0    SKIP:0   | OK           | 34732s | ETA:7525m | GUMNet_Diffusion|DAU|H1|s777
[   8/98]   8.2% | OK:8    FAIL:0    SKIP:0   | OK           | 16372s | ETA:8635m | GUMNetHet|DAU|H1|s777
[   9/98]   9.2% | OK:9    FAIL:0    SKIP:0   | OK           | 8219s | ETA:8945m | GUMNet|DAU|H3|s777
[  10/98]  10.2% | OK:10   FAIL:0    SKIP:0   | OK           | 37602s | ETA:8416m | GUMNet_Graph|DAU|H1|s777
[  11/98]  11.2% | OK:11   FAIL:0    SKIP:0   | OK           | 34877s | ETA:8728m | GUMNet_Decomp|DAU|H1|s777
[  12/98]  12.2% | OK:12   FAIL:0    SKIP:0   | OK           | 12363s | ETA:7959m | GUMNet_Wavelet|DAU|H3|s777
[  13/98]  13.3% | OK:13   FAIL:0    SKIP:0   | OK           | 33052s | ETA:7331m | GUMNet_RL|DAU|H1|s777
[  14/98]  14.3% | OK:14   FAIL:0    SKIP:0   | OK           | 38598s | ETA:6905m | GUMNet_Adaptive|DAU|H1|s777
[  15/98]  15.3% | OK:15   FAIL:0    SKIP:0   | OK           | 11857s | ETA:6386m | GUMNet_Fourier|DAU|H3|s777
[  16/98]  16.3% | OK:16   FAIL:0    SKIP:0   | OK           | 39736s | ETA:6105m | GUMNet_Fusion|DAU|H1|s777
[  17/98]  17.3% | OK:17   FAIL:0    SKIP:0   | OK           | 38460s | ETA:5812m | GUMNet_MoE_Sparse|DAU|H1|s777
[  18/98]  18.4% | OK:18   FAIL:0    SKIP:0   | OK           | 3800s | ETA:5576m | GUMNetHet|DAU|H3|s777
[  19/98]  19.4% | OK:19   FAIL:0    SKIP:0   | OK           | 12093s | ETA:5456m | GUMNet_Mamba|DAU|H3|s777
[  20/98]  20.4% | OK:20   FAIL:0    SKIP:0   | OK           | 11460s | ETA:5118m | GUMNet_Patch|DAU|H3|s777
[  21/98]  21.4% | OK:21   FAIL:0    SKIP:0   | OK           | 12566s | ETA:4814m | GUMNet_iTrans|DAU|H3|s777
[  22/98]  22.4% | OK:22   FAIL:0    SKIP:0   | OK           | 12725s | ETA:4719m | GUMNet_Graph|DAU|H3|s777
[  23/98]  23.5% | OK:23   FAIL:0    SKIP:0   | OK           | 13917s | ETA:4509m | GUMNet_Diffusion|DAU|H3|s777
[  24/98]  24.5% | OK:24   FAIL:0    SKIP:0   | OK           | 13003s | ETA:4429m | GUMNet_Adaptive|DAU|H3|s777
[  25/98]  25.5% | OK:25   FAIL:0    SKIP:0   | OK           | 4293s | ETA:4198m | GUMNet|DAU|H5|s777
[  26/98]  26.5% | OK:26   FAIL:0    SKIP:0   | OK           | 12052s | ETA:4030m | GUMNet_Decomp|DAU|H3|s777
[  27/98]  27.6% | OK:27   FAIL:0    SKIP:0   | OK           | 11643s | ETA:3961m | GUMNet_RL|DAU|H3|s777
[  28/98]  28.6% | OK:28   FAIL:0    SKIP:0   | OK           | 9079s | ETA:3835m | GUMNet_Wavelet|DAU|H5|s777
[  29/98]  29.6% | OK:29   FAIL:0    SKIP:0   | OK           | 13355s | ETA:3652m | GUMNet_Fusion|DAU|H3|s777
[  30/98]  30.6% | OK:30   FAIL:0    SKIP:0   | OK           | 8627s | ETA:3582m | GUMNet_Fourier|DAU|H5|s777
[  31/98]  31.6% | OK:31   FAIL:0    SKIP:0   | OK           | 16424s | ETA:3429m | GUMNet_MoE_Sparse|DAU|H3|s777
[  32/98]  32.7% | OK:32   FAIL:0    SKIP:0   | OK           | 9307s | ETA:3285m | GUMNet_iTrans|DAU|H5|s777
[  33/98]  33.7% | OK:33   FAIL:0    SKIP:0   | OK           | 8821s | ETA:3156m | GUMNet_Mamba|DAU|H5|s777
[  34/98]  34.7% | OK:34   FAIL:0    SKIP:0   | OK           | 2130s | ETA:3042m | GUMNetHet|DAU|H5|s777
[  35/98]  35.7% | OK:35   FAIL:0    SKIP:0   | OK           | 8220s | ETA:2958m | GUMNet_Patch|DAU|H5|s777
[  36/98]  36.7% | OK:36   FAIL:0    SKIP:0   | OK           | 9088s | ETA:2904m | GUMNet_Graph|DAU|H5|s777
[  37/98]  37.8% | OK:37   FAIL:0    SKIP:0   | OK           | 10134s | ETA:2808m | GUMNet_Diffusion|DAU|H5|s777
[  38/98]  38.8% | OK:38   FAIL:0    SKIP:0   | OK           | 9103s | ETA:2754m | GUMNet_Decomp|DAU|H5|s777
[  39/98]  39.8% | OK:39   FAIL:0    SKIP:0   | OK           | 9597s | ETA:2642m | GUMNet_Adaptive|DAU|H5|s777
[  40/98]  40.8% | OK:40   FAIL:0    SKIP:0   | OK           | 8747s | ETA:2554m | GUMNet_RL|DAU|H5|s777
[  41/98]  41.8% | OK:41   FAIL:0    SKIP:0   | OK           | 9983s | ETA:2459m | GUMNet_Fusion|DAU|H5|s777
[  42/98]  42.9% | OK:42   FAIL:0    SKIP:0   | OK           | 5339s | ETA:2367m | GUMNet|DAU|H7|s777
[  43/98]  43.9% | OK:43   FAIL:0    SKIP:0   | OK           | 12978s | ETA:2378m | GUMNet_MoE_Sparse|DAU|H5|s777
[  44/98]  44.9% | OK:44   FAIL:0    SKIP:0   | OK           | 10856s | ETA:2312m | GUMNet_Wavelet|DAU|H7|s777
[  45/98]  45.9% | OK:45   FAIL:0    SKIP:0   | OK           | 10547s | ETA:2262m | GUMNet_Fourier|DAU|H7|s777
[  46/98]  46.9% | OK:46   FAIL:0    SKIP:0   | OK           | 2265s | ETA:2172m | GUMNetHet|DAU|H7|s777
[  47/98]  48.0% | OK:47   FAIL:0    SKIP:0   | OK           | 11177s | ETA:2097m | GUMNet_iTrans|DAU|H7|s777
[  48/98]  49.0% | OK:48   FAIL:0    SKIP:0   | OK           | 10022s | ETA:2017m | GUMNet_Patch|DAU|H7|s777
[  49/98]  50.0% | OK:49   FAIL:0    SKIP:0   | OK           | 10830s | ETA:1942m | GUMNet_Mamba|DAU|H7|s777
[  50/98]  51.0% | OK:50   FAIL:0    SKIP:0   | OK           | 12346s | ETA:1902m | GUMNet_Diffusion|DAU|H7|s777
[  51/98]  52.0% | OK:51   FAIL:0    SKIP:0   | OK           | 11060s | ETA:1884m | GUMNet_Graph|DAU|H7|s777
[  52/98]  53.1% | OK:52   FAIL:0    SKIP:0   | OK           | 10798s | ETA:1859m | GUMNet_Decomp|DAU|H7|s777
