Concurrent run started: 2026-08-25T11:40:32.378042
GPU: 3 | Models: 13 | Jobs: 89

[   1/89]   1.1% | OK:1    FAIL:0    SKIP:2   | OK           | 15250s | ETA:22367m | Chronos|DAU|H1|s777
[   2/89]   2.2% | OK:2    FAIL:0    SKIP:2   | OK           | 15260s | ETA:11064m | TimesFM|DAU|H1|s777
[   3/89]   3.4% | OK:3    FAIL:0    SKIP:2   | OK           | 16586s | ETA:7925m | iTransformer|DAU|H1|s777
[   4/89]   4.5% | OK:4    FAIL:0    SKIP:2   | OK           | 21855s | ETA:7740m | PatchTST|DAU|H1|s777
[   5/89]   5.6% | OK:5    FAIL:0    SKIP:2   | OK           | 22550s | ETA:6314m | TTM|DAU|H1|s777
[   6/89]   6.7% | OK:6    FAIL:0    SKIP:2   | OK           | 23902s | ETA:5511m | LTSF_Linear|DAU|H1|s777
[   7/89]   7.9% | OK:7    FAIL:0    SKIP:2   | OK           | 3860s | ETA:5156m | TimesFM|DAU|H3|s777
[   8/89]   9.0% | OK:8    FAIL:0    SKIP:2   | OK           | 3849s | ETA:4683m | Chronos|DAU|H3|s777
[   9/89]  10.1% | OK:9    FAIL:0    SKIP:2   | OK           | 3486s | ETA:4429m | Moirai|DAU|H3|s777
[  10/89]  11.2% | OK:10   FAIL:0    SKIP:2   | OK           | 15675s | ETA:4072m | TimesNet|DAU|H1|s777
[  11/89]  12.4% | OK:11   FAIL:0    SKIP:2   | OK           | 14953s | ETA:3727m | TFT|DAU|H1|s777
[  12/89]  13.5% | OK:12   FAIL:0    SKIP:2   | OK           | 4828s | ETA:3484m | TTM|DAU|H3|s777
[  13/89]  14.6% | OK:13   FAIL:0    SKIP:2   | OK           | 18464s | ETA:3286m | TimeMixer|DAU|H1|s777
[  14/89]  15.7% | OK:14   FAIL:0    SKIP:2   | OK           | 5024s | ETA:3118m | PatchTST|DAU|H3|s777
[  15/89]  16.9% | OK:15   FAIL:0    SKIP:2   | OK           | 4559s | ETA:2968m | DLinear|DAU|H3|s777
[  16/89]  18.0% | OK:16   FAIL:0    SKIP:2   | OK           | 37002s | ETA:2814m | Moirai|DAU|H1|s777
[  17/89]  19.1% | OK:17   FAIL:0    SKIP:2   | OK           | 6208s | ETA:2621m | RLinear|DAU|H3|s777
[  18/89]  20.2% | OK:18   FAIL:0    SKIP:2   | OK           | 4940s | ETA:2467m | LTSF_Linear|DAU|H3|s777
[  19/89]  21.3% | OK:19   FAIL:0    SKIP:2   | OK           | 4818s | ETA:2367m | iTransformer|DAU|H3|s777
[  20/89]  22.5% | OK:20   FAIL:0    SKIP:2   | OK           | 4581s | ETA:2271m | TimesNet|DAU|H3|s777
[  21/89]  23.6% | OK:21   FAIL:0    SKIP:2   | OK           | 3599s | ETA:2142m | TimeMixer|DAU|H3|s777
[  22/89]  24.7% | OK:22   FAIL:0    SKIP:2   | OK           | 2238s | ETA:2018m | TimesFM|DAU|H5|s777
[  23/89]  25.8% | OK:23   FAIL:0    SKIP:2   | OK           | 3489s | ETA:1943m | Autoformer|DAU|H3|s777
[  24/89]  27.0% | OK:24   FAIL:0    SKIP:2   | OK           | 2370s | ETA:1847m | Chronos|DAU|H5|s777
[  25/89]  28.1% | OK:25   FAIL:0    SKIP:2   | OK           | 4442s | ETA:1768m | TFT|DAU|H3|s777
[  26/89]  29.2% | OK:26   FAIL:0    SKIP:2   | OK           | 2281s | ETA:1687m | Moirai|DAU|H5|s777
[  27/89]  30.3% | OK:27   FAIL:0    SKIP:2   | OK           | 2721s | ETA:1623m | TTM|DAU|H5|s777
[  28/89]  31.5% | OK:28   FAIL:0    SKIP:2   | OK           | 2736s | ETA:1543m | PatchTST|DAU|H5|s777
[  29/89]  32.6% | OK:29   FAIL:0    SKIP:2   | OK           | 2578s | ETA:1500m | DLinear|DAU|H5|s777
[  30/89]  33.7% | OK:30   FAIL:0    SKIP:2   | OK           | 3527s | ETA:1447m | RLinear|DAU|H5|s777
[  31/89]  34.8% | OK:31   FAIL:0    SKIP:2   | OK           | 2932s | ETA:1384m | LTSF_Linear|DAU|H5|s777
[  32/89]  36.0% | OK:32   FAIL:0    SKIP:2   | OK           | 2034s | ETA:1322m | TimeMixer|DAU|H5|s777
[  33/89]  37.1% | OK:33   FAIL:0    SKIP:2   | OK           | 2751s | ETA:1259m | iTransformer|DAU|H5|s777
[  34/89]  38.2% | OK:34   FAIL:0    SKIP:2   | OK           | 2905s | ETA:1222m | TimesNet|DAU|H5|s777
[  35/89]  39.3% | OK:35   FAIL:0    SKIP:2   | OK           | 2475s | ETA:1182m | TFT|DAU|H5|s777
[  36/89]  40.4% | OK:36   FAIL:0    SKIP:2   | OK           | 1816s | ETA:1128m | Autoformer|DAU|H5|s777
[  37/89]  41.6% | OK:37   FAIL:0    SKIP:2   | OK           | 2222s | ETA:1091m | TimesFM|DAU|H7|s777
[  38/89]  42.7% | OK:38   FAIL:0    SKIP:2   | OK           | 2344s | ETA:1048m | Chronos|DAU|H7|s777
[  39/89]  43.8% | OK:39   FAIL:0    SKIP:2   | OK           | 2967s | ETA:1015m | Moirai|DAU|H7|s777
[  40/89]  44.9% | OK:40   FAIL:0    SKIP:2   | OK           | 2826s | ETA:983m  | TTM|DAU|H7|s777
[  41/89]  46.1% | OK:41   FAIL:0    SKIP:2   | OK           | 26628s | ETA:946m  | Autoformer|DAU|H1|s777
[  42/89]  47.2% | OK:42   FAIL:0    SKIP:2   | OK           | 2685s | ETA:919m  | DLinear|DAU|H7|s777
[  43/89]  48.3% | OK:43   FAIL:0    SKIP:2   | OK           | 3424s | ETA:881m  | PatchTST|DAU|H7|s777
[  44/89]  49.4% | OK:44   FAIL:0    SKIP:2   | OK           | 2952s | ETA:849m  | LTSF_Linear|DAU|H7|s777
[  45/89]  50.6% | OK:45   FAIL:0    SKIP:2   | OK           | 3995s | ETA:814m  | RLinear|DAU|H7|s777
[  46/89]  51.7% | OK:46   FAIL:0    SKIP:2   | OK           | 2912s | ETA:785m  | iTransformer|DAU|H7|s777
