,Autoformer,BiMamba,CARD,Chronos,CoST,Crossformer,DLinear,FITS,FedFormer,GPT4TS,GUMNet,GUMNetHet,GUMNet_Adaptive,GUMNet_Decomp,GUMNet_Diffusion,GUMNet_Fourier,GUMNet_Fusion,GUMNet_Graph,GUMNet_Mamba,GUMNet_MoE_Sparse,GUMNet_Patch,GUMNet_RL,GUMNet_Wavelet,GUMNet_iTrans,Gated_TabNet,Informer,LTSF_Linear,Lag_Llama,MambaFormer,Moirai,NBEATS,NHits,PatchTST,RLinear,Reformer,S_Mamba,TEMPO,TFT,TTM,TimeMachine,TimeMixer,TimeXer,Time_MoE,TimesFM,TimesNet,UniTS,iTransformer
Autoformer,1.0,0.23682797116463683,0.00037901121661931825,6.884578889199133e-07,0.792169109012903,5.0009349106261425e-08,0.0021225298571150297,3.3892422202086436e-08,4.244363255589967e-05,0.00027358113989373045,1.0620555546125843e-09,0.0015419466044035435,7.445690064500354e-09,1.48947520983711e-12,0.3341910354926698,5.234357391969979e-09,7.525180478751281e-11,0.003038652430936928,4.809486142676178e-13,6.030806964929525e-10,6.512828700788731e-06,2.3402256940974198e-05,5.451691464930519e-07,1.2660559267629878e-09,0.0008911876804522656,0.012384844704609543,0.0007203014085055415,0.03420219506381472,0.6342185584598194,8.258531354843335e-05,6.824451921816355e-05,0.05409517569117339,1.4380989732387661e-09,2.1739974286116848e-05,1.0234031403433264e-05,0.9310965474875308,8.345453395230962e-06,0.18545155567434257,2.6212037385064946e-07,0.05747539144427649,0.17998041921829722,2.5487209009966705e-08,0.0008489104531945735,9.406857930827073e-06,0.4091162429544193,0.014990032400629572,6.678546760063853e-07
BiMamba,0.23682797116463683,1.0,0.006280301939337818,0.004054438830380702,0.3650650770307857,0.0005011272265362798,0.06252232599429952,0.0011713781952380486,0.014967593548800062,0.28512611027076584,0.0003402736372890569,0.01179643369600658,4.356623832357798e-05,9.462578029117985e-05,0.24866569608096456,0.0002963508069426801,3.11672213748615e-06,0.037973906976328964,0.0004905696636920975,0.0010656175533052537,0.0035941634338771955,0.012779230904318872,0.0055917277700201495,0.00014851219276668104,0.008305468462839638,0.04552163563527856,0.03814744305575135,0.010179215217900772,0.529462066864935,0.008017020098292305,0.006333126734216155,0.07934062027709099,0.0008458266021384997,0.01315502800560675,0.005583913855553124,0.09246234307542611,0.029531206692399614,0.8616118532593338,0.0037324912499061558,0.8449341261885674,0.9535162837971336,8.738282849152235e-05,0.013643557555339525,0.003396440263930822,0.5806183357673977,0.03829898308384028,0.0033415916745982432
CARD,0.00037901121661931825,0.006280301939337818,1.0,0.20691147010457223,4.7368577438255954e-07,0.19212696050232658,0.005955806135109265,0.9890688082218697,0.10889801167367996,3.9737631851721744e-08,0.5540595130253645,0.612072562673522,0.8160795770679676,0.24303272148703003,0.004866546554025186,0.6607678167956932,0.5730045996197566,0.15892645998232324,0.9978944950487953,0.922023001675977,0.1741367330442103,0.18231252692783584,0.3509721155365091,0.8624273489388308,0.3847850461756517,0.08516285915475708,0.0128149205454815,0.005070449185913262,2.291283770494701e-06,0.780846365470103,0.9003194410116477,3.9354342007413834e-10,0.7585211919767723,0.09777516337005365,0.7637836494452965,0.0015037774867083797,0.010739784972056077,1.010185729732882e-06,0.31951043756285213,0.0006259318735426511,9.592265315383486e-08,0.0787686185534262,0.36491571472376405,0.5731302622788714,0.0001445891681823852,0.5818458580884682,0.3661519091501866
Chronos,6.884578889199133e-07,0.004054438830380702,0.20691147010457223,1.0,1.159331462963209e-05,7.671722259461333e-06,0.00044479812025999266,0.0003927409628605716,0.19140707046533056,2.8745098745730502e-08,4.286777377515705e-08,0.17141712264171138,0.005190993612721018,1.7131111773593943e-07,0.0316692077482712,0.051633500048263725,0.0016301974355059645,0.5083380348303057,0.0035971713035625186,0.019331462592933724,0.5777415633837601,0.7349875145435383,0.7651621534551512,0.009211066058249173,0.4828094854732643,0.8880179690834069,0.008723372351185033,0.0040569109487840205,0.0002605414099519088,0.07154246554828814,0.1478112754275791,0.25546278010196755,0.0018252071489630595,0.5000040065748301,0.10153111738223952,0.00011899723026154163,0.0015172594209487134,0.00046816105386615625,0.23894083953955625,4.0652320322243085e-05,3.818067888494703e-05,4.5115592596456366e-05,0.39445391650827455,0.0087883070604724,0.0007433121742390636,0.5767993948064025,0.07673987008869276
CoST,0.792169109012903,0.3650650770307857,4.7368577438255954e-07,1.159331462963209e-05,1.0,1.1493583862431933e-10,0.05535534362808514,1.294739404578138e-08,0.00024236467674443318,0.00376196204999113,6.1514284777075545e-09,4.705800609206001e-05,1.7845159830720547e-05,8.250178318292001e-11,0.33083706378019273,6.40777173472884e-05,6.7202737503713195e-06,0.0038793744118521545,3.0998892341926876e-10,1.1599234461812102e-08,0.001138580094153907,8.57710072701412e-05,4.029744447286987e-05,7.939807638024377e-06,5.200902262703089e-05,0.000573007139674564,0.0006716857330839598,0.06876420293529684,0.5133150958476624,9.043969573241384e-09,2.4980240098670947e-11,0.003949817121813082,2.6420947651928373e-09,3.0004162636654286e-06,1.3095138307051002e-09,0.8220820385962873,0.05118661641219813,0.10373401430113982,6.534772722943671e-13,0.2229452780460912,0.04713500706564777,1.0851004539347286e-08,1.184624328010031e-05,2.508649732391177e-09,0.4148690683450087,0.0017186896909469063,2.092093907668513e-06
Crossformer,5.0009349106261425e-08,0.0005011272265362798,0.19212696050232658,7.671722259461333e-06,1.1493583862431933e-10,1.0,1.1685418876972165e-07,0.0009608642985039495,6.76384708797606e-06,1.908594060573421e-08,0.09135233996659453,0.4380451786794901,0.18586608365518753,0.9983080800917736,4.420990182030238e-05,0.014589509811123946,0.48981279938557054,0.0018063667421091,0.05849355209943807,0.05441386597955322,0.0005002369910780402,0.0007064402656866697,0.005138001469201514,0.047086954141608794,0.06386361542403307,5.6679905878320724e-05,5.85331783042875e-12,0.0014127556502709915,4.953082293202016e-07,0.03680025942370024,0.08384129630768089,0.0002096628462353589,0.003079407342057028,4.583471380215087e-09,0.006077161551618859,7.4457362673197025e-06,8.314950517451791e-06,1.2037828912347948e-05,0.000475632262941339,6.190987584142604e-06,6.897613147316406e-09,0.5253751706927638,0.013595334847915197,0.06720231724222181,4.5082778986405e-05,0.1503912248123347,1.2945955523813168e-05
DLinear,0.0021225298571150297,0.06252232599429952,0.005955806135109265,0.00044479812025999266,0.05535534362808514,1.1685418876972165e-07,1.0,2.06991403595147e-06,0.014961740748989705,2.503598814551644e-05,1.0415493845172819e-07,0.008921373895219409,1.565432739814021e-05,1.0871941125145668e-09,0.8048075302687223,4.554393710098914e-05,5.166220817809375e-07,0.09904526803113445,3.2474454236819383e-09,1.1986547332476505e-06,0.00605358797469524,0.005941140897293584,0.0010225355875752573,5.0525252794919595e-06,0.015542084873012785,0.08949732286691026,0.08075486386845121,0.017746700691930517,0.09565174757946715,0.0007007457512644422,0.000674116080318754,0.3732946783917326,1.2083692748632302e-06,0.002450390294835847,0.0003493033664605516,0.06453914361416557,0.6410253213707722,0.0234158423950539,2.6052363912398846e-05,0.00437011967934442,0.007976598358034437,6.261513105787486e-07,0.014325755502816673,6.117736924582395e-05,0.061827167995302856,0.0779413434069145,0.00014193429025710635
FITS,3.3892422202086436e-08,0.0011713781952380486,0.9890688082218697,0.0003927409628605716,1.294739404578138e-08,0.0009608642985039495,2.06991403595147e-06,1.0,0.0008816159937914403,9.226856390043281e-09,0.04604908452804879,0.6952171214353398,0.6744933555904868,0.014086115196225046,0.0011523183672808024,0.32703153408294905,0.3126289542031886,0.03127335150278121,0.9750388313764007,0.8379042688828069,0.014701162099496345,0.027061387889043775,0.09774368150610213,0.7112024645168944,0.5242534417763638,0.08112843737820019,1.4201716691530919e-08,0.002216482833080624,5.425829960215012e-06,0.7408840761838946,0.9170033723473958,0.01084800244338835,0.42675944678833044,1.667202575772464e-06,0.6484667080265152,1.6539183064212537e-05,3.999792455733342e-05,4.247234623910856e-05,0.08347743884095937,1.047105697948858e-05,1.1932288646043787e-07,0.0037459688927168333,0.4661614437284265,0.39931119746786337,0.00010372387398316363,0.7209597450808396,0.01085025989691557
FedFormer,4.244363255589967e-05,0.014967593548800062,0.10889801167367996,0.19140707046533056,0.00024236467674443318,6.76384708797606e-06,0.014961740748989705,0.0008816159937914403,1.0,8.455093851722495e-07,2.6112785622700585e-07,0.09021271472692183,0.01070144922280436,9.394707234378075e-13,0.04347177120672718,0.025738997578303335,0.0039259224095919976,0.9845219477614515,3.0216696673690535e-05,0.00013027780162433444,0.6781857784160983,0.48609943690974156,0.15332772092093228,0.010498463312400341,0.2820260048209031,0.6547681862678625,0.2285226553521773,0.007159805307448641,0.0014766074591887612,0.014830500468514307,0.0592841677034337,0.6086929923700937,0.0014184746316439067,0.5377184380629119,0.014511057792624404,0.0035625705044435296,0.020942696149431228,0.0023217387673384327,0.047578932688160824,0.000718752010545165,0.00013436444742676024,0.00032145268619032663,0.16517264497351336,0.0009959736407234576,0.006709821050363107,0.3574891087229255,0.021550386767655638
GPT4TS,0.00027358113989373045,0.28512611027076584,3.9737631851721744e-08,2.8745098745730502e-08,0.00376196204999113,1.908594060573421e-08,2.503598814551644e-05,9.226856390043281e-09,8.455093851722495e-07,1.0,1.1246377162876797e-09,5.196992832079417e-06,8.295597542229416e-10,1.1263434629427138e-11,0.00583775061621683,2.6761428628674366e-09,1.7088042092439082e-10,2.675579895239366e-05,2.0084600649283857e-11,6.526801321626863e-10,4.003955633713474e-08,5.591477403310563e-07,3.59062732879778e-08,2.665379028599091e-10,1.675619358820768e-07,0.00011603872023480122,1.9353456875537134e-05,0.21695992504134853,0.011081338812647612,2.497181514904412e-06,6.16060213953773e-08,5.911407135106295e-05,2.115816410963589e-10,1.1905640644460647e-06,9.817805768363996e-08,0.00011668162914757474,5.3962906365612184e-08,0.44605586577827916,1.1263108223857898e-09,0.07674362836177173,0.36377196466896256,1.5917183127100998e-09,1.9498418060148737e-06,3.0282357843525176e-07,0.004204762621422997,0.00020299055280981193,4.185942770185136e-08
