,Autoformer,Chronos,DLinear,GUMNet,GUMNetHet,GUMNet_Adaptive,GUMNet_Decomp,GUMNet_Diffusion,GUMNet_Fourier,GUMNet_Fusion,GUMNet_Graph,GUMNet_Mamba,GUMNet_MoE_Sparse,GUMNet_Patch,GUMNet_RL,GUMNet_Wavelet,GUMNet_iTrans,LTSF_Linear,Moirai,NBEATS,NHits,PatchTST,RLinear,TFT,TTM,TimeMixer,TimesFM,TimesNet,iTransformer
Autoformer,1.0,0.9115922115669095,0.47055524396031023,0.7560606050432073,0.1556865593578487,0.8507718227080994,0.42992599429047806,0.13935888178410427,0.4784861814496546,0.22810128341755687,0.8621166378437444,0.5726060807765812,0.048466381760486676,0.031076551589785728,0.3133666041995762,0.5420989634642557,0.5706165003666461,0.8480066194542117,0.8728302570529409,0.07394451566629634,0.07857997840720388,0.3109086079964718,0.2414419060549744,0.33877285342361674,0.39233728658673384,0.9091580568572042,0.723172661429873,0.49875655096381744,0.19021223751134997
Chronos,0.9115922115669095,1.0,0.5880415526936256,0.633255278703414,0.1517397135809393,0.9215107783040366,0.42401531519892144,0.12011952369313161,0.48436701200023813,0.25234755914443485,0.7894862613441314,0.47483233803681824,0.07955771984407001,0.016299573367862807,0.5705540943494065,0.593185628786403,0.5497304694749303,0.9915865381590483,0.9835051704292668,0.11848530146525982,0.0701186473115687,0.20113514659656162,0.253268752046667,0.40266612464251716,0.24687012303760159,0.7896666841938134,0.6224258375643554,0.4917379418829433,0.16458968943594776
DLinear,0.47055524396031023,0.5880415526936256,1.0,0.2996272675874674,0.02441323853899635,0.8548558803223689,0.1881248353415994,0.030168011568162845,0.24822789884180674,0.31792312780822973,0.46824508970048884,0.18034293688095637,0.030984498241438896,0.0032703880409121755,0.7515070398808124,0.2593471108152452,0.27879827646212685,0.41736979635155613,0.47475067294112927,0.01061569868324197,0.007923450308135349,0.053314467183006364,0.07574779871310722,0.12349601513477992,0.04904464073371084,0.3400337227486785,0.2586725558807381,0.297723614995824,0.06951466992232325
GUMNet,0.7560606050432073,0.633255278703414,0.2996272675874674,1.0,0.43666013434845263,0.684557866344575,0.6037838960771587,0.25972732272785803,0.7347827059892498,0.17622127056887393,0.8950972887626081,0.835593848612115,0.15142337250581228,0.14016092032041705,0.26955051715466016,0.8648125052111468,0.75373475442627,0.5905595979730283,0.6301046389137106,0.36846106824863756,0.22867353706181226,0.6129842280925444,0.4268453744822125,0.6664647770918424,0.7173699331340866,0.8092205687139944,0.9432559545068828,0.7611303710319708,0.2980310107454731
GUMNetHet,0.1556865593578487,0.1517397135809393,0.02441323853899635,0.43666013434845263,1.0,0.30152831968688076,0.7187876699927567,0.7545675329434118,0.6575810822639996,0.03466120765031855,0.2707881297569421,0.519031995129251,0.5173310364282062,0.3687256851819827,0.03839613385421381,0.48477712435096887,0.7401909680846976,0.06173132195893416,0.11716306226459561,0.9031694335271512,0.5341991560119981,0.6220070324096976,0.8761681183596739,0.579571922630306,0.46871781373130816,0.1355041559159904,0.24447023756709307,0.7583289447757149,0.6523707813236479
GUMNet_Adaptive,0.8507718227080994,0.9215107783040366,0.8548558803223689,0.684557866344575,0.30152831968688076,1.0,0.44184065349838697,0.17297553983206448,0.5432003233681519,0.4582937060818777,0.7544952348754106,0.5631630155076017,0.0900455912861966,0.09954688712038062,0.642519502954775,0.5645738437857553,0.5609791155095807,0.925762512901344,0.9113384637070625,0.2854670085724944,0.1851917735047066,0.4708604504600835,0.2930000045931018,0.397260201278151,0.5185247038810168,0.7910692086783389,0.6694878279749932,0.5296670091460998,0.24830166669898546
GUMNet_Decomp,0.42992599429047806,0.42401531519892144,0.1881248353415994,0.6037838960771587,0.7187876699927567,0.44184065349838697,1.0,0.4651359364663117,0.9607400662182655,0.15598271644456507,0.6406350538291719,0.8347515946294934,0.18622519102686974,0.2317145054932892,0.08730360442427143,0.784168961023566,0.9947586090608276,0.3401935366608533,0.4270778913942834,0.6038624018674441,0.46898869339959504,0.9999736290469738,0.757560322930247,0.9620918162493566,0.8490606362298236,0.5154905635435134,0.5416273968834089,0.976290895690072,0.4795394569431841
GUMNet_Diffusion,0.13935888178410427,0.12011952369313161,0.030168011568162845,0.25972732272785803,0.7545675329434118,0.17297553983206448,0.4651359364663117,1.0,0.5487085480299136,0.0418817187015188,0.17918927575272936,0.2882349219895999,0.6513255787304462,0.612291975340804,0.017313500328433262,0.3468229075773652,0.6205403362069526,0.11133245034145811,0.12825019650769165,0.8269547113020077,0.9118205230446375,0.49987267369415656,0.6065445105573706,0.23633477483857024,0.2988439738633599,0.1028753863534444,0.19855175162927408,0.6168420207715886,0.8181133607608957
GUMNet_Fourier,0.4784861814496546,0.48436701200023813,0.24822789884180674,0.7347827059892498,0.6575810822639996,0.5432003233681519,0.9607400662182655,0.5487085480299136,1.0,0.10592564303387042,0.6378265303679724,0.8842612670498795,0.39967770670573977,0.3108589895905265,0.17041472172961836,0.8461691038671091,0.9747265621723333,0.3969286979183959,0.45618227933479805,0.6412942305054457,0.44548488785661133,0.9526768629482731,0.7645321897874506,0.9895995432542584,0.9094277489741818,0.5758095786477901,0.6533175940637097,0.9404352015600719,0.3914622933895411
GUMNet_Fusion,0.22810128341755687,0.25234755914443485,0.31792312780822973,0.17622127056887393,0.03466120765031855,0.4582937060818777,0.15598271644456507,0.0418817187015188,0.10592564303387042,1.0,0.1707273035374448,0.12249835187351543,0.04881805749650914,0.020532136519984867,0.5276456360323571,0.12801180974171578,0.07144109975090784,0.21027786324761344,0.22820841521511093,0.046074226585873124,0.016224461254686906,0.08121911439367024,0.05936831378560892,0.08743650736652486,0.0930353109578117,0.15923244977325401,0.1616982978177557,0.06912478226613317,0.028315528274239554
GUMNet_Graph,0.8621166378437444,0.7894862613441314,0.46824508970048884,0.8950972887626081,0.2707881297569421,0.7544952348754106,0.6406350538291719,0.17918927575272936,0.6378265303679724,0.1707273035374448,1.0,0.6660241988371762,0.12888226126899216,0.06274343219240386,0.35963760149912627,0.7287924805630333,0.6701500852849165,0.783503714393607,0.7992320723342834,0.28866409308091256,0.16150144078084816,0.5217703776716935,0.41827668936960016,0.4858934300111428,0.6304033270654856,0.9352445986237681,0.914952510261295,0.589728846306437,0.20577344196586966
GUMNet_Mamba,0.5726060807765812,0.47483233803681824,0.18034293688095637,0.835593848612115,0.519031995129251,0.5631630155076017,0.8347515946294934,0.2882349219895999,0.8842612670498795,0.12249835187351543,0.6660241988371762,1.0,0.2027023577507996,0.09458214805869214,0.20172704754831017,0.9702692540127877,0.8828503780126042,0.46277894205512893,0.5161357683493049,0.45286593178872203,0.302565042952903,0.8159219434379186,0.6130199043386821,0.8080927188096116,0.9515611098638834,0.5204548912094493,0.7599018136063858,0.8466355047022027,0.31755104018245106
GUMNet_MoE_Sparse,0.048466381760486676,0.07955771984407001,0.030984498241438896,0.15142337250581228,0.5173310364282062,0.0900455912861966,0.18622519102686974,0.6513255787304462,0.39967770670573977,0.04881805749650914,0.12888226126899216,0.2027023577507996,1.0,0.9691483300806985,0.006762708480510415,0.19013672568335327,0.4993647367494296,0.060935033091277235,0.06843457130501052,0.49986519604275825,0.7995871800106298,0.2675767353606129,0.37712766376617735,0.18901234896901498,0.1739409198524844,0.07593782589675002,0.05198206433665109,0.5003550891400486,0.9322475149441736
GUMNet_Patch,0.031076551589785728,0.016299573367862807,0.0032703880409121755,0.14016092032041705,0.3687256851819827,0.09954688712038062,0.2317145054932892,0.612291975340804,0.3108589895905265,0.020532136519984867,0.06274343219240386,0.09458214805869214,0.9691483300806985,1.0,0.00602452546290877,0.13636032979243362,0.4045814697958887,0.020655259281133986,0.03039380228611832,0.3764134108179664,0.709660103226093,0.2043568783511034,0.34679489922655327,0.14467165273015947,0.10189271740943484,0.04157055003511667,0.057048027121344935,0.3860315713270892,0.9076455161427783
GUMNet_RL,0.3133666041995762,0.5705540943494065,0.7515070398808124,0.26955051715466016,0.03839613385421381,0.642519502954775,0.08730360442427143,0.017313500328433262,0.17041472172961836,0.5276456360323571,0.35963760149912627,0.20172704754831017,0.006762708480510415,0.00602452546290877,1.0,0.09541335428464026,0.24450794844394763,0.4447526087242313,0.4176233793614399,0.032936170975182755,0.01737585635818406,0.13078792384135518,0.06414521018196662,0.0614082404836751,0.13869500616879904,0.35446614741313764,0.19819551207708197,0.23486541670657268,0.06265628992709593
GUMNet_Wavelet,0.5420989634642557,0.593185628786403,0.2593471108152452,0.8648125052111468,0.48477712435096887,0.5645738437857553,0.784168961023566,0.3468229075773652,0.8461691038671091,0.12801180974171578,0.7287924805630333,0.9702692540127877,0.19013672568335327,0.13636032979243362,0.09541335428464026,1.0,0.8507866612038144,0.505297105099594,0.504720920971431,0.4330961335309742,0.3062348755829509,0.8013856503368713,0.586189925904057,0.8065730726733973,0.930041674307934,0.6714532881497255,0.7810052012917388,0.8268206351128722,0.3751152995173932
GUMNet_iTrans,0.5706165003666461,0.5497304694749303,0.27879827646212685,0.75373475442627,0.7401909680846976,0.5609791155095807,0.9947586090608276,0.6205403362069526,0.9747265621723333,0.07144109975090784,0.6701500852849165,0.8828503780126042,0.4993647367494296,0.4045814697958887,0.24450794844394763,0.8507866612038144,1.0,0.4682603588759202,0.48654754435149394,0.7127070086151088,0.5027405918921328,0.9935636043898541,0.8416745651507567,0.980891298803924,0.8981457326047513,0.6141917974773445,0.7163122817270775,0.9670458793966985,0.5189492599775725
LTSF_Linear,0.8480066194542117,0.9915865381590483,0.41736979635155613,0.5905595979730283,0.06173132195893416,0.925762512901344,0.3401935366608533,0.11133245034145811,0.3969286979183959,0.21027786324761344,0.783503714393607,0.46277894205512893,0.060935033091277235,0.020655259281133986,0.4447526087242313,0.505297105099594,0.4682603588759202,1.0,0.9631595926579049,0.03718057409307152,0.028957121632736227,0.16439949718335045,0.14721187183205342,0.29945158742034517,0.18377317745574273,0.7620042112215173,0.5373886889475292,0.46036756544314694,0.1231133483204474
Moirai,0.8728302570529409,0.9835051704292668,0.47475067294112927,0.6301046389137106,0.11716306226459561,0.9113384637070625,0.4270778913942834,0.12825019650769165,0.45618227933479805,0.22820841521511093,0.7992320723342834,0.5161357683493049,0.06843457130501052,0.03039380228611832,0.4176233793614399,0.504720920971431,0.48654754435149394,0.9631595926579049,1.0,0.08582337246542737,0.0536278548021365,0.2432303151261539,0.24200480859439932,0.34701534086801056,0.2527848706906868,0.8018017259905885,0.5964075564816809,0.4676136808327207,0.17366571064341763
NBEATS,0.07394451566629634,0.11848530146525982,0.01061569868324197,0.36846106824863756,0.9031694335271512,0.2854670085724944,0.6038624018674441,0.8269547113020077,0.6412942305054457,0.046074226585873124,0.28866409308091256,0.45286593178872203,0.49986519604275825,0.3764134108179664,0.032936170975182755,0.4330961335309742,0.7127070086151088,0.03718057409307152,0.08582337246542737,1.0,0.6749920529533249,0.4762590034104508,0.8105804705573667,0.54004119796907,0.3652520186109327,0.12249205680726827,0.14267241265384722,0.7321265418694902,0.7088556009226767
NHits,0.07857997840720388,0.0701186473115687,0.007923450308135349,0.22867353706181226,0.5341991560119981,0.1851917735047066,0.46898869339959504,0.9118205230446375,0.44548488785661133,0.016224461254686906,0.16150144078084816,0.302565042952903,0.7995871800106298,0.709660103226093,0.01737585635818406,0.3062348755829509,0.5027405918921328,0.028957121632736227,0.0536278548021365,0.6749920529533249,1.0,0.3056559699248207,0.5373953172814923,0.2941275109976158,0.23054877521962802,0.05949591246460906,0.11341838702724294,0.46624218932846007,0.9014775726102375
PatchTST,0.3109086079964718,0.20113514659656162,0.053314467183006364,0.6129842280925444,0.6220070324096976,0.4708604504600835,0.9999736290469738,0.49987267369415656,0.9526768629482731,0.08121911439367024,0.5217703776716935,0.8159219434379186,0.2675767353606129,0.2043568783511034,0.13078792384135518,0.8013856503368713,0.9935636043898541,0.16439949718335045,0.2432303151261539,0.4762590034104508,0.3056559699248207,1.0,0.7509179686113203,0.9635911824862988,0.7336358470709996,0.38457278132370765,0.3731361232563981,0.9699564780212662,0.4285397927522121
RLinear,0.2414419060549744,0.253268752046667,0.07574779871310722,0.4268453744822125,0.8761681183596739,0.2930000045931018,0.757560322930247,0.6065445105573706,0.7645321897874506,0.05936831378560892,0.41827668936960016,0.6130199043386821,0.37712766376617735,0.34679489922655327,0.06414521018196662,0.586189925904057,0.8416745651507567,0.14721187183205342,0.24200480859439932,0.8105804705573667,0.5373953172814923,0.7509179686113203,1.0,0.6995202280052766,0.5416782282269983,0.3039667220184725,0.3238742872789069,0.8840662189124431,0.5470175325950231
TFT,0.33877285342361674,0.40266612464251716,0.12349601513477992,0.6664647770918424,0.579571922630306,0.397260201278151,0.9620918162493566,0.23633477483857024,0.9895995432542584,0.08743650736652486,0.4858934300111428,0.8080927188096116,0.18901234896901498,0.14467165273015947,0.0614082404836751,0.8065730726733973,0.980891298803924,0.29945158742034517,0.34701534086801056,0.54004119796907,0.2941275109976158,0.9635911824862988,0.6995202280052766,1.0,0.8643266423040579,0.32542995007713227,0.5490097498835418,0.9356650865889042,0.3985708127043721
TTM,0.39233728658673384,0.24687012303760159,0.04904464073371084,0.7173699331340866,0.46871781373130816,0.5185247038810168,0.8490606362298236,0.2988439738633599,0.9094277489741818,0.0930353109578117,0.6304033270654856,0.9515611098638834,0.1739409198524844,0.10189271740943484,0.13869500616879904,0.930041674307934,0.8981457326047513,0.18377317745574273,0.2527848706906868,0.3652520186109327,0.23054877521962802,0.7336358470709996,0.5416782282269983,0.8643266423040579,1.0,0.42162070047851796,0.5825468457677028,0.8660125430949202,0.30684093178691163
