,Autoformer,Chronos,DLinear,GUMNet,GUMNetHet,GUMNet_Adaptive,GUMNet_Decomp,GUMNet_Diffusion,GUMNet_Fourier,GUMNet_Fusion,GUMNet_Graph,GUMNet_Mamba,GUMNet_MoE_Sparse,GUMNet_Patch,GUMNet_RL,GUMNet_Wavelet,GUMNet_iTrans,LTSF_Linear,Moirai,NBEATS,NHits,PatchTST,RLinear,TFT,TTM,TimeMixer,TimesFM,TimesNet,iTransformer
Autoformer,1.0,0.7758480742212346,0.2978191995798265,0.9491422854052203,0.903482182926576,0.48379733226888844,0.8680275993039859,0.556310736699944,0.793232090474588,0.1193287380664394,0.7351263999388429,0.8878927870691453,0.02707061116164189,0.06572958253154826,0.17637670361161106,0.8554920197844491,0.9764804422387263,0.22033801795471208,0.5349427344326585,0.3931964028270334,0.8484520651135683,0.43152690486121115,0.540815471941843,0.5323449661652615,0.5616830176902263,0.7077841680417218,0.8680079136962857,0.6538240314791337,0.3754950043028247
Chronos,0.7758480742212346,1.0,0.2114496540286368,0.7490658299432911,0.7910827418386417,0.5206446157787963,0.9347035013556637,0.8719096518528553,0.67776183537931,0.11623441479783958,0.9735759292787587,0.8678363923570274,0.16154670499923096,0.11626678973310267,0.37454319412425807,0.9283838701536946,0.8467283499822205,0.2558557951957261,0.9164281079271492,0.8516938974160637,0.6660370139951282,0.4681133082360587,0.5090152028988539,0.5252815607414778,0.8242570940535447,0.47375090708307255,0.8009905670391864,0.9185391733039181,0.5914458480043838
DLinear,0.2978191995798265,0.2114496540286368,1.0,0.3190357917790356,0.08525829637985471,0.9176179427534847,0.39468457464815554,0.07095149873468287,0.514409011739235,0.23213949686771906,0.18750016667271807,0.20575193238397138,0.015857578186670773,0.0013689734477400073,0.7923984880799775,0.3436510696032591,0.575546923517885,0.9086820275704708,0.05952866807435053,0.0179166479351085,0.3182618164020634,0.07676398247585836,0.7112365761169412,0.6330911079636761,0.04005292152395268,0.3255794924006008,0.11021741777510519,0.1951861361845173,0.04172963029062138
GUMNet,0.9491422854052203,0.7490658299432911,0.3190357917790356,1.0,0.8599590053552943,0.5442223910615906,0.8003283417359386,0.48227849263366296,0.8547204965580733,0.1022671564803792,0.7564650357634526,0.8271587681023238,0.05598999593053544,0.08423934980879455,0.2975918706965779,0.8077833064682514,0.9901386034948263,0.4085009230994525,0.6265282966587846,0.5231219692950122,0.8835197144035241,0.49828249400679514,0.5092501976583872,0.550366688973668,0.5985050113915515,0.7727919831578349,0.8181251657774937,0.7040784516175964,0.40033755499793733
GUMNetHet,0.903482182926576,0.7910827418386417,0.08525829637985471,0.8599590053552943,1.0,0.49368749459530314,0.921691147232478,0.5637425784569303,0.6771991036354739,0.0755595462417249,0.7812502389410545,0.9348675450391983,0.05711640076972779,0.024677891161374976,0.19828171043771858,0.9160837885277682,0.9240934499104039,0.07466143848865237,0.6096155951874733,0.39823182911069543,0.658425157500838,0.4336966622690501,0.4152418341812427,0.4112177865237969,0.5732439549380053,0.4788122386245519,0.9578766342863998,0.6742948338856469,0.3402292498710118
GUMNet_Adaptive,0.48379733226888844,0.5206446157787963,0.9176179427534847,0.5442223910615906,0.49368749459530314,1.0,0.36056579405783706,0.3561255316318488,0.6117934921054629,0.4800788627615944,0.4886888418865756,0.4794156895231123,0.028464482261791657,0.1103274712377853,0.9534718888578047,0.35706348288667655,0.6056568160781917,0.8906743095221179,0.4329954069869495,0.36186197066644477,0.586447197723472,0.3953887945460757,0.705275096557072,0.6820051334237589,0.4347881922677197,0.6736082928247851,0.47683027741131445,0.45833822884142705,0.31302458642262065
GUMNet_Decomp,0.8680275993039859,0.9347035013556637,0.39468457464815554,0.8003283417359386,0.921691147232478,0.36056579405783706,1.0,0.7554142151069334,0.7109997539104509,0.1838369026645521,0.9429782580520372,0.9636859118640031,0.035099325737444564,0.15508600655543003,0.12641015856919968,0.9958902511252539,0.8782730829823249,0.4413796169398796,0.8723967411499616,0.7855096679930635,0.7164092491650169,0.7335633401170363,0.40571835741532714,0.4104486590234293,0.8440607539249818,0.6762047178372721,0.9389165954188756,0.8795677810133318,0.554121540319255
GUMNet_Diffusion,0.556310736699944,0.8719096518528553,0.07095149873468287,0.48227849263366296,0.5637425784569303,0.3561255316318488,0.7554142151069334,1.0,0.525429460776667,0.0893866332807225,0.8336681390704879,0.6145526310846581,0.04856985113258072,0.0854409114573993,0.08637582055470516,0.779181344510947,0.7278067333353693,0.11325882279468868,0.9231077739258464,0.9856840084361167,0.43448918579678875,0.8232138375650786,0.21598373518460612,0.09092017270039898,0.9544249284425004,0.19688939158153618,0.5455455058142613,0.9541968207420399,0.5937820613512561
GUMNet_Fourier,0.793232090474588,0.67776183537931,0.514409011739235,0.8547204965580733,0.6771991036354739,0.6117934921054629,0.7109997539104509,0.525429460776667,1.0,0.13344937684098057,0.6550280914874631,0.725252152777371,0.08163031961615252,0.08817644209492159,0.39886251791423044,0.656011388994389,0.890463427498928,0.5364638181646746,0.5496747466516718,0.44715473934734784,0.9353056030045046,0.4160621594032672,0.7173137824373401,0.7884681058470151,0.5399860817517466,0.9485104414118315,0.706693082405248,0.5745641642534145,0.33719011220450956
GUMNet_Fusion,0.1193287380664394,0.11623441479783958,0.23213949686771906,0.1022671564803792,0.0755595462417249,0.4800788627615944,0.1838369026645521,0.0893866332807225,0.13344937684098057,1.0,0.09997383290375961,0.11960242992922754,0.031690944978515434,0.024042016448577286,0.41595157045195186,0.1118738879668697,0.13976905873580403,0.2216336874117204,0.06630617212510703,0.05617700900532596,0.09998642607618402,0.07731587638705961,0.17784045878553378,0.1848680890399308,0.07984716006073,0.1345039181861718,0.10533312983779597,0.04501180804578242,0.0631694802785836
