,Autoformer,Chronos,DLinear,GUMNet,GUMNetHet,GUMNet_Adaptive,GUMNet_Decomp,GUMNet_Diffusion,GUMNet_Fourier,GUMNet_Fusion,GUMNet_Graph,GUMNet_Mamba,GUMNet_MoE_Sparse,GUMNet_Patch,GUMNet_RL,GUMNet_Wavelet,GUMNet_iTrans,LTSF_Linear,Moirai,PatchTST,RLinear,TFT,TTM,TimeMixer,TimesFM,TimesNet,iTransformer
Autoformer,1.0,0.4670098787560675,0.038934369171709005,0.4951078377362095,0.07540712628780177,0.5136206229139448,0.0941501776803606,0.5933810688643626,0.13934997890405887,0.9528076928763671,0.3659987788261194,0.595249344500048,0.694208161381451,0.0776814760214275,0.38209851878755874,0.13417588077087683,0.9585896121645892,0.5055138746084382,0.4158422805957218,0.2789131917495269,0.5213214142667613,0.6829922809602367,0.79184191911217,0.9631273833404119,0.1932535335857064,0.7155528895320131,0.09891003821536137
Chronos,0.4670098787560675,1.0,0.1625516508536915,0.045074407642290204,0.10288456744832808,0.7759361832950593,0.11241286427977704,0.9391564643280808,0.16621789485981342,0.7758089030973914,0.2822229977813502,0.9118948515838665,0.9965799596450109,0.10694125818160649,0.05135185518463059,0.08279711811117907,0.6468214973360218,0.29401799394906414,0.11157112984351225,0.059100314353480066,0.13385847215460966,0.9853289845998143,0.025202479559471636,0.6254548855116775,0.02816572547502072,0.1589258828279665,0.06637353082966779
DLinear,0.038934369171709005,0.1625516508536915,1.0,0.034369700028114236,0.02950640396959736,0.7106593429668959,0.037000120326738495,0.2359032446011049,0.27851488483092623,0.5033063436932772,0.10026091429742334,0.4304361602144504,0.44865145612290425,0.036476646175345184,0.003105189295643296,0.021640334925285165,0.2459286745534368,0.05442316652143697,0.036983887675695604,0.018414883503474977,0.03732546448875107,0.42733875130798626,0.0033122879208857814,0.20867425536515416,0.008146154267987704,0.06415919422626448,0.42282330880613594
GUMNet,0.4951078377362095,0.045074407642290204,0.034369700028114236,1.0,0.4117509466028273,0.16905822531196124,0.45380971594011843,0.10104766994185943,0.057027639285248455,0.8008805921415869,0.9462412603936072,0.12180946403148019,0.2307168572167433,0.3888457791996993,0.9974497059707148,0.5368711860721214,0.6126426230547872,0.6767280473979249,0.9247197684182238,0.6620399656461142,0.6883742006130964,0.21153600257511918,0.3742100009735325,0.6175473672382377,0.7240841231628958,0.4879670994598051,0.018398473446741725
GUMNetHet,0.07540712628780177,0.10288456744832808,0.02950640396959736,0.4117509466028273,1.0,0.14938050801698943,0.5335967417814129,0.16907738405643746,0.0572356526738107,0.22328924423048147,0.2738972683204415,0.16192048286074323,0.2437483425002569,0.4865144884602195,0.3762498775518668,0.4183556343085806,0.20584157626111677,0.08229653680403137,0.28094480625342166,0.3427664986923715,0.20054509218905103,0.2256399157465312,0.20905498220362628,0.07896552002216439,0.3112305960290296,0.15097192853954833,0.023025461729387464
GUMNet_Adaptive,0.5136206229139448,0.7759361832950593,0.7106593429668959,0.16905822531196124,0.14938050801698943,1.0,0.166590519818558,0.6798643282217878,0.19792077216848702,0.7383294407207464,0.24704694080457124,0.8073511019187904,0.7964455967975241,0.13502128893736987,0.12126545947738454,0.12240485429843595,0.5677604299325871,0.38140000830033305,0.24328996960193172,0.16813902438909656,0.24397619312417307,0.710133687880937,0.3247937207318936,0.5909929081068706,0.16759472351481852,0.33446404776841177,0.3374152832190016
GUMNet_Decomp,0.0941501776803606,0.11241286427977704,0.037000120326738495,0.45380971594011843,0.5335967417814129,0.166590519818558,1.0,0.18615052809606691,0.06556521861802267,0.2749822932345072,0.32897097234916917,0.18399647995670576,0.2708116728050387,0.3643178922885315,0.44369748363587647,0.4988737521980766,0.26791140199059327,0.09456377940089267,0.32792578312709697,0.405155419456102,0.22905483802118987,0.2515717403766038,0.23972815628524313,0.1086427157487293,0.3728974017716826,0.15878753093774067,0.022782778730537023
GUMNet_Diffusion,0.5933810688643626,0.9391564643280808,0.2359032446011049,0.10104766994185943,0.16907738405643746,0.6798643282217878,0.18615052809606691,1.0,0.1387632526049578,0.8097255034510384,0.3416810984611218,0.8481423101759973,0.9564694286475395,0.16660769388850638,0.06866644032965419,0.1367231777847957,0.6602549315969428,0.4320677923587306,0.22533444575255857,0.14969314877782836,0.23651190808685074,0.9694940800056051,0.15618692063514672,0.6984142160222646,0.12800465071673273,0.36819584793174664,0.12638840061180212
GUMNet_Fourier,0.13934997890405887,0.16621789485981342,0.27851488483092623,0.057027639285248455,0.0572356526738107,0.19792077216848702,0.06556521861802267,0.1387632526049578,1.0,0.2952759443793993,0.08248141670347464,0.1255235329250255,0.11281692588762549,0.053556596623769215,0.03821704006108595,0.05350509740227105,0.10803427476191652,0.1225982524925826,0.07566039587769269,0.06149995303666844,0.08140870989044391,0.11815202936912872,0.08556938184459018,0.18326073683491106,0.06215078834885257,0.10136167142179286,0.5261753448434616
GUMNet_Fusion,0.9528076928763671,0.7758089030973914,0.5033063436932772,0.8008805921415869,0.22328924423048147,0.7383294407207464,0.2749822932345072,0.8097255034510384,0.2952759443793993,1.0,0.7053808046333043,0.7906780430115572,0.8243174792310324,0.175584241763167,0.7877687561544029,0.5441286948371804,0.9912707188294807,0.8877932128306316,0.7565818611836268,0.69350354288534,0.8478984586428342,0.826641002967174,0.9737907865799875,0.9566503117635115,0.6799291580817997,0.9328733357169938,0.3772616819753143
