,Autoformer,Chronos,DLinear,GUMNet,GUMNetHet,GUMNet_Adaptive,GUMNet_Decomp,GUMNet_Diffusion,GUMNet_Fourier,GUMNet_Fusion,GUMNet_Graph,GUMNet_Mamba,GUMNet_MoE_Sparse,GUMNet_Patch,GUMNet_RL,GUMNet_Wavelet,GUMNet_iTrans,LTSF_Linear,Moirai,PatchTST,RLinear,TFT,TTM,TimeMixer,TimesFM,TimesNet,iTransformer
Autoformer,1.0,0.5644608816398868,0.0635619741630582,0.8051342337265548,0.23091374086831218,0.21671546484488258,0.5272192936694569,0.29147816398330817,0.5981444786268106,0.9099719077736932,0.22558521240693574,0.6818243442623151,0.9268924094126261,0.8375618036070867,0.6221524856911889,0.08623141069162998,0.3928395052308331,0.000496574005941941,0.528548280248716,0.0008437481008791714,0.6378376936231271,9.846491775045152e-06,0.2244468982511767,0.2929510223266323,0.08440381123491303,0.04355785987097427,0.8018926048259767
Chronos,0.5644608816398868,1.0,0.017169081313011203,0.6996390893695392,0.1010421390007672,0.2542488839278332,0.7434101001669833,0.15713499560609834,0.11662388651967492,0.7460319884148174,0.20239948430322974,0.28660698686692143,0.495252444083782,0.670945257861308,0.30699091485231156,0.15757181983804824,0.5366301971761347,0.00015722298058684636,0.9877631302562999,7.380359352548993e-07,0.1810656322580395,1.3193723786830702e-06,0.04493864119191393,0.11285764327576597,0.002652884463456351,0.049097276240770205,0.36811290803148466
DLinear,0.0635619741630582,0.017169081313011203,1.0,0.0391818125131802,0.0025275822383883373,0.0060680590040052,0.036472831407804884,0.7852620391185252,0.43609524255787857,0.22432684011038528,0.009023768186441572,0.4349836000120142,0.20498500542103826,0.12412775646013618,0.5654975574146714,0.0005661758169408504,0.04838695975967222,0.05372293533206518,0.031436145130465,0.07012027438444313,0.4267442378689097,0.0003697853161812592,0.984614658435236,0.4739850390143221,0.89121181015382,0.6467194249853563,0.05540481682396159
GUMNet,0.8051342337265548,0.6996390893695392,0.0391818125131802,1.0,0.17800484749022338,0.2601509725561524,0.5909460537537083,0.2311055176854233,0.4077891811071581,0.9464846670967673,0.18471786107222954,0.5096719265595704,0.7302441534639517,0.9813492217114193,0.5266426116595753,0.19744747801214357,0.484209295099022,0.002591601356328521,0.8028135230157964,0.00041386616882821414,0.4720935796050161,4.023424452026525e-05,0.1978688079573354,0.29162833833137913,0.06569218375632846,0.1144677174527462,0.9757406533774688
GUMNetHet,0.23091374086831218,0.1010421390007672,0.0025275822383883373,0.17800484749022338,1.0,0.9850165343711392,0.34812683793719024,0.028632922468942335,0.010712629809728869,0.2679620705955883,0.3690788018563085,0.028578094242857954,0.09345446515980482,0.01696740028016719,0.07384128602616191,0.7471541243835182,0.760603302963389,1.3780729648082968e-05,0.5082070110490937,4.240131729060792e-06,0.0088804260204971,1.209051740946876e-07,0.012702916505982209,0.03279715682273965,0.003607037986930184,0.028536081345663877,0.051308173571114946
GUMNet_Adaptive,0.21671546484488258,0.2542488839278332,0.0060680590040052,0.2601509725561524,0.9850165343711392,1.0,0.4587497108994003,0.03471551409945817,0.015460868014095297,0.3445795420958624,0.6302999967886986,0.06664860854842747,0.13088550954819,0.12309729162715022,0.08057901175333915,0.7638178612906645,0.7707242734097219,6.836532007903351e-05,0.5350343176678671,0.00012127064963429746,0.018580758680329268,1.3484601573132693e-06,0.007745306329415058,0.05195007629534398,0.003569637258675762,0.03707787842664656,0.12384581100849057
GUMNet_Decomp,0.5272192936694569,0.7434101001669833,0.036472831407804884,0.5909460537537083,0.34812683793719024,0.4587497108994003,1.0,0.14268516105814033,0.0662203161850643,0.6317837788031526,0.27338183707638275,0.25501314902593686,0.3889090691231061,0.5456779999412165,0.24577305594760634,0.28884153334871465,0.6643374723246547,0.0016879228880692931,0.8791516508722435,0.00032948812043520626,0.17949005896683068,2.9176676423769976e-06,0.07798777568178128,0.1776261624224953,0.03399648156340773,0.07420133932197714,0.49797257805162554
GUMNet_Diffusion,0.29147816398330817,0.15713499560609834,0.7852620391185252,0.2311055176854233,0.028632922468942335,0.03471551409945817,0.14268516105814033,1.0,0.6629754027959338,0.3864329390412429,0.024328889546174626,0.6071787182210486,0.4372145929960427,0.2654034175589173,0.6690516938838238,0.015134564501790626,0.10122241164072343,0.16020912908522789,0.16188246795902828,0.10245260378717269,0.6154391413723608,0.00029685443988802795,0.8670510099470516,0.784846168263791,0.7544564019424636,0.5436659097767804,0.2724401789299393
GUMNet_Fourier,0.5981444786268106,0.11662388651967492,0.43609524255787857,0.4077891811071581,0.010712629809728869,0.015460868014095297,0.0662203161850643,0.6629754027959338,1.0,0.5319996172041752,0.03028406303807385,0.9579424195317943,0.6536273525806093,0.2884028281956632,0.9374090325219331,0.012940173333360061,0.056780636835852105,0.08017568110986373,0.45357536333733406,0.01110173242106094,0.9734248861747363,0.0003351674530620574,0.444294820651298,0.8184409539785049,0.3695569067818618,0.396877639432756,0.23099324286926892
GUMNet_Fusion,0.9099719077736932,0.7460319884148174,0.22432684011038528,0.9464846670967673,0.2679620705955883,0.3445795420958624,0.6317837788031526,0.3864329390412429,0.5319996172041752,1.0,0.18786348972680322,0.5918409444675299,0.8156309676517619,0.9570854629662873,0.5726236325038145,0.21730935356522885,0.3904874655511543,0.03428266884200859,0.7948824712951215,0.012918863313899909,0.6166011077309088,0.00010794667274049985,0.2095965826114099,0.48642745232665785,0.18882230438570913,0.20190623645036765,0.952036283700656
