,Autoformer,BiMamba,CARD,Chronos,CoST,Crossformer,DLinear,FITS,FedFormer,GPT4TS,GUMNet,GUMNetHet,GUMNet_Adaptive,GUMNet_Decomp,GUMNet_Diffusion,GUMNet_Fourier,GUMNet_Fusion,GUMNet_Graph,GUMNet_Mamba,GUMNet_MoE_Sparse,GUMNet_Patch,GUMNet_RL,GUMNet_Wavelet,GUMNet_iTrans,Gated_TabNet,Informer,LTSF_Linear,Lag_Llama,MambaFormer,Moirai,NBEATS,NHits,PatchTST,RLinear,Reformer,S_Mamba,TEMPO,TFT,TTM,TimeMachine,TimeMixer,TimeXer,Time_MoE,TimesFM,TimesNet,UniTS,iTransformer
Autoformer,1.0,0.5006967676291261,0.008602261489743857,0.025456847713690056,0.7919179346598926,0.37395244124864035,0.06905425186459224,0.0195219809321312,0.016627442231056166,0.6879896063366329,0.011547450608381249,0.02103367323107741,0.0031212778279003928,0.000914066933752844,0.000676238314291977,0.0010628174601148288,0.0036414387145409233,0.010804670551746165,0.002525101500274962,0.0013741396554667329,0.002369816345027864,0.003812727942122507,0.00440630238630213,0.002038570779470117,0.011062426506412537,0.4726827129143385,0.06397784956933417,0.05953845624141141,0.9518082054715877,0.006605812860581262,0.011361105299717789,0.009586149964529778,0.007351498395269607,0.011276162676201684,0.9430343973973148,0.6715980779547648,0.5805905096604547,0.0467644762538062,0.06458714462071269,0.00441741918289984,0.134310765120774,0.21730228615552893,0.07605660937540648,0.010932444618049875,0.02564242653386306,0.5293379623483143,0.008165802215955642
BiMamba,0.5006967676291261,1.0,0.0005006491803152269,0.002539222979339506,0.3251033541482211,0.15481358960105207,0.009858872313092792,0.0013082035183293872,0.001954908438034142,0.32444014659128495,0.0008077211559613939,0.004232667716744354,0.00012161052947168294,1.6377146005996934e-05,6.0579493552648245e-06,2.709311258253244e-05,0.00016397640753540443,0.00025138996064644203,3.0377676494275363e-05,2.208012033166895e-05,3.380214822512606e-05,0.00010102250133381396,8.549614052033583e-05,9.167738782878132e-05,0.0012456895105639187,0.2159743556096334,0.00874160665991841,0.006857502295918083,0.7928022944085207,0.00041251612835080387,0.0005988632467226473,0.0006214185498458757,0.0005991143669976662,0.0005169198827403854,0.6547883217242485,0.38796228515395814,0.9401937116159542,0.004250364558466169,0.01179927068967479,0.0038537007536125767,0.32677856266831906,0.09062128154862714,0.013373777243020912,0.001131337498181395,0.5630608012455074,0.6146696737552944,0.0005203778593785291
CARD,0.008602261489743857,0.0005006491803152269,1.0,0.0636611572962289,0.0002452313707486109,0.0023445936999242356,0.005578491910599448,0.023817490105596306,0.5439084525969351,1.680022753292043e-05,0.3691981693856554,0.20949289151819506,0.01190570064133345,0.004035503577372479,0.3595666453002675,2.856909753989889e-05,0.017130648739626775,0.06504438310590022,0.5105573820144955,0.2324828732891362,0.20612957784140917,0.4113528835033686,0.948658109681183,0.0033756743343049678,0.5114863979135256,0.009827573596743022,0.0003281550275313627,0.1098643357257838,0.029401688069702114,0.02270152227523914,0.4924511133220548,0.102757029195085,0.045430372615534065,0.013847378675044819,1.3035798974714297e-05,0.004733810295887375,9.116925464125458e-05,0.0007431308165981587,0.01505034801584082,0.0006423316856660755,0.017607388689660164,0.10603181017858532,0.017081835621096886,0.7861498786333341,0.0035778532814620956,0.0012015019567146457,0.10530327078138968
Chronos,0.025456847713690056,0.002539222979339506,0.0636611572962289,1.0,0.002229477251560308,0.004076555377119151,0.03840408890662017,0.637300131082128,0.484711971989479,6.38736080653679e-05,0.00420857274707398,0.37098426408620844,0.0031712589438537275,0.0036289557565096775,0.7174075989846895,8.342840119635042e-06,0.0055545706007738005,0.23503339371154142,0.9373146126244094,0.11229269411286391,0.09954266641219589,0.16444601269396597,0.3029966932621466,0.001145364910520641,0.21703620358595033,0.021672078427070307,0.0006510585574617256,0.39179047398107203,0.0393239724497505,1.3330753473983492e-05,0.6060330816432566,0.0033476055727124088,0.0001925025659366142,0.09296959887841227,1.46748841596267e-05,0.009038694162757599,0.0007060391836490876,0.04181659026704576,0.07253255107831325,0.0019413731761177555,0.033704702549966825,0.18357394156758966,0.04639307096704304,0.09806025905442972,0.011364808679068084,0.0010573511768519062,0.00011608799021312066
CoST,0.7919179346598926,0.3251033541482211,0.0002452313707486109,0.002229477251560308,1.0,0.20066115173325927,0.005858271623405464,0.0016402032094495755,0.0019748301130284585,0.7152227685924364,0.0008044699109686082,0.001900164835554552,5.0586850701694885e-06,5.217693971992787e-06,4.171441248423946e-06,2.1308440012468566e-06,1.0209429296192951e-05,8.194387393745117e-06,2.069783231029021e-06,9.795696380709984e-07,6.054056342907899e-07,6.963368969437056e-06,1.659999573777604e-05,4.519998182628271e-06,7.281746424858682e-05,0.33338545910488815,0.008594334329816045,0.0054458502001373255,0.9568194096211147,0.0002755608568212331,6.992143675432771e-05,0.00016948427571295,0.0004785097839503649,0.012252421756441256,0.887285732306422,0.6304963992157195,0.24008403201741402,0.007081678307554018,0.007436983603134717,0.008827042626541992,0.1887152018817686,0.07355857283955003,0.008996183794692136,0.001639255649549698,0.32299984562479667,0.3838878750529797,0.00033167294090019617
Crossformer,0.37395244124864035,0.15481358960105207,0.0023445936999242356,0.004076555377119151,0.20066115173325927,1.0,0.005025369413623526,0.012222952352991312,0.00890059850094449,0.18990500629956508,0.001033002265502292,0.6074919985054978,1.403051285375767e-06,0.0005883468060525754,0.14870751932284398,1.290760945460434e-06,2.873942969161547e-06,0.3342348603834284,0.030181623079846398,0.0014687915664710616,0.00034550583719572536,0.00126467887336279,0.0011147010259782153,1.3510504501823561e-06,0.0001331949617271455,0.8001393099393757,0.019380193399856083,0.033294324887937155,0.24576045461147955,0.0006226224116128165,0.0003427233985433542,4.7560317753214676e-05,0.0015642979369037135,0.5417759590484121,0.016895674957687845,0.26272403116252296,0.09513032140006539,0.12951097181751825,0.005516759955310757,0.029470867853349292,0.18007799220256593,0.10411127641650597,0.0067873429685527675,0.006424029678648191,0.20873295013566895,0.02803008795944284,0.0010225121223834677
DLinear,0.06905425186459224,0.009858872313092792,0.005578491910599448,0.03840408890662017,0.005858271623405464,0.005025369413623526,1.0,0.14830694740907702,0.07734137143787434,0.0008110037376813928,0.004183726754470429,0.6445356696748767,6.634456110488074e-06,0.0005751118186616555,0.7127211891101699,8.49287893345263e-08,6.616028457795409e-05,0.645176738825811,0.2603621155823044,0.005550458299473204,0.002962031074249305,0.004184395419236653,0.005637952711951888,1.248200486370088e-05,0.007067970811484914,0.06486453215311583,0.9584600321164047,0.6351549452322787,0.06464414620402881,0.0005308041810228037,0.004141656935636728,1.0275508120827226e-05,0.002631790789696886,0.4419647680614853,5.649144489128233e-05,0.016943228835082813,0.0026584872208981203,0.6816366967502794,0.7564977278301113,0.0038743784474493115,0.055183500385600714,0.4365982362999925,0.9329617854400658,0.03578580277344434,0.03192756670498409,0.0037502414483820967,0.0013785801678605214
FITS,0.0195219809321312,0.0013082035183293872,0.023817490105596306,0.637300131082128,0.0016402032094495755,0.012222952352991312,0.14830694740907702,1.0,0.35385083963520314,1.5140221508502805e-05,0.003156359813591525,0.39010587227445015,0.003903833608645879,0.0002925685822783297,0.7850270523847285,8.18117772838356e-06,0.005687890339148627,0.26119811884064315,0.7875550329536134,0.05037291321644455,0.061044737299359886,0.08772569761753202,0.12199400739106969,0.0013735630505327112,0.2202794408177442,0.030211883180638166,0.028640317481683164,0.5522233546371356,0.05358847797833266,1.747896958104178e-05,0.42904565068273115,0.00843039268688206,0.0004557269778229234,0.06377112098686677,1.0623722580316297e-05,0.012437506468513604,0.0003439226246126914,0.03566165755504991,0.26676077971251955,0.0012875546187909315,0.03099028031249751,0.27758757843827553,0.21559512665246583,0.03751652946027906,0.008187655640611524,0.001850202443684834,0.0002572653605790176
FedFormer,0.016627442231056166,0.001954908438034142,0.5439084525969351,0.484711971989479,0.0019748301130284585,0.00890059850094449,0.07734137143787434,0.35385083963520314,1.0,0.00026513813234818606,0.23676409148060196,0.3053919571130441,0.02542670720065421,0.018566143763131482,0.5619931857541034,0.00048681218245172353,0.02850338728618884,0.16792810716674067,0.8307077286435758,0.25273630381289847,0.23845906194651922,0.3845478427727278,0.6453007996938376,0.007743546530062373,0.4035568886825409,0.030148706152475446,0.026433115823470743,0.32352965542207524,0.0447940054120306,0.010112107016050143,0.9734858744335315,0.11403912859736898,0.026665232693154017,0.04227778226864398,5.8556546631116646e-05,0.016092788735647012,0.0005248173201941597,0.027669626309218653,0.07306126139974811,0.0017265234012715514,0.027503168056908445,0.1604916986396545,0.06547750537601993,0.29087822238628647,0.007859639335373814,0.0007451456464870887,0.11651502154069937
GPT4TS,0.6879896063366329,0.32444014659128495,1.680022753292043e-05,6.38736080653679e-05,0.7152227685924364,0.18990500629956508,0.0008110037376813928,1.5140221508502805e-05,0.00026513813234818606,1.0,1.6497185264530145e-06,0.22069771834913632,5.978259272065856e-07,1.1587057109352372e-06,0.008156613558880865,2.0479543172413628e-08,6.240368313203959e-07,0.04240526950486756,0.0003399841720950203,8.975990861248562e-06,1.864561049114144e-06,1.0134521861937529e-05,2.6933662096162436e-06,4.6105891948755584e-07,0.0004437983457279415,0.23655598935204813,0.0003543700660513238,5.619079923335768e-05,0.761724683900324,2.4101348141680745e-06,3.331943041207097e-05,2.364881370064964e-06,1.5419419857831684e-05,0.056936304069542754,0.37935782160292986,0.7594374728217186,0.30549208658040117,0.0013779578946060411,0.0030074476437154107,0.04318675486015344,0.3010556604047978,0.1286934509475297,0.003400135732490428,6.562773795559806e-05,0.3740068352286685,0.20030103516868691,7.443863331069167e-06
GUMNet,0.011547450608381249,0.0008077211559613939,0.3691981693856554,0.00420857274707398,0.0008044699109686082,0.001033002265502292,0.004183726754470429,0.003156359813591525,0.23676409148060196,1.6497185264530145e-06,1.0,0.212976359755368,0.057203769955178174,0.21725726360451425,0.3328733796070056,0.0006516722394791508,0.044762203269387735,0.08717710780156618,0.42783920088003313,0.6736819194038552,0.5076634320601139,0.8937280796232061,0.6459794219085011,0.011801019223583786,0.8333604595272492,0.0036046026384817242,5.182767341427308e-05,0.031225218862828363,0.017362045639108814,0.21413884991450804,0.3356350856219945,0.41727047753470714,0.46427366587328134,0.019627749107459902,1.6336003110239972e-06,0.0020187264132343063,0.0002378869330799116,0.0007830319317125856,0.009672140968962406,0.000932755443451283,0.02153074209638195,0.08407336041478053,0.010141063720745302,0.6046093446959042,0.004939047613452319,0.000433836444509339,0.9557523699274
GUMNetHet,0.02103367323107741,0.004232667716744354,0.20949289151819506,0.37098426408620844,0.001900164835554552,0.6074919985054978,0.6445356696748767,0.39010587227445015,0.3053919571130441,0.22069771834913632,0.212976359755368,1.0,0.022288475924809426,0.050748941471916,0.22573421830013096,0.012482860169822363,0.018780130743996093,0.7420485844260911,0.15543784299544305,0.04340747441586523,0.034207719278714466,0.08449849986075386,0.1543626719067901,0.008789682350453631,0.09139974871053158,0.5533005343101967,0.6572521361437849,0.5388156905151336,0.32825121284204517,0.14490911640368953,0.22534204074651587,0.12501639312284785,0.1652711216836238,0.9702996924870861,0.14286242613042743,0.33363875998630066,0.0032491316633440626,0.7391219441445636,0.6082459052693645,2.8075333175170414e-05,0.001844071299442529,0.9644372865591637,0.6650751189947859,0.2546087585726855,0.003800362790149281,0.11663794663997673,0.18034945761664867
GUMNet_Adaptive,0.0031212778279003928,0.00012161052947168294,0.01190570064133345,0.0031712589438537275,5.0586850701694885e-06,1.403051285375767e-06,6.634456110488074e-06,0.003903833608645879,0.02542670720065421,5.978259272065856e-07,0.057203769955178174,0.022288475924809426,1.0,0.23172895627310042,0.024123033336259647,0.07477961731199434,0.11310707672923681,0.0019727768476631713,0.0075982377346739405,0.05393046188657813,0.026595388436679412,0.005514197628067485,0.00989929824260627,0.0007031959722838543,0.024323992674507355,2.1020024925100245e-06,4.254906246692336e-05,2.886542272251269e-05,0.0005378685857149179,0.10460687072943498,0.0012057050382481282,0.015007570757905375,0.10493284184476082,0.004838589451312991,2.8588732017276186e-06,2.5456243497590236e-06,2.599525472191111e-05,0.0006244131617463289,0.00023373552119387853,0.0001064469046792027,0.004884437445102474,0.0009441332631994204,8.086101835647064e-05,0.09188473331606639,0.0013986996040586952,0.0005461626445597556,0.03761577809880268
GUMNet_Decomp,0.000914066933752844,1.6377146005996934e-05,0.004035503577372479,0.0036289557565096775,5.217693971992787e-06,0.0005883468060525754,0.0005751118186616555,0.0002925685822783297,0.018566143763131482,1.1587057109352372e-06,0.21725726360451425,0.050748941471916,0.23172895627310042,1.0,0.017428806678825293,0.010179666667041953,0.17165759248004542,0.001171457905932538,0.0032826484721528715,0.3341883377207424,0.8825023702307124,0.1396328997309939,0.0015932545280099575,0.053742673506232075,0.5733777892031393,0.0021716791917092415,8.946057691061604e-05,0.00922514954619058,0.013735892337900513,0.40713120051013263,0.012098873674736277,0.6365939936693685,0.30248364941981065,8.797256585135749e-05,2.9113143236170202e-06,0.0012303080971711733,1.8387712641398934e-06,2.3427824940025488e-06,0.0020913835616718224,8.683891017913226e-05,0.005322437323290519,0.03221223431849496,0.0014070861731063644,0.12378655848811526,0.0003826669221083101,0.0005502016383625019,0.08126464045992465
GUMNet_Diffusion,0.000676238314291977,6.0579493552648245e-06,0.3595666453002675,0.7174075989846895,4.171441248423946e-06,0.14870751932284398,0.7127211891101699,0.7850270523847285,0.5619931857541034,0.008156613558880865,0.3328733796070056,0.22573421830013096,0.024123033336259647,0.017428806678825293,1.0,0.004433039376404269,0.024245475794488547,0.017724782021993235,0.2526495056181641,0.022022751175141186,0.03144593077888369,0.09780075175917768,0.2439100625742534,0.008643127093838077,0.2424339320925326,0.13882202089033502,0.700056637800127,0.928653167195638,0.1264251844548403,0.19004654163686685,0.4992397195521683,0.18990247939359328,0.23101266333289305,0.062377717446024716,0.007723628149902684,0.06974148244922662,8.43623649826597e-07,0.4743686262777893,0.7933318515253163,2.7069710938132374e-05,0.00428642010507474,0.5003547887469331,0.7078314038512992,0.4103208299246055,0.00018910674970218366,0.02184737594831465,0.2810945900552355
GUMNet_Fourier,0.0010628174601148288,2.709311258253244e-05,2.856909753989889e-05,8.342840119635042e-06,2.1308440012468566e-06,1.290760945460434e-06,8.49287893345263e-08,8.18117772838356e-06,0.00048681218245172353,2.0479543172413628e-08,0.0006516722394791508,0.012482860169822363,0.07477961731199434,0.010179666667041953,0.004433039376404269,1.0,0.8104503777804792,0.0004360527170796935,0.00034788242285066495,0.0015789163249906313,0.001572110417151773,1.4112973423463515e-05,6.681167555444567e-05,0.3249874724783397,0.008249703646682871,1.581334636568954e-06,1.0148563389655862e-07,1.1376658859418853e-07,0.0005138655028873451,0.001033922329968684,1.4812387301610386e-05,8.766058956499734e-06,0.0022231328775810244,0.0003798917311113037,2.9991083949632014e-07,3.8102449508858882e-06,5.773513169105016e-06,4.347115129643697e-06,7.48254769544765e-06,5.646789016378051e-05,0.0032597081371295022,0.0009106488830465942,2.74597637384133e-06,0.004664773064478878,0.000486129843746852,0.0001717775771283847,0.00018121361397960278
GUMNet_Fusion,0.0036414387145409233,0.00016397640753540443,0.017130648739626775,0.0055545706007738005,1.0209429296192951e-05,2.873942969161547e-06,6.616028457795409e-05,0.005687890339148627,0.02850338728618884,6.240368313203959e-07,0.044762203269387735,0.018780130743996093,0.11310707672923681,0.17165759248004542,0.024245475794488547,0.8104503777804792,1.0,0.003249713387552422,0.01039823160627984,0.051541191221675886,0.020891222735348602,0.010860600331156212,0.01577332939692777,5.165164686427026e-05,0.027301472976092533,1.0176913622927941e-07,0.00021410139858080157,3.233714975170443e-05,0.00011132783871725671,0.07997271912310455,0.004278294708131014,0.016608601540672785,0.0833604550610545,0.006371572956148652,5.2220741160180495e-06,3.207309522412771e-07,5.546614942697481e-05,0.0014125808143037322,0.0008840505809311061,0.00010326179986264172,0.004623725358513742,0.0010642821858735108,0.00035405671808486083,0.07673101372521596,0.0016449150879092045,0.0006436633771591538,0.03739426481892205
GUMNet_Graph,0.010804670551746165,0.00025138996064644203,0.06504438310590022,0.23503339371154142,8.194387393745117e-06,0.3342348603834284,0.645176738825811,0.26119811884064315,0.16792810716674067,0.04240526950486756,0.08717710780156618,0.7420485844260911,0.0019727768476631713,0.001171457905932538,0.017724782021993235,0.0004360527170796935,0.003249713387552422,1.0,0.007295958135516756,0.000787932305085226,0.0011699097346871135,0.006771049523784045,0.021270194488290484,0.0010304435598851303,0.02995655049906909,0.3219820100519397,0.6612459138500468,0.48374003677945243,0.2060776980667054,0.040208885969817976,0.07446417863140886,0.03591749380441245,0.052842794240745894,0.6635082839344748,0.025247999150373346,0.15811203588467548,8.014408718892696e-06,0.7835187657311347,0.5901422707138528,0.00017163832143429758,0.012320286096128896,0.8782015517750028,0.6727332345217896,0.1263282734880018,0.0026453030379125497,0.03856484906415991,0.05812039022949533
GUMNet_Mamba,0.002525101500274962,3.0377676494275363e-05,0.5105573820144955,0.9373146126244094,2.069783231029021e-06,0.030181623079846398,0.2603621155823044,0.7875550329536134,0.8307077286435758,0.0003399841720950203,0.42783920088003313,0.15543784299544305,0.0075982377346739405,0.0032826484721528715,0.2526495056181641,0.00034788242285066495,0.01039823160627984,0.007295958135516756,1.0,0.00024874713838740625,0.007331855142281185,0.03131618271534964,0.32953783609851506,0.0023448787262951853,0.29819878922811993,0.0350840584375931,0.25362223470421763,0.5084130077166731,0.05987970281634958,0.20479423902381844,0.7873973331049595,0.17787787830695123,0.2731729325918415,0.014561742108430975,0.0006276758967620477,0.014936454658130316,3.2431399132892835e-06,0.09603097594399745,0.3776473710673365,8.029935408448985e-05,0.0073503246623183305,0.25978287223825647,0.3017806054434309,0.5740974909509386,0.0008305720122552263,0.008601053631150268,0.35254287589412314
GUMNet_MoE_Sparse,0.0013741396554667329,2.208012033166895e-05,0.2324828732891362,0.11229269411286391,9.795696380709984e-07,0.0014687915664710616,0.005550458299473204,0.05037291321644455,0.25273630381289847,8.975990861248562e-06,0.6736819194038552,0.04340747441586523,0.05393046188657813,0.3341883377207424,0.022022751175141186,0.0015789163249906313,0.051541191221675886,0.000787932305085226,0.00024874713838740625,1.0,0.46702805342061215,0.1949410643741163,0.09669557848259025,0.009997395935177789,0.8619868565337434,0.0029774763471801524,0.005487647696809761,0.03930609217839032,0.017393514750444927,0.9899878501715869,0.08573971948678327,0.9142863735890554,0.8584774270396647,0.0015172154683062988,2.8584281859256322e-05,0.001346402306579897,2.5794201710116482e-06,0.0016473131633401028,0.021871311906363378,5.9671387493631656e-05,0.0046981098073746175,0.04937820646428359,0.015997133090261295,0.5421598929431934,0.000531578232635388,0.0022004682507346107,0.5804878906299362
