,Autoformer,BiMamba,CARD,Chronos,CoST,Crossformer,DLinear,FITS,FedFormer,GPT4TS,GUMNet,GUMNetHet,GUMNet_Adaptive,GUMNet_Decomp,GUMNet_Diffusion,GUMNet_Fourier,GUMNet_Fusion,GUMNet_Graph,GUMNet_Mamba,GUMNet_MoE_Sparse,GUMNet_Patch,GUMNet_RL,GUMNet_Wavelet,GUMNet_iTrans,Gated_TabNet,Informer,LTSF_Linear,Lag_Llama,MambaFormer,Moirai,NBEATS,NHits,PatchTST,RLinear,Reformer,S_Mamba,TEMPO,TFT,TTM,TimeMachine,TimeMixer,TimeXer,Time_MoE,TimesFM,TimesNet,UniTS,iTransformer
Autoformer,1.0,0.0012111116930622057,0.6683966512204056,0.3283447828819144,0.23724670138849868,0.07093419167779302,0.00044779368724245927,0.2031110662324438,0.010425564409744403,0.004608923773881779,0.08594511470441368,0.3474244969943694,0.2649645147187174,0.8800476765656811,0.0009149180563996495,0.15568539145756954,0.2343699762467366,0.38967763708560677,0.17571749417352045,0.2716959655592004,0.045885380240173745,0.18405318944045823,0.04187086155168718,0.7640746242512411,0.625545875960611,0.005548706966324923,0.002617878625942982,0.005658758627985483,0.015313680213291159,0.007706166505661249,0.12380808508931618,0.7831002775473794,1.9428124049314377e-05,0.0009472856083563297,0.03647859440187462,0.2573761253511737,0.3780819652172236,0.29013487155603124,0.4007800577114531,0.03027913899651824,0.14001238388259107,3.0580878783048604e-05,0.327453580960553,0.0017798070293277846,0.13705129808177374,0.04158496251511146,0.12677676041597574
BiMamba,0.0012111116930622057,1.0,0.007554975270749331,0.0024339626153573324,0.0001028366378057477,0.9334704040081823,4.733249348021218e-09,0.08590431667871412,0.655544828470644,0.2342546189369059,0.11867986195318814,0.0006691318059510731,0.33893921802317006,0.009048597330243657,0.5629232100364887,0.0023401447803372832,0.5324087560866821,0.0009036122606731478,0.06584642571000643,0.06071456088981231,0.2643130333468111,0.08623072615997507,0.00011536857632554742,0.11047641399796815,0.006179902415911709,0.39652103096249913,5.166225447439388e-09,0.7929784096765942,0.9440058961567162,1.637704072354751e-07,5.842194120586619e-05,0.00116761442728186,1.6661062751666122e-08,3.716993450808559e-07,0.4357777377091956,0.007397188482354489,0.018930741119335126,0.0006542589804579002,5.870605753699465e-05,0.2318945772322656,8.60749660569482e-06,0.00464548409540444,0.0001398615666561298,1.275679126777618e-06,6.7440819055963885e-06,0.5793974538922342,0.0010358211351031432
CARD,0.6683966512204056,0.007554975270749331,1.0,0.2286519869285002,0.11810493344744244,0.0916085334380119,0.0005198882984149833,0.3828284169082552,0.013550414228226781,0.008357950056194774,0.17453984102289488,0.1369764573070953,0.34672637693743935,0.8189713862211636,0.0009080428717820332,0.0712858265664067,0.26720291541348384,0.20384195496309054,0.3633897274905882,0.44979064427338455,0.07469423941201736,0.3042799748005365,0.01905756630686617,0.9579883231895621,0.35495140770601985,0.011289274540494887,0.0014320433706809244,0.006165402530619701,0.044650245202328076,0.010951930272480759,0.026925174374596406,0.4615162825388359,9.678754807618262e-06,0.00018800443303312875,0.07241943989804489,0.6186965923792394,0.6997756507894275,0.13073841854313306,0.23480801336263002,0.08172423780147442,0.058278879728108635,5.998208300317387e-05,0.1671663236319869,0.00026120148001362864,0.023623241607694467,0.08168547786037861,0.05806418805232583
Chronos,0.3283447828819144,0.0024339626153573324,0.2286519869285002,1.0,0.9256495511679415,0.01678898112505456,0.29781461157881384,0.051367773599744204,0.00473367103574307,0.0007248676710058799,0.020907087285407355,0.8832654974017056,0.06437083898441376,0.3111743405312215,0.000161234205532379,0.57728662766347,0.05195411511318726,0.8012802781560153,0.05791313845861068,0.06389498199934929,0.00870297246723295,0.049857387288851696,0.44771464551770723,0.3201296556044566,0.6096514969027718,0.0011611633485122397,0.39144972121166566,0.0007142231437817781,0.0029082326664688907,0.48398065866158846,0.7410769320275143,0.4617733050024668,0.004383217497136993,0.05847872515500496,0.015655267104789594,0.11522255361419975,0.15735387371142573,0.9501716445128987,0.7712382292042559,0.023417437891707804,0.9772576440269427,3.0974827021079676e-06,0.7887322818518392,0.053433034755259845,0.9574248021950593,0.01143777960875636,0.6423823629944052
CoST,0.23724670138849868,0.0001028366378057477,0.11810493344744244,0.9256495511679415,1.0,0.020790628385385146,0.0893985741253458,0.023146174313794177,0.0006292682104671599,0.001087427195794799,0.01136148494913658,0.9371730796093038,0.07993729174480779,0.2574713074732875,3.175453287029839e-05,0.4942228329407019,0.06989241643763866,0.8230354110491129,0.02138789524179141,0.045521450672128205,0.004054960339580305,0.022406780902348933,0.3612949746937173,0.3289632500172961,0.6385426461886023,0.0011352400927842066,0.15155060033184387,7.970033952453548e-05,0.0018241512900227796,0.28383515417023486,0.6060525764869702,0.4011778244366324,0.002066358915782107,0.020504955633472433,0.0049004415446751715,0.041345646014698145,0.06248375630462033,0.974061448935091,0.8081284250212697,0.001819875329090781,0.8540546121772821,8.367289655808463e-06,0.8283616019174702,0.0346324863415568,0.8175533198331615,0.010263628528579316,0.5720695593805227
Crossformer,0.07093419167779302,0.9334704040081823,0.0916085334380119,0.01678898112505456,0.020790628385385146,1.0,0.001728166643579332,0.28934699014025633,0.8027995489212483,0.4013389252413724,0.37789777408033176,0.021238520449874176,0.3860815056667575,0.06317586677750575,0.7578320932729312,0.003926819130675829,0.5335315196627284,0.023149238288702412,0.2105270000888586,0.20814611068124966,0.4494752306655978,0.26662524625633743,0.0026057511684629553,0.16254999329447473,0.03143582058568728,0.6272970786785903,0.0024149313455581467,0.9394193734075023,0.8999096425038762,0.0032995515526548225,0.004619968527424856,0.046848671466279246,1.4086628374210264e-05,0.00017123667395613218,0.6009531844739184,0.21783475055958146,0.15374806716526468,0.021244302072222165,0.020519443084423328,0.48805003428177973,0.011725889861512018,0.019967215515486414,0.021541203711189727,0.0002739644096070304,0.013887409732295408,0.6897510739382846,0.007205117439752495
DLinear,0.00044779368724245927,4.733249348021218e-09,0.0005198882984149833,0.29781461157881384,0.0893985741253458,0.001728166643579332,1.0,0.0001283679992243325,1.4919597955076469e-05,7.39644629759173e-05,4.465262063479969e-05,0.14982028488040378,0.008514712310739858,0.0077216175130709885,5.485725229625871e-08,0.8104876953740181,0.008683391797734918,0.08929518732787667,2.676107557753049e-05,0.0002996848507508254,1.1924739935720297e-05,0.00011670120064199985,0.7849103704622586,0.06217974910154345,0.06864613954297805,2.9793697765345684e-05,0.6643052229530029,8.658664214511447e-07,2.156113318063646e-05,0.5539765227987643,0.418414700122121,0.016803524959177585,0.02778788834664092,0.21915361577579695,9.083324769676437e-06,1.5509099710042662e-05,4.363426257114611e-05,0.19938868742842608,0.04256302110604371,1.0250699031821853e-06,0.08850511809701289,2.1429252083926542e-07,0.03186082062583839,0.2795095870716233,0.08457019578709968,0.0001465130645632584,0.6160520765678439
FITS,0.2031110662324438,0.08590431667871412,0.3828284169082552,0.051367773599744204,0.023146174313794177,0.28934699014025633,0.0001283679992243325,1.0,0.11019348897090042,0.014870397548384595,0.6331413156608665,0.04786544875893539,0.8273966977831548,0.29477741759296094,0.05271673043012348,0.02994485291383464,0.6687757643234336,0.06995021511115462,0.918281750792469,0.8559810618257679,0.5395032167676592,0.9993723726607155,0.011267723841663635,0.576320219983883,0.12186320044262611,0.028214415253497105,0.00013850337102550014,0.05826352253432199,0.15608752550523275,0.0011100943965851595,0.006850090103792894,0.09125175617104953,1.26066268468783e-06,1.5902901194353447e-05,0.3807917401868943,0.6789373864662105,0.6025002302958571,0.03789249210304502,0.03700244285481413,0.5416020979694647,0.013030490290451224,0.00033479055647656075,0.021111115840339645,8.857407499163195e-05,0.014024166716190889,0.23296306002830303,0.023201975730273272
FedFormer,0.010425564409744403,0.655544828470644,0.013550414228226781,0.00473367103574307,0.0006292682104671599,0.8027995489212483,1.4919597955076469e-05,0.11019348897090042,1.0,0.5104518147441508,0.17699137865680759,0.0003185756339807444,0.24319333807896037,0.008817361687603498,0.9748748769300273,0.0016805339916186046,0.37167674054444677,0.0004079571213189137,0.058225075537806426,0.04697990528736473,0.19461630806951447,0.07642114951465495,0.00013586037874713242,0.048832319173195415,0.005026449473668038,0.7708719556620807,1.6978320715788087e-05,0.8151707873918481,0.6662510435748565,7.133570741379991e-05,0.0005075178142202041,0.0031537079099057674,1.2485061029465783e-07,1.2643413445090346e-06,0.29947542173111086,0.0639814107952017,0.0261033032724296,0.002078817089736784,0.0012440232260566564,0.23067726882783646,0.00040136454623063145,0.02376253702699338,0.0011985639736522558,3.8990029804786275e-07,0.00029025732852239194,0.44877011089745356,0.0008259587972585525
GPT4TS,0.004608923773881779,0.2342546189369059,0.008357950056194774,0.0007248676710058799,0.001087427195794799,0.4013389252413724,7.39644629759173e-05,0.014870397548384595,0.5104518147441508,1.0,0.02420446270123322,0.0014881611288624086,0.07576708907044338,0.0033003144339620594,0.48332622003378667,0.0002677321382009712,0.15662949652915836,0.001848157807264439,0.020101918427582355,0.017965158806559245,0.06706031726940753,0.026859349618351347,0.00030336425918253695,0.0244472852401052,0.004109064432913367,0.6400593328479842,7.003586228138126e-05,0.3531732397727856,0.20881042140436534,0.00012901127181419447,6.55776489022486e-05,0.0015679111989355121,3.502255498943896e-07,1.984816295763636e-06,0.1025076900121824,0.024231753951600155,0.019516772120541148,0.0004774239229028421,0.0006994721163755546,0.1009833817263428,0.0005826237500616838,0.1075029806780825,0.0009213225875870368,2.8023010603117626e-06,0.0005578745118957062,0.06425554322699023,0.00031403121142514756
