,Autoformer,Chronos,DLinear,GUMNet,GUMNetHet,GUMNet_Adaptive,GUMNet_Decomp,GUMNet_Diffusion,GUMNet_Fourier,GUMNet_Fusion,GUMNet_Graph,GUMNet_Mamba,GUMNet_MoE_Sparse,GUMNet_Patch,GUMNet_RL,GUMNet_Wavelet,GUMNet_iTrans,LTSF_Linear,Moirai,NBEATS,NHits,PatchTST,RLinear,TFT,TTM,TimeMixer,TimesFM,TimesNet,iTransformer
Autoformer,0.0,-0.28512085425074024,1.04385427323365,0.06386442359298308,-0.12141836904980323,0.7015213003567671,-0.16637903132354495,-0.5893264635643581,0.2624680960965985,1.564330732959728,-0.3387883301085456,-0.141151823649935,-2.226961676446412,-1.8504602842965023,1.356816251072306,-0.1823521279379878,0.02951875712956277,1.2294948585929761,-0.6215598181578795,-0.8556935823714344,0.19134286469303521,-0.7881841020478408,0.6126375526599647,0.6255223721715277,-0.5813194629970416,0.3753712584180394,-0.16640408065388804,-0.4491335896793758,-0.8882195217225008
Chronos,0.28512085425074024,0.0,1.2536235155623638,0.3203147437115105,0.26526131281305754,0.6434937764372447,0.08203227024019846,-0.1614412677827945,0.4161320191354285,1.5776496398476014,0.03316540201524149,0.16662234072440993,-1.4051133582051412,-1.5775088444661123,0.8899950769550388,0.08999226776364927,0.19354656642412446,1.1395207107058214,-0.10506745604951728,-0.18720082924187742,0.43223721775063906,-0.7269460192654176,0.6615651928815377,0.6363469307243594,-0.22236591679052914,0.7177536836175273,0.2524023820244534,-0.10240393726572002,-0.5376116791676419
DLinear,-1.04385427323365,-1.2536235155623638,0.0,-0.9989422421185261,-1.7295668725737445,0.10356615753725004,-0.8530004272205455,-1.8155055371991728,-0.6531569444922081,1.1985212678370083,-1.3225584980469747,-1.2694816543792111,-2.4330094026061655,-3.2469327576433407,0.263551170575612,-0.949237727818113,-0.5608262141890841,-0.11484720721765616,-1.8951013663104788,-2.3871340615630725,-1.0005451675089632,-1.7790137350156465,-0.3707251587456627,-0.47811788803286764,-2.066742399340031,-0.985491269091309,-1.6043743334447407,-1.2997619697999736,-2.0494540784024964
GUMNet,-0.06386442359298308,-0.3203147437115105,0.9989422421185261,0.0,-0.17665505130014336,0.6074839077768333,-0.25326052508177954,-0.7039633829579468,0.18333670589011716,1.6415286375434954,-0.3105535886016772,-0.2186345844366845,-1.922348024351975,-1.735279850879818,1.0443469052456305,-0.243610679706962,-0.012375281718534154,0.8282858207859447,-0.48737607999747207,-0.6396713953223885,0.146696972134902,-0.6784375204140018,0.6611978919662844,0.5982300619156636,-0.5273975812744459,0.2891180867934967,-0.23026142235998048,-0.3803673241912102,-0.8428261211724002
GUMNetHet,0.12141836904980323,-0.26526131281305754,1.7295668725737445,0.17665505130014336,0.0,0.685720422073477,-0.09842846282236292,-0.5782597512220009,0.41690248235253125,1.786383818415652,-0.2780661966924841,-0.0818257179969609,-1.9135222761694657,-2.2635968706246143,1.2907679868870914,-0.10550195237184225,0.09539957533335511,1.791942573897762,-0.5114319968145161,-0.846605773662406,0.442753178375348,-0.7844709150778966,0.8164101041899982,0.8234854304489806,-0.5642138425720715,0.709552474030513,-0.05288493995289317,-0.42088282422156764,-0.9560057428859393
GUMNet_Adaptive,-0.7015213003567671,-0.6434937764372447,-0.10356615753725004,-0.6074839077768333,-0.685720422073477,0.0,-0.9164010322319982,-0.924924272186112,-0.508317829587389,0.7075075635982085,-0.6936847471338657,-0.7085778579250493,-2.2069001508989583,-1.6038752373772427,0.05842102605645075,-0.9231182523247635,-0.5171054429244176,-0.13762707329776405,-0.7856698121746308,-0.9139255143894891,-0.5448784937373666,-0.8517281529250009,-0.3787529648052927,-0.410330256131371,-0.7826070313093844,-0.4218247151668835,-0.7127582494229653,-0.7430325592869522,-1.0114599144489385
GUMNet_Decomp,0.16637903132354495,-0.08203227024019846,0.8530004272205455,0.25326052508177954,0.09842846282236292,0.9164010322319982,0.0,-0.31193801744822264,0.3710436059373269,1.3336687440111181,-0.07161747433775603,0.045586035761787526,-2.1217087330830577,-1.4272120289817216,1.5348453587028175,0.00515730424379036,0.15335581384356248,0.7714088933502116,-0.16082199788652354,-0.2725136350485169,0.3637789783846338,-0.34086695767612213,0.8332221970322687,0.8248424593451554,-0.1969588494430483,0.4182645521194462,0.0767285287403911,-0.15171200453331082,-0.5926001769576805
GUMNet_Diffusion,0.5893264635643581,0.1614412677827945,1.8155055371991728,0.7039633829579468,0.5782597512220009,0.924924272186112,0.31193801744822264,0.0,0.6361195124236934,1.7069741513950145,0.21027505979767952,0.5043796343267426,-1.9845387680860833,-1.7285488808490954,1.7233647924878845,0.280766293081255,0.3485352054184431,1.590724930473468,0.09664223399207467,0.017965960738508237,0.7831173401208702,-0.22370822327652323,1.2412251017833726,1.6987973451908982,0.05722305549063213,1.2948003612631571,0.6054867957265253,0.05750977924615175,-0.5342251646831562
GUMNet_Fourier,-0.2624680960965985,-0.4161320191354285,0.6531569444922081,-0.18333670589011716,-0.41690248235253125,0.508317829587389,-0.3710436059373269,-0.6361195124236934,0.0,1.5067934542538934,-0.4474621482440018,-0.35194468385768174,-1.7501693178340119,-1.7135076106203466,0.8454724562108433,-0.44609809357203767,-0.1378942426419244,0.6192441450362278,-0.5992696081892728,-0.7616766553383394,-0.0812741634534884,-0.8149727794650319,0.3625661343013183,0.2686620080250294,-0.6138946399368239,0.06465896516535176,-0.37684128286551655,-0.5622710445526462,-0.9620537978533132
GUMNet_Fusion,-1.564330732959728,-1.5776496398476014,-1.1985212678370083,-1.6415286375434954,-1.786383818415652,-0.7075075635982085,-1.3336687440111181,-1.7069741513950145,-1.5067934542538934,0.0,-1.6526750808379733,-1.563165868106189,-2.1635458069960967,-2.2738530608735172,-0.8151664484119509,-1.5969037313006154,-1.482575709860542,-1.2260367830285803,-1.8464899012800462,-1.9208724669827357,-1.6526133151468152,-1.7756683317027462,-1.352217449846561,-1.3305247170452223,-1.7605709621854182,-1.502691177836897,-1.6269356701272715,-2.0172596969573413,-1.8684466082088824
