,Autoformer,BiMamba,CARD,Chronos,CoST,Crossformer,DLinear,FITS,FedFormer,GPT4TS,GUMNet,GUMNetHet,GUMNet_Adaptive,GUMNet_Decomp,GUMNet_Diffusion,GUMNet_Fourier,GUMNet_Fusion,GUMNet_Graph,GUMNet_Mamba,GUMNet_MoE_Sparse,GUMNet_Patch,GUMNet_RL,GUMNet_Wavelet,GUMNet_iTrans,Gated_TabNet,Informer,LTSF_Linear,Lag_Llama,MambaFormer,Moirai,NBEATS,NHits,PatchTST,RLinear,Reformer,S_Mamba,TEMPO,TFT,TTM,TimeMachine,TimeMixer,TimeXer,Time_MoE,TimesFM,TimesNet,UniTS,iTransformer
Autoformer,0.0,-2.660059863827432,1.210576473268105,1.4531653619931792,-0.4262946102197914,-1.386415074145047,0.4846958831716595,-2.89181073421661,2.032830697381041,2.794183032454837,-0.16985136048608165,2.4914948063587428,1.6695026620004323,3.643998630918727,0.24461465515549172,3.6031316211109674,1.4938594178404878,0.4731958611094127,0.9166323547826382,0.6681432431884545,2.182362032307271,-0.07508245265761554,0.9086513670694808,2.1395789938198617,1.9688344469520063,0.6942746210800834,-0.5404313449602555,-2.3388048454206376,-1.9038657886448052,-3.3085923652717364,1.1701207758074093,0.24024390308722177,-0.30633993170096013,-3.139822125244387,-1.9036179136038236,-0.5621319672911719,1.1806192546450134,-2.2715996149103406,-1.8959134698602738,-1.401235669122644,2.3482960491507128,-1.4876417497839476,-1.909902257881263,-2.1513598471338216,1.6616406364892977,-1.9074826634559252,1.125693491956556
BiMamba,2.660059863827432,0.0,6.005631636645908,4.167460110940579,2.64991825665319,-0.049809436584656766,2.4200726138919144,0.3253771037338472,3.6652517809135357,5.550733155588505,2.4695321855069166,3.9748523779608296,3.6004405227089773,4.6715323354273925,2.975087246641673,5.275147883771226,2.946349792799287,2.2485752647638404,2.6087945740457497,2.6156205168613305,4.17626764017798,1.9219277194482292,2.5671811545409366,3.4938391399410733,4.399228128017777,2.8137914450152257,3.3924579583183214,-0.3163973580466713,0.1793666994468472,0.13742453027319848,5.658889821914152,4.14370253002326,2.8166944606869624,0.5781510837346878,0.6591429946641222,2.2726524953277383,3.38010295615373,0.7029888923432142,0.9114204160309355,2.357494381880076,3.9673162553079964,-0.5802666963622528,0.3458984517831026,0.261607762892224,4.514926013489879,-0.5238273195079544,4.912581206258712
CARD,-1.210576473268105,-6.005631636645908,0.0,0.8897822355406807,-1.949817430348047,-2.96664317209548,-0.6880691096771983,-2.9344751427807116,1.4241720735357173,2.7669885509307135,-1.5425803141490677,2.345985320596379,1.3026475286898445,1.3395703651725097,-1.2317983819791416,3.9296777006325154,0.9656657575768193,-0.4324361743267578,-0.3727892357579543,-0.3774294035233872,0.8553525355535961,-1.071041772916875,0.18443870855991784,1.9196140089324598,1.83868883105275,-0.11703791635576852,-2.9681814931790242,-4.397488903194025,-2.8839614678231165,-4.276114866780033,0.4361388251582838,-1.4870534179293007,-1.7426750299129137,-3.9730437925698308,-3.0049431003475173,-2.837369911238931,0.22736246199997878,-2.4413267998978565,-3.2454028922628413,-5.442956527182984,2.07720182816321,-2.685767415425033,-4.6488074526683585,-3.067691322604325,0.5757722476300727,-3.016522348548516,-0.2724985660940833
Chronos,-1.4531653619931792,-4.167460110940579,-0.8897822355406807,0.0,-1.6870716138920299,-2.7063256433013745,-0.9170576487136395,-3.2835642554825277,1.2341084980264714,1.7683088517551335,-2.3820339368832233,1.5823138095786111,0.4409481807724101,0.38631165011841145,-1.3346604255368584,2.466212959052948,0.3071941748275331,-0.6719858198474123,-0.6824086355397228,-0.657025340480643,-0.02840983064907793,-1.1055518169403413,-0.2558559175502365,1.0831403381158766,0.8849963486438003,-1.0073220088847434,-3.152805209886622,-3.8501702164708784,-3.2335599565357196,-3.113772408432464,-0.3916946016109704,-2.422514391875648,-2.278246235941545,-3.9383969610817773,-3.021762744017894,-2.2558441823401534,-0.3104281997251053,-2.2095007184855704,-3.5635717422293145,-3.039709878223629,1.2334773304127837,-2.8053193939334355,-3.237216041170554,-4.704377093794709,-0.2857203019226171,-4.254496672929749,-1.1469029062422145
CoST,0.4262946102197914,-2.64991825665319,1.949817430348047,1.6870716138920299,0.0,-1.5424545171054242,0.9456649256530019,-1.6776439782095347,2.007043554448904,3.2765808686668074,0.18602291123267478,3.159403801861041,2.3973682638258342,3.0840690241197692,0.7002195861113739,4.611113207316993,1.9882426426664086,0.9456708661627907,1.3448731828934575,1.2489434914439346,2.998746448496491,0.2712426703926958,1.5135666054043126,2.765915389267258,2.8191974120342222,0.9398916871651284,-0.28281599561459764,-2.4137160163506763,-1.558085240881106,-3.108837800754255,1.7581690639515801,0.5750443866020056,0.10026514903769414,-2.0536997940749884,-1.3568046634681759,-0.4181082403390894,2.176978531524455,-1.5583006693993648,-1.3228391828008317,-1.3662299199987396,3.1609903660762675,-1.5626700842069905,-2.081187304257831,-1.4973608243659222,2.662734097818693,-1.6596197836267437,1.505212757992861
Crossformer,1.386415074145047,0.049809436584656766,2.96664317209548,2.7063256433013745,1.5424545171054242,0.0,1.5700168669388916,0.19576734114294178,2.3836344693345533,3.5341229616549277,1.3590318661481977,4.006199845881794,3.929865337492759,2.6074582552541554,1.7976459651323806,5.556346451845739,3.0022223775782115,2.1550668133988355,1.8271553635958255,2.2277200720377484,2.789177682703543,1.4188255208001301,2.8076307024349982,3.943980026812486,4.32045778964464,2.0925285185340816,1.5643947199397341,-0.18347639822092934,0.12578950985450715,0.12469838979827333,2.868208521667856,1.8361750846431264,1.3444860859314909,0.3225521579405089,0.41740763519139806,1.9572974939586865,2.84681647672256,0.4881964216899002,0.47712200081969874,1.0866824766609928,3.7844639468160217,-0.5599560923686381,0.2404728228147064,0.1679310590935301,2.900359240833686,-0.346581958911835,2.2166593368515066
DLinear,-0.4846958831716595,-2.4200726138919144,0.6880691096771983,0.9170576487136395,-0.9456649256530019,-1.5700168669388916,0.0,-2.18751958897396,1.4819632188873648,2.220054701077706,-0.4259473388071918,2.6815669808101648,1.7056201963862812,2.0228367520421524,-0.19461608684943607,3.936094508735321,1.5190695063662667,0.2354621231690937,0.6500678276214121,0.42819700266190663,2.1285244178423057,-0.5939194732652121,0.8051117314285833,2.318457133483465,1.9329658446591276,0.3808019798837083,-0.6881572493624573,-2.4648488822711703,-1.816989730086975,-3.2773659100618477,0.8032516042046336,-0.10453468916698953,-0.5446896628219853,-2.2476400111588966,-1.8032709471492758,-0.8056418973522087,1.0993580904691487,-2.6358553423404625,-1.7126255363330893,-1.5906129365515584,2.6558227439558086,-1.5742245949218556,-2.042780382161453,-1.7043106656320246,1.3616338506641619,-1.70070490651145,0.5461414273172522
FITS,2.89181073421661,-0.3253771037338472,2.9344751427807116,3.2835642554825277,1.6776439782095347,-0.19576734114294178,2.18751958897396,0.0,3.952068788885452,4.254599137384358,2.9511329153632455,3.035161824245591,2.395397265059558,5.917019185378194,1.947806109497791,3.9558470569213164,2.231830412554094,1.6008686571117736,2.2391889340670033,1.8333669168910627,3.0907287376607924,1.46413259767115,1.8332172726867844,2.6808474637765807,2.7519305325160044,2.2085654815751994,1.4353763655874814,-0.5120850570356119,-0.1689659145974642,-0.22418124863289574,2.703002087594321,2.55139213534928,3.3378643701993576,0.16936821572425972,0.3654039991210828,0.9414336713618374,2.2141870256480343,0.44847176446236287,0.5652081269096252,0.836187571012048,2.9770506319407857,-0.5292105357293894,-0.08648700931695265,-0.11161792220846414,2.913058139783143,-0.6712475903912221,3.554387200030944
FedFormer,-2.032830697381041,-3.6652517809135357,-1.4241720735357173,-1.2341084980264714,-2.007043554448904,-2.3836344693345533,-1.4819632188873648,-3.952068788885452,0.0,0.10819768990488836,-2.5060646938594564,0.8641707935106059,-0.27676342851428715,-0.7416139584723855,-1.8508365940839058,1.199763612847623,-0.33683844246565575,-1.0860399213962952,-1.2439525014782833,-1.1306583839340538,-0.7759739448263017,-1.5745826122646962,-0.7489261948142607,0.30169419686511295,0.0567459934879491,-1.6807591769561863,-2.7362377028076734,-3.2068112229591774,-4.268019890425927,-2.895046301839243,-1.2540307883046304,-2.4737448200564813,-2.7562592301688835,-3.51267950345041,-3.126566785126466,-2.133882857904933,-0.8846064304616114,-2.4313902290970892,-3.912871919493558,-2.714514155740554,0.46777788936267517,-2.963422523383377,-3.1484450379581235,-4.826731304087753,-0.9894531835260792,-3.953675236398735,-1.9304096597591882
GPT4TS,-2.794183032454837,-5.550733155588505,-2.7669885509307135,-1.7683088517551335,-3.2765808686668074,-3.5341229616549277,-2.220054701077706,-4.254599137384358,-0.10819768990488836,0.0,-3.2719272181477574,1.1505731416785576,-0.5299976850899898,-1.185024353301391,-3.133316005455304,1.8495263059466207,-0.5811628398784038,-1.758229783682287,-1.916954460951562,-1.8244646121282069,-1.330155910514262,-2.30220586652012,-1.2422930353212416,0.3681101149109043,-0.0070681518140436345,-2.274452833730456,-4.228389095306866,-4.499479071333156,-4.665511812605384,-4.2972942004253865,-2.1995797753040724,-3.658634874815589,-3.6861604446674745,-4.831127436915443,-3.7846979742277007,-3.5307291536302277,-1.5392454983455353,-3.3779740291451796,-4.712615223489641,-4.679643252759552,0.6040827436445827,-3.690662519220253,-4.735571486235762,-4.6797197830008255,-1.7701488090797128,-3.9135454102303586,-3.1156063276964856
