Baseline_Model,Champion_Model,Target,Horizon,Cliff_Delta,A12,Magnitude
DLinear,GUMNet_Fusion,DAU,1,0.018524999999999903,0.5092625,negligible
RLinear,GUMNet_Fusion,DAU,1,0.03773749999999998,0.51886875,negligible
LTSF_Linear,GUMNet_Fusion,DAU,1,0.02719999999999989,0.5136,negligible
NBEATS,GUMNet_Fusion,DAU,1,0.055199999999999916,0.5276,negligible
NHits,GUMNet_Fusion,DAU,1,0.06843749999999993,0.53421875,negligible
PatchTST,GUMNet_Fusion,DAU,1,0.04744999999999999,0.523725,negligible
TFT,GUMNet_Fusion,DAU,1,0.0366375000000001,0.51831875,negligible
Autoformer,GUMNet_Fusion,DAU,1,0.0027999999999999137,0.5014,negligible
iTransformer,GUMNet_Fusion,DAU,1,0.04248750000000001,0.52124375,negligible
TimesNet,GUMNet_Fusion,DAU,1,0.03278749999999997,0.51639375,negligible
TimeMixer,GUMNet_Fusion,DAU,1,0.019625000000000004,0.5098125,negligible
TTM,GUMNet_Fusion,DAU,1,0.03245000000000009,0.516225,negligible
Chronos,GUMNet_Fusion,DAU,1,0.02773749999999997,0.51386875,negligible
TimesFM,GUMNet_Fusion,DAU,1,0.03826250000000009,0.51913125,negligible
Moirai,GUMNet_Fusion,DAU,1,0.001587500000000075,0.50079375,negligible
DLinear,GUMNet_Fusion,DAU,3,0.06065707580859092,0.5303285379042955,negligible
RLinear,GUMNet_Fusion,DAU,3,0.03346597285991226,0.5167329864299561,negligible
LTSF_Linear,GUMNet_Fusion,DAU,3,0.03474135292317104,0.5173706764615855,negligible
PatchTST,GUMNet_Fusion,DAU,3,0.0026017753290481505,0.5013008876645241,negligible
TFT,GUMNet_Fusion,DAU,3,0.014896439138863293,0.5074482195694316,negligible
Autoformer,GUMNet_Fusion,DAU,3,0.039077645138251293,0.5195388225691256,negligible
iTransformer,GUMNet_Fusion,DAU,3,0.02882358942965002,0.514411794714825,negligible
TimesNet,GUMNet_Fusion,DAU,3,0.06545250484644427,0.5327262524232221,negligible
TimeMixer,GUMNet_Fusion,DAU,3,0.039383736353433285,0.5196918681767166,negligible
