06:42:19 | ================================================================================
06:42:19 |  Autoformer | DAU | H1 | walkforward | seed=123
06:42:19 | ================================================================================
06:42:19 | Data: 4513 rows | Features: 16
06:59:46 |  Iter-01 | MAE=1.564 | MAPE=1.90%
07:08:14 |  Iter-02 | MAE=0.666 | MAPE=0.81%
07:19:37 |  Iter-03 | MAE=1.021 | MAPE=1.25%
07:26:19 |  Iter-04 | MAE=1.085 | MAPE=1.36%
07:38:40 |  Iter-05 | MAE=0.224 | MAPE=0.28%
07:48:01 |  Iter-06 | MAE=0.440 | MAPE=0.55%
08:00:48 |  Iter-07 | MAE=1.214 | MAPE=1.54%
08:09:47 |  Iter-08 | MAE=0.041 | MAPE=0.05%
08:25:40 |  Iter-09 | MAE=0.361 | MAPE=0.45%
08:32:59 |  Iter-10 | MAE=0.638 | MAPE=0.79%
08:42:46 |  Iter-11 | MAE=0.554 | MAPE=0.68%
08:53:12 |  Iter-12 | MAE=0.830 | MAPE=1.03%
09:01:51 |  Iter-13 | MAE=1.015 | MAPE=1.28%
09:13:47 |  Iter-14 | MAE=0.254 | MAPE=0.32%
09:24:30 |  Iter-15 | MAE=0.841 | MAPE=1.05%
09:33:45 |  Iter-16 | MAE=0.546 | MAPE=0.68%
09:43:43 |  Iter-17 | MAE=0.518 | MAPE=0.65%
09:53:46 |  Iter-18 | MAE=1.320 | MAPE=1.69%
10:04:04 |  Iter-19 | MAE=0.369 | MAPE=0.46%
10:12:39 |  Iter-20 | MAE=1.468 | MAPE=1.90%
10:21:55 |  Iter-21 | MAE=0.488 | MAPE=0.63%
10:27:50 |  Iter-22 | MAE=1.389 | MAPE=1.75%
10:34:06 |  Iter-23 | MAE=0.654 | MAPE=0.82%
10:42:41 |  Iter-24 | MAE=0.959 | MAPE=1.18%
10:51:06 |  Iter-25 | MAE=0.156 | MAPE=0.19%
11:04:40 |  Iter-26 | MAE=1.486 | MAPE=1.82%
11:15:28 |  Iter-27 | MAE=1.106 | MAPE=1.35%
11:27:13 |  Iter-28 | MAE=0.187 | MAPE=0.23%
11:37:36 |  Iter-29 | MAE=0.417 | MAPE=0.51%
11:49:16 |  Iter-30 | MAE=0.737 | MAPE=0.88%
11:58:22 |  Iter-31 | MAE=2.163 | MAPE=2.53%
12:12:16 |  Iter-32 | MAE=0.494 | MAPE=0.59%
12:21:32 |  Iter-33 | MAE=0.529 | MAPE=0.62%
12:34:20 |  Iter-34 | MAE=1.376 | MAPE=1.64%
12:47:13 |  Iter-35 | MAE=0.702 | MAPE=0.81%
