05:11:11 | ================================================================================
05:11:11 |  Autoformer | XANG | H1 | walkforward | seed=777
05:11:11 | ================================================================================
05:11:11 | Data: 4513 rows | Features: 15
05:17:28 |  Iter-01 | MAE=0.444 | MAPE=0.57%
05:21:22 |  Iter-02 | MAE=0.268 | MAPE=0.34%
05:28:22 |  Iter-03 | MAE=0.302 | MAPE=0.39%
05:33:57 |  Iter-04 | MAE=2.496 | MAPE=3.32%
05:39:58 |  Iter-05 | MAE=0.418 | MAPE=0.56%
05:44:14 |  Iter-06 | MAE=0.512 | MAPE=0.69%
05:49:51 |  Iter-07 | MAE=1.030 | MAPE=1.40%
05:54:34 |  Iter-08 | MAE=0.426 | MAPE=0.58%
06:01:49 |  Iter-09 | MAE=1.028 | MAPE=1.39%
06:08:05 |  Iter-10 | MAE=0.858 | MAPE=1.16%
06:12:57 |  Iter-11 | MAE=0.437 | MAPE=0.59%
06:19:44 |  Iter-12 | MAE=0.825 | MAPE=1.13%
06:26:45 |  Iter-13 | MAE=1.009 | MAPE=1.39%
06:30:12 |  Iter-14 | MAE=0.330 | MAPE=0.45%
06:36:05 |  Iter-15 | MAE=0.287 | MAPE=0.39%
06:41:43 |  Iter-16 | MAE=0.634 | MAPE=0.87%
06:48:17 |  Iter-17 | MAE=0.533 | MAPE=0.74%
06:54:00 |  Iter-18 | MAE=1.370 | MAPE=1.94%
07:00:28 |  Iter-19 | MAE=0.380 | MAPE=0.53%
07:05:26 |  Iter-20 | MAE=0.604 | MAPE=0.86%
07:10:00 |  Iter-21 | MAE=1.072 | MAPE=1.52%
07:15:01 |  Iter-22 | MAE=0.505 | MAPE=0.70%
07:19:33 |  Iter-23 | MAE=0.935 | MAPE=1.29%
07:23:44 |  Iter-24 | MAE=0.229 | MAPE=0.31%
07:29:14 |  Iter-25 | MAE=1.427 | MAPE=1.97%
07:33:46 |  Iter-26 | MAE=1.896 | MAPE=2.63%
07:39:02 |  Iter-27 | MAE=0.130 | MAPE=0.18%
07:44:30 |  Iter-28 | MAE=0.328 | MAPE=0.46%
07:49:16 |  Iter-29 | MAE=0.493 | MAPE=0.69%
07:54:57 |  Iter-30 | MAE=0.349 | MAPE=0.48%
07:58:45 |  Iter-31 | MAE=0.736 | MAPE=1.01%
08:02:52 |  Iter-32 | MAE=0.665 | MAPE=0.92%
08:06:18 |  Iter-33 | MAE=0.920 | MAPE=1.26%
08:10:25 |  Iter-34 | MAE=1.221 | MAPE=1.71%
08:18:32 |  Iter-35 | MAE=0.378 | MAPE=0.51%
08:25:10 |  Iter-36 | MAE=0.828 | MAPE=1.11%
08:32:07 |  Iter-37 | MAE=1.307 | MAPE=1.76%
08:38:29 |  Iter-38 | MAE=3.664 | MAPE=5.11%
08:42:03 |  Iter-39 | MAE=1.982 | MAPE=2.75%
08:46:04 |  Iter-40 | MAE=0.951 | MAPE=1.29%
08:49:16 |  Iter-41 | MAE=0.264 | MAPE=0.36%
08:55:07 |  Iter-42 | MAE=0.967 | MAPE=1.30%
09:00:18 |  Iter-43 | MAE=1.210 | MAPE=1.60%
09:03:40 |  Iter-44 | MAE=1.538 | MAPE=1.98%
09:07:53 |  Iter-45 | MAE=0.471 | MAPE=0.62%
09:13:43 |  Iter-46 | MAE=1.129 | MAPE=1.49%
09:17:54 |  Iter-47 | MAE=2.466 | MAPE=3.39%
09:22:23 |  Iter-48 | MAE=0.503 | MAPE=0.69%
09:26:39 |  Iter-49 | MAE=0.391 | MAPE=0.54%
09:30:55 |  Iter-50 | MAE=0.310 | MAPE=0.43%
09:36:04 |  Iter-51 | MAE=2.426 | MAPE=3.15%
09:40:00 |  Iter-52 | MAE=1.659 | MAPE=2.10%
09:45:13 |  Iter-53 | MAE=0.137 | MAPE=0.17%
09:51:44 |  Iter-54 | MAE=1.630 | MAPE=2.03%
09:56:42 |  Iter-55 | MAE=0.833 | MAPE=1.04%
10:02:48 |  Iter-56 | MAE=0.754 | MAPE=0.94%
10:09:37 |  Iter-57 | MAE=0.128 | MAPE=0.16%
10:15:30 |  Iter-58 | MAE=10.677 | MAPE=11.66%
10:21:17 |  Iter-59 | MAE=6.673 | MAPE=6.87%
10:29:01 |  Iter-60 | MAE=3.720 | MAPE=3.63%
10:35:34 |  Iter-61 | MAE=16.679 | MAPE=15.36%
10:37:18 |  Iter-62 | MAE=7.327 | MAPE=6.21%
10:38:40 |  Iter-63 | MAE=22.671 | MAPE=15.82%
10:42:14 |  Iter-64 | MAE=18.047 | MAPE=14.65%
10:45:49 |  Iter-65 | MAE=2.571 | MAPE=2.18%
10:50:40 |  Iter-66 | MAE=11.376 | MAPE=8.31%
10:54:39 |  Iter-67 | MAE=3.206 | MAPE=2.25%
10:58:36 |  Iter-68 | MAE=0.113 | MAPE=0.08%
11:05:03 |  Iter-69 | MAE=0.692 | MAPE=0.47%
11:08:51 |  Iter-70 | MAE=3.176 | MAPE=2.17%
11:14:58 |  Iter-71 | MAE=4.572 | MAPE=2.89%
11:22:03 |  Iter-72 | MAE=4.546 | MAPE=2.89%
11:25:38 |  Iter-73 | MAE=2.059 | MAPE=1.26%
11:30:55 |  Iter-74 | MAE=7.884 | MAPE=5.43%
11:35:43 |  Iter-75 | MAE=15.853 | MAPE=11.89%
11:40:58 |  Iter-76 | MAE=7.521 | MAPE=5.80%
11:48:25 |  Iter-77 | MAE=1.031 | MAPE=0.78%
11:51:46 |  Iter-78 | MAE=6.838 | MAPE=4.75%
11:57:51 |  Iter-79 | MAE=0.776 | MAPE=0.55%
12:00:40 |  Iter-80 | MAE=5.213 | MAPE=3.73%
12:01:58 |  Iter-81 | MAE=6.906 | MAPE=4.66%
12:08:20 |  Iter-82 | MAE=6.729 | MAPE=4.61%
12:14:57 |  Iter-83 | MAE=4.984 | MAPE=3.50%
12:17:51 |  Iter-84 | MAE=27.570 | MAPE=22.47%
12:19:09 |  Iter-85 | MAE=9.796 | MAPE=7.38%
12:20:30 |  Iter-86 | MAE=1.197 | MAPE=0.92%
12:22:10 |  Iter-87 | MAE=0.884 | MAPE=0.67%
12:27:31 |  Iter-88 | MAE=8.210 | MAPE=6.48%
12:28:48 |  Iter-89 | MAE=3.944 | MAPE=3.24%
12:30:11 |  Iter-90 | MAE=2.352 | MAPE=1.93%
12:34:45 |  Iter-91 | MAE=2.275 | MAPE=1.78%
12:36:03 |  Iter-92 | MAE=0.457 | MAPE=0.37%
12:37:22 |  Iter-93 | MAE=0.256 | MAPE=0.21%
12:38:39 |  Iter-94 | MAE=5.139 | MAPE=4.07%
12:40:04 |  Iter-95 | MAE=1.716 | MAPE=1.34%
12:41:32 |  Iter-96 | MAE=1.161 | MAPE=0.91%
12:42:57 |  Iter-97 | MAE=2.604 | MAPE=2.01%
12:44:18 |  Iter-98 | MAE=1.412 | MAPE=1.10%
12:45:39 |  Iter-99 | MAE=2.156 | MAPE=1.64%
12:46:56 |  Iter-100 | MAE=3.191 | MAPE=2.35%
12:46:56 | 
 OVERALL: MAE=3.072, MAPE=2.70%, R2=0.9651 (27345.7s)
12:46:56 | Saved model checkpoint: /data/quyhv/oil_forecast_tail_risk/results_v4/walkforward/Autoformer/XANG_H1_seed777/model_checkpoint.pth
12:46:56 | Saved processor/scaler: /data/quyhv/oil_forecast_tail_risk/results_v4/walkforward/Autoformer/XANG_H1_seed777/processor.pkl
