00:40:51 | ================================================================================
00:40:51 |  BiMamba | DAU | H1 | walkforward | seed=777
00:40:51 | ================================================================================
00:40:51 | Data: 4513 rows | Features: 16
00:49:43 |  Iter-01 | MAE=1.389 | MAPE=1.69%
01:10:29 |  Iter-02 | MAE=0.393 | MAPE=0.48%
01:28:12 |  Iter-03 | MAE=1.200 | MAPE=1.47%
01:39:59 |  Iter-04 | MAE=1.387 | MAPE=1.73%
01:47:13 |  Iter-05 | MAE=0.141 | MAPE=0.18%
02:00:31 |  Iter-06 | MAE=0.355 | MAPE=0.44%
02:11:19 |  Iter-07 | MAE=1.396 | MAPE=1.77%
02:20:11 |  Iter-08 | MAE=0.380 | MAPE=0.48%
02:29:35 |  Iter-09 | MAE=0.456 | MAPE=0.57%
02:36:37 |  Iter-10 | MAE=0.276 | MAPE=0.34%
02:44:43 |  Iter-11 | MAE=0.648 | MAPE=0.80%
02:54:39 |  Iter-12 | MAE=0.850 | MAPE=1.06%
03:13:34 |  Iter-13 | MAE=0.877 | MAPE=1.10%
03:24:09 |  Iter-14 | MAE=0.156 | MAPE=0.20%
03:31:37 |  Iter-15 | MAE=0.729 | MAPE=0.91%
03:40:48 |  Iter-16 | MAE=0.541 | MAPE=0.67%
03:51:17 |  Iter-17 | MAE=0.426 | MAPE=0.54%
04:03:18 |  Iter-18 | MAE=1.270 | MAPE=1.63%
04:12:23 |  Iter-19 | MAE=0.173 | MAPE=0.22%
04:24:03 |  Iter-20 | MAE=1.841 | MAPE=2.38%
04:35:36 |  Iter-21 | MAE=0.333 | MAPE=0.43%
04:43:30 |  Iter-22 | MAE=1.421 | MAPE=1.79%
04:56:34 |  Iter-23 | MAE=0.985 | MAPE=1.23%
05:06:17 |  Iter-24 | MAE=0.640 | MAPE=0.79%
05:26:04 |  Iter-25 | MAE=0.155 | MAPE=0.19%
05:39:20 |  Iter-26 | MAE=1.542 | MAPE=1.89%
06:00:54 |  Iter-27 | MAE=1.337 | MAPE=1.64%
06:14:03 |  Iter-28 | MAE=0.568 | MAPE=0.69%
06:29:13 |  Iter-29 | MAE=0.568 | MAPE=0.69%
06:37:20 |  Iter-30 | MAE=0.715 | MAPE=0.85%
06:47:25 |  Iter-31 | MAE=1.819 | MAPE=2.13%
07:00:34 |  Iter-32 | MAE=0.472 | MAPE=0.56%
07:17:04 |  Iter-33 | MAE=0.752 | MAPE=0.88%
07:26:37 |  Iter-34 | MAE=1.351 | MAPE=1.61%
07:44:24 |  Iter-35 | MAE=0.362 | MAPE=0.42%
07:52:26 |  Iter-36 | MAE=0.963 | MAPE=1.09%
08:12:44 |  Iter-37 | MAE=0.592 | MAPE=0.67%
08:23:42 |  Iter-38 | MAE=2.319 | MAPE=2.67%
08:38:45 |  Iter-39 | MAE=1.525 | MAPE=1.77%
08:47:06 |  Iter-40 | MAE=1.484 | MAPE=1.69%
09:01:49 |  Iter-41 | MAE=0.183 | MAPE=0.21%
09:23:24 |  Iter-42 | MAE=1.729 | MAPE=1.95%
09:39:49 |  Iter-43 | MAE=1.126 | MAPE=1.29%
09:52:16 |  Iter-44 | MAE=0.080 | MAPE=0.09%
10:02:43 |  Iter-45 | MAE=1.391 | MAPE=1.56%
10:25:16 |  Iter-46 | MAE=0.112 | MAPE=0.13%
10:40:44 |  Iter-47 | MAE=0.684 | MAPE=0.79%
11:00:24 |  Iter-48 | MAE=0.535 | MAPE=0.62%
11:10:04 |  Iter-49 | MAE=1.085 | MAPE=1.26%
11:28:36 |  Iter-50 | MAE=0.547 | MAPE=0.63%
11:39:49 |  Iter-51 | MAE=3.880 | MAPE=4.25%
12:02:38 |  Iter-52 | MAE=0.205 | MAPE=0.22%
12:22:32 |  Iter-53 | MAE=1.332 | MAPE=1.46%
12:43:46 |  Iter-54 | MAE=0.596 | MAPE=0.65%
