19:43:28 | ================================================================================
19:43:28 |  BiMamba | XANG | H1 | walkforward | seed=2025
19:43:28 | ================================================================================
19:43:28 | Data: 4513 rows | Features: 15
19:53:23 |  Iter-01 | MAE=0.235 | MAPE=0.30%
20:03:38 |  Iter-02 | MAE=0.273 | MAPE=0.35%
20:14:53 |  Iter-03 | MAE=0.291 | MAPE=0.37%
20:21:39 |  Iter-04 | MAE=2.566 | MAPE=3.41%
20:30:38 |  Iter-05 | MAE=0.427 | MAPE=0.57%
20:40:30 |  Iter-06 | MAE=0.674 | MAPE=0.91%
20:48:40 |  Iter-07 | MAE=1.218 | MAPE=1.66%
20:55:46 |  Iter-08 | MAE=0.434 | MAPE=0.59%
21:05:26 |  Iter-09 | MAE=1.154 | MAPE=1.56%
21:15:03 |  Iter-10 | MAE=1.038 | MAPE=1.41%
21:22:32 |  Iter-11 | MAE=0.385 | MAPE=0.52%
21:29:39 |  Iter-12 | MAE=0.733 | MAPE=1.00%
21:39:06 |  Iter-13 | MAE=0.500 | MAPE=0.69%
21:47:01 |  Iter-14 | MAE=0.506 | MAPE=0.70%
21:54:25 |  Iter-15 | MAE=0.198 | MAPE=0.27%
22:04:35 |  Iter-16 | MAE=0.370 | MAPE=0.51%
22:13:24 |  Iter-17 | MAE=0.551 | MAPE=0.76%
22:20:59 |  Iter-18 | MAE=1.155 | MAPE=1.63%
22:26:17 |  Iter-19 | MAE=0.126 | MAPE=0.17%
22:34:11 |  Iter-20 | MAE=0.868 | MAPE=1.24%
22:41:42 |  Iter-21 | MAE=1.189 | MAPE=1.68%
22:50:37 |  Iter-22 | MAE=0.556 | MAPE=0.77%
22:56:48 |  Iter-23 | MAE=1.485 | MAPE=2.05%
23:07:37 |  Iter-24 | MAE=0.326 | MAPE=0.45%
23:15:22 |  Iter-25 | MAE=1.529 | MAPE=2.11%
23:21:56 |  Iter-26 | MAE=1.794 | MAPE=2.49%
23:28:31 |  Iter-27 | MAE=0.239 | MAPE=0.34%
23:38:51 |  Iter-28 | MAE=0.034 | MAPE=0.05%
23:46:28 |  Iter-29 | MAE=0.874 | MAPE=1.22%
23:57:43 |  Iter-30 | MAE=0.310 | MAPE=0.43%
00:05:42 |  Iter-31 | MAE=0.284 | MAPE=0.39%
00:14:40 |  Iter-32 | MAE=0.639 | MAPE=0.89%
00:21:08 |  Iter-33 | MAE=1.149 | MAPE=1.58%
00:29:41 |  Iter-34 | MAE=1.424 | MAPE=2.00%
00:36:13 |  Iter-35 | MAE=0.288 | MAPE=0.39%
00:41:04 |  Iter-36 | MAE=0.434 | MAPE=0.58%
00:50:58 |  Iter-37 | MAE=1.248 | MAPE=1.68%
01:01:44 |  Iter-38 | MAE=3.553 | MAPE=4.95%
01:09:06 |  Iter-39 | MAE=2.296 | MAPE=3.19%
