21:42:32 | ================================================================================
21:42:32 |  CARD | DAU | H1 | walkforward | seed=123
21:42:32 | ================================================================================
21:42:32 | Data: 4513 rows | Features: 16
21:46:07 |  Iter-01 | MAE=1.308 | MAPE=1.59%
21:49:40 |  Iter-02 | MAE=0.330 | MAPE=0.40%
21:53:00 |  Iter-03 | MAE=1.016 | MAPE=1.25%
21:56:27 |  Iter-04 | MAE=1.245 | MAPE=1.56%
21:59:53 |  Iter-05 | MAE=0.223 | MAPE=0.28%
22:03:32 |  Iter-06 | MAE=0.572 | MAPE=0.71%
22:07:11 |  Iter-07 | MAE=1.176 | MAPE=1.49%
22:10:38 |  Iter-08 | MAE=0.565 | MAPE=0.71%
22:14:10 |  Iter-09 | MAE=0.078 | MAPE=0.10%
22:17:56 |  Iter-10 | MAE=0.398 | MAPE=0.49%
22:21:16 |  Iter-11 | MAE=0.265 | MAPE=0.33%
22:24:49 |  Iter-12 | MAE=0.662 | MAPE=0.82%
22:28:21 |  Iter-13 | MAE=0.690 | MAPE=0.87%
22:31:48 |  Iter-14 | MAE=0.247 | MAPE=0.31%
22:35:15 |  Iter-15 | MAE=1.200 | MAPE=1.50%
22:38:47 |  Iter-16 | MAE=0.236 | MAPE=0.29%
22:42:08 |  Iter-17 | MAE=0.675 | MAPE=0.85%
22:45:28 |  Iter-18 | MAE=0.918 | MAPE=1.18%
22:48:49 |  Iter-19 | MAE=0.472 | MAPE=0.59%
22:52:09 |  Iter-20 | MAE=2.493 | MAPE=3.23%
22:55:29 |  Iter-21 | MAE=0.300 | MAPE=0.39%
22:59:13 |  Iter-22 | MAE=1.257 | MAPE=1.58%
23:02:52 |  Iter-23 | MAE=1.656 | MAPE=2.07%
23:06:37 |  Iter-24 | MAE=0.561 | MAPE=0.69%
23:10:02 |  Iter-25 | MAE=0.142 | MAPE=0.17%
23:14:00 |  Iter-26 | MAE=2.769 | MAPE=3.39%
23:17:25 |  Iter-27 | MAE=1.635 | MAPE=2.00%
23:21:10 |  Iter-28 | MAE=1.338 | MAPE=1.63%
23:24:48 |  Iter-29 | MAE=0.356 | MAPE=0.43%
23:28:14 |  Iter-30 | MAE=1.510 | MAPE=1.80%
23:31:59 |  Iter-31 | MAE=1.935 | MAPE=2.27%
23:35:24 |  Iter-32 | MAE=0.077 | MAPE=0.09%
23:38:50 |  Iter-33 | MAE=0.032 | MAPE=0.04%
23:42:22 |  Iter-34 | MAE=1.403 | MAPE=1.67%
23:45:54 |  Iter-35 | MAE=0.625 | MAPE=0.72%
23:49:33 |  Iter-36 | MAE=1.117 | MAPE=1.26%
23:53:11 |  Iter-37 | MAE=1.795 | MAPE=2.02%
23:56:43 |  Iter-38 | MAE=2.020 | MAPE=2.32%
00:00:09 |  Iter-39 | MAE=1.099 | MAPE=1.27%
00:03:41 |  Iter-40 | MAE=1.945 | MAPE=2.22%
00:07:20 |  Iter-41 | MAE=0.024 | MAPE=0.03%
00:10:52 |  Iter-42 | MAE=2.128 | MAPE=2.40%
00:14:24 |  Iter-43 | MAE=1.591 | MAPE=1.82%
00:17:58 |  Iter-44 | MAE=0.247 | MAPE=0.28%
00:21:40 |  Iter-45 | MAE=0.862 | MAPE=0.97%
00:25:16 |  Iter-46 | MAE=1.067 | MAPE=1.20%
00:28:45 |  Iter-47 | MAE=1.017 | MAPE=1.17%
00:32:19 |  Iter-48 | MAE=0.204 | MAPE=0.24%
00:35:48 |  Iter-49 | MAE=0.274 | MAPE=0.32%
00:39:24 |  Iter-50 | MAE=0.869 | MAPE=1.01%
00:42:59 |  Iter-51 | MAE=3.168 | MAPE=3.47%
00:46:28 |  Iter-52 | MAE=0.668 | MAPE=0.72%
00:50:04 |  Iter-53 | MAE=0.939 | MAPE=1.03%
00:53:33 |  Iter-54 | MAE=0.981 | MAPE=1.06%
00:57:08 |  Iter-55 | MAE=0.314 | MAPE=0.34%
01:00:37 |  Iter-56 | MAE=1.356 | MAPE=1.47%
01:04:12 |  Iter-57 | MAE=0.440 | MAPE=0.48%
01:07:54 |  Iter-58 | MAE=22.352 | MAPE=19.46%
01:11:23 |  Iter-59 | MAE=11.475 | MAPE=9.14%
01:15:05 |  Iter-60 | MAE=10.788 | MAPE=7.53%
01:18:54 |  Iter-61 | MAE=21.522 | MAPE=14.10%
01:22:23 |  Iter-62 | MAE=1.708 | MAPE=1.10%
01:25:45 |  Iter-63 | MAE=22.214 | MAPE=12.01%
01:29:21 |  Iter-64 | MAE=31.482 | MAPE=19.57%
01:33:22 |  Iter-65 | MAE=5.951 | MAPE=3.63%
01:36:51 |  Iter-66 | MAE=32.560 | MAPE=16.78%
01:40:26 |  Iter-67 | MAE=8.336 | MAPE=4.34%
01:44:02 |  Iter-68 | MAE=19.229 | MAPE=10.10%
01:47:31 |  Iter-69 | MAE=8.100 | MAPE=4.10%
01:51:00 |  Iter-70 | MAE=9.871 | MAPE=4.98%
01:54:29 |  Iter-71 | MAE=14.326 | MAPE=6.40%
01:57:58 |  Iter-72 | MAE=4.366 | MAPE=1.96%
02:01:27 |  Iter-73 | MAE=10.915 | MAPE=4.50%
02:04:56 |  Iter-74 | MAE=8.704 | MAPE=3.97%
02:08:24 |  Iter-75 | MAE=21.656 | MAPE=10.56%
02:11:53 |  Iter-76 | MAE=2.294 | MAPE=1.06%
02:15:22 |  Iter-77 | MAE=16.550 | MAPE=6.97%
02:18:44 |  Iter-78 | MAE=12.146 | MAPE=4.83%
02:22:13 |  Iter-79 | MAE=9.572 | MAPE=4.02%
02:25:42 |  Iter-80 | MAE=1.448 | MAPE=0.59%
02:29:30 |  Iter-81 | MAE=43.168 | MAPE=14.77%
02:32:59 |  Iter-82 | MAE=16.500 | MAPE=6.17%
02:36:28 |  Iter-83 | MAE=31.929 | MAPE=13.14%
02:39:57 |  Iter-84 | MAE=63.624 | MAPE=33.34%
02:43:20 |  Iter-85 | MAE=10.561 | MAPE=5.15%
02:46:49 |  Iter-86 | MAE=1.028 | MAPE=0.56%
02:50:18 |  Iter-87 | MAE=7.721 | MAPE=4.05%
02:54:00 |  Iter-88 | MAE=15.608 | MAPE=8.63%
02:57:22 |  Iter-89 | MAE=13.630 | MAPE=8.23%
03:01:56 |  Iter-90 | MAE=4.585 | MAPE=2.82%
03:05:32 |  Iter-91 | MAE=7.958 | MAPE=4.87%
03:08:55 |  Iter-92 | MAE=13.811 | MAPE=9.33%
03:12:17 |  Iter-93 | MAE=4.858 | MAPE=3.33%
03:15:39 |  Iter-94 | MAE=16.818 | MAPE=10.51%
03:19:15 |  Iter-95 | MAE=1.301 | MAPE=0.78%
03:22:50 |  Iter-96 | MAE=0.629 | MAPE=0.38%
03:26:19 |  Iter-97 | MAE=4.320 | MAPE=2.58%
03:29:42 |  Iter-98 | MAE=6.347 | MAPE=3.95%
03:33:04 |  Iter-99 | MAE=1.082 | MAPE=0.66%
03:36:39 |  Iter-100 | MAE=8.567 | MAPE=4.99%
03:36:39 | 
 OVERALL: MAE=6.361, MAPE=3.75%, R2=0.9576 (21247.7s)
03:36:39 | Saved model checkpoint: /data/quyhv/oil_forecast_tail_risk/results_v4/walkforward/CARD/DAU_H1_seed123/model_checkpoint.pth
03:36:39 | Saved processor/scaler: /data/quyhv/oil_forecast_tail_risk/results_v4/walkforward/CARD/DAU_H1_seed123/processor.pkl
