13:50:43 | ================================================================================
13:50:43 |  CARD | XANG | H1 | walkforward | seed=2025
13:50:43 | ================================================================================
13:50:44 | Data: 4513 rows | Features: 15
13:53:08 |  Iter-01 | MAE=0.170 | MAPE=0.21%
13:55:29 |  Iter-02 | MAE=0.225 | MAPE=0.29%
13:57:46 |  Iter-03 | MAE=0.324 | MAPE=0.41%
13:59:40 |  Iter-04 | MAE=2.558 | MAPE=3.40%
14:01:34 |  Iter-05 | MAE=0.425 | MAPE=0.57%
14:03:50 |  Iter-06 | MAE=0.992 | MAPE=1.33%
14:06:14 |  Iter-07 | MAE=1.745 | MAPE=2.38%
14:08:20 |  Iter-08 | MAE=0.443 | MAPE=0.60%
14:09:57 |  Iter-09 | MAE=0.793 | MAPE=1.07%
14:11:40 |  Iter-10 | MAE=0.431 | MAPE=0.58%
14:13:46 |  Iter-11 | MAE=0.372 | MAPE=0.50%
14:15:39 |  Iter-12 | MAE=0.759 | MAPE=1.04%
14:17:34 |  Iter-13 | MAE=0.730 | MAPE=1.01%
14:19:25 |  Iter-14 | MAE=0.088 | MAPE=0.12%
14:21:11 |  Iter-15 | MAE=0.148 | MAPE=0.20%
14:23:09 |  Iter-16 | MAE=0.062 | MAPE=0.09%
14:25:32 |  Iter-17 | MAE=0.543 | MAPE=0.75%
14:27:24 |  Iter-18 | MAE=1.096 | MAPE=1.55%
14:29:02 |  Iter-19 | MAE=0.151 | MAPE=0.21%
14:30:52 |  Iter-20 | MAE=1.808 | MAPE=2.58%
14:32:54 |  Iter-21 | MAE=0.740 | MAPE=1.05%
14:34:49 |  Iter-22 | MAE=1.122 | MAPE=1.55%
14:36:45 |  Iter-23 | MAE=1.232 | MAPE=1.70%
14:38:30 |  Iter-24 | MAE=0.098 | MAPE=0.13%
14:40:14 |  Iter-25 | MAE=1.456 | MAPE=2.01%
14:42:09 |  Iter-26 | MAE=1.215 | MAPE=1.69%
14:44:01 |  Iter-27 | MAE=0.637 | MAPE=0.89%
14:46:01 |  Iter-28 | MAE=0.194 | MAPE=0.27%
14:47:51 |  Iter-29 | MAE=0.327 | MAPE=0.46%
14:49:32 |  Iter-30 | MAE=0.375 | MAPE=0.52%
14:51:25 |  Iter-31 | MAE=0.534 | MAPE=0.73%
14:53:48 |  Iter-32 | MAE=0.665 | MAPE=0.92%
14:55:49 |  Iter-33 | MAE=0.646 | MAPE=0.88%
14:57:52 |  Iter-34 | MAE=1.139 | MAPE=1.60%
14:59:39 |  Iter-35 | MAE=0.903 | MAPE=1.23%
15:01:32 |  Iter-36 | MAE=0.701 | MAPE=0.94%
15:03:29 |  Iter-37 | MAE=1.475 | MAPE=1.98%
15:05:36 |  Iter-38 | MAE=3.127 | MAPE=4.36%
15:07:39 |  Iter-39 | MAE=2.618 | MAPE=3.64%
15:09:25 |  Iter-40 | MAE=1.316 | MAPE=1.78%
15:11:14 |  Iter-41 | MAE=0.452 | MAPE=0.61%
15:13:07 |  Iter-42 | MAE=0.077 | MAPE=0.10%
15:15:04 |  Iter-43 | MAE=1.053 | MAPE=1.39%
15:16:57 |  Iter-44 | MAE=1.650 | MAPE=2.13%
