13:49:13 | ================================================================================
13:49:13 |  Chronos | DAU | H1 | walkforward | seed=123
13:49:13 | ================================================================================
13:49:13 | Data: 4513 rows | Features: 16
13:51:19 |  Iter-01 | MAE=1.442 | MAPE=1.75%
13:57:28 |  Iter-02 | MAE=0.515 | MAPE=0.62%
14:02:24 |  Iter-03 | MAE=1.069 | MAPE=1.31%
14:04:27 |  Iter-04 | MAE=1.340 | MAPE=1.68%
14:06:30 |  Iter-05 | MAE=0.238 | MAPE=0.30%
14:08:33 |  Iter-06 | MAE=0.726 | MAPE=0.91%
14:10:33 |  Iter-07 | MAE=1.115 | MAPE=1.41%
14:12:55 |  Iter-08 | MAE=0.396 | MAPE=0.50%
14:15:04 |  Iter-09 | MAE=0.481 | MAPE=0.60%
14:19:57 |  Iter-10 | MAE=0.270 | MAPE=0.33%
14:22:00 |  Iter-11 | MAE=0.417 | MAPE=0.51%
14:25:13 |  Iter-12 | MAE=0.594 | MAPE=0.74%
14:27:22 |  Iter-13 | MAE=0.912 | MAPE=1.15%
14:33:18 |  Iter-14 | MAE=0.292 | MAPE=0.37%
14:40:26 |  Iter-15 | MAE=0.625 | MAPE=0.78%
14:42:23 |  Iter-16 | MAE=0.449 | MAPE=0.56%
14:46:51 |  Iter-17 | MAE=0.256 | MAPE=0.32%
14:49:04 |  Iter-18 | MAE=1.262 | MAPE=1.62%
14:51:00 |  Iter-19 | MAE=0.161 | MAPE=0.20%
14:53:13 |  Iter-20 | MAE=1.670 | MAPE=2.16%
14:55:32 |  Iter-21 | MAE=0.353 | MAPE=0.46%
15:04:05 |  Iter-22 | MAE=1.398 | MAPE=1.76%
15:06:08 |  Iter-23 | MAE=1.186 | MAPE=1.48%
15:08:05 |  Iter-24 | MAE=1.022 | MAPE=1.26%
15:10:05 |  Iter-25 | MAE=0.651 | MAPE=0.79%
15:12:30 |  Iter-26 | MAE=1.468 | MAPE=1.80%
15:14:46 |  Iter-27 | MAE=1.425 | MAPE=1.74%
15:17:36 |  Iter-28 | MAE=0.017 | MAPE=0.02%
15:19:42 |  Iter-29 | MAE=0.543 | MAPE=0.66%
15:21:45 |  Iter-30 | MAE=0.502 | MAPE=0.60%
15:25:04 |  Iter-31 | MAE=2.458 | MAPE=2.88%
15:27:26 |  Iter-32 | MAE=0.623 | MAPE=0.74%
15:29:41 |  Iter-33 | MAE=0.501 | MAPE=0.58%
15:31:44 |  Iter-34 | MAE=1.053 | MAPE=1.25%
15:33:51 |  Iter-35 | MAE=0.570 | MAPE=0.66%
15:35:54 |  Iter-36 | MAE=1.547 | MAPE=1.75%
15:38:12 |  Iter-37 | MAE=0.454 | MAPE=0.51%
15:40:15 |  Iter-38 | MAE=2.514 | MAPE=2.89%
15:42:34 |  Iter-39 | MAE=1.826 | MAPE=2.12%
15:44:53 |  Iter-40 | MAE=0.884 | MAPE=1.01%
15:46:47 |  Iter-41 | MAE=0.396 | MAPE=0.45%
15:48:53 |  Iter-42 | MAE=1.579 | MAPE=1.78%
15:50:49 |  Iter-43 | MAE=1.887 | MAPE=2.16%
15:52:51 |  Iter-44 | MAE=0.524 | MAPE=0.59%
15:56:58 |  Iter-45 | MAE=0.484 | MAPE=0.54%
15:59:06 |  Iter-46 | MAE=0.429 | MAPE=0.48%
16:01:17 |  Iter-47 | MAE=0.758 | MAPE=0.87%
16:03:32 |  Iter-48 | MAE=0.428 | MAPE=0.50%
16:05:46 |  Iter-49 | MAE=0.869 | MAPE=1.01%
16:07:54 |  Iter-50 | MAE=1.024 | MAPE=1.18%
16:10:09 |  Iter-51 | MAE=3.348 | MAPE=3.67%
16:15:32 |  Iter-52 | MAE=0.592 | MAPE=0.64%
16:17:36 |  Iter-53 | MAE=0.931 | MAPE=1.02%
16:19:44 |  Iter-54 | MAE=0.495 | MAPE=0.54%
16:25:46 |  Iter-55 | MAE=0.366 | MAPE=0.40%
16:34:40 |  Iter-56 | MAE=1.130 | MAPE=1.22%
16:37:01 |  Iter-57 | MAE=0.070 | MAPE=0.08%
16:46:30 |  Iter-58 | MAE=22.261 | MAPE=19.38%
16:53:16 |  Iter-59 | MAE=9.651 | MAPE=7.69%
16:55:21 |  Iter-60 | MAE=13.352 | MAPE=9.32%
16:57:32 |  Iter-61 | MAE=14.835 | MAPE=9.72%
16:59:37 |  Iter-62 | MAE=1.021 | MAPE=0.66%
17:02:04 |  Iter-63 | MAE=20.254 | MAPE=10.95%
17:04:09 |  Iter-64 | MAE=29.354 | MAPE=18.24%
17:06:08 |  Iter-65 | MAE=3.786 | MAPE=2.31%
17:08:09 |  Iter-66 | MAE=28.304 | MAPE=14.59%
17:10:27 |  Iter-67 | MAE=2.377 | MAPE=1.24%
