18:42:05 | ================================================================================
18:42:05 |  Chronos | XANG | H1 | walkforward | seed=777
18:42:05 | ================================================================================
18:42:05 | Data: 4513 rows | Features: 15
18:47:25 |  Iter-01 | MAE=0.131 | MAPE=0.17%
18:55:00 |  Iter-02 | MAE=0.198 | MAPE=0.25%
19:00:21 |  Iter-03 | MAE=0.413 | MAPE=0.53%
19:07:31 |  Iter-04 | MAE=2.514 | MAPE=3.34%
19:11:44 |  Iter-05 | MAE=0.397 | MAPE=0.53%
19:17:14 |  Iter-06 | MAE=0.558 | MAPE=0.75%
19:20:09 |  Iter-07 | MAE=1.199 | MAPE=1.63%
19:27:12 |  Iter-08 | MAE=0.462 | MAPE=0.63%
19:30:47 |  Iter-09 | MAE=0.897 | MAPE=1.22%
19:33:21 |  Iter-10 | MAE=0.776 | MAPE=1.05%
19:38:19 |  Iter-11 | MAE=0.474 | MAPE=0.64%
19:40:52 |  Iter-12 | MAE=0.337 | MAPE=0.46%
19:47:35 |  Iter-13 | MAE=0.460 | MAPE=0.64%
19:52:17 |  Iter-14 | MAE=0.458 | MAPE=0.63%
19:59:44 |  Iter-15 | MAE=0.128 | MAPE=0.18%
20:06:52 |  Iter-16 | MAE=0.366 | MAPE=0.50%
20:13:36 |  Iter-17 | MAE=0.518 | MAPE=0.72%
20:18:25 |  Iter-18 | MAE=0.933 | MAPE=1.32%
20:24:12 |  Iter-19 | MAE=0.116 | MAPE=0.16%
20:32:56 |  Iter-20 | MAE=1.020 | MAPE=1.45%
20:40:08 |  Iter-21 | MAE=0.815 | MAPE=1.15%
20:46:35 |  Iter-22 | MAE=1.127 | MAPE=1.56%
20:51:39 |  Iter-23 | MAE=1.593 | MAPE=2.20%
21:03:14 |  Iter-24 | MAE=0.081 | MAPE=0.11%
21:06:06 |  Iter-25 | MAE=1.653 | MAPE=2.28%
21:12:27 |  Iter-26 | MAE=1.662 | MAPE=2.31%
21:19:42 |  Iter-27 | MAE=0.460 | MAPE=0.65%
21:24:03 |  Iter-28 | MAE=0.256 | MAPE=0.36%
21:29:47 |  Iter-29 | MAE=0.687 | MAPE=0.96%
21:35:50 |  Iter-30 | MAE=0.293 | MAPE=0.40%
21:38:16 |  Iter-31 | MAE=0.536 | MAPE=0.74%
21:42:23 |  Iter-32 | MAE=0.667 | MAPE=0.91%
21:50:26 |  Iter-33 | MAE=1.066 | MAPE=1.46%
21:52:30 |  Iter-34 | MAE=1.118 | MAPE=1.57%
22:01:13 |  Iter-35 | MAE=0.483 | MAPE=0.66%
22:06:18 |  Iter-36 | MAE=0.828 | MAPE=1.11%
22:17:21 |  Iter-37 | MAE=1.268 | MAPE=1.70%
22:22:03 |  Iter-38 | MAE=3.060 | MAPE=4.26%
22:27:21 |  Iter-39 | MAE=2.160 | MAPE=3.00%
22:33:33 |  Iter-40 | MAE=1.764 | MAPE=2.39%
22:38:38 |  Iter-41 | MAE=0.086 | MAPE=0.12%
22:41:13 |  Iter-42 | MAE=0.631 | MAPE=0.85%
22:44:26 |  Iter-43 | MAE=1.083 | MAPE=1.43%
22:46:59 |  Iter-44 | MAE=1.266 | MAPE=1.63%
22:51:43 |  Iter-45 | MAE=0.878 | MAPE=1.15%
22:57:08 |  Iter-46 | MAE=0.581 | MAPE=0.77%
23:00:52 |  Iter-47 | MAE=2.505 | MAPE=3.44%
23:03:07 |  Iter-48 | MAE=0.453 | MAPE=0.62%
23:10:01 |  Iter-49 | MAE=0.647 | MAPE=0.89%
23:12:31 |  Iter-50 | MAE=1.241 | MAPE=1.70%
23:15:08 |  Iter-51 | MAE=3.266 | MAPE=4.24%
