19:53:55 | ================================================================================
19:53:55 |  CoST | DAU | H1 | walkforward | seed=777
19:53:55 | ================================================================================
19:53:55 | Data: 4513 rows | Features: 16
19:57:51 |  Iter-01 | MAE=1.148 | MAPE=1.39%
20:01:58 |  Iter-02 | MAE=0.678 | MAPE=0.82%
20:04:58 |  Iter-03 | MAE=1.007 | MAPE=1.24%
20:08:51 |  Iter-04 | MAE=1.170 | MAPE=1.46%
20:11:40 |  Iter-05 | MAE=0.044 | MAPE=0.06%
20:16:02 |  Iter-06 | MAE=0.670 | MAPE=0.84%
20:20:04 |  Iter-07 | MAE=1.259 | MAPE=1.60%
20:24:46 |  Iter-08 | MAE=0.331 | MAPE=0.42%
20:27:30 |  Iter-09 | MAE=0.428 | MAPE=0.54%
20:31:18 |  Iter-10 | MAE=0.586 | MAPE=0.72%
20:35:21 |  Iter-11 | MAE=0.301 | MAPE=0.37%
20:38:30 |  Iter-12 | MAE=0.488 | MAPE=0.61%
20:41:10 |  Iter-13 | MAE=1.012 | MAPE=1.28%
20:44:14 |  Iter-14 | MAE=0.003 | MAPE=0.00%
20:46:55 |  Iter-15 | MAE=0.814 | MAPE=1.01%
20:49:34 |  Iter-16 | MAE=0.297 | MAPE=0.37%
20:54:08 |  Iter-17 | MAE=0.627 | MAPE=0.79%
20:57:13 |  Iter-18 | MAE=0.920 | MAPE=1.18%
21:00:23 |  Iter-19 | MAE=0.028 | MAPE=0.04%
21:03:08 |  Iter-20 | MAE=2.052 | MAPE=2.65%
21:05:53 |  Iter-21 | MAE=0.361 | MAPE=0.47%
21:08:38 |  Iter-22 | MAE=1.345 | MAPE=1.69%
21:11:28 |  Iter-23 | MAE=1.004 | MAPE=1.26%
21:15:13 |  Iter-24 | MAE=0.488 | MAPE=0.60%
21:18:32 |  Iter-25 | MAE=0.522 | MAPE=0.63%
21:22:17 |  Iter-26 | MAE=2.019 | MAPE=2.47%
21:25:02 |  Iter-27 | MAE=0.937 | MAPE=1.15%
21:27:57 |  Iter-28 | MAE=0.236 | MAPE=0.29%
21:31:22 |  Iter-29 | MAE=0.550 | MAPE=0.67%
21:34:01 |  Iter-30 | MAE=0.985 | MAPE=1.17%
21:36:52 |  Iter-31 | MAE=1.862 | MAPE=2.18%
21:39:58 |  Iter-32 | MAE=0.774 | MAPE=0.92%
21:43:59 |  Iter-33 | MAE=0.941 | MAPE=1.10%
21:46:40 |  Iter-34 | MAE=1.651 | MAPE=1.96%
21:49:21 |  Iter-35 | MAE=0.748 | MAPE=0.86%
21:52:21 |  Iter-36 | MAE=1.291 | MAPE=1.46%
21:55:02 |  Iter-37 | MAE=0.861 | MAPE=0.97%
21:57:58 |  Iter-38 | MAE=2.517 | MAPE=2.89%
22:00:48 |  Iter-39 | MAE=1.706 | MAPE=1.98%
22:04:49 |  Iter-40 | MAE=2.165 | MAPE=2.47%
22:08:15 |  Iter-41 | MAE=0.345 | MAPE=0.39%
22:11:56 |  Iter-42 | MAE=1.806 | MAPE=2.03%
22:14:37 |  Iter-43 | MAE=1.354 | MAPE=1.55%
22:17:35 |  Iter-44 | MAE=0.676 | MAPE=0.77%
22:20:23 |  Iter-45 | MAE=1.559 | MAPE=1.75%
22:23:11 |  Iter-46 | MAE=0.702 | MAPE=0.79%
22:26:00 |  Iter-47 | MAE=1.001 | MAPE=1.15%
22:29:28 |  Iter-48 | MAE=0.261 | MAPE=0.30%
22:32:11 |  Iter-49 | MAE=0.456 | MAPE=0.53%
22:35:30 |  Iter-50 | MAE=0.625 | MAPE=0.72%
22:39:14 |  Iter-51 | MAE=3.263 | MAPE=3.57%
22:41:57 |  Iter-52 | MAE=0.734 | MAPE=0.79%
22:44:50 |  Iter-53 | MAE=0.855 | MAPE=0.93%
22:47:39 |  Iter-54 | MAE=0.470 | MAPE=0.51%
22:50:54 |  Iter-55 | MAE=0.257 | MAPE=0.28%
22:53:38 |  Iter-56 | MAE=0.911 | MAPE=0.99%
22:56:28 |  Iter-57 | MAE=0.100 | MAPE=0.11%
23:00:44 |  Iter-58 | MAE=22.153 | MAPE=19.29%
23:04:09 |  Iter-59 | MAE=13.881 | MAPE=11.06%
23:08:20 |  Iter-60 | MAE=7.954 | MAPE=5.55%
23:14:03 |  Iter-61 | MAE=21.921 | MAPE=14.36%
23:16:42 |  Iter-62 | MAE=1.126 | MAPE=0.73%
23:20:18 |  Iter-63 | MAE=23.945 | MAPE=12.95%
23:23:02 |  Iter-64 | MAE=19.838 | MAPE=12.33%
23:26:16 |  Iter-65 | MAE=4.573 | MAPE=2.79%
23:30:48 |  Iter-66 | MAE=25.899 | MAPE=13.35%
23:33:32 |  Iter-67 | MAE=0.161 | MAPE=0.08%
23:36:16 |  Iter-68 | MAE=8.276 | MAPE=4.35%
23:38:59 |  Iter-69 | MAE=9.672 | MAPE=4.89%
23:41:38 |  Iter-70 | MAE=1.430 | MAPE=0.72%
23:44:22 |  Iter-71 | MAE=20.036 | MAPE=8.94%
23:48:07 |  Iter-72 | MAE=1.067 | MAPE=0.48%
23:52:49 |  Iter-73 | MAE=16.731 | MAPE=6.90%
23:55:38 |  Iter-74 | MAE=10.767 | MAPE=4.91%
23:58:22 |  Iter-75 | MAE=21.290 | MAPE=10.38%
00:02:27 |  Iter-76 | MAE=1.897 | MAPE=0.88%
00:05:16 |  Iter-77 | MAE=14.834 | MAPE=6.25%
00:08:06 |  Iter-78 | MAE=7.865 | MAPE=3.13%
00:10:54 |  Iter-79 | MAE=16.576 | MAPE=6.95%
00:13:44 |  Iter-80 | MAE=6.399 | MAPE=2.61%
00:17:14 |  Iter-81 | MAE=47.981 | MAPE=16.41%
00:20:03 |  Iter-82 | MAE=20.526 | MAPE=7.67%
00:22:46 |  Iter-83 | MAE=27.783 | MAPE=11.44%
00:25:31 |  Iter-84 | MAE=54.462 | MAPE=28.52%
00:29:57 |  Iter-85 | MAE=7.428 | MAPE=3.52%
00:32:46 |  Iter-86 | MAE=2.348 | MAPE=1.27%
00:35:30 |  Iter-87 | MAE=4.540 | MAPE=2.37%
00:41:18 |  Iter-88 | MAE=19.625 | MAPE=10.85%
00:44:04 |  Iter-89 | MAE=16.399 | MAPE=9.89%
00:47:21 |  Iter-90 | MAE=3.753 | MAPE=2.32%
00:50:21 |  Iter-91 | MAE=3.259 | MAPE=2.01%
00:54:12 |  Iter-92 | MAE=11.261 | MAPE=7.60%
01:01:09 |  Iter-93 | MAE=17.111 | MAPE=11.71%
01:05:16 |  Iter-94 | MAE=11.391 | MAPE=7.11%
01:08:00 |  Iter-95 | MAE=2.282 | MAPE=1.36%
01:10:45 |  Iter-96 | MAE=1.570 | MAPE=0.94%
01:13:35 |  Iter-97 | MAE=0.546 | MAPE=0.32%
01:16:30 |  Iter-98 | MAE=8.153 | MAPE=5.09%
01:20:06 |  Iter-99 | MAE=0.994 | MAPE=0.59%
01:22:51 |  Iter-100 | MAE=6.688 | MAPE=3.89%
01:22:51 | 
 OVERALL: MAE=5.986, MAPE=3.50%, R2=0.9620 (19736.4s)
01:22:51 | Saved model checkpoint: /data/quyhv/oil_forecast_tail_risk/results_v4/walkforward/CoST/DAU_H1_seed777/model_checkpoint.pth
