15:56:35 | ================================================================================
15:56:35 |  CoST | XANG | H1 | walkforward | seed=123
15:56:35 | ================================================================================
15:56:35 | Data: 4513 rows | Features: 15
15:58:39 |  Iter-01 | MAE=0.198 | MAPE=0.25%
16:00:22 |  Iter-02 | MAE=0.299 | MAPE=0.38%
16:02:00 |  Iter-03 | MAE=0.236 | MAPE=0.30%
16:04:13 |  Iter-04 | MAE=2.615 | MAPE=3.48%
16:05:52 |  Iter-05 | MAE=0.422 | MAPE=0.57%
16:07:58 |  Iter-06 | MAE=0.726 | MAPE=0.98%
16:09:58 |  Iter-07 | MAE=0.969 | MAPE=1.32%
16:12:12 |  Iter-08 | MAE=0.498 | MAPE=0.67%
16:14:05 |  Iter-09 | MAE=0.979 | MAPE=1.33%
16:15:48 |  Iter-10 | MAE=0.798 | MAPE=1.08%
16:17:33 |  Iter-11 | MAE=0.262 | MAPE=0.35%
16:19:22 |  Iter-12 | MAE=0.638 | MAPE=0.87%
16:21:02 |  Iter-13 | MAE=0.572 | MAPE=0.79%
16:22:30 |  Iter-14 | MAE=0.035 | MAPE=0.05%
16:24:49 |  Iter-15 | MAE=0.449 | MAPE=0.62%
16:27:10 |  Iter-16 | MAE=0.646 | MAPE=0.89%
16:29:07 |  Iter-17 | MAE=0.616 | MAPE=0.85%
16:31:15 |  Iter-18 | MAE=1.446 | MAPE=2.04%
16:32:54 |  Iter-19 | MAE=0.103 | MAPE=0.15%
16:34:32 |  Iter-20 | MAE=1.100 | MAPE=1.57%
16:36:12 |  Iter-21 | MAE=0.907 | MAPE=1.28%
16:38:22 |  Iter-22 | MAE=0.183 | MAPE=0.25%
16:40:23 |  Iter-23 | MAE=0.910 | MAPE=1.26%
16:42:18 |  Iter-24 | MAE=0.512 | MAPE=0.70%
16:44:15 |  Iter-25 | MAE=1.839 | MAPE=2.54%
16:46:29 |  Iter-26 | MAE=1.791 | MAPE=2.49%
16:48:16 |  Iter-27 | MAE=0.642 | MAPE=0.90%
16:50:15 |  Iter-28 | MAE=0.340 | MAPE=0.48%
16:51:47 |  Iter-29 | MAE=0.631 | MAPE=0.88%
16:53:29 |  Iter-30 | MAE=0.263 | MAPE=0.36%
16:55:33 |  Iter-31 | MAE=0.972 | MAPE=1.33%
16:57:42 |  Iter-32 | MAE=0.690 | MAPE=0.96%
16:59:35 |  Iter-33 | MAE=0.935 | MAPE=1.28%
17:01:49 |  Iter-34 | MAE=1.236 | MAPE=1.73%
17:03:35 |  Iter-35 | MAE=0.336 | MAPE=0.46%
17:05:27 |  Iter-36 | MAE=0.194 | MAPE=0.26%
17:06:49 |  Iter-37 | MAE=1.062 | MAPE=1.43%
17:08:50 |  Iter-38 | MAE=3.166 | MAPE=4.41%
17:10:29 |  Iter-39 | MAE=2.711 | MAPE=3.77%
17:12:37 |  Iter-40 | MAE=1.252 | MAPE=1.70%
17:14:35 |  Iter-41 | MAE=0.818 | MAPE=1.10%
17:16:05 |  Iter-42 | MAE=0.934 | MAPE=1.26%
17:17:52 |  Iter-43 | MAE=0.739 | MAPE=0.98%
17:19:33 |  Iter-44 | MAE=1.353 | MAPE=1.75%
17:21:36 |  Iter-45 | MAE=0.346 | MAPE=0.45%
17:23:43 |  Iter-46 | MAE=0.768 | MAPE=1.01%
17:25:40 |  Iter-47 | MAE=2.345 | MAPE=3.23%
17:27:35 |  Iter-48 | MAE=0.600 | MAPE=0.82%
17:29:14 |  Iter-49 | MAE=0.780 | MAPE=1.07%
17:31:04 |  Iter-50 | MAE=0.665 | MAPE=0.92%
17:33:01 |  Iter-51 | MAE=2.966 | MAPE=3.85%
17:34:51 |  Iter-52 | MAE=1.203 | MAPE=1.52%
17:36:56 |  Iter-53 | MAE=0.434 | MAPE=0.55%
17:39:07 |  Iter-54 | MAE=2.088 | MAPE=2.61%
17:40:51 |  Iter-55 | MAE=1.023 | MAPE=1.27%
17:42:41 |  Iter-56 | MAE=0.963 | MAPE=1.20%
17:44:25 |  Iter-57 | MAE=0.083 | MAPE=0.10%
17:45:56 |  Iter-58 | MAE=10.742 | MAPE=11.74%
17:48:10 |  Iter-59 | MAE=7.880 | MAPE=8.12%
17:49:46 |  Iter-60 | MAE=3.998 | MAPE=3.91%
17:52:14 |  Iter-61 | MAE=16.971 | MAPE=15.63%
17:53:46 |  Iter-62 | MAE=4.568 | MAPE=3.82%
17:55:13 |  Iter-63 | MAE=17.926 | MAPE=12.51%
17:56:41 |  Iter-64 | MAE=17.130 | MAPE=13.92%
17:58:02 |  Iter-65 | MAE=2.409 | MAPE=1.96%
17:59:29 |  Iter-66 | MAE=9.619 | MAPE=7.04%
18:01:01 |  Iter-67 | MAE=1.086 | MAPE=0.78%
18:04:00 |  Iter-68 | MAE=1.830 | MAPE=1.27%
18:06:22 |  Iter-69 | MAE=12.080 | MAPE=8.34%
18:07:51 |  Iter-70 | MAE=5.142 | MAPE=3.52%
18:09:13 |  Iter-71 | MAE=6.148 | MAPE=3.89%
18:10:44 |  Iter-72 | MAE=3.047 | MAPE=1.95%
18:12:27 |  Iter-73 | MAE=1.651 | MAPE=1.01%
18:14:04 |  Iter-74 | MAE=9.075 | MAPE=6.25%
18:15:43 |  Iter-75 | MAE=18.407 | MAPE=13.81%
18:17:25 |  Iter-76 | MAE=7.428 | MAPE=5.73%
18:19:00 |  Iter-77 | MAE=1.037 | MAPE=0.78%
18:20:36 |  Iter-78 | MAE=8.808 | MAPE=6.12%
18:22:11 |  Iter-79 | MAE=2.276 | MAPE=1.60%
18:23:32 |  Iter-80 | MAE=3.250 | MAPE=2.33%
18:25:30 |  Iter-81 | MAE=8.862 | MAPE=5.99%
18:27:03 |  Iter-82 | MAE=1.811 | MAPE=1.25%
18:28:39 |  Iter-83 | MAE=4.235 | MAPE=2.96%
18:31:22 |  Iter-84 | MAE=27.124 | MAPE=22.10%
18:34:06 |  Iter-85 | MAE=12.497 | MAPE=9.41%
18:35:39 |  Iter-86 | MAE=2.893 | MAPE=2.22%
18:37:08 |  Iter-87 | MAE=0.945 | MAPE=0.70%
18:38:29 |  Iter-88 | MAE=7.692 | MAPE=6.07%
18:39:53 |  Iter-89 | MAE=1.941 | MAPE=1.60%
18:41:16 |  Iter-90 | MAE=2.204 | MAPE=1.81%
18:42:44 |  Iter-91 | MAE=2.744 | MAPE=2.15%
18:44:17 |  Iter-92 | MAE=3.014 | MAPE=2.48%
18:45:47 |  Iter-93 | MAE=0.608 | MAPE=0.50%
18:47:21 |  Iter-94 | MAE=4.037 | MAPE=3.20%
18:48:57 |  Iter-95 | MAE=0.998 | MAPE=0.78%
18:50:32 |  Iter-96 | MAE=1.155 | MAPE=0.91%
18:51:55 |  Iter-97 | MAE=2.761 | MAPE=2.13%
18:53:17 |  Iter-98 | MAE=1.245 | MAPE=0.96%
18:54:52 |  Iter-99 | MAE=1.485 | MAPE=1.13%
18:56:26 |  Iter-100 | MAE=2.639 | MAPE=1.94%
18:56:26 | 
 OVERALL: MAE=3.157, MAPE=2.77%, R2=0.9649 (10791.9s)
