21:30:45 | ================================================================================
21:30:45 |  Crossformer | DAU | H1 | walkforward | seed=123
21:30:45 | ================================================================================
21:30:45 | Data: 4513 rows | Features: 16
21:37:02 |  Iter-01 | MAE=1.476 | MAPE=1.79%
21:51:08 |  Iter-02 | MAE=0.623 | MAPE=0.75%
22:00:31 |  Iter-03 | MAE=1.378 | MAPE=1.69%
22:08:45 |  Iter-04 | MAE=0.632 | MAPE=0.79%
22:17:50 |  Iter-05 | MAE=0.152 | MAPE=0.19%
22:26:54 |  Iter-06 | MAE=0.925 | MAPE=1.15%
22:33:22 |  Iter-07 | MAE=1.330 | MAPE=1.69%
22:38:22 |  Iter-08 | MAE=0.400 | MAPE=0.50%
22:46:06 |  Iter-09 | MAE=0.152 | MAPE=0.19%
22:54:51 |  Iter-10 | MAE=0.785 | MAPE=0.97%
23:03:17 |  Iter-11 | MAE=0.436 | MAPE=0.54%
23:07:34 |  Iter-12 | MAE=0.524 | MAPE=0.65%
23:13:47 |  Iter-13 | MAE=1.278 | MAPE=1.61%
23:20:25 |  Iter-14 | MAE=0.473 | MAPE=0.59%
23:28:46 |  Iter-15 | MAE=0.863 | MAPE=1.08%
23:35:18 |  Iter-16 | MAE=0.424 | MAPE=0.53%
23:47:30 |  Iter-17 | MAE=0.053 | MAPE=0.07%
23:57:02 |  Iter-18 | MAE=1.141 | MAPE=1.46%
00:04:25 |  Iter-19 | MAE=0.795 | MAPE=1.00%
00:12:40 |  Iter-20 | MAE=1.437 | MAPE=1.86%
00:20:22 |  Iter-21 | MAE=0.523 | MAPE=0.68%
00:28:31 |  Iter-22 | MAE=0.754 | MAPE=0.95%
00:34:24 |  Iter-23 | MAE=1.201 | MAPE=1.50%
00:42:46 |  Iter-24 | MAE=0.280 | MAPE=0.34%
00:52:24 |  Iter-25 | MAE=0.217 | MAPE=0.26%
00:57:40 |  Iter-26 | MAE=1.534 | MAPE=1.88%
01:05:04 |  Iter-27 | MAE=1.507 | MAPE=1.85%
01:15:01 |  Iter-28 | MAE=0.453 | MAPE=0.55%
01:24:34 |  Iter-29 | MAE=0.293 | MAPE=0.35%
01:31:00 |  Iter-30 | MAE=0.319 | MAPE=0.38%
01:40:06 |  Iter-31 | MAE=1.785 | MAPE=2.09%
01:46:32 |  Iter-32 | MAE=0.105 | MAPE=0.13%
01:52:52 |  Iter-33 | MAE=1.147 | MAPE=1.34%
02:00:16 |  Iter-34 | MAE=1.132 | MAPE=1.35%
