12:10:39 | ================================================================================
12:10:39 |  Crossformer | XANG | H1 | walkforward | seed=9999
12:10:39 | ================================================================================
12:10:39 | Data: 4513 rows | Features: 15
12:16:26 |  Iter-01 | MAE=0.599 | MAPE=0.76%
12:21:27 |  Iter-02 | MAE=0.202 | MAPE=0.26%
12:25:45 |  Iter-03 | MAE=0.646 | MAPE=0.83%
12:30:02 |  Iter-04 | MAE=2.614 | MAPE=3.48%
12:34:28 |  Iter-05 | MAE=0.407 | MAPE=0.55%
12:39:01 |  Iter-06 | MAE=0.430 | MAPE=0.58%
12:45:05 |  Iter-07 | MAE=0.974 | MAPE=1.33%
12:48:50 |  Iter-08 | MAE=0.459 | MAPE=0.62%
12:54:45 |  Iter-09 | MAE=0.787 | MAPE=1.06%
12:59:29 |  Iter-10 | MAE=0.412 | MAPE=0.56%
13:03:09 |  Iter-11 | MAE=0.100 | MAPE=0.14%
13:07:27 |  Iter-12 | MAE=0.594 | MAPE=0.81%
13:11:21 |  Iter-13 | MAE=0.668 | MAPE=0.92%
13:17:27 |  Iter-14 | MAE=0.528 | MAPE=0.73%
13:20:58 |  Iter-15 | MAE=0.306 | MAPE=0.42%
13:26:18 |  Iter-16 | MAE=0.680 | MAPE=0.93%
13:29:53 |  Iter-17 | MAE=0.708 | MAPE=0.98%
13:34:22 |  Iter-18 | MAE=1.461 | MAPE=2.07%
13:37:57 |  Iter-19 | MAE=0.113 | MAPE=0.16%
13:42:30 |  Iter-20 | MAE=1.175 | MAPE=1.68%
13:48:16 |  Iter-21 | MAE=0.842 | MAPE=1.19%
13:51:28 |  Iter-22 | MAE=1.056 | MAPE=1.46%
13:58:16 |  Iter-23 | MAE=1.291 | MAPE=1.78%
14:02:58 |  Iter-24 | MAE=0.124 | MAPE=0.17%
14:06:36 |  Iter-25 | MAE=0.870 | MAPE=1.20%
14:10:23 |  Iter-26 | MAE=1.606 | MAPE=2.23%
14:15:44 |  Iter-27 | MAE=0.775 | MAPE=1.09%
14:18:54 |  Iter-28 | MAE=0.545 | MAPE=0.77%
14:22:41 |  Iter-29 | MAE=0.868 | MAPE=1.21%
14:27:38 |  Iter-30 | MAE=0.314 | MAPE=0.43%
14:32:27 |  Iter-31 | MAE=0.852 | MAPE=1.17%
14:35:36 |  Iter-32 | MAE=0.620 | MAPE=0.87%
14:38:07 |  Iter-33 | MAE=0.875 | MAPE=1.20%
14:42:07 |  Iter-34 | MAE=0.845 | MAPE=1.18%
14:45:34 |  Iter-35 | MAE=0.736 | MAPE=1.00%
14:49:08 |  Iter-36 | MAE=0.440 | MAPE=0.59%
14:52:46 |  Iter-37 | MAE=0.061 | MAPE=0.08%
14:57:29 |  Iter-38 | MAE=3.367 | MAPE=4.69%
15:01:10 |  Iter-39 | MAE=1.671 | MAPE=2.32%
15:04:56 |  Iter-40 | MAE=1.062 | MAPE=1.44%
15:08:24 |  Iter-41 | MAE=0.887 | MAPE=1.20%
15:14:10 |  Iter-42 | MAE=0.279 | MAPE=0.38%
15:17:45 |  Iter-43 | MAE=1.163 | MAPE=1.54%
15:20:03 |  Iter-44 | MAE=1.419 | MAPE=1.83%
15:23:40 |  Iter-45 | MAE=0.845 | MAPE=1.11%
15:26:35 |  Iter-46 | MAE=1.167 | MAPE=1.54%
15:29:50 |  Iter-47 | MAE=2.600 | MAPE=3.58%
15:34:24 |  Iter-48 | MAE=0.127 | MAPE=0.17%
15:38:46 |  Iter-49 | MAE=0.615 | MAPE=0.85%
15:42:07 |  Iter-50 | MAE=0.769 | MAPE=1.06%
15:45:32 |  Iter-51 | MAE=3.191 | MAPE=4.14%
15:50:09 |  Iter-52 | MAE=1.265 | MAPE=1.60%
15:53:45 |  Iter-53 | MAE=0.091 | MAPE=0.12%
15:59:28 |  Iter-54 | MAE=2.152 | MAPE=2.68%
16:04:32 |  Iter-55 | MAE=0.869 | MAPE=1.08%
16:08:20 |  Iter-56 | MAE=0.601 | MAPE=0.75%
16:12:06 |  Iter-57 | MAE=0.113 | MAPE=0.14%
16:16:03 |  Iter-58 | MAE=10.548 | MAPE=11.52%
16:22:01 |  Iter-59 | MAE=3.248 | MAPE=3.34%
16:26:59 |  Iter-60 | MAE=3.512 | MAPE=3.43%
16:31:06 |  Iter-61 | MAE=4.029 | MAPE=3.70%
16:34:30 |  Iter-62 | MAE=5.350 | MAPE=4.51%
16:37:30 |  Iter-63 | MAE=25.164 | MAPE=17.55%
16:42:52 |  Iter-64 | MAE=12.754 | MAPE=10.36%
16:46:21 |  Iter-65 | MAE=12.525 | MAPE=10.11%
16:51:44 |  Iter-66 | MAE=13.455 | MAPE=9.82%
16:53:58 |  Iter-67 | MAE=11.391 | MAPE=8.18%
16:56:19 |  Iter-68 | MAE=7.523 | MAPE=5.13%
16:59:20 |  Iter-69 | MAE=41.569 | MAPE=28.46%
17:01:47 |  Iter-70 | MAE=4.481 | MAPE=3.11%
17:04:24 |  Iter-71 | MAE=11.043 | MAPE=6.97%
17:08:40 |  Iter-72 | MAE=5.161 | MAPE=3.29%
17:12:01 |  Iter-73 | MAE=3.042 | MAPE=1.85%
17:15:37 |  Iter-74 | MAE=4.397 | MAPE=3.02%
17:19:33 |  Iter-75 | MAE=19.877 | MAPE=14.91%
17:22:58 |  Iter-76 | MAE=9.595 | MAPE=7.42%
17:26:33 |  Iter-77 | MAE=1.610 | MAPE=1.21%
