15:08:06 | ================================================================================
15:08:06 |  DLinear | DAU | H1 | walkforward | seed=777
15:08:06 | ================================================================================
15:08:06 | Data: 4513 rows | Features: 16
15:08:06 | ================================================================================
15:08:06 |  DLinear | DAU | H1 | walkforward | seed=123
15:08:06 | ================================================================================
15:08:07 | Data: 4513 rows | Features: 16
15:16:22 |  Iter-01 | MAE=1.349 | MAPE=1.64%
15:23:42 |  Iter-01 | MAE=1.368 | MAPE=1.66%
15:32:45 |  Iter-02 | MAE=0.390 | MAPE=0.47%
15:38:49 |  Iter-02 | MAE=0.335 | MAPE=0.40%
15:39:14 |  Iter-03 | MAE=1.118 | MAPE=1.37%
15:45:19 |  Iter-04 | MAE=1.403 | MAPE=1.75%
15:52:02 |  Iter-05 | MAE=0.060 | MAPE=0.08%
15:59:44 |  Iter-06 | MAE=0.481 | MAPE=0.60%
16:00:16 |  Iter-03 | MAE=1.102 | MAPE=1.35%
16:12:05 |  Iter-07 | MAE=1.243 | MAPE=1.58%
16:12:08 |  Iter-04 | MAE=1.401 | MAPE=1.75%
16:23:54 |  Iter-08 | MAE=0.278 | MAPE=0.35%
16:29:45 |  Iter-05 | MAE=0.082 | MAPE=0.10%
16:45:34 |  Iter-09 | MAE=0.458 | MAPE=0.57%
16:51:11 |  Iter-06 | MAE=0.550 | MAPE=0.69%
17:01:23 |  Iter-10 | MAE=0.343 | MAPE=0.42%
17:07:15 |  Iter-11 | MAE=0.375 | MAPE=0.46%
17:12:05 |  Iter-07 | MAE=1.249 | MAPE=1.58%
17:17:39 |  Iter-12 | MAE=0.765 | MAPE=0.95%
17:23:23 |  Iter-13 | MAE=1.043 | MAPE=1.31%
17:24:22 |  Iter-08 | MAE=0.297 | MAPE=0.37%
17:29:53 |  Iter-14 | MAE=0.027 | MAPE=0.03%
17:31:00 |  Iter-09 | MAE=0.379 | MAPE=0.47%
17:35:44 |  Iter-15 | MAE=0.734 | MAPE=0.91%
17:37:50 |  Iter-10 | MAE=0.332 | MAPE=0.41%
17:44:23 |  Iter-16 | MAE=0.437 | MAPE=0.54%
17:44:47 |  Iter-11 | MAE=0.500 | MAPE=0.62%
17:49:54 |  Iter-17 | MAE=0.548 | MAPE=0.69%
17:54:27 |  Iter-12 | MAE=0.742 | MAPE=0.92%
17:56:04 |  Iter-18 | MAE=1.377 | MAPE=1.77%
18:01:54 |  Iter-19 | MAE=0.071 | MAPE=0.09%
18:02:02 |  Iter-13 | MAE=0.986 | MAPE=1.24%
18:07:44 |  Iter-20 | MAE=1.717 | MAPE=2.22%
18:12:13 |  Iter-14 | MAE=0.094 | MAPE=0.12%
18:23:24 |  Iter-21 | MAE=0.377 | MAPE=0.49%
18:28:08 |  Iter-15 | MAE=0.721 | MAPE=0.90%
18:30:06 |  Iter-22 | MAE=1.490 | MAPE=1.87%
18:42:58 |  Iter-23 | MAE=0.972 | MAPE=1.22%
18:49:48 |  Iter-16 | MAE=0.538 | MAPE=0.67%
18:53:21 |  Iter-24 | MAE=0.754 | MAPE=0.93%
18:57:11 |  Iter-17 | MAE=0.556 | MAPE=0.70%
19:09:53 |  Iter-25 | MAE=0.281 | MAPE=0.34%
19:18:52 |  Iter-18 | MAE=1.328 | MAPE=1.70%
19:21:33 |  Iter-26 | MAE=1.564 | MAPE=1.91%
19:26:40 |  Iter-19 | MAE=0.082 | MAPE=0.10%
19:30:32 |  Iter-27 | MAE=0.959 | MAPE=1.17%
19:35:20 |  Iter-20 | MAE=1.851 | MAPE=2.40%
19:37:27 |  Iter-28 | MAE=0.037 | MAPE=0.04%
19:55:36 |  Iter-29 | MAE=0.453 | MAPE=0.55%
19:55:56 |  Iter-21 | MAE=0.425 | MAPE=0.55%
20:02:14 |  Iter-22 | MAE=1.471 | MAPE=1.85%
20:08:09 |  Iter-30 | MAE=0.541 | MAPE=0.64%
20:08:31 |  Iter-23 | MAE=0.973 | MAPE=1.22%
20:13:53 |  Iter-31 | MAE=1.869 | MAPE=2.19%
20:15:02 |  Iter-24 | MAE=0.901 | MAPE=1.11%
20:21:59 |  Iter-32 | MAE=0.532 | MAPE=0.63%
20:25:53 |  Iter-25 | MAE=0.375 | MAPE=0.45%
20:28:28 |  Iter-33 | MAE=0.444 | MAPE=0.52%
20:34:18 |  Iter-34 | MAE=1.439 | MAPE=1.71%
20:39:44 |  Iter-26 | MAE=1.569 | MAPE=1.92%
20:49:56 |  Iter-27 | MAE=0.881 | MAPE=1.08%
20:55:00 |  Iter-35 | MAE=0.588 | MAPE=0.68%
21:00:18 |  Iter-36 | MAE=1.547 | MAPE=1.75%
21:11:39 |  Iter-28 | MAE=0.145 | MAPE=0.18%
21:19:05 |  Iter-29 | MAE=0.426 | MAPE=0.52%
21:22:00 |  Iter-37 | MAE=0.337 | MAPE=0.38%
21:28:41 |  Iter-38 | MAE=2.343 | MAPE=2.69%
21:32:06 |  Iter-30 | MAE=0.551 | MAPE=0.66%
21:34:38 |  Iter-39 | MAE=1.510 | MAPE=1.75%
21:39:09 |  Iter-31 | MAE=1.846 | MAPE=2.16%
21:43:37 |  Iter-40 | MAE=1.653 | MAPE=1.89%
21:45:52 |  Iter-32 | MAE=0.564 | MAPE=0.67%
21:57:06 |  Iter-41 | MAE=0.222 | MAPE=0.25%
22:01:48 |  Iter-33 | MAE=0.601 | MAPE=0.70%
22:15:56 |  Iter-42 | MAE=1.842 | MAPE=2.07%
22:16:59 |  Iter-34 | MAE=1.324 | MAPE=1.58%
22:37:36 |  Iter-43 | MAE=1.311 | MAPE=1.50%
22:38:19 |  Iter-35 | MAE=0.629 | MAPE=0.73%
22:45:03 |  Iter-36 | MAE=1.580 | MAPE=1.78%
22:47:55 |  Iter-44 | MAE=0.263 | MAPE=0.30%
22:58:50 |  Iter-37 | MAE=0.407 | MAPE=0.46%
23:04:35 |  Iter-38 | MAE=2.327 | MAPE=2.67%
23:09:52 |  Iter-45 | MAE=1.225 | MAPE=1.38%
23:21:03 |  Iter-39 | MAE=1.485 | MAPE=1.72%
23:31:53 |  Iter-46 | MAE=0.059 | MAPE=0.07%
23:42:46 |  Iter-40 | MAE=1.408 | MAPE=1.60%
