15:08:07 | ================================================================================
15:08:07 |  DLinear | DAU | H1 | walkforward | seed=2025
15:08:07 | ================================================================================
15:08:07 | Data: 4513 rows | Features: 16
15:13:53 |  Iter-01 | MAE=1.323 | MAPE=1.60%
15:27:19 |  Iter-02 | MAE=0.310 | MAPE=0.38%
15:40:38 |  Iter-03 | MAE=1.126 | MAPE=1.38%
15:47:14 |  Iter-04 | MAE=1.359 | MAPE=1.70%
15:58:29 |  Iter-05 | MAE=0.101 | MAPE=0.13%
16:06:17 |  Iter-06 | MAE=0.503 | MAPE=0.63%
16:27:56 |  Iter-07 | MAE=1.265 | MAPE=1.60%
16:49:35 |  Iter-08 | MAE=0.320 | MAPE=0.40%
17:10:09 |  Iter-09 | MAE=0.460 | MAPE=0.58%
17:16:26 |  Iter-10 | MAE=0.481 | MAPE=0.59%
17:23:09 |  Iter-11 | MAE=0.480 | MAPE=0.59%
17:28:40 |  Iter-12 | MAE=0.543 | MAPE=0.67%
17:34:56 |  Iter-13 | MAE=1.016 | MAPE=1.28%
17:56:31 |  Iter-14 | MAE=0.117 | MAPE=0.15%
18:08:24 |  Iter-15 | MAE=0.700 | MAPE=0.87%
18:18:52 |  Iter-16 | MAE=0.412 | MAPE=0.51%
18:24:42 |  Iter-17 | MAE=0.598 | MAPE=0.75%
18:32:41 |  Iter-18 | MAE=1.215 | MAPE=1.56%
18:38:44 |  Iter-19 | MAE=0.124 | MAPE=0.16%
18:55:22 |  Iter-20 | MAE=1.634 | MAPE=2.11%
19:00:46 |  Iter-21 | MAE=0.394 | MAPE=0.51%
19:14:55 |  Iter-22 | MAE=1.459 | MAPE=1.83%
19:21:49 |  Iter-23 | MAE=0.947 | MAPE=1.18%
19:34:53 |  Iter-24 | MAE=0.703 | MAPE=0.87%
19:42:14 |  Iter-25 | MAE=0.382 | MAPE=0.46%
20:03:49 |  Iter-26 | MAE=1.579 | MAPE=1.93%
20:22:24 |  Iter-27 | MAE=0.892 | MAPE=1.09%
20:29:12 |  Iter-28 | MAE=0.048 | MAPE=0.06%
20:48:14 |  Iter-29 | MAE=0.457 | MAPE=0.55%
20:53:50 |  Iter-30 | MAE=0.573 | MAPE=0.68%
21:12:28 |  Iter-31 | MAE=1.939 | MAPE=2.27%
21:36:59 |  Iter-32 | MAE=0.479 | MAPE=0.57%
22:01:14 |  Iter-33 | MAE=0.685 | MAPE=0.80%
22:06:58 |  Iter-34 | MAE=1.416 | MAPE=1.69%
22:13:42 |  Iter-35 | MAE=0.887 | MAPE=1.02%
22:37:58 |  Iter-36 | MAE=1.553 | MAPE=1.75%
22:51:31 |  Iter-37 | MAE=0.324 | MAPE=0.37%
23:06:43 |  Iter-38 | MAE=2.388 | MAPE=2.75%
23:16:58 |  Iter-39 | MAE=1.412 | MAPE=1.64%
23:24:36 |  Iter-40 | MAE=1.648 | MAPE=1.88%
23:40:34 |  Iter-41 | MAE=0.198 | MAPE=0.23%
23:47:48 |  Iter-42 | MAE=1.745 | MAPE=1.96%
23:59:51 |  Iter-43 | MAE=1.467 | MAPE=1.68%
00:19:09 |  Iter-44 | MAE=0.244 | MAPE=0.28%
00:43:49 |  Iter-45 | MAE=1.210 | MAPE=1.36%
00:52:46 |  Iter-46 | MAE=0.076 | MAPE=0.08%
01:18:01 |  Iter-47 | MAE=0.596 | MAPE=0.69%
01:24:07 |  Iter-48 | MAE=0.669 | MAPE=0.77%
01:31:05 |  Iter-49 | MAE=0.795 | MAPE=0.92%
01:56:23 |  Iter-50 | MAE=0.857 | MAPE=0.99%
02:14:14 |  Iter-51 | MAE=3.876 | MAPE=4.25%
02:20:30 |  Iter-52 | MAE=0.718 | MAPE=0.78%
02:45:49 |  Iter-53 | MAE=1.123 | MAPE=1.23%
03:10:27 |  Iter-54 | MAE=0.314 | MAPE=0.34%
03:35:44 |  Iter-55 | MAE=0.241 | MAPE=0.26%
03:59:13 |  Iter-56 | MAE=0.708 | MAPE=0.77%
04:15:18 |  Iter-57 | MAE=0.098 | MAPE=0.11%
