01:54:37 | ================================================================================
01:54:37 |  DLinear | XANG | H1 | walkforward | seed=2025
01:54:37 | ================================================================================
01:54:37 | Data: 4513 rows | Features: 15
02:05:43 |  Iter-01 | MAE=0.230 | MAPE=0.29%
02:16:46 |  Iter-02 | MAE=0.275 | MAPE=0.35%
02:28:36 |  Iter-03 | MAE=0.302 | MAPE=0.39%
02:39:55 |  Iter-04 | MAE=2.479 | MAPE=3.30%
02:51:11 |  Iter-05 | MAE=0.427 | MAPE=0.57%
03:01:40 |  Iter-06 | MAE=0.475 | MAPE=0.64%
03:10:59 |  Iter-07 | MAE=1.102 | MAPE=1.50%
03:22:25 |  Iter-08 | MAE=0.438 | MAPE=0.59%
03:32:54 |  Iter-09 | MAE=1.102 | MAPE=1.49%
03:41:18 |  Iter-10 | MAE=0.804 | MAPE=1.09%
03:52:49 |  Iter-11 | MAE=0.297 | MAPE=0.40%
04:03:52 |  Iter-12 | MAE=0.650 | MAPE=0.89%
04:12:22 |  Iter-13 | MAE=0.789 | MAPE=1.09%
04:22:58 |  Iter-14 | MAE=0.247 | MAPE=0.34%
04:33:26 |  Iter-15 | MAE=0.265 | MAPE=0.36%
04:41:47 |  Iter-16 | MAE=0.503 | MAPE=0.69%
04:53:01 |  Iter-17 | MAE=0.547 | MAPE=0.75%
05:03:33 |  Iter-18 | MAE=1.407 | MAPE=1.99%
05:12:21 |  Iter-19 | MAE=0.169 | MAPE=0.23%
05:24:00 |  Iter-20 | MAE=0.829 | MAPE=1.18%
05:34:19 |  Iter-21 | MAE=1.099 | MAPE=1.56%
05:44:05 |  Iter-22 | MAE=0.641 | MAPE=0.89%
05:53:26 |  Iter-23 | MAE=1.009 | MAPE=1.40%
06:04:43 |  Iter-24 | MAE=0.269 | MAPE=0.37%
06:12:18 |  Iter-25 | MAE=1.419 | MAPE=1.96%
06:20:34 |  Iter-26 | MAE=1.750 | MAPE=2.43%
06:30:34 |  Iter-27 | MAE=0.416 | MAPE=0.58%
06:40:46 |  Iter-28 | MAE=0.325 | MAPE=0.46%
06:50:17 |  Iter-29 | MAE=0.632 | MAPE=0.88%
07:01:30 |  Iter-30 | MAE=0.375 | MAPE=0.52%
07:11:46 |  Iter-31 | MAE=0.539 | MAPE=0.74%
07:23:49 |  Iter-32 | MAE=0.660 | MAPE=0.91%
07:35:19 |  Iter-33 | MAE=1.029 | MAPE=1.41%
07:45:51 |  Iter-34 | MAE=1.158 | MAPE=1.62%
07:56:43 |  Iter-35 | MAE=0.453 | MAPE=0.62%
08:06:30 |  Iter-36 | MAE=0.767 | MAPE=1.03%
08:13:51 |  Iter-37 | MAE=0.933 | MAPE=1.25%
08:25:41 |  Iter-38 | MAE=3.440 | MAPE=4.79%
08:31:56 |  Iter-39 | MAE=2.517 | MAPE=3.50%
08:40:49 |  Iter-40 | MAE=1.151 | MAPE=1.56%
08:51:42 |  Iter-41 | MAE=0.514 | MAPE=0.69%
09:00:41 |  Iter-42 | MAE=0.793 | MAPE=1.07%
09:08:18 |  Iter-43 | MAE=1.111 | MAPE=1.47%
09:16:00 |  Iter-44 | MAE=1.287 | MAPE=1.66%
09:25:27 |  Iter-45 | MAE=0.343 | MAPE=0.45%
09:33:26 |  Iter-46 | MAE=1.074 | MAPE=1.42%
09:43:32 |  Iter-47 | MAE=2.309 | MAPE=3.18%
09:54:16 |  Iter-48 | MAE=0.328 | MAPE=0.45%
10:01:31 |  Iter-49 | MAE=0.552 | MAPE=0.76%
10:10:13 |  Iter-50 | MAE=0.423 | MAPE=0.58%
10:18:13 |  Iter-51 | MAE=2.726 | MAPE=3.54%
10:26:22 |  Iter-52 | MAE=1.675 | MAPE=2.12%
10:38:59 |  Iter-53 | MAE=0.207 | MAPE=0.26%
10:49:02 |  Iter-54 | MAE=1.728 | MAPE=2.16%
10:58:34 |  Iter-55 | MAE=0.940 | MAPE=1.17%
11:09:40 |  Iter-56 | MAE=0.657 | MAPE=0.82%
11:17:00 |  Iter-57 | MAE=0.099 | MAPE=0.12%
