01:54:38 | ================================================================================
01:54:38 |  DLinear | XANG | H1 | walkforward | seed=123
01:54:38 | ================================================================================
01:54:38 | Data: 4513 rows | Features: 15
01:54:38 | ================================================================================
01:54:38 |  DLinear | XANG | H1 | walkforward | seed=9999
01:54:38 | ================================================================================
01:54:38 | ================================================================================
01:54:38 |  DLinear | XANG | H1 | walkforward | seed=777
01:54:38 | ================================================================================
01:54:38 | Data: 4513 rows | Features: 15
01:54:38 | Data: 4513 rows | Features: 15
02:02:50 |  Iter-01 | MAE=0.229 | MAPE=0.29%
02:03:35 |  Iter-01 | MAE=0.239 | MAPE=0.31%
02:03:37 |  Iter-01 | MAE=0.226 | MAPE=0.29%
02:11:16 |  Iter-02 | MAE=0.250 | MAPE=0.32%
02:12:04 |  Iter-02 | MAE=0.259 | MAPE=0.33%
02:12:38 |  Iter-02 | MAE=0.268 | MAPE=0.34%
02:19:59 |  Iter-03 | MAE=0.294 | MAPE=0.37%
02:21:38 |  Iter-03 | MAE=0.306 | MAPE=0.39%
02:21:42 |  Iter-03 | MAE=0.284 | MAPE=0.36%
02:29:27 |  Iter-04 | MAE=2.457 | MAPE=3.27%
02:30:11 |  Iter-04 | MAE=2.578 | MAPE=3.43%
02:31:47 |  Iter-04 | MAE=2.560 | MAPE=3.40%
02:37:15 |  Iter-05 | MAE=0.417 | MAPE=0.56%
02:38:26 |  Iter-05 | MAE=0.394 | MAPE=0.53%
02:41:53 |  Iter-05 | MAE=0.397 | MAPE=0.53%
02:47:33 |  Iter-06 | MAE=0.461 | MAPE=0.62%
02:48:13 |  Iter-06 | MAE=0.526 | MAPE=0.71%
02:51:22 |  Iter-06 | MAE=0.456 | MAPE=0.61%
02:56:39 |  Iter-07 | MAE=1.105 | MAPE=1.51%
02:58:26 |  Iter-07 | MAE=1.106 | MAPE=1.51%
03:02:23 |  Iter-07 | MAE=1.125 | MAPE=1.53%
03:05:27 |  Iter-08 | MAE=0.460 | MAPE=0.62%
03:08:50 |  Iter-08 | MAE=0.428 | MAPE=0.58%
03:10:25 |  Iter-08 | MAE=0.458 | MAPE=0.62%
03:15:50 |  Iter-09 | MAE=1.062 | MAPE=1.44%
03:17:52 |  Iter-09 | MAE=1.030 | MAPE=1.39%
03:22:24 |  Iter-09 | MAE=1.160 | MAPE=1.57%
03:25:44 |  Iter-10 | MAE=0.846 | MAPE=1.15%
03:26:07 |  Iter-10 | MAE=0.863 | MAPE=1.17%
03:33:34 |  Iter-10 | MAE=0.843 | MAPE=1.14%
03:34:02 |  Iter-11 | MAE=0.281 | MAPE=0.38%
03:35:45 |  Iter-11 | MAE=0.323 | MAPE=0.44%
03:43:22 |  Iter-12 | MAE=0.639 | MAPE=0.88%
03:44:06 |  Iter-12 | MAE=0.636 | MAPE=0.87%
03:45:13 |  Iter-11 | MAE=0.299 | MAPE=0.40%
03:51:35 |  Iter-13 | MAE=0.742 | MAPE=1.02%
03:52:19 |  Iter-13 | MAE=0.755 | MAPE=1.04%
03:53:01 |  Iter-12 | MAE=0.646 | MAPE=0.88%
04:00:32 |  Iter-14 | MAE=0.210 | MAPE=0.29%
04:00:36 |  Iter-14 | MAE=0.220 | MAPE=0.30%
04:02:01 |  Iter-13 | MAE=0.723 | MAPE=1.00%
04:09:41 |  Iter-15 | MAE=0.276 | MAPE=0.38%
04:10:42 |  Iter-15 | MAE=0.272 | MAPE=0.37%
04:13:49 |  Iter-14 | MAE=0.228 | MAPE=0.31%
04:18:07 |  Iter-16 | MAE=0.479 | MAPE=0.66%
04:18:54 |  Iter-16 | MAE=0.508 | MAPE=0.70%
04:25:05 |  Iter-15 | MAE=0.262 | MAPE=0.36%
04:28:08 |  Iter-17 | MAE=0.557 | MAPE=0.77%
04:29:12 |  Iter-17 | MAE=0.537 | MAPE=0.74%
04:35:06 |  Iter-16 | MAE=0.486 | MAPE=0.67%
04:38:24 |  Iter-18 | MAE=1.456 | MAPE=2.06%
04:39:26 |  Iter-18 | MAE=1.461 | MAPE=2.06%
04:45:26 |  Iter-17 | MAE=0.566 | MAPE=0.78%
04:45:32 |  Iter-19 | MAE=0.158 | MAPE=0.22%
04:46:52 |  Iter-19 | MAE=0.193 | MAPE=0.27%
04:51:28 |  Iter-20 | MAE=0.741 | MAPE=1.06%
04:55:28 |  Iter-20 | MAE=0.760 | MAPE=1.08%
04:55:45 |  Iter-18 | MAE=1.491 | MAPE=2.11%
05:01:32 |  Iter-21 | MAE=1.099 | MAPE=1.56%
05:03:30 |  Iter-19 | MAE=0.182 | MAPE=0.25%
05:04:23 |  Iter-21 | MAE=1.169 | MAPE=1.66%
05:09:08 |  Iter-22 | MAE=0.631 | MAPE=0.87%
05:12:40 |  Iter-22 | MAE=0.592 | MAPE=0.82%
05:13:50 |  Iter-20 | MAE=0.670 | MAPE=0.95%
05:16:36 |  Iter-23 | MAE=1.012 | MAPE=1.40%
05:22:27 |  Iter-21 | MAE=1.112 | MAPE=1.58%
05:22:54 |  Iter-23 | MAE=1.014 | MAPE=1.40%
05:25:25 |  Iter-24 | MAE=0.241 | MAPE=0.33%
05:31:36 |  Iter-22 | MAE=0.619 | MAPE=0.86%
05:32:19 |  Iter-24 | MAE=0.231 | MAPE=0.32%
05:33:48 |  Iter-25 | MAE=1.502 | MAPE=2.07%
05:41:19 |  Iter-23 | MAE=0.917 | MAPE=1.27%
05:42:34 |  Iter-26 | MAE=1.789 | MAPE=2.48%
05:42:37 |  Iter-25 | MAE=1.520 | MAPE=2.10%
05:50:47 |  Iter-24 | MAE=0.267 | MAPE=0.37%
05:51:33 |  Iter-26 | MAE=1.862 | MAPE=2.58%
05:52:55 |  Iter-27 | MAE=0.385 | MAPE=0.54%
05:57:10 |  Iter-25 | MAE=1.474 | MAPE=2.03%
05:59:38 |  Iter-27 | MAE=0.357 | MAPE=0.50%
06:01:02 |  Iter-28 | MAE=0.358 | MAPE=0.50%
06:05:04 |  Iter-26 | MAE=1.795 | MAPE=2.49%
06:06:17 |  Iter-28 | MAE=0.290 | MAPE=0.41%
06:09:51 |  Iter-29 | MAE=0.683 | MAPE=0.95%
06:12:37 |  Iter-27 | MAE=0.389 | MAPE=0.55%
06:15:29 |  Iter-29 | MAE=0.603 | MAPE=0.84%
06:19:26 |  Iter-30 | MAE=0.364 | MAPE=0.50%
06:21:34 |  Iter-28 | MAE=0.292 | MAPE=0.41%
06:25:06 |  Iter-30 | MAE=0.345 | MAPE=0.48%
06:28:46 |  Iter-31 | MAE=0.500 | MAPE=0.69%
06:32:22 |  Iter-29 | MAE=0.632 | MAPE=0.88%
06:33:09 |  Iter-31 | MAE=0.477 | MAPE=0.65%
06:39:04 |  Iter-32 | MAE=0.680 | MAPE=0.94%
