21:45:04 | ================================================================================
21:45:04 |  FITS | DAU | H1 | walkforward | seed=123
21:45:04 | ================================================================================
21:45:04 | Data: 4513 rows | Features: 16
21:48:52 |  Iter-01 | MAE=1.064 | MAPE=1.29%
21:52:13 |  Iter-02 | MAE=0.311 | MAPE=0.38%
21:56:31 |  Iter-03 | MAE=1.331 | MAPE=1.63%
22:00:11 |  Iter-04 | MAE=1.860 | MAPE=2.33%
22:03:36 |  Iter-05 | MAE=0.466 | MAPE=0.59%
22:07:16 |  Iter-06 | MAE=0.747 | MAPE=0.93%
22:11:20 |  Iter-07 | MAE=0.779 | MAPE=0.99%
22:15:10 |  Iter-08 | MAE=0.137 | MAPE=0.17%
22:18:35 |  Iter-09 | MAE=0.050 | MAPE=0.06%
22:22:30 |  Iter-10 | MAE=0.737 | MAPE=0.91%
22:26:19 |  Iter-11 | MAE=0.238 | MAPE=0.29%
22:30:09 |  Iter-12 | MAE=0.539 | MAPE=0.67%
22:33:39 |  Iter-13 | MAE=0.869 | MAPE=1.10%
22:37:19 |  Iter-14 | MAE=0.263 | MAPE=0.33%
22:41:23 |  Iter-15 | MAE=0.523 | MAPE=0.65%
22:45:42 |  Iter-16 | MAE=0.335 | MAPE=0.42%
22:49:27 |  Iter-17 | MAE=1.259 | MAPE=1.59%
22:53:41 |  Iter-18 | MAE=1.481 | MAPE=1.90%
22:57:28 |  Iter-19 | MAE=0.626 | MAPE=0.79%
23:01:24 |  Iter-20 | MAE=1.945 | MAPE=2.52%
23:05:30 |  Iter-21 | MAE=0.189 | MAPE=0.24%
23:09:25 |  Iter-22 | MAE=2.017 | MAPE=2.54%
23:13:26 |  Iter-23 | MAE=0.235 | MAPE=0.29%
23:17:42 |  Iter-24 | MAE=1.439 | MAPE=1.77%
23:21:47 |  Iter-25 | MAE=0.295 | MAPE=0.36%
23:25:33 |  Iter-26 | MAE=1.567 | MAPE=1.92%
23:29:19 |  Iter-27 | MAE=0.092 | MAPE=0.11%
23:32:45 |  Iter-28 | MAE=0.413 | MAPE=0.50%
23:36:20 |  Iter-29 | MAE=0.426 | MAPE=0.52%
23:40:06 |  Iter-30 | MAE=0.145 | MAPE=0.17%
23:43:47 |  Iter-31 | MAE=1.114 | MAPE=1.31%
23:47:28 |  Iter-32 | MAE=0.602 | MAPE=0.72%
23:51:18 |  Iter-33 | MAE=0.519 | MAPE=0.60%
23:55:34 |  Iter-34 | MAE=1.392 | MAPE=1.66%
23:59:15 |  Iter-35 | MAE=2.426 | MAPE=2.80%
00:02:56 |  Iter-36 | MAE=1.635 | MAPE=1.85%
00:07:12 |  Iter-37 | MAE=0.145 | MAPE=0.16%
00:11:22 |  Iter-38 | MAE=2.055 | MAPE=2.36%
00:15:18 |  Iter-39 | MAE=0.915 | MAPE=1.06%
00:18:58 |  Iter-40 | MAE=2.092 | MAPE=2.38%
00:22:29 |  Iter-41 | MAE=0.093 | MAPE=0.11%
00:26:15 |  Iter-42 | MAE=1.189 | MAPE=1.34%
00:30:05 |  Iter-43 | MAE=2.278 | MAPE=2.61%
00:33:54 |  Iter-44 | MAE=0.032 | MAPE=0.04%
00:38:19 |  Iter-45 | MAE=1.077 | MAPE=1.21%
00:42:19 |  Iter-46 | MAE=0.266 | MAPE=0.30%
00:46:18 |  Iter-47 | MAE=0.469 | MAPE=0.54%
00:53:00 |  Iter-48 | MAE=0.478 | MAPE=0.55%
00:57:05 |  Iter-49 | MAE=0.218 | MAPE=0.25%
01:00:49 |  Iter-50 | MAE=0.772 | MAPE=0.89%
01:05:09 |  Iter-51 | MAE=3.965 | MAPE=4.34%
01:09:13 |  Iter-52 | MAE=0.452 | MAPE=0.49%
01:13:07 |  Iter-53 | MAE=0.646 | MAPE=0.71%
01:17:17 |  Iter-54 | MAE=0.932 | MAPE=1.01%
01:20:46 |  Iter-55 | MAE=0.574 | MAPE=0.62%
01:24:20 |  Iter-56 | MAE=0.311 | MAPE=0.34%
01:28:09 |  Iter-57 | MAE=0.273 | MAPE=0.29%
01:32:14 |  Iter-58 | MAE=22.705 | MAPE=19.77%
01:36:13 |  Iter-59 | MAE=11.754 | MAPE=9.36%
01:39:52 |  Iter-60 | MAE=16.113 | MAPE=11.26%
01:44:06 |  Iter-61 | MAE=16.755 | MAPE=10.98%
01:47:35 |  Iter-62 | MAE=3.332 | MAPE=2.15%
01:51:04 |  Iter-63 | MAE=27.466 | MAPE=14.86%
01:54:18 |  Iter-64 | MAE=24.172 | MAPE=15.03%
01:58:17 |  Iter-65 | MAE=2.786 | MAPE=1.70%
02:02:01 |  Iter-66 | MAE=30.399 | MAPE=15.67%
02:05:15 |  Iter-67 | MAE=0.659 | MAPE=0.34%
02:08:43 |  Iter-68 | MAE=1.835 | MAPE=0.96%
02:12:12 |  Iter-69 | MAE=9.369 | MAPE=4.74%
02:15:41 |  Iter-70 | MAE=1.179 | MAPE=0.59%
02:19:35 |  Iter-71 | MAE=18.129 | MAPE=8.09%
02:23:04 |  Iter-72 | MAE=2.498 | MAPE=1.12%
02:26:27 |  Iter-73 | MAE=16.494 | MAPE=6.81%
02:32:13 |  Iter-74 | MAE=14.964 | MAPE=6.82%
02:35:47 |  Iter-75 | MAE=20.622 | MAPE=10.05%
02:39:26 |  Iter-76 | MAE=5.038 | MAPE=2.33%
02:43:31 |  Iter-77 | MAE=18.458 | MAPE=7.78%
02:47:00 |  Iter-78 | MAE=9.640 | MAPE=3.83%
02:51:04 |  Iter-79 | MAE=22.423 | MAPE=9.40%
02:54:59 |  Iter-80 | MAE=7.143 | MAPE=2.91%
03:00:40 |  Iter-81 | MAE=47.643 | MAPE=16.30%
03:05:46 |  Iter-82 | MAE=21.290 | MAPE=7.97%
03:09:25 |  Iter-83 | MAE=29.487 | MAPE=12.14%
03:12:58 |  Iter-84 | MAE=64.549 | MAPE=33.83%
03:16:43 |  Iter-85 | MAE=13.839 | MAPE=6.89%
03:20:12 |  Iter-86 | MAE=0.971 | MAPE=0.50%
03:23:51 |  Iter-87 | MAE=5.885 | MAPE=3.08%
03:27:14 |  Iter-88 | MAE=14.350 | MAPE=7.91%
03:30:18 |  Iter-89 | MAE=15.700 | MAPE=9.48%
03:33:31 |  Iter-90 | MAE=1.841 | MAPE=1.10%
03:36:34 |  Iter-91 | MAE=3.020 | MAPE=1.85%
03:40:19 |  Iter-92 | MAE=14.980 | MAPE=10.14%
03:44:55 |  Iter-93 | MAE=6.346 | MAPE=4.27%
03:48:04 |  Iter-94 | MAE=14.168 | MAPE=8.89%
03:51:25 |  Iter-95 | MAE=2.914 | MAPE=1.78%
03:54:45 |  Iter-96 | MAE=1.046 | MAPE=0.64%
03:57:58 |  Iter-97 | MAE=0.618 | MAPE=0.36%
04:01:51 |  Iter-98 | MAE=8.316 | MAPE=5.18%
04:05:13 |  Iter-99 | MAE=1.964 | MAPE=1.22%
04:09:00 |  Iter-100 | MAE=10.260 | MAPE=5.96%
04:09:00 | 
 OVERALL: MAE=6.324, MAPE=3.65%, R2=0.9556 (23036.2s)
04:09:00 | Saved model checkpoint: /data/quyhv/oil_forecast_tail_risk/results_v4/walkforward/FITS/DAU_H1_seed123/model_checkpoint.pth
04:09:00 | Saved processor/scaler: /data/quyhv/oil_forecast_tail_risk/results_v4/walkforward/FITS/DAU_H1_seed123/processor.pkl
