14:45:24 | ================================================================================
14:45:24 |  FITS | XANG | H1 | walkforward | seed=123
14:45:24 | ================================================================================
14:45:24 | Data: 4513 rows | Features: 15
14:47:49 |  Iter-01 | MAE=0.185 | MAPE=0.23%
14:50:05 |  Iter-02 | MAE=0.131 | MAPE=0.17%
14:52:17 |  Iter-03 | MAE=0.247 | MAPE=0.32%
14:54:26 |  Iter-04 | MAE=3.007 | MAPE=4.00%
14:56:13 |  Iter-05 | MAE=0.724 | MAPE=0.97%
14:58:07 |  Iter-06 | MAE=0.210 | MAPE=0.28%
15:00:06 |  Iter-07 | MAE=0.587 | MAPE=0.80%
15:02:08 |  Iter-08 | MAE=0.457 | MAPE=0.61%
15:04:06 |  Iter-09 | MAE=0.537 | MAPE=0.73%
15:06:04 |  Iter-10 | MAE=0.337 | MAPE=0.46%
15:08:00 |  Iter-11 | MAE=0.232 | MAPE=0.31%
15:09:45 |  Iter-12 | MAE=0.381 | MAPE=0.52%
15:11:33 |  Iter-13 | MAE=0.939 | MAPE=1.29%
15:13:44 |  Iter-14 | MAE=0.160 | MAPE=0.22%
15:15:39 |  Iter-15 | MAE=0.153 | MAPE=0.21%
15:17:32 |  Iter-16 | MAE=0.274 | MAPE=0.38%
15:19:26 |  Iter-17 | MAE=1.032 | MAPE=1.43%
15:21:28 |  Iter-18 | MAE=1.739 | MAPE=2.46%
15:23:17 |  Iter-19 | MAE=0.401 | MAPE=0.56%
15:25:02 |  Iter-20 | MAE=1.463 | MAPE=2.09%
15:27:19 |  Iter-21 | MAE=0.871 | MAPE=1.23%
15:29:24 |  Iter-22 | MAE=1.531 | MAPE=2.11%
15:31:21 |  Iter-23 | MAE=0.444 | MAPE=0.61%
15:33:42 |  Iter-24 | MAE=0.568 | MAPE=0.78%
15:35:35 |  Iter-25 | MAE=1.306 | MAPE=1.80%
15:37:37 |  Iter-26 | MAE=1.479 | MAPE=2.05%
15:39:34 |  Iter-27 | MAE=0.880 | MAPE=1.24%
15:41:41 |  Iter-28 | MAE=0.169 | MAPE=0.24%
15:43:35 |  Iter-29 | MAE=0.715 | MAPE=1.00%
15:45:28 |  Iter-30 | MAE=0.069 | MAPE=0.09%
15:47:34 |  Iter-31 | MAE=0.112 | MAPE=0.15%
15:49:20 |  Iter-32 | MAE=0.696 | MAPE=0.98%
15:51:05 |  Iter-33 | MAE=0.868 | MAPE=1.19%
15:53:27 |  Iter-34 | MAE=1.577 | MAPE=2.21%
15:55:55 |  Iter-35 | MAE=1.821 | MAPE=2.48%
15:57:53 |  Iter-36 | MAE=0.776 | MAPE=1.04%
