02:42:33 | ================================================================================
02:42:33 |  FedFormer | DAU | H1 | walkforward | seed=777
02:42:33 | ================================================================================
02:42:33 | Data: 4513 rows | Features: 16
02:49:51 |  Iter-01 | MAE=1.050 | MAPE=1.27%
02:57:40 |  Iter-02 | MAE=0.556 | MAPE=0.67%
03:09:04 |  Iter-03 | MAE=1.280 | MAPE=1.57%
03:20:40 |  Iter-04 | MAE=1.164 | MAPE=1.46%
03:31:30 |  Iter-05 | MAE=0.348 | MAPE=0.44%
03:37:38 |  Iter-06 | MAE=0.260 | MAPE=0.32%
03:43:30 |  Iter-07 | MAE=1.387 | MAPE=1.76%
03:49:43 |  Iter-08 | MAE=0.034 | MAPE=0.04%
03:58:32 |  Iter-09 | MAE=0.425 | MAPE=0.53%
04:07:57 |  Iter-10 | MAE=0.243 | MAPE=0.30%
04:16:46 |  Iter-11 | MAE=0.419 | MAPE=0.52%
04:26:16 |  Iter-12 | MAE=0.772 | MAPE=0.96%
04:40:32 |  Iter-13 | MAE=0.695 | MAPE=0.88%
04:44:09 |  Iter-14 | MAE=0.264 | MAPE=0.33%
04:56:00 |  Iter-15 | MAE=0.739 | MAPE=0.92%
05:07:30 |  Iter-16 | MAE=0.411 | MAPE=0.51%
05:11:17 |  Iter-17 | MAE=0.372 | MAPE=0.47%
05:20:47 |  Iter-18 | MAE=1.074 | MAPE=1.38%
05:28:51 |  Iter-19 | MAE=0.437 | MAPE=0.55%
05:37:56 |  Iter-20 | MAE=1.747 | MAPE=2.26%
05:46:10 |  Iter-21 | MAE=0.347 | MAPE=0.45%
05:52:38 |  Iter-22 | MAE=1.599 | MAPE=2.01%
06:03:03 |  Iter-23 | MAE=0.639 | MAPE=0.80%
06:12:08 |  Iter-24 | MAE=0.437 | MAPE=0.54%
06:22:18 |  Iter-25 | MAE=0.373 | MAPE=0.45%
06:31:22 |  Iter-26 | MAE=1.919 | MAPE=2.35%
06:39:37 |  Iter-27 | MAE=0.914 | MAPE=1.12%
06:48:10 |  Iter-28 | MAE=0.180 | MAPE=0.22%
06:55:49 |  Iter-29 | MAE=0.415 | MAPE=0.50%
07:05:24 |  Iter-30 | MAE=0.689 | MAPE=0.82%
07:12:57 |  Iter-31 | MAE=1.270 | MAPE=1.49%
07:25:59 |  Iter-32 | MAE=0.346 | MAPE=0.41%
07:38:20 |  Iter-33 | MAE=0.768 | MAPE=0.89%
07:48:27 |  Iter-34 | MAE=1.277 | MAPE=1.52%
07:57:18 |  Iter-35 | MAE=0.090 | MAPE=0.10%
08:06:43 |  Iter-36 | MAE=1.565 | MAPE=1.77%
08:10:39 |  Iter-37 | MAE=0.477 | MAPE=0.54%
08:22:14 |  Iter-38 | MAE=2.312 | MAPE=2.66%
08:37:25 |  Iter-39 | MAE=1.659 | MAPE=1.92%
08:46:20 |  Iter-40 | MAE=1.795 | MAPE=2.05%
09:01:51 |  Iter-41 | MAE=0.036 | MAPE=0.04%
09:10:17 |  Iter-42 | MAE=1.937 | MAPE=2.18%
09:15:12 |  Iter-43 | MAE=1.230 | MAPE=1.41%
09:27:13 |  Iter-44 | MAE=0.615 | MAPE=0.70%
09:34:10 |  Iter-45 | MAE=1.315 | MAPE=1.48%
09:43:28 |  Iter-46 | MAE=0.671 | MAPE=0.75%
09:55:14 |  Iter-47 | MAE=0.448 | MAPE=0.52%
09:58:53 |  Iter-48 | MAE=0.228 | MAPE=0.26%
10:04:23 |  Iter-49 | MAE=0.743 | MAPE=0.86%
10:19:37 |  Iter-50 | MAE=0.219 | MAPE=0.25%
10:31:28 |  Iter-51 | MAE=3.051 | MAPE=3.34%
10:46:01 |  Iter-52 | MAE=0.491 | MAPE=0.53%
10:57:16 |  Iter-53 | MAE=0.915 | MAPE=1.00%
11:03:57 |  Iter-54 | MAE=0.469 | MAPE=0.51%
11:15:42 |  Iter-55 | MAE=0.106 | MAPE=0.11%
11:23:34 |  Iter-56 | MAE=1.130 | MAPE=1.22%
11:36:14 |  Iter-57 | MAE=0.615 | MAPE=0.66%
11:46:07 |  Iter-58 | MAE=22.223 | MAPE=19.35%
11:56:45 |  Iter-59 | MAE=14.197 | MAPE=11.31%
12:02:50 |  Iter-60 | MAE=16.916 | MAPE=11.82%
12:06:07 |  Iter-61 | MAE=17.629 | MAPE=11.55%
12:10:00 |  Iter-62 | MAE=3.514 | MAPE=2.26%
12:13:03 |  Iter-63 | MAE=28.461 | MAPE=15.39%
12:17:16 |  Iter-64 | MAE=38.995 | MAPE=24.24%
12:20:39 |  Iter-65 | MAE=12.975 | MAPE=7.91%
12:24:33 |  Iter-66 | MAE=28.380 | MAPE=14.63%
12:27:40 |  Iter-67 | MAE=12.757 | MAPE=6.65%
12:31:27 |  Iter-68 | MAE=3.275 | MAPE=1.72%
12:34:13 |  Iter-69 | MAE=4.014 | MAPE=2.03%
12:37:04 |  Iter-70 | MAE=1.176 | MAPE=0.59%
12:40:36 |  Iter-71 | MAE=16.421 | MAPE=7.33%
12:43:36 |  Iter-72 | MAE=8.872 | MAPE=3.99%
12:46:58 |  Iter-73 | MAE=14.246 | MAPE=5.88%
12:50:14 |  Iter-74 | MAE=2.929 | MAPE=1.33%
12:53:05 |  Iter-75 | MAE=20.711 | MAPE=10.10%
12:58:32 |  Iter-76 | MAE=2.213 | MAPE=1.02%
13:01:53 |  Iter-77 | MAE=15.137 | MAPE=6.38%
13:05:18 |  Iter-78 | MAE=16.159 | MAPE=6.42%
13:08:43 |  Iter-79 | MAE=13.246 | MAPE=5.56%
13:13:18 |  Iter-80 | MAE=9.263 | MAPE=3.77%
13:16:23 |  Iter-81 | MAE=44.653 | MAPE=15.28%
13:20:53 |  Iter-82 | MAE=19.434 | MAPE=7.26%
13:24:18 |  Iter-83 | MAE=25.714 | MAPE=10.60%
13:28:29 |  Iter-84 | MAE=65.969 | MAPE=34.54%
13:32:08 |  Iter-85 | MAE=10.197 | MAPE=4.92%
13:35:43 |  Iter-86 | MAE=9.721 | MAPE=4.94%
13:39:12 |  Iter-87 | MAE=30.025 | MAPE=15.68%
13:42:32 |  Iter-88 | MAE=5.773 | MAPE=3.21%
13:46:32 |  Iter-89 | MAE=6.546 | MAPE=3.91%
13:49:52 |  Iter-90 | MAE=7.704 | MAPE=4.75%
13:52:27 |  Iter-91 | MAE=5.603 | MAPE=3.42%
13:57:06 |  Iter-92 | MAE=2.023 | MAPE=1.35%
13:59:56 |  Iter-93 | MAE=1.918 | MAPE=1.34%
14:04:06 |  Iter-94 | MAE=14.445 | MAPE=9.03%
14:07:11 |  Iter-95 | MAE=5.268 | MAPE=3.11%
14:10:25 |  Iter-96 | MAE=0.415 | MAPE=0.26%
14:14:30 |  Iter-97 | MAE=1.903 | MAPE=1.13%
14:17:10 |  Iter-98 | MAE=7.763 | MAPE=4.83%
14:20:10 |  Iter-99 | MAE=0.130 | MAPE=0.08%
14:23:55 |  Iter-100 | MAE=3.719 | MAPE=2.18%
14:23:55 | 
 OVERALL: MAE=6.396, MAPE=3.69%, R2=0.9539 (42081.6s)
14:23:55 | Saved model checkpoint: /data/quyhv/oil_forecast_tail_risk/results_v4/walkforward/FedFormer/DAU_H1_seed777/model_checkpoint.pth
14:23:55 | Saved processor/scaler: /data/quyhv/oil_forecast_tail_risk/results_v4/walkforward/FedFormer/DAU_H1_seed777/processor.pkl
