05:19:21 | ================================================================================
05:19:21 |  FedFormer | XANG | H1 | walkforward | seed=777
05:19:21 | ================================================================================
05:19:21 | Data: 4513 rows | Features: 15
05:26:58 |  Iter-01 | MAE=0.146 | MAPE=0.19%
05:32:54 |  Iter-02 | MAE=0.206 | MAPE=0.27%
05:38:50 |  Iter-03 | MAE=0.665 | MAPE=0.85%
05:43:32 |  Iter-04 | MAE=2.710 | MAPE=3.60%
05:50:43 |  Iter-05 | MAE=0.406 | MAPE=0.55%
05:59:20 |  Iter-06 | MAE=0.752 | MAPE=1.01%
06:04:46 |  Iter-07 | MAE=1.206 | MAPE=1.64%
06:08:33 |  Iter-08 | MAE=0.460 | MAPE=0.62%
06:16:57 |  Iter-09 | MAE=1.227 | MAPE=1.66%
06:20:54 |  Iter-10 | MAE=1.161 | MAPE=1.57%
06:27:09 |  Iter-11 | MAE=0.422 | MAPE=0.57%
06:32:24 |  Iter-12 | MAE=0.681 | MAPE=0.93%
06:39:19 |  Iter-13 | MAE=0.622 | MAPE=0.86%
06:44:26 |  Iter-14 | MAE=0.013 | MAPE=0.02%
06:48:24 |  Iter-15 | MAE=0.351 | MAPE=0.48%
06:53:55 |  Iter-16 | MAE=0.459 | MAPE=0.63%
06:58:55 |  Iter-17 | MAE=0.544 | MAPE=0.75%
07:04:12 |  Iter-18 | MAE=1.156 | MAPE=1.63%
07:09:43 |  Iter-19 | MAE=0.179 | MAPE=0.25%
07:14:24 |  Iter-20 | MAE=0.650 | MAPE=0.93%
07:20:16 |  Iter-21 | MAE=1.060 | MAPE=1.50%
07:25:32 |  Iter-22 | MAE=0.954 | MAPE=1.32%
07:31:22 |  Iter-23 | MAE=1.280 | MAPE=1.77%
07:36:53 |  Iter-24 | MAE=0.013 | MAPE=0.02%
07:43:18 |  Iter-25 | MAE=1.807 | MAPE=2.49%
07:52:22 |  Iter-26 | MAE=1.969 | MAPE=2.73%
07:56:56 |  Iter-27 | MAE=0.090 | MAPE=0.13%
08:01:04 |  Iter-28 | MAE=0.417 | MAPE=0.59%
08:05:11 |  Iter-29 | MAE=0.573 | MAPE=0.80%
08:07:56 |  Iter-30 | MAE=0.540 | MAPE=0.75%
08:09:42 |  Iter-31 | MAE=0.510 | MAPE=0.70%
08:13:50 |  Iter-32 | MAE=0.640 | MAPE=0.88%
08:17:54 |  Iter-33 | MAE=0.765 | MAPE=1.05%
08:21:30 |  Iter-34 | MAE=1.351 | MAPE=1.89%
08:28:13 |  Iter-35 | MAE=0.151 | MAPE=0.21%
08:32:22 |  Iter-36 | MAE=0.572 | MAPE=0.77%
08:37:29 |  Iter-37 | MAE=1.425 | MAPE=1.91%
08:42:29 |  Iter-38 | MAE=3.386 | MAPE=4.72%
08:48:39 |  Iter-39 | MAE=1.908 | MAPE=2.65%
08:54:19 |  Iter-40 | MAE=1.069 | MAPE=1.45%
08:59:29 |  Iter-41 | MAE=0.591 | MAPE=0.80%
09:03:03 |  Iter-42 | MAE=0.947 | MAPE=1.27%
09:06:08 |  Iter-43 | MAE=1.323 | MAPE=1.75%
09:09:14 |  Iter-44 | MAE=1.383 | MAPE=1.78%
09:15:09 |  Iter-45 | MAE=0.172 | MAPE=0.22%
09:19:52 |  Iter-46 | MAE=0.788 | MAPE=1.04%
09:26:33 |  Iter-47 | MAE=1.776 | MAPE=2.44%
09:31:38 |  Iter-48 | MAE=0.114 | MAPE=0.16%
09:37:38 |  Iter-49 | MAE=0.697 | MAPE=0.96%
09:40:09 |  Iter-50 | MAE=0.106 | MAPE=0.15%
09:47:30 |  Iter-51 | MAE=2.040 | MAPE=2.65%
09:53:50 |  Iter-52 | MAE=1.686 | MAPE=2.14%
10:01:45 |  Iter-53 | MAE=0.233 | MAPE=0.30%
10:10:54 |  Iter-54 | MAE=1.361 | MAPE=1.70%
10:17:54 |  Iter-55 | MAE=0.917 | MAPE=1.14%
10:22:52 |  Iter-56 | MAE=0.994 | MAPE=1.24%
10:29:29 |  Iter-57 | MAE=0.160 | MAPE=0.20%
10:36:53 |  Iter-58 | MAE=10.614 | MAPE=11.60%
10:44:52 |  Iter-59 | MAE=6.304 | MAPE=6.49%
10:52:17 |  Iter-60 | MAE=3.701 | MAPE=3.61%
10:56:09 |  Iter-61 | MAE=21.121 | MAPE=19.45%
10:59:15 |  Iter-62 | MAE=7.855 | MAPE=6.65%
11:00:46 |  Iter-63 | MAE=8.739 | MAPE=6.09%
11:02:41 |  Iter-64 | MAE=36.726 | MAPE=29.72%
11:04:39 |  Iter-65 | MAE=2.242 | MAPE=1.84%
11:06:58 |  Iter-66 | MAE=16.710 | MAPE=12.24%
11:09:36 |  Iter-67 | MAE=1.562 | MAPE=1.14%
11:11:12 |  Iter-68 | MAE=9.879 | MAPE=6.74%
11:13:31 |  Iter-69 | MAE=3.914 | MAPE=2.71%
11:14:57 |  Iter-70 | MAE=15.785 | MAPE=10.80%
11:17:10 |  Iter-71 | MAE=8.903 | MAPE=5.64%
11:19:40 |  Iter-72 | MAE=1.922 | MAPE=1.24%
11:21:27 |  Iter-73 | MAE=4.505 | MAPE=2.76%
11:23:11 |  Iter-74 | MAE=11.230 | MAPE=7.75%
11:25:16 |  Iter-75 | MAE=16.134 | MAPE=12.10%
11:27:55 |  Iter-76 | MAE=12.182 | MAPE=9.39%
11:29:56 |  Iter-77 | MAE=0.301 | MAPE=0.23%
11:31:53 |  Iter-78 | MAE=8.436 | MAPE=5.86%
11:33:26 |  Iter-79 | MAE=1.012 | MAPE=0.71%
11:35:00 |  Iter-80 | MAE=8.660 | MAPE=6.21%
11:36:51 |  Iter-81 | MAE=10.993 | MAPE=7.42%
11:39:14 |  Iter-82 | MAE=5.832 | MAPE=4.00%
11:41:00 |  Iter-83 | MAE=3.414 | MAPE=2.39%
11:42:51 |  Iter-84 | MAE=17.948 | MAPE=14.63%
11:44:32 |  Iter-85 | MAE=11.936 | MAPE=8.99%
11:46:43 |  Iter-86 | MAE=1.756 | MAPE=1.33%
