03:57:03 | ================================================================================
03:57:03 |  GPT4TS | DAU | H1 | walkforward | seed=123
03:57:03 | ================================================================================
03:57:03 | Data: 4513 rows | Features: 16
04:01:23 |  Iter-01 | MAE=1.072 | MAPE=1.30%
04:05:38 |  Iter-02 | MAE=0.117 | MAPE=0.14%
04:09:14 |  Iter-03 | MAE=1.156 | MAPE=1.42%
04:12:46 |  Iter-04 | MAE=1.432 | MAPE=1.79%
04:16:24 |  Iter-05 | MAE=0.722 | MAPE=0.91%
04:20:15 |  Iter-06 | MAE=0.964 | MAPE=1.20%
04:24:06 |  Iter-07 | MAE=1.415 | MAPE=1.79%
04:27:51 |  Iter-08 | MAE=0.462 | MAPE=0.58%
04:31:43 |  Iter-09 | MAE=0.438 | MAPE=0.55%
04:35:28 |  Iter-10 | MAE=1.224 | MAPE=1.51%
04:39:19 |  Iter-11 | MAE=0.036 | MAPE=0.04%
04:42:51 |  Iter-12 | MAE=0.389 | MAPE=0.48%
04:46:36 |  Iter-13 | MAE=1.069 | MAPE=1.35%
04:51:20 |  Iter-14 | MAE=0.448 | MAPE=0.56%
04:54:52 |  Iter-15 | MAE=0.586 | MAPE=0.73%
04:58:50 |  Iter-16 | MAE=0.040 | MAPE=0.05%
05:02:22 |  Iter-17 | MAE=0.990 | MAPE=1.25%
05:06:00 |  Iter-18 | MAE=1.366 | MAPE=1.75%
05:09:26 |  Iter-19 | MAE=1.493 | MAPE=1.88%
05:13:11 |  Iter-20 | MAE=2.269 | MAPE=2.93%
05:16:36 |  Iter-21 | MAE=0.471 | MAPE=0.61%
05:20:21 |  Iter-22 | MAE=2.527 | MAPE=3.18%
05:23:46 |  Iter-23 | MAE=0.377 | MAPE=0.47%
05:27:31 |  Iter-24 | MAE=1.292 | MAPE=1.59%
05:31:22 |  Iter-25 | MAE=1.183 | MAPE=1.44%
05:35:00 |  Iter-26 | MAE=0.758 | MAPE=0.93%
05:38:38 |  Iter-27 | MAE=0.155 | MAPE=0.19%
05:42:23 |  Iter-28 | MAE=0.696 | MAPE=0.85%
