01:47:51 | ================================================================================
01:47:51 |  GPT4TS | XANG | H1 | walkforward | seed=9999
01:47:51 | ================================================================================
01:47:51 | Data: 4513 rows | Features: 15
01:50:10 |  Iter-01 | MAE=0.063 | MAPE=0.08%
01:52:17 |  Iter-02 | MAE=0.287 | MAPE=0.36%
01:54:05 |  Iter-03 | MAE=0.452 | MAPE=0.58%
01:55:57 |  Iter-04 | MAE=2.787 | MAPE=3.71%
01:58:04 |  Iter-05 | MAE=0.887 | MAPE=1.19%
02:00:11 |  Iter-06 | MAE=0.243 | MAPE=0.33%
02:02:33 |  Iter-07 | MAE=1.445 | MAPE=1.97%
02:04:48 |  Iter-08 | MAE=0.541 | MAPE=0.73%
02:07:18 |  Iter-09 | MAE=0.151 | MAPE=0.21%
02:09:22 |  Iter-10 | MAE=0.083 | MAPE=0.11%
02:11:18 |  Iter-11 | MAE=0.085 | MAPE=0.12%
02:13:59 |  Iter-12 | MAE=0.328 | MAPE=0.45%
02:16:10 |  Iter-13 | MAE=0.842 | MAPE=1.16%
02:18:15 |  Iter-14 | MAE=0.493 | MAPE=0.68%
02:21:21 |  Iter-15 | MAE=0.085 | MAPE=0.12%
02:23:29 |  Iter-16 | MAE=0.047 | MAPE=0.06%
02:25:45 |  Iter-17 | MAE=0.666 | MAPE=0.92%
02:27:44 |  Iter-18 | MAE=1.156 | MAPE=1.63%
02:29:27 |  Iter-19 | MAE=1.055 | MAPE=1.47%
02:31:48 |  Iter-20 | MAE=1.831 | MAPE=2.61%
02:33:53 |  Iter-21 | MAE=0.518 | MAPE=0.73%
02:36:05 |  Iter-22 | MAE=1.795 | MAPE=2.48%
02:38:16 |  Iter-23 | MAE=0.085 | MAPE=0.12%
02:40:47 |  Iter-24 | MAE=0.422 | MAPE=0.58%
02:43:03 |  Iter-25 | MAE=0.331 | MAPE=0.46%
02:45:11 |  Iter-26 | MAE=0.686 | MAPE=0.95%
02:47:03 |  Iter-27 | MAE=0.730 | MAPE=1.03%
02:49:12 |  Iter-28 | MAE=0.308 | MAPE=0.43%
02:51:28 |  Iter-29 | MAE=0.533 | MAPE=0.74%
02:54:04 |  Iter-30 | MAE=0.680 | MAPE=0.94%
02:56:34 |  Iter-31 | MAE=0.615 | MAPE=0.84%
02:59:38 |  Iter-32 | MAE=0.870 | MAPE=1.23%
03:01:22 |  Iter-33 | MAE=0.651 | MAPE=0.90%
03:03:16 |  Iter-34 | MAE=1.576 | MAPE=2.21%
03:05:25 |  Iter-35 | MAE=2.251 | MAPE=3.06%
03:07:42 |  Iter-36 | MAE=1.178 | MAPE=1.58%
03:09:57 |  Iter-37 | MAE=0.360 | MAPE=0.48%
03:11:57 |  Iter-38 | MAE=2.648 | MAPE=3.69%
03:14:00 |  Iter-39 | MAE=0.167 | MAPE=0.23%
03:15:57 |  Iter-40 | MAE=1.956 | MAPE=2.65%
03:17:50 |  Iter-41 | MAE=0.360 | MAPE=0.49%
03:19:57 |  Iter-42 | MAE=0.181 | MAPE=0.25%
03:22:09 |  Iter-43 | MAE=1.490 | MAPE=1.97%
03:24:23 |  Iter-44 | MAE=1.826 | MAPE=2.35%
03:26:33 |  Iter-45 | MAE=0.945 | MAPE=1.24%
03:28:54 |  Iter-46 | MAE=0.582 | MAPE=0.77%
03:31:03 |  Iter-47 | MAE=3.320 | MAPE=4.57%
03:33:20 |  Iter-48 | MAE=0.135 | MAPE=0.19%
03:35:27 |  Iter-49 | MAE=0.117 | MAPE=0.16%
03:37:31 |  Iter-50 | MAE=0.071 | MAPE=0.10%
03:39:58 |  Iter-51 | MAE=4.160 | MAPE=5.40%
03:42:16 |  Iter-52 | MAE=1.524 | MAPE=1.93%
03:44:51 |  Iter-53 | MAE=0.209 | MAPE=0.27%
03:47:16 |  Iter-54 | MAE=1.553 | MAPE=1.94%
03:49:25 |  Iter-55 | MAE=0.105 | MAPE=0.13%
03:51:43 |  Iter-56 | MAE=0.454 | MAPE=0.56%
03:53:35 |  Iter-57 | MAE=0.381 | MAPE=0.47%
03:55:19 |  Iter-58 | MAE=10.868 | MAPE=11.87%
03:57:34 |  Iter-59 | MAE=5.552 | MAPE=5.71%
03:59:48 |  Iter-60 | MAE=4.807 | MAPE=4.70%
04:01:54 |  Iter-61 | MAE=6.461 | MAPE=5.95%
04:04:13 |  Iter-62 | MAE=8.947 | MAPE=7.59%
04:06:29 |  Iter-63 | MAE=26.013 | MAPE=18.16%
04:10:41 |  Iter-64 | MAE=13.300 | MAPE=10.81%
04:14:22 |  Iter-65 | MAE=8.419 | MAPE=6.93%
04:16:37 |  Iter-66 | MAE=13.053 | MAPE=9.54%
04:19:32 |  Iter-67 | MAE=5.444 | MAPE=3.83%
04:21:37 |  Iter-68 | MAE=1.975 | MAPE=1.33%
04:24:10 |  Iter-69 | MAE=9.516 | MAPE=6.46%
04:25:54 |  Iter-70 | MAE=2.544 | MAPE=1.68%
04:28:03 |  Iter-71 | MAE=11.640 | MAPE=7.39%
04:32:28 |  Iter-72 | MAE=8.956 | MAPE=5.68%
04:35:43 |  Iter-73 | MAE=10.776 | MAPE=6.59%
04:39:16 |  Iter-74 | MAE=14.325 | MAPE=9.88%
04:41:18 |  Iter-75 | MAE=12.359 | MAPE=9.27%
04:43:04 |  Iter-76 | MAE=4.237 | MAPE=3.27%
04:44:46 |  Iter-77 | MAE=2.732 | MAPE=2.05%
04:47:00 |  Iter-78 | MAE=10.779 | MAPE=7.49%
04:49:07 |  Iter-79 | MAE=1.385 | MAPE=0.98%
04:51:04 |  Iter-80 | MAE=3.231 | MAPE=2.30%
04:54:54 |  Iter-81 | MAE=6.237 | MAPE=4.22%
04:56:59 |  Iter-82 | MAE=1.960 | MAPE=1.35%
04:59:01 |  Iter-83 | MAE=3.995 | MAPE=2.77%
05:02:08 |  Iter-84 | MAE=20.135 | MAPE=16.40%
05:03:46 |  Iter-85 | MAE=10.203 | MAPE=7.68%
05:05:54 |  Iter-86 | MAE=2.486 | MAPE=1.91%
05:09:12 |  Iter-87 | MAE=1.862 | MAPE=1.42%
05:11:52 |  Iter-88 | MAE=5.867 | MAPE=4.62%
05:14:03 |  Iter-89 | MAE=4.780 | MAPE=3.94%
