03:57:03 | ================================================================================
03:57:03 |  GUMNet | DAU | H1 | walkforward | seed=123
03:57:03 | ================================================================================
03:57:03 | Data: 4513 rows | Features: 16
04:03:36 |  Iter-01 | MAE=1.971 | MAPE=2.39%
04:10:02 |  Iter-02 | MAE=0.572 | MAPE=0.69%
04:16:22 |  Iter-03 | MAE=1.167 | MAPE=1.43%
04:23:25 |  Iter-04 | MAE=1.547 | MAPE=1.93%
04:30:20 |  Iter-05 | MAE=0.234 | MAPE=0.30%
04:36:51 |  Iter-06 | MAE=0.984 | MAPE=1.23%
04:43:33 |  Iter-07 | MAE=1.655 | MAPE=2.10%
04:50:16 |  Iter-08 | MAE=0.240 | MAPE=0.30%
04:57:21 |  Iter-09 | MAE=0.524 | MAPE=0.66%
05:03:53 |  Iter-10 | MAE=0.074 | MAPE=0.09%
05:10:24 |  Iter-11 | MAE=0.211 | MAPE=0.26%
05:16:56 |  Iter-12 | MAE=0.214 | MAPE=0.27%
05:24:01 |  Iter-13 | MAE=0.484 | MAPE=0.61%
05:30:55 |  Iter-14 | MAE=0.033 | MAPE=0.04%
05:37:14 |  Iter-15 | MAE=0.098 | MAPE=0.12%
05:43:57 |  Iter-16 | MAE=0.525 | MAPE=0.65%
05:50:40 |  Iter-17 | MAE=0.374 | MAPE=0.47%
05:57:01 |  Iter-18 | MAE=1.049 | MAPE=1.34%
06:03:34 |  Iter-19 | MAE=0.442 | MAPE=0.56%
06:10:07 |  Iter-20 | MAE=2.865 | MAPE=3.71%
06:16:40 |  Iter-21 | MAE=0.033 | MAPE=0.04%
06:23:25 |  Iter-22 | MAE=1.939 | MAPE=2.44%
06:30:32 |  Iter-23 | MAE=0.673 | MAPE=0.84%
06:37:40 |  Iter-24 | MAE=0.888 | MAPE=1.09%
06:44:33 |  Iter-25 | MAE=0.716 | MAPE=0.87%
06:51:15 |  Iter-26 | MAE=1.506 | MAPE=1.84%
06:58:17 |  Iter-27 | MAE=0.429 | MAPE=0.52%
07:04:34 |  Iter-28 | MAE=0.745 | MAPE=0.91%
07:11:01 |  Iter-29 | MAE=0.514 | MAPE=0.62%
07:17:39 |  Iter-30 | MAE=0.353 | MAPE=0.42%
