05:09:58 | ================================================================================
05:09:58 |  GUMNet | XANG | H1 | walkforward | seed=123
05:09:58 | ================================================================================
05:09:59 | Data: 4513 rows | Features: 15
05:14:19 |  Iter-01 | MAE=0.314 | MAPE=0.40%
05:18:26 |  Iter-02 | MAE=0.385 | MAPE=0.49%
05:21:37 |  Iter-03 | MAE=0.261 | MAPE=0.33%
05:25:44 |  Iter-04 | MAE=2.259 | MAPE=3.01%
05:29:46 |  Iter-05 | MAE=0.431 | MAPE=0.58%
05:33:54 |  Iter-06 | MAE=1.117 | MAPE=1.50%
05:37:00 |  Iter-07 | MAE=1.721 | MAPE=2.35%
05:41:04 |  Iter-08 | MAE=0.737 | MAPE=1.00%
05:45:06 |  Iter-09 | MAE=1.128 | MAPE=1.53%
05:48:32 |  Iter-10 | MAE=1.043 | MAPE=1.41%
05:52:28 |  Iter-11 | MAE=0.170 | MAPE=0.23%
05:56:08 |  Iter-12 | MAE=0.590 | MAPE=0.81%
06:00:06 |  Iter-13 | MAE=0.518 | MAPE=0.71%
06:03:27 |  Iter-14 | MAE=0.307 | MAPE=0.42%
06:07:24 |  Iter-15 | MAE=0.397 | MAPE=0.55%
06:11:36 |  Iter-16 | MAE=0.075 | MAPE=0.10%
06:15:22 |  Iter-17 | MAE=0.570 | MAPE=0.79%
06:19:47 |  Iter-18 | MAE=0.956 | MAPE=1.35%
06:23:06 |  Iter-19 | MAE=0.219 | MAPE=0.31%
06:27:15 |  Iter-20 | MAE=1.331 | MAPE=1.90%
06:31:26 |  Iter-21 | MAE=0.615 | MAPE=0.87%
06:35:17 |  Iter-22 | MAE=1.247 | MAPE=1.72%
06:39:07 |  Iter-23 | MAE=1.239 | MAPE=1.71%
06:42:15 |  Iter-24 | MAE=0.355 | MAPE=0.49%
06:46:24 |  Iter-25 | MAE=1.408 | MAPE=1.94%
06:50:33 |  Iter-26 | MAE=1.520 | MAPE=2.11%
06:54:31 |  Iter-27 | MAE=1.165 | MAPE=1.64%
06:57:48 |  Iter-28 | MAE=0.126 | MAPE=0.18%
07:01:59 |  Iter-29 | MAE=0.369 | MAPE=0.51%
07:06:06 |  Iter-30 | MAE=0.375 | MAPE=0.52%
07:10:25 |  Iter-31 | MAE=0.593 | MAPE=0.81%
07:14:32 |  Iter-32 | MAE=0.688 | MAPE=0.96%
07:17:57 |  Iter-33 | MAE=0.250 | MAPE=0.35%
07:21:41 |  Iter-34 | MAE=1.772 | MAPE=2.48%
07:26:11 |  Iter-35 | MAE=0.788 | MAPE=1.07%
07:30:17 |  Iter-36 | MAE=0.166 | MAPE=0.22%
07:34:58 |  Iter-37 | MAE=1.185 | MAPE=1.59%
