12:15:30 | ================================================================================
12:15:30 |  GUMNetHet | DAU | H1 | walkforward | seed=123
12:15:30 | ================================================================================
12:15:30 | Data: 4513 rows | Features: 16
12:18:17 |  Iter-01 | MAE=1.410 | MAPE=1.71%
12:20:41 |  Iter-02 | MAE=0.309 | MAPE=0.37%
12:22:55 |  Iter-03 | MAE=1.299 | MAPE=1.59%
12:26:09 |  Iter-04 | MAE=1.453 | MAPE=1.82%
12:29:10 |  Iter-05 | MAE=0.089 | MAPE=0.11%
12:32:11 |  Iter-06 | MAE=0.529 | MAPE=0.66%
12:34:26 |  Iter-07 | MAE=1.720 | MAPE=2.18%
12:37:02 |  Iter-08 | MAE=0.275 | MAPE=0.35%
12:39:10 |  Iter-09 | MAE=0.398 | MAPE=0.50%
12:41:18 |  Iter-10 | MAE=0.484 | MAPE=0.60%
12:43:29 |  Iter-11 | MAE=0.297 | MAPE=0.37%
12:45:59 |  Iter-12 | MAE=0.792 | MAPE=0.98%
12:48:10 |  Iter-13 | MAE=1.039 | MAPE=1.31%
12:50:31 |  Iter-14 | MAE=0.346 | MAPE=0.43%
12:52:39 |  Iter-15 | MAE=0.629 | MAPE=0.78%
12:54:57 |  Iter-16 | MAE=0.268 | MAPE=0.33%
12:57:27 |  Iter-17 | MAE=0.838 | MAPE=1.06%
13:00:03 |  Iter-18 | MAE=0.629 | MAPE=0.81%
13:02:33 |  Iter-19 | MAE=0.081 | MAPE=0.10%
13:04:53 |  Iter-20 | MAE=2.019 | MAPE=2.61%
13:06:55 |  Iter-21 | MAE=0.102 | MAPE=0.13%
13:09:10 |  Iter-22 | MAE=1.600 | MAPE=2.01%
13:11:27 |  Iter-23 | MAE=0.998 | MAPE=1.25%
13:13:35 |  Iter-24 | MAE=0.523 | MAPE=0.64%
13:15:59 |  Iter-25 | MAE=0.314 | MAPE=0.38%
13:18:10 |  Iter-26 | MAE=1.680 | MAPE=2.06%
13:20:49 |  Iter-27 | MAE=1.466 | MAPE=1.80%
13:23:13 |  Iter-28 | MAE=0.532 | MAPE=0.65%
13:26:14 |  Iter-29 | MAE=0.356 | MAPE=0.43%
13:28:41 |  Iter-30 | MAE=1.049 | MAPE=1.25%
13:30:46 |  Iter-31 | MAE=1.739 | MAPE=2.04%
13:32:48 |  Iter-32 | MAE=0.111 | MAPE=0.13%
13:34:53 |  Iter-33 | MAE=0.533 | MAPE=0.62%
13:37:01 |  Iter-34 | MAE=1.433 | MAPE=1.71%
13:39:41 |  Iter-35 | MAE=0.513 | MAPE=0.59%
13:41:49 |  Iter-36 | MAE=1.430 | MAPE=1.61%
13:43:51 |  Iter-37 | MAE=0.996 | MAPE=1.12%
13:46:05 |  Iter-38 | MAE=2.086 | MAPE=2.40%
13:48:13 |  Iter-39 | MAE=1.339 | MAPE=1.55%
13:50:23 |  Iter-40 | MAE=1.507 | MAPE=1.72%
13:52:43 |  Iter-41 | MAE=0.237 | MAPE=0.27%
