22:30:56 | ================================================================================
22:30:56 |  GUMNetHet | XANG | H1 | walkforward | seed=123
22:30:56 | ================================================================================
22:30:56 | Data: 4513 rows | Features: 15
22:34:31 |  Iter-01 | MAE=0.090 | MAPE=0.11%
22:39:57 |  Iter-02 | MAE=0.203 | MAPE=0.26%
22:43:52 |  Iter-03 | MAE=0.915 | MAPE=1.17%
22:45:51 |  Iter-04 | MAE=2.613 | MAPE=3.47%
22:48:09 |  Iter-05 | MAE=0.417 | MAPE=0.56%
22:50:55 |  Iter-06 | MAE=0.729 | MAPE=0.98%
22:53:28 |  Iter-07 | MAE=1.449 | MAPE=1.97%
22:56:02 |  Iter-08 | MAE=0.459 | MAPE=0.62%
22:58:36 |  Iter-09 | MAE=0.911 | MAPE=1.23%
23:01:38 |  Iter-10 | MAE=1.132 | MAPE=1.53%
23:04:25 |  Iter-11 | MAE=0.179 | MAPE=0.24%
23:08:36 |  Iter-12 | MAE=0.751 | MAPE=1.03%
23:11:56 |  Iter-13 | MAE=0.869 | MAPE=1.20%
23:14:46 |  Iter-14 | MAE=0.209 | MAPE=0.29%
23:16:43 |  Iter-15 | MAE=0.139 | MAPE=0.19%
23:19:12 |  Iter-16 | MAE=0.180 | MAPE=0.25%
23:23:49 |  Iter-17 | MAE=0.919 | MAPE=1.27%
23:28:24 |  Iter-18 | MAE=0.964 | MAPE=1.36%
23:31:23 |  Iter-19 | MAE=0.166 | MAPE=0.23%
23:34:01 |  Iter-20 | MAE=1.327 | MAPE=1.89%
23:36:30 |  Iter-21 | MAE=0.452 | MAPE=0.64%
23:39:41 |  Iter-22 | MAE=0.857 | MAPE=1.18%
23:41:52 |  Iter-23 | MAE=1.204 | MAPE=1.67%
23:45:12 |  Iter-24 | MAE=0.080 | MAPE=0.11%
23:48:50 |  Iter-25 | MAE=1.635 | MAPE=2.25%
23:51:10 |  Iter-26 | MAE=1.915 | MAPE=2.66%
23:53:17 |  Iter-27 | MAE=0.350 | MAPE=0.49%
23:57:26 |  Iter-28 | MAE=0.290 | MAPE=0.41%
23:59:46 |  Iter-29 | MAE=0.355 | MAPE=0.49%
00:02:52 |  Iter-30 | MAE=0.501 | MAPE=0.69%
00:04:50 |  Iter-31 | MAE=0.538 | MAPE=0.74%
00:07:55 |  Iter-32 | MAE=0.616 | MAPE=0.86%
00:10:00 |  Iter-33 | MAE=0.751 | MAPE=1.03%
00:13:38 |  Iter-34 | MAE=1.313 | MAPE=1.84%
00:19:33 |  Iter-35 | MAE=0.237 | MAPE=0.32%
00:24:18 |  Iter-36 | MAE=0.707 | MAPE=0.94%
00:27:17 |  Iter-37 | MAE=1.156 | MAPE=1.55%
00:29:37 |  Iter-38 | MAE=3.387 | MAPE=4.72%
00:32:05 |  Iter-39 | MAE=2.362 | MAPE=3.28%
00:35:50 |  Iter-40 | MAE=1.657 | MAPE=2.24%
00:39:40 |  Iter-41 | MAE=0.236 | MAPE=0.32%
00:42:29 |  Iter-42 | MAE=0.830 | MAPE=1.12%
00:45:43 |  Iter-43 | MAE=1.150 | MAPE=1.52%
00:51:06 |  Iter-44 | MAE=0.991 | MAPE=1.28%
