15:13:32 | ================================================================================
15:13:32 |  GUMNet_Adaptive | DAU | H1 | walkforward | seed=123
15:13:32 | ================================================================================
15:13:32 | Data: 4513 rows | Features: 16
15:19:35 |  Iter-01 | MAE=1.536 | MAPE=1.86%
15:25:54 |  Iter-02 | MAE=0.963 | MAPE=1.17%
15:31:01 |  Iter-03 | MAE=1.076 | MAPE=1.32%
15:36:55 |  Iter-04 | MAE=1.486 | MAPE=1.86%
15:43:14 |  Iter-05 | MAE=0.111 | MAPE=0.14%
15:50:13 |  Iter-06 | MAE=0.439 | MAPE=0.55%
15:55:41 |  Iter-07 | MAE=1.391 | MAPE=1.76%
16:00:53 |  Iter-08 | MAE=0.130 | MAPE=0.16%
16:05:46 |  Iter-09 | MAE=0.258 | MAPE=0.32%
16:11:24 |  Iter-10 | MAE=0.887 | MAPE=1.09%
16:16:43 |  Iter-11 | MAE=0.012 | MAPE=0.01%
16:21:28 |  Iter-12 | MAE=0.338 | MAPE=0.42%
16:26:48 |  Iter-13 | MAE=0.231 | MAPE=0.29%
16:32:28 |  Iter-14 | MAE=0.474 | MAPE=0.59%
16:37:39 |  Iter-15 | MAE=0.385 | MAPE=0.48%
16:43:07 |  Iter-16 | MAE=0.328 | MAPE=0.41%
16:48:44 |  Iter-17 | MAE=0.656 | MAPE=0.83%
16:54:04 |  Iter-18 | MAE=1.335 | MAPE=1.71%
16:59:33 |  Iter-19 | MAE=0.086 | MAPE=0.11%
17:05:02 |  Iter-20 | MAE=2.045 | MAPE=2.65%
17:10:04 |  Iter-21 | MAE=0.061 | MAPE=0.08%
17:15:07 |  Iter-22 | MAE=1.637 | MAPE=2.06%
17:20:06 |  Iter-23 | MAE=0.499 | MAPE=0.62%
17:25:33 |  Iter-24 | MAE=1.185 | MAPE=1.46%
17:30:44 |  Iter-25 | MAE=0.337 | MAPE=0.41%
17:36:12 |  Iter-26 | MAE=1.808 | MAPE=2.21%
17:41:14 |  Iter-27 | MAE=1.842 | MAPE=2.26%
17:46:00 |  Iter-28 | MAE=0.198 | MAPE=0.24%
17:51:37 |  Iter-29 | MAE=0.130 | MAPE=0.16%
17:57:05 |  Iter-30 | MAE=0.975 | MAPE=1.16%
18:01:59 |  Iter-31 | MAE=1.370 | MAPE=1.61%
18:07:28 |  Iter-32 | MAE=0.230 | MAPE=0.27%
18:12:39 |  Iter-33 | MAE=0.433 | MAPE=0.51%
18:17:41 |  Iter-34 | MAE=1.517 | MAPE=1.81%
18:22:52 |  Iter-35 | MAE=1.472 | MAPE=1.70%
18:28:02 |  Iter-36 | MAE=1.602 | MAPE=1.81%
18:34:05 |  Iter-37 | MAE=2.055 | MAPE=2.32%
18:39:07 |  Iter-38 | MAE=2.145 | MAPE=2.47%
18:44:47 |  Iter-39 | MAE=1.472 | MAPE=1.71%
18:50:26 |  Iter-40 | MAE=0.741 | MAPE=0.84%
18:55:39 |  Iter-41 | MAE=1.559 | MAPE=1.77%
19:02:02 |  Iter-42 | MAE=1.475 | MAPE=1.66%
19:08:00 |  Iter-43 | MAE=2.104 | MAPE=2.41%
19:14:20 |  Iter-44 | MAE=0.048 | MAPE=0.05%
19:19:46 |  Iter-45 | MAE=0.893 | MAPE=1.00%
19:25:30 |  Iter-46 | MAE=0.451 | MAPE=0.51%
19:30:28 |  Iter-47 | MAE=0.934 | MAPE=1.07%
19:36:03 |  Iter-48 | MAE=0.059 | MAPE=0.07%
19:41:19 |  Iter-49 | MAE=0.136 | MAPE=0.16%
19:46:18 |  Iter-50 | MAE=0.408 | MAPE=0.47%
19:52:48 |  Iter-51 | MAE=2.431 | MAPE=2.66%
19:58:42 |  Iter-52 | MAE=0.918 | MAPE=0.99%
20:03:50 |  Iter-53 | MAE=0.842 | MAPE=0.92%
20:09:34 |  Iter-54 | MAE=1.013 | MAPE=1.10%
20:14:51 |  Iter-55 | MAE=0.484 | MAPE=0.53%
20:20:35 |  Iter-56 | MAE=0.622 | MAPE=0.67%
20:27:03 |  Iter-57 | MAE=0.354 | MAPE=0.38%
20:32:21 |  Iter-58 | MAE=20.925 | MAPE=18.22%
20:37:56 |  Iter-59 | MAE=11.675 | MAPE=9.30%
20:43:12 |  Iter-60 | MAE=12.289 | MAPE=8.59%
20:48:51 |  Iter-61 | MAE=23.337 | MAPE=15.29%
20:53:43 |  Iter-62 | MAE=0.718 | MAPE=0.46%
20:59:45 |  Iter-63 | MAE=24.901 | MAPE=13.46%
21:06:59 |  Iter-64 | MAE=17.381 | MAPE=10.80%
21:12:08 |  Iter-65 | MAE=7.015 | MAPE=4.28%
21:17:27 |  Iter-66 | MAE=22.849 | MAPE=11.78%
21:23:55 |  Iter-67 | MAE=42.187 | MAPE=21.98%
21:28:47 |  Iter-68 | MAE=8.961 | MAPE=4.71%
21:33:48 |  Iter-69 | MAE=17.442 | MAPE=8.82%
21:40:33 |  Iter-70 | MAE=0.537 | MAPE=0.27%
21:45:41 |  Iter-71 | MAE=16.719 | MAPE=7.46%
21:51:07 |  Iter-72 | MAE=6.322 | MAPE=2.84%
21:56:06 |  Iter-73 | MAE=14.366 | MAPE=5.93%
22:01:58 |  Iter-74 | MAE=4.411 | MAPE=2.01%
22:07:50 |  Iter-75 | MAE=26.627 | MAPE=12.98%
22:13:08 |  Iter-76 | MAE=4.785 | MAPE=2.21%
22:19:01 |  Iter-77 | MAE=12.354 | MAPE=5.21%
22:24:53 |  Iter-78 | MAE=5.681 | MAPE=2.26%
22:30:18 |  Iter-79 | MAE=11.907 | MAPE=4.99%
22:36:09 |  Iter-80 | MAE=12.716 | MAPE=5.18%
22:41:44 |  Iter-81 | MAE=46.357 | MAPE=15.86%
22:48:21 |  Iter-82 | MAE=41.961 | MAPE=15.66%
22:54:39 |  Iter-83 | MAE=32.753 | MAPE=13.49%
23:00:39 |  Iter-84 | MAE=60.965 | MAPE=31.91%
23:05:56 |  Iter-85 | MAE=9.341 | MAPE=4.51%
23:11:30 |  Iter-86 | MAE=2.471 | MAPE=1.24%
23:17:48 |  Iter-87 | MAE=16.013 | MAPE=8.43%
23:23:05 |  Iter-88 | MAE=14.634 | MAPE=8.13%
23:28:57 |  Iter-89 | MAE=9.556 | MAPE=5.74%
23:34:13 |  Iter-90 | MAE=2.466 | MAPE=1.55%
23:40:14 |  Iter-91 | MAE=3.118 | MAPE=1.91%
23:45:48 |  Iter-92 | MAE=9.393 | MAPE=6.35%
23:53:00 |  Iter-93 | MAE=10.788 | MAPE=7.40%
23:59:17 |  Iter-94 | MAE=12.446 | MAPE=7.77%
00:05:01 |  Iter-95 | MAE=3.946 | MAPE=2.40%
00:10:25 |  Iter-96 | MAE=1.968 | MAPE=1.19%
00:15:32 |  Iter-97 | MAE=2.368 | MAPE=1.41%
00:21:26 |  Iter-98 | MAE=6.402 | MAPE=3.99%
00:27:56 |  Iter-99 | MAE=1.891 | MAPE=1.15%
00:33:06 |  Iter-100 | MAE=4.766 | MAPE=2.77%
00:33:06 | 
 OVERALL: MAE=6.703, MAPE=3.82%, R2=0.9512 (33574.3s)
00:33:06 | Saved model checkpoint: /data/quyhv/oil_forecast_tail_risk/results_v4/walkforward/GUMNet_Adaptive/DAU_H1_seed123/model_checkpoint.pth
00:33:06 | Saved processor/scaler: /data/quyhv/oil_forecast_tail_risk/results_v4/walkforward/GUMNet_Adaptive/DAU_H1_seed123/processor.pkl
