20:39:24 | ================================================================================
20:39:24 |  GUMNet_Adaptive | XANG | H1 | walkforward | seed=123
20:39:24 | ================================================================================
20:39:24 | Data: 4513 rows | Features: 15
20:46:42 |  Iter-01 | MAE=0.152 | MAPE=0.19%
20:54:41 |  Iter-02 | MAE=0.203 | MAPE=0.26%
21:00:32 |  Iter-03 | MAE=0.288 | MAPE=0.37%
21:07:04 |  Iter-04 | MAE=2.285 | MAPE=3.04%
21:13:39 |  Iter-05 | MAE=0.427 | MAPE=0.57%
21:19:11 |  Iter-06 | MAE=0.555 | MAPE=0.75%
21:24:25 |  Iter-07 | MAE=1.448 | MAPE=1.97%
21:30:32 |  Iter-08 | MAE=0.489 | MAPE=0.66%
21:36:39 |  Iter-09 | MAE=0.703 | MAPE=0.95%
21:42:34 |  Iter-10 | MAE=0.600 | MAPE=0.81%
21:48:31 |  Iter-11 | MAE=0.030 | MAPE=0.04%
21:54:47 |  Iter-12 | MAE=0.440 | MAPE=0.60%
22:00:23 |  Iter-13 | MAE=0.100 | MAPE=0.14%
22:06:46 |  Iter-14 | MAE=0.479 | MAPE=0.66%
22:13:37 |  Iter-15 | MAE=0.160 | MAPE=0.22%
22:20:17 |  Iter-16 | MAE=0.278 | MAPE=0.38%
22:26:10 |  Iter-17 | MAE=0.637 | MAPE=0.88%
22:32:48 |  Iter-18 | MAE=1.325 | MAPE=1.87%
22:38:14 |  Iter-19 | MAE=0.213 | MAPE=0.29%
22:44:10 |  Iter-20 | MAE=1.298 | MAPE=1.85%
22:50:52 |  Iter-21 | MAE=1.246 | MAPE=1.77%
22:56:55 |  Iter-22 | MAE=0.620 | MAPE=0.86%
23:02:34 |  Iter-23 | MAE=1.020 | MAPE=1.41%
23:08:27 |  Iter-24 | MAE=0.721 | MAPE=0.99%
23:14:31 |  Iter-25 | MAE=1.270 | MAPE=1.75%
23:19:34 |  Iter-26 | MAE=1.854 | MAPE=2.57%
23:24:46 |  Iter-27 | MAE=0.644 | MAPE=0.90%
23:30:54 |  Iter-28 | MAE=0.029 | MAPE=0.04%
23:37:29 |  Iter-29 | MAE=0.691 | MAPE=0.96%
23:42:46 |  Iter-30 | MAE=0.371 | MAPE=0.51%
23:47:38 |  Iter-31 | MAE=0.523 | MAPE=0.72%
23:54:06 |  Iter-32 | MAE=0.672 | MAPE=0.94%
00:00:08 |  Iter-33 | MAE=0.351 | MAPE=0.48%
00:06:08 |  Iter-34 | MAE=1.210 | MAPE=1.70%
00:12:05 |  Iter-35 | MAE=1.086 | MAPE=1.48%
00:17:37 |  Iter-36 | MAE=0.770 | MAPE=1.03%
00:23:42 |  Iter-37 | MAE=1.604 | MAPE=2.15%
00:30:13 |  Iter-38 | MAE=2.591 | MAPE=3.61%
00:36:03 |  Iter-39 | MAE=2.775 | MAPE=3.85%
00:40:59 |  Iter-40 | MAE=1.574 | MAPE=2.13%
00:46:32 |  Iter-41 | MAE=0.882 | MAPE=1.19%
00:52:21 |  Iter-42 | MAE=0.803 | MAPE=1.08%
00:59:43 |  Iter-43 | MAE=1.243 | MAPE=1.64%
01:05:06 |  Iter-44 | MAE=1.411 | MAPE=1.82%
01:12:16 |  Iter-45 | MAE=0.651 | MAPE=0.85%
01:18:19 |  Iter-46 | MAE=1.710 | MAPE=2.25%
01:24:21 |  Iter-47 | MAE=2.167 | MAPE=2.98%
01:30:45 |  Iter-48 | MAE=0.100 | MAPE=0.14%
01:37:08 |  Iter-49 | MAE=0.028 | MAPE=0.04%
01:44:46 |  Iter-50 | MAE=0.307 | MAPE=0.42%
01:49:55 |  Iter-51 | MAE=2.692 | MAPE=3.49%
01:55:56 |  Iter-52 | MAE=1.099 | MAPE=1.39%
02:01:54 |  Iter-53 | MAE=0.122 | MAPE=0.16%
02:07:40 |  Iter-54 | MAE=1.964 | MAPE=2.45%
02:13:01 |  Iter-55 | MAE=1.127 | MAPE=1.41%
02:18:19 |  Iter-56 | MAE=0.891 | MAPE=1.11%
02:24:52 |  Iter-57 | MAE=0.150 | MAPE=0.19%
02:30:22 |  Iter-58 | MAE=9.655 | MAPE=10.55%
02:36:54 |  Iter-59 | MAE=4.970 | MAPE=5.12%
02:43:12 |  Iter-60 | MAE=1.974 | MAPE=1.92%
02:49:31 |  Iter-61 | MAE=10.736 | MAPE=9.90%
02:55:13 |  Iter-62 | MAE=12.075 | MAPE=10.25%
03:00:55 |  Iter-63 | MAE=23.392 | MAPE=16.33%
03:06:14 |  Iter-64 | MAE=28.050 | MAPE=22.76%
03:12:36 |  Iter-65 | MAE=2.097 | MAPE=1.71%
03:18:10 |  Iter-66 | MAE=13.093 | MAPE=9.56%
03:25:30 |  Iter-67 | MAE=9.548 | MAPE=6.71%
03:31:04 |  Iter-68 | MAE=1.824 | MAPE=1.26%
03:37:03 |  Iter-69 | MAE=1.663 | MAPE=1.13%
03:44:24 |  Iter-70 | MAE=5.925 | MAPE=4.04%
03:50:59 |  Iter-71 | MAE=8.042 | MAPE=5.08%
03:57:09 |  Iter-72 | MAE=5.216 | MAPE=3.30%
04:02:17 |  Iter-73 | MAE=4.041 | MAPE=2.47%
04:08:46 |  Iter-74 | MAE=10.442 | MAPE=7.20%
04:14:23 |  Iter-75 | MAE=19.851 | MAPE=14.91%
04:19:43 |  Iter-76 | MAE=0.662 | MAPE=0.51%
04:26:52 |  Iter-77 | MAE=3.354 | MAPE=2.53%
04:32:54 |  Iter-78 | MAE=8.059 | MAPE=5.60%
04:38:03 |  Iter-79 | MAE=1.339 | MAPE=0.94%
04:44:17 |  Iter-80 | MAE=1.419 | MAPE=1.02%
04:49:47 |  Iter-81 | MAE=7.283 | MAPE=4.92%
04:55:17 |  Iter-82 | MAE=1.929 | MAPE=1.34%
05:01:05 |  Iter-83 | MAE=7.021 | MAPE=4.92%
05:06:53 |  Iter-84 | MAE=26.740 | MAPE=21.78%
05:12:42 |  Iter-85 | MAE=18.164 | MAPE=13.68%
05:18:11 |  Iter-86 | MAE=0.878 | MAPE=0.68%
05:24:15 |  Iter-87 | MAE=1.077 | MAPE=0.80%
05:30:21 |  Iter-88 | MAE=8.622 | MAPE=6.81%
05:35:36 |  Iter-89 | MAE=0.683 | MAPE=0.57%
05:43:43 |  Iter-90 | MAE=2.378 | MAPE=1.95%
05:50:07 |  Iter-91 | MAE=2.274 | MAPE=1.83%
05:56:18 |  Iter-92 | MAE=3.652 | MAPE=3.01%
06:02:21 |  Iter-93 | MAE=4.774 | MAPE=3.95%
06:08:07 |  Iter-94 | MAE=2.817 | MAPE=2.24%
06:15:29 |  Iter-95 | MAE=1.464 | MAPE=1.14%
06:21:50 |  Iter-96 | MAE=1.774 | MAPE=1.41%
06:28:29 |  Iter-97 | MAE=2.577 | MAPE=1.99%
06:35:40 |  Iter-98 | MAE=1.836 | MAPE=1.42%
06:41:07 |  Iter-99 | MAE=0.609 | MAPE=0.46%
06:47:03 |  Iter-100 | MAE=1.150 | MAPE=0.85%
06:47:03 | 
 OVERALL: MAE=3.362, MAPE=2.90%, R2=0.9553 (36459.6s)
06:47:03 | Saved model checkpoint: /data/quyhv/oil_forecast_tail_risk/results_v4/walkforward/GUMNet_Adaptive/XANG_H1_seed123/model_checkpoint.pth
06:47:03 | Saved processor/scaler: /data/quyhv/oil_forecast_tail_risk/results_v4/walkforward/GUMNet_Adaptive/XANG_H1_seed123/processor.pkl
