20:22:48 | ================================================================================
20:22:48 |  GUMNet_Decomp | DAU | H1 | walkforward | seed=777
20:22:48 | ================================================================================
20:22:48 | Data: 4513 rows | Features: 16
20:29:29 |  Iter-01 | MAE=1.620 | MAPE=1.97%
20:36:09 |  Iter-02 | MAE=0.524 | MAPE=0.63%
20:42:37 |  Iter-03 | MAE=1.256 | MAPE=1.54%
20:48:47 |  Iter-04 | MAE=1.322 | MAPE=1.65%
20:54:52 |  Iter-05 | MAE=0.470 | MAPE=0.59%
21:01:11 |  Iter-06 | MAE=0.419 | MAPE=0.52%
21:07:40 |  Iter-07 | MAE=1.528 | MAPE=1.94%
21:13:24 |  Iter-08 | MAE=0.182 | MAPE=0.23%
21:20:18 |  Iter-09 | MAE=0.096 | MAPE=0.12%
21:26:27 |  Iter-10 | MAE=0.463 | MAPE=0.57%
21:32:42 |  Iter-11 | MAE=0.358 | MAPE=0.44%
21:39:02 |  Iter-12 | MAE=0.048 | MAPE=0.06%
21:45:39 |  Iter-13 | MAE=0.230 | MAPE=0.29%
21:51:54 |  Iter-14 | MAE=0.123 | MAPE=0.15%
21:57:16 |  Iter-15 | MAE=0.556 | MAPE=0.69%
22:04:03 |  Iter-16 | MAE=0.370 | MAPE=0.46%
22:10:08 |  Iter-17 | MAE=0.623 | MAPE=0.79%
22:16:28 |  Iter-18 | MAE=1.369 | MAPE=1.75%
22:22:32 |  Iter-19 | MAE=0.272 | MAPE=0.34%
22:28:33 |  Iter-20 | MAE=1.859 | MAPE=2.41%
22:34:49 |  Iter-21 | MAE=0.588 | MAPE=0.76%
22:40:57 |  Iter-22 | MAE=1.065 | MAPE=1.34%
22:46:51 |  Iter-23 | MAE=0.320 | MAPE=0.40%
22:53:47 |  Iter-24 | MAE=1.091 | MAPE=1.34%
23:00:24 |  Iter-25 | MAE=0.971 | MAPE=1.18%
23:06:40 |  Iter-26 | MAE=0.447 | MAPE=0.55%
23:12:44 |  Iter-27 | MAE=3.051 | MAPE=3.74%
23:19:32 |  Iter-28 | MAE=0.413 | MAPE=0.50%
23:25:53 |  Iter-29 | MAE=0.763 | MAPE=0.92%
23:32:06 |  Iter-30 | MAE=0.910 | MAPE=1.08%
23:38:11 |  Iter-31 | MAE=2.193 | MAPE=2.57%
23:45:05 |  Iter-32 | MAE=0.241 | MAPE=0.29%
23:51:09 |  Iter-33 | MAE=0.166 | MAPE=0.19%
23:57:02 |  Iter-34 | MAE=1.983 | MAPE=2.36%
00:03:01 |  Iter-35 | MAE=0.438 | MAPE=0.51%
00:09:27 |  Iter-36 | MAE=1.426 | MAPE=1.61%
00:15:56 |  Iter-37 | MAE=0.560 | MAPE=0.63%
00:22:44 |  Iter-38 | MAE=1.581 | MAPE=1.82%
00:28:32 |  Iter-39 | MAE=0.945 | MAPE=1.10%
00:35:08 |  Iter-40 | MAE=1.754 | MAPE=2.00%
00:41:10 |  Iter-41 | MAE=0.517 | MAPE=0.59%
00:47:24 |  Iter-42 | MAE=2.353 | MAPE=2.65%
00:53:34 |  Iter-43 | MAE=1.422 | MAPE=1.63%
01:00:16 |  Iter-44 | MAE=0.645 | MAPE=0.73%
01:06:56 |  Iter-45 | MAE=1.082 | MAPE=1.22%
01:13:58 |  Iter-46 | MAE=0.124 | MAPE=0.14%
01:20:25 |  Iter-47 | MAE=0.460 | MAPE=0.53%
01:26:04 |  Iter-48 | MAE=0.279 | MAPE=0.32%
01:32:24 |  Iter-49 | MAE=0.283 | MAPE=0.33%
01:38:53 |  Iter-50 | MAE=0.586 | MAPE=0.68%
01:45:33 |  Iter-51 | MAE=3.234 | MAPE=3.54%
01:52:26 |  Iter-52 | MAE=1.108 | MAPE=1.20%
01:58:43 |  Iter-53 | MAE=1.557 | MAPE=1.70%
02:05:19 |  Iter-54 | MAE=0.756 | MAPE=0.82%
02:11:28 |  Iter-55 | MAE=0.574 | MAPE=0.62%
02:17:32 |  Iter-56 | MAE=1.000 | MAPE=1.08%
02:24:41 |  Iter-57 | MAE=0.339 | MAPE=0.37%
02:31:47 |  Iter-58 | MAE=21.425 | MAPE=18.66%
02:36:35 |  Iter-59 | MAE=13.668 | MAPE=10.89%
02:41:42 |  Iter-60 | MAE=13.393 | MAPE=9.35%
02:46:54 |  Iter-61 | MAE=9.764 | MAPE=6.40%
02:52:29 |  Iter-62 | MAE=2.637 | MAPE=1.70%
02:58:22 |  Iter-63 | MAE=20.434 | MAPE=11.05%
03:03:31 |  Iter-64 | MAE=29.584 | MAPE=18.39%
03:08:31 |  Iter-65 | MAE=5.085 | MAPE=3.10%
03:13:40 |  Iter-66 | MAE=30.131 | MAPE=15.53%
03:18:31 |  Iter-67 | MAE=1.020 | MAPE=0.53%
03:23:30 |  Iter-68 | MAE=2.458 | MAPE=1.29%
03:28:38 |  Iter-69 | MAE=6.982 | MAPE=3.53%
03:33:29 |  Iter-70 | MAE=2.829 | MAPE=1.43%
03:38:18 |  Iter-71 | MAE=23.895 | MAPE=10.67%
03:43:06 |  Iter-72 | MAE=5.255 | MAPE=2.36%
03:48:21 |  Iter-73 | MAE=21.598 | MAPE=8.91%
03:53:02 |  Iter-74 | MAE=13.935 | MAPE=6.35%
03:58:00 |  Iter-75 | MAE=17.641 | MAPE=8.60%
04:02:58 |  Iter-76 | MAE=11.378 | MAPE=5.27%
04:07:48 |  Iter-77 | MAE=17.127 | MAPE=7.22%
04:12:55 |  Iter-78 | MAE=13.849 | MAPE=5.50%
04:17:52 |  Iter-79 | MAE=8.684 | MAPE=3.64%
04:22:50 |  Iter-80 | MAE=6.443 | MAPE=2.62%
04:28:49 |  Iter-81 | MAE=53.803 | MAPE=18.41%
04:33:48 |  Iter-82 | MAE=30.503 | MAPE=11.40%
04:38:38 |  Iter-83 | MAE=21.007 | MAPE=8.67%
04:43:45 |  Iter-84 | MAE=52.052 | MAPE=27.27%
04:48:52 |  Iter-85 | MAE=10.336 | MAPE=5.01%
04:53:43 |  Iter-86 | MAE=2.503 | MAPE=1.30%
04:58:50 |  Iter-87 | MAE=7.990 | MAPE=4.18%
05:03:39 |  Iter-88 | MAE=15.751 | MAPE=8.73%
05:08:29 |  Iter-89 | MAE=12.766 | MAPE=7.71%
05:13:28 |  Iter-90 | MAE=2.056 | MAPE=1.21%
05:18:17 |  Iter-91 | MAE=4.723 | MAPE=2.89%
05:23:16 |  Iter-92 | MAE=9.501 | MAPE=6.43%
05:28:05 |  Iter-93 | MAE=2.799 | MAPE=1.93%
05:34:05 |  Iter-94 | MAE=14.435 | MAPE=9.02%
05:39:13 |  Iter-95 | MAE=0.392 | MAPE=0.24%
05:44:03 |  Iter-96 | MAE=0.504 | MAPE=0.29%
05:48:53 |  Iter-97 | MAE=3.746 | MAPE=2.24%
05:53:44 |  Iter-98 | MAE=6.067 | MAPE=3.78%
05:59:00 |  Iter-99 | MAE=0.870 | MAPE=0.52%
06:03:59 |  Iter-100 | MAE=5.293 | MAPE=3.09%
06:03:59 | 
 OVERALL: MAE=6.072, MAPE=3.47%, R2=0.9600 (34871.6s)
06:03:59 | Saved model checkpoint: /data/quyhv/oil_forecast_tail_risk/results_v4/walkforward/GUMNet_Decomp/DAU_H1_seed777/model_checkpoint.pth
06:03:59 | Saved processor/scaler: /data/quyhv/oil_forecast_tail_risk/results_v4/walkforward/GUMNet_Decomp/DAU_H1_seed777/processor.pkl
