15:51:43 | ================================================================================
15:51:43 |  GUMNet_Decomp | XANG | H10 | walkforward | seed=2025
15:51:43 | ================================================================================
15:51:43 | Data: 4513 rows | Features: 14
15:51:43 | ================================================================================
15:51:43 |  GUMNet_Decomp | XANG | H10 | walkforward | seed=9999
15:51:43 | ================================================================================
15:51:43 | Data: 4513 rows | Features: 14
15:51:43 | ================================================================================
15:51:43 |  GUMNet_Decomp | XANG | H10 | walkforward | seed=777
15:51:43 | ================================================================================
15:51:43 | Data: 4513 rows | Features: 14
16:00:33 |  Iter-01 | MAE=2.282 | MAPE=2.86%
16:00:34 |  Iter-01 | MAE=2.981 | MAPE=3.75%
16:00:35 |  Iter-01 | MAE=3.332 | MAPE=4.19%
16:09:16 |  Iter-02 | MAE=2.657 | MAPE=3.40%
16:09:19 |  Iter-02 | MAE=2.893 | MAPE=3.70%
16:09:19 |  Iter-02 | MAE=3.129 | MAPE=4.01%
16:18:01 |  Iter-03 | MAE=1.079 | MAPE=1.36%
16:18:02 |  Iter-03 | MAE=0.719 | MAPE=0.91%
16:18:04 |  Iter-03 | MAE=0.806 | MAPE=1.02%
16:26:51 |  Iter-04 | MAE=1.522 | MAPE=1.90%
16:26:53 |  Iter-04 | MAE=1.681 | MAPE=2.10%
16:26:54 |  Iter-04 | MAE=1.163 | MAPE=1.45%
16:35:41 |  Iter-05 | MAE=0.890 | MAPE=1.11%
16:36:02 |  Iter-05 | MAE=0.996 | MAPE=1.24%
16:36:07 |  Iter-05 | MAE=0.996 | MAPE=1.24%
16:44:29 |  Iter-06 | MAE=0.744 | MAPE=0.91%
16:45:11 |  Iter-06 | MAE=1.162 | MAPE=1.43%
16:45:27 |  Iter-06 | MAE=1.323 | MAPE=1.63%
16:53:19 |  Iter-07 | MAE=0.804 | MAPE=0.99%
16:54:26 |  Iter-07 | MAE=0.779 | MAPE=0.96%
16:54:48 |  Iter-07 | MAE=0.804 | MAPE=0.99%
17:02:09 |  Iter-08 | MAE=1.408 | MAPE=1.76%
17:03:38 |  Iter-08 | MAE=1.381 | MAPE=1.73%
17:04:07 |  Iter-08 | MAE=1.392 | MAPE=1.74%
17:11:02 |  Iter-09 | MAE=2.481 | MAPE=3.14%
17:12:55 |  Iter-09 | MAE=2.522 | MAPE=3.19%
17:13:25 |  Iter-09 | MAE=2.413 | MAPE=3.06%
17:24:19 |  Iter-10 | MAE=2.067 | MAPE=2.66%
17:28:40 |  Iter-10 | MAE=2.470 | MAPE=3.19%
17:29:38 |  Iter-10 | MAE=2.023 | MAPE=2.60%
17:41:51 |  Iter-11 | MAE=0.636 | MAPE=0.82%
17:46:41 |  Iter-11 | MAE=0.656 | MAPE=0.85%
17:47:45 |  Iter-11 | MAE=0.725 | MAPE=0.94%
17:59:24 |  Iter-12 | MAE=1.324 | MAPE=1.73%
18:04:58 |  Iter-12 | MAE=1.292 | MAPE=1.68%
18:06:09 |  Iter-12 | MAE=1.729 | MAPE=2.25%
18:16:56 |  Iter-13 | MAE=2.293 | MAPE=2.85%
18:23:53 |  Iter-13 | MAE=2.084 | MAPE=2.60%
18:24:32 |  Iter-13 | MAE=1.968 | MAPE=2.47%
18:34:42 |  Iter-14 | MAE=3.148 | MAPE=3.90%
18:42:40 |  Iter-14 | MAE=2.951 | MAPE=3.66%
18:43:25 |  Iter-14 | MAE=2.542 | MAPE=3.15%
18:53:12 |  Iter-15 | MAE=0.808 | MAPE=1.01%
19:01:19 |  Iter-15 | MAE=1.179 | MAPE=1.47%
19:01:59 |  Iter-15 | MAE=1.328 | MAPE=1.65%
19:11:28 |  Iter-16 | MAE=2.406 | MAPE=2.96%
19:19:05 |  Iter-16 | MAE=2.439 | MAPE=3.00%
19:19:48 |  Iter-16 | MAE=2.614 | MAPE=3.21%
19:29:52 |  Iter-17 | MAE=2.273 | MAPE=2.91%
19:36:48 |  Iter-17 | MAE=2.106 | MAPE=2.69%
19:37:34 |  Iter-17 | MAE=1.987 | MAPE=2.54%
19:48:37 |  Iter-18 | MAE=1.375 | MAPE=1.73%
19:54:33 |  Iter-18 | MAE=1.417 | MAPE=1.78%
19:55:21 |  Iter-18 | MAE=1.198 | MAPE=1.52%
20:07:23 |  Iter-19 | MAE=1.024 | MAPE=1.28%
20:13:22 |  Iter-19 | MAE=0.966 | MAPE=1.21%
20:14:34 |  Iter-19 | MAE=1.072 | MAPE=1.34%
20:26:06 |  Iter-20 | MAE=3.181 | MAPE=4.14%
20:32:51 |  Iter-20 | MAE=2.952 | MAPE=3.84%
20:34:06 |  Iter-20 | MAE=2.776 | MAPE=3.62%
20:44:37 |  Iter-21 | MAE=3.361 | MAPE=4.53%
20:52:24 |  Iter-21 | MAE=3.359 | MAPE=4.53%
20:53:50 |  Iter-21 | MAE=3.416 | MAPE=4.60%
21:03:05 |  Iter-22 | MAE=1.801 | MAPE=2.47%
