16:49:31 | ================================================================================
16:49:31 |  GUMNet_Decomp | XANG | H1 | walkforward | seed=9999
16:49:31 | ================================================================================
16:49:31 | Data: 4513 rows | Features: 15
16:55:22 |  Iter-01 | MAE=0.165 | MAPE=0.21%
17:00:45 |  Iter-02 | MAE=0.213 | MAPE=0.27%
17:06:02 |  Iter-03 | MAE=0.472 | MAPE=0.60%
17:11:17 |  Iter-04 | MAE=2.594 | MAPE=3.45%
17:16:33 |  Iter-05 | MAE=0.422 | MAPE=0.57%
17:21:42 |  Iter-06 | MAE=0.971 | MAPE=1.31%
17:26:57 |  Iter-07 | MAE=1.518 | MAPE=2.07%
17:32:54 |  Iter-08 | MAE=0.466 | MAPE=0.63%
17:37:52 |  Iter-09 | MAE=0.563 | MAPE=0.76%
17:43:14 |  Iter-10 | MAE=0.608 | MAPE=0.82%
17:48:05 |  Iter-11 | MAE=0.295 | MAPE=0.40%
17:52:54 |  Iter-12 | MAE=0.300 | MAPE=0.41%
17:57:36 |  Iter-13 | MAE=0.389 | MAPE=0.54%
18:02:17 |  Iter-14 | MAE=0.309 | MAPE=0.43%
18:06:54 |  Iter-15 | MAE=0.458 | MAPE=0.63%
18:12:36 |  Iter-16 | MAE=0.927 | MAPE=1.27%
18:17:18 |  Iter-17 | MAE=0.490 | MAPE=0.67%
18:22:16 |  Iter-18 | MAE=1.476 | MAPE=2.09%
18:27:03 |  Iter-19 | MAE=0.360 | MAPE=0.50%
18:31:52 |  Iter-20 | MAE=1.101 | MAPE=1.57%
18:36:32 |  Iter-21 | MAE=0.720 | MAPE=1.02%
18:41:25 |  Iter-22 | MAE=0.850 | MAPE=1.17%
18:46:16 |  Iter-23 | MAE=0.763 | MAPE=1.05%
18:52:02 |  Iter-24 | MAE=0.198 | MAPE=0.27%
18:57:08 |  Iter-25 | MAE=0.616 | MAPE=0.85%
19:01:49 |  Iter-26 | MAE=0.763 | MAPE=1.06%
19:06:45 |  Iter-27 | MAE=1.165 | MAPE=1.64%
19:13:12 |  Iter-28 | MAE=0.048 | MAPE=0.07%
19:19:17 |  Iter-29 | MAE=0.887 | MAPE=1.24%
19:24:22 |  Iter-30 | MAE=0.785 | MAPE=1.08%
19:29:38 |  Iter-31 | MAE=0.600 | MAPE=0.82%
19:34:29 |  Iter-32 | MAE=0.649 | MAPE=0.90%
19:40:07 |  Iter-33 | MAE=0.656 | MAPE=0.90%
19:45:25 |  Iter-34 | MAE=1.727 | MAPE=2.42%
19:51:44 |  Iter-35 | MAE=0.566 | MAPE=0.77%
19:56:49 |  Iter-36 | MAE=0.541 | MAPE=0.72%
20:01:55 |  Iter-37 | MAE=0.769 | MAPE=1.03%
20:06:50 |  Iter-38 | MAE=2.074 | MAPE=2.89%
20:12:04 |  Iter-39 | MAE=3.067 | MAPE=4.26%
20:17:00 |  Iter-40 | MAE=1.394 | MAPE=1.89%
20:21:40 |  Iter-41 | MAE=0.232 | MAPE=0.31%
20:26:55 |  Iter-42 | MAE=1.352 | MAPE=1.82%
20:31:43 |  Iter-43 | MAE=0.880 | MAPE=1.16%
20:36:11 |  Iter-44 | MAE=0.837 | MAPE=1.08%
20:41:07 |  Iter-45 | MAE=0.591 | MAPE=0.78%
20:46:37 |  Iter-46 | MAE=0.719 | MAPE=0.95%
20:52:58 |  Iter-47 | MAE=2.110 | MAPE=2.90%
20:57:52 |  Iter-48 | MAE=0.142 | MAPE=0.20%
21:03:02 |  Iter-49 | MAE=0.057 | MAPE=0.08%
21:07:43 |  Iter-50 | MAE=0.777 | MAPE=1.07%
21:12:43 |  Iter-51 | MAE=3.064 | MAPE=3.98%
21:18:48 |  Iter-52 | MAE=1.085 | MAPE=1.38%
21:23:28 |  Iter-53 | MAE=0.564 | MAPE=0.72%
21:29:41 |  Iter-54 | MAE=1.805 | MAPE=2.25%
21:35:42 |  Iter-55 | MAE=1.087 | MAPE=1.35%
21:41:03 |  Iter-56 | MAE=0.325 | MAPE=0.40%
21:45:46 |  Iter-57 | MAE=0.428 | MAPE=0.53%
21:50:55 |  Iter-58 | MAE=10.101 | MAPE=11.04%
21:56:28 |  Iter-59 | MAE=6.152 | MAPE=6.33%
22:02:14 |  Iter-60 | MAE=3.936 | MAPE=3.84%
22:07:04 |  Iter-61 | MAE=13.696 | MAPE=12.61%
22:12:01 |  Iter-62 | MAE=5.672 | MAPE=4.79%
22:16:45 |  Iter-63 | MAE=21.092 | MAPE=14.72%
22:21:32 |  Iter-64 | MAE=20.525 | MAPE=16.66%
22:26:13 |  Iter-65 | MAE=2.039 | MAPE=1.65%
22:32:06 |  Iter-66 | MAE=18.171 | MAPE=13.30%
22:37:05 |  Iter-67 | MAE=7.132 | MAPE=5.01%
22:41:43 |  Iter-68 | MAE=4.152 | MAPE=2.83%
22:46:15 |  Iter-69 | MAE=3.516 | MAPE=2.41%
22:50:46 |  Iter-70 | MAE=1.738 | MAPE=1.19%
22:55:18 |  Iter-71 | MAE=10.449 | MAPE=6.60%
