11:40:39 | ================================================================================
11:40:39 |  GUMNet_Diffusion | DAU | H1 | walkforward | seed=777
11:40:39 | ================================================================================
11:40:39 | Data: 4513 rows | Features: 16
11:46:38 |  Iter-01 | MAE=1.634 | MAPE=1.98%
11:52:22 |  Iter-02 | MAE=0.928 | MAPE=1.12%
11:57:58 |  Iter-03 | MAE=1.581 | MAPE=1.94%
12:03:43 |  Iter-04 | MAE=0.970 | MAPE=1.21%
12:09:26 |  Iter-05 | MAE=0.622 | MAPE=0.78%
12:15:01 |  Iter-06 | MAE=0.919 | MAPE=1.15%
12:21:03 |  Iter-07 | MAE=1.528 | MAPE=1.94%
12:26:30 |  Iter-08 | MAE=0.635 | MAPE=0.80%
12:31:48 |  Iter-09 | MAE=0.172 | MAPE=0.21%
12:37:33 |  Iter-10 | MAE=0.482 | MAPE=0.59%
12:42:59 |  Iter-11 | MAE=0.131 | MAPE=0.16%
12:48:52 |  Iter-12 | MAE=0.490 | MAPE=0.61%
12:55:02 |  Iter-13 | MAE=0.044 | MAPE=0.06%
13:00:55 |  Iter-14 | MAE=0.495 | MAPE=0.62%
13:06:39 |  Iter-15 | MAE=0.768 | MAPE=0.96%
13:12:15 |  Iter-16 | MAE=0.884 | MAPE=1.10%
13:17:59 |  Iter-17 | MAE=0.537 | MAPE=0.68%
13:23:34 |  Iter-18 | MAE=0.970 | MAPE=1.24%
13:29:09 |  Iter-19 | MAE=0.147 | MAPE=0.18%
13:35:02 |  Iter-20 | MAE=2.055 | MAPE=2.66%
13:40:28 |  Iter-21 | MAE=0.886 | MAPE=1.15%
13:46:48 |  Iter-22 | MAE=1.398 | MAPE=1.76%
13:52:15 |  Iter-23 | MAE=0.681 | MAPE=0.85%
13:58:25 |  Iter-24 | MAE=0.668 | MAPE=0.82%
14:03:34 |  Iter-25 | MAE=0.294 | MAPE=0.36%
14:08:43 |  Iter-26 | MAE=1.331 | MAPE=1.63%
14:14:10 |  Iter-27 | MAE=2.454 | MAPE=3.00%
14:19:46 |  Iter-28 | MAE=0.097 | MAPE=0.12%
14:25:13 |  Iter-29 | MAE=0.393 | MAPE=0.48%
14:30:40 |  Iter-30 | MAE=0.824 | MAPE=0.98%
14:35:49 |  Iter-31 | MAE=1.945 | MAPE=2.28%
14:40:59 |  Iter-32 | MAE=0.348 | MAPE=0.41%
14:46:35 |  Iter-33 | MAE=0.284 | MAPE=0.33%
14:52:02 |  Iter-34 | MAE=0.895 | MAPE=1.07%
14:58:05 |  Iter-35 | MAE=0.012 | MAPE=0.01%
15:03:23 |  Iter-36 | MAE=0.726 | MAPE=0.82%
15:08:59 |  Iter-37 | MAE=2.060 | MAPE=2.32%
15:14:25 |  Iter-38 | MAE=2.214 | MAPE=2.54%
15:21:19 |  Iter-39 | MAE=2.942 | MAPE=3.41%
15:26:56 |  Iter-40 | MAE=0.334 | MAPE=0.38%
15:32:32 |  Iter-41 | MAE=0.755 | MAPE=0.86%
15:38:17 |  Iter-42 | MAE=2.228 | MAPE=2.51%
15:43:44 |  Iter-43 | MAE=1.347 | MAPE=1.54%
15:49:25 |  Iter-44 | MAE=0.567 | MAPE=0.64%
15:55:40 |  Iter-45 | MAE=1.078 | MAPE=1.21%
16:01:13 |  Iter-46 | MAE=0.520 | MAPE=0.58%
16:07:04 |  Iter-47 | MAE=1.043 | MAPE=1.20%
16:12:17 |  Iter-48 | MAE=0.586 | MAPE=0.68%
16:17:58 |  Iter-49 | MAE=0.535 | MAPE=0.62%
16:24:05 |  Iter-50 | MAE=0.526 | MAPE=0.61%
16:29:38 |  Iter-51 | MAE=2.875 | MAPE=3.15%
16:35:11 |  Iter-52 | MAE=0.262 | MAPE=0.28%
16:41:00 |  Iter-53 | MAE=1.483 | MAPE=1.62%
16:46:50 |  Iter-54 | MAE=1.287 | MAPE=1.40%
16:52:32 |  Iter-55 | MAE=0.526 | MAPE=0.57%
16:58:03 |  Iter-56 | MAE=1.465 | MAPE=1.59%
17:03:26 |  Iter-57 | MAE=0.095 | MAPE=0.10%
17:09:02 |  Iter-58 | MAE=22.221 | MAPE=19.35%
17:15:01 |  Iter-59 | MAE=9.902 | MAPE=7.89%
17:20:30 |  Iter-60 | MAE=15.102 | MAPE=10.55%
17:26:39 |  Iter-61 | MAE=12.420 | MAPE=8.14%
17:32:49 |  Iter-62 | MAE=2.301 | MAPE=1.48%
17:38:00 |  Iter-63 | MAE=24.067 | MAPE=13.01%
17:43:35 |  Iter-64 | MAE=28.206 | MAPE=17.53%
17:49:46 |  Iter-65 | MAE=8.962 | MAPE=5.46%
17:56:00 |  Iter-66 | MAE=33.531 | MAPE=17.28%
18:01:18 |  Iter-67 | MAE=9.232 | MAPE=4.81%
18:06:40 |  Iter-68 | MAE=9.525 | MAPE=5.00%
18:12:10 |  Iter-69 | MAE=16.813 | MAPE=8.50%
18:18:42 |  Iter-70 | MAE=6.904 | MAPE=3.48%
18:23:54 |  Iter-71 | MAE=18.231 | MAPE=8.14%
18:29:15 |  Iter-72 | MAE=3.625 | MAPE=1.63%
18:35:03 |  Iter-73 | MAE=14.614 | MAPE=6.03%
18:40:15 |  Iter-74 | MAE=12.355 | MAPE=5.63%
18:45:36 |  Iter-75 | MAE=15.691 | MAPE=7.65%
18:50:56 |  Iter-76 | MAE=9.420 | MAPE=4.36%
18:56:17 |  Iter-77 | MAE=13.579 | MAPE=5.72%
19:01:47 |  Iter-78 | MAE=3.562 | MAPE=1.42%
19:07:25 |  Iter-79 | MAE=17.277 | MAPE=7.25%
19:12:37 |  Iter-80 | MAE=1.907 | MAPE=0.78%
19:18:15 |  Iter-81 | MAE=49.350 | MAPE=16.88%
19:23:44 |  Iter-82 | MAE=24.550 | MAPE=9.18%
19:29:14 |  Iter-83 | MAE=17.567 | MAPE=7.29%
19:34:26 |  Iter-84 | MAE=60.138 | MAPE=31.50%
19:39:47 |  Iter-85 | MAE=14.120 | MAPE=6.94%
19:45:55 |  Iter-86 | MAE=2.681 | MAPE=1.34%
19:52:54 |  Iter-87 | MAE=7.125 | MAPE=3.74%
19:59:45 |  Iter-88 | MAE=19.058 | MAPE=10.56%
20:06:14 |  Iter-89 | MAE=13.049 | MAPE=7.88%
20:13:22 |  Iter-90 | MAE=5.723 | MAPE=3.52%
20:19:41 |  Iter-91 | MAE=4.989 | MAPE=3.04%
20:26:17 |  Iter-92 | MAE=9.034 | MAPE=6.11%
20:33:23 |  Iter-93 | MAE=1.059 | MAPE=0.71%
20:40:02 |  Iter-94 | MAE=11.369 | MAPE=7.10%
20:46:07 |  Iter-95 | MAE=0.790 | MAPE=0.48%
20:52:56 |  Iter-96 | MAE=0.195 | MAPE=0.12%
20:59:33 |  Iter-97 | MAE=3.912 | MAPE=2.33%
21:05:52 |  Iter-98 | MAE=8.697 | MAPE=5.42%
21:12:45 |  Iter-99 | MAE=1.925 | MAPE=1.17%
21:19:22 |  Iter-100 | MAE=3.554 | MAPE=2.07%
21:19:22 | 
 OVERALL: MAE=6.223, MAPE=3.62%, R2=0.9592 (34725.6s)
21:19:22 | Saved model checkpoint: /data/quyhv/oil_forecast_tail_risk/results_v4/walkforward/GUMNet_Diffusion/DAU_H1_seed777/model_checkpoint.pth
21:19:22 | Saved processor/scaler: /data/quyhv/oil_forecast_tail_risk/results_v4/walkforward/GUMNet_Diffusion/DAU_H1_seed777/processor.pkl
