12:45:17 | ================================================================================
12:45:17 |  GUMNet_Diffusion | XANG | H1 | walkforward | seed=123
12:45:17 | ================================================================================
12:45:18 | Data: 4513 rows | Features: 15
12:52:39 |  Iter-01 | MAE=0.188 | MAPE=0.24%
12:59:08 |  Iter-02 | MAE=0.189 | MAPE=0.24%
13:05:14 |  Iter-03 | MAE=0.315 | MAPE=0.41%
13:11:29 |  Iter-04 | MAE=2.775 | MAPE=3.69%
13:17:42 |  Iter-05 | MAE=0.330 | MAPE=0.44%
13:24:41 |  Iter-06 | MAE=0.437 | MAPE=0.59%
13:30:48 |  Iter-07 | MAE=1.300 | MAPE=1.77%
13:37:06 |  Iter-08 | MAE=0.430 | MAPE=0.58%
13:43:26 |  Iter-09 | MAE=1.154 | MAPE=1.56%
13:51:28 |  Iter-10 | MAE=0.780 | MAPE=1.06%
13:57:39 |  Iter-11 | MAE=0.022 | MAPE=0.03%
14:03:38 |  Iter-12 | MAE=0.596 | MAPE=0.82%
14:10:38 |  Iter-13 | MAE=0.205 | MAPE=0.28%
14:17:08 |  Iter-14 | MAE=0.719 | MAPE=0.99%
14:23:25 |  Iter-15 | MAE=0.034 | MAPE=0.05%
14:29:47 |  Iter-16 | MAE=0.739 | MAPE=1.02%
14:35:28 |  Iter-17 | MAE=0.557 | MAPE=0.77%
14:41:07 |  Iter-18 | MAE=0.773 | MAPE=1.09%
14:47:03 |  Iter-19 | MAE=0.233 | MAPE=0.32%
14:52:30 |  Iter-20 | MAE=0.835 | MAPE=1.19%
14:57:55 |  Iter-21 | MAE=1.124 | MAPE=1.59%
15:04:04 |  Iter-22 | MAE=0.372 | MAPE=0.51%
15:09:21 |  Iter-23 | MAE=1.341 | MAPE=1.86%
15:15:27 |  Iter-24 | MAE=0.221 | MAPE=0.30%
15:21:35 |  Iter-25 | MAE=1.826 | MAPE=2.52%
15:27:33 |  Iter-26 | MAE=1.604 | MAPE=2.23%
15:33:35 |  Iter-27 | MAE=0.676 | MAPE=0.95%
15:39:18 |  Iter-28 | MAE=0.751 | MAPE=1.05%
15:44:54 |  Iter-29 | MAE=0.585 | MAPE=0.81%
15:50:20 |  Iter-30 | MAE=0.286 | MAPE=0.39%
15:56:22 |  Iter-31 | MAE=0.528 | MAPE=0.72%
16:01:57 |  Iter-32 | MAE=0.585 | MAPE=0.80%
16:07:53 |  Iter-33 | MAE=0.615 | MAPE=0.84%
16:13:18 |  Iter-34 | MAE=1.142 | MAPE=1.60%
16:19:17 |  Iter-35 | MAE=0.355 | MAPE=0.48%
16:24:51 |  Iter-36 | MAE=0.275 | MAPE=0.36%
16:31:12 |  Iter-37 | MAE=1.509 | MAPE=2.03%
16:37:44 |  Iter-38 | MAE=4.367 | MAPE=6.09%
16:43:34 |  Iter-39 | MAE=2.325 | MAPE=3.23%
16:49:21 |  Iter-40 | MAE=2.048 | MAPE=2.78%
16:54:42 |  Iter-41 | MAE=0.330 | MAPE=0.44%
17:00:47 |  Iter-42 | MAE=0.707 | MAPE=0.95%
17:06:16 |  Iter-43 | MAE=1.122 | MAPE=1.49%
17:12:11 |  Iter-44 | MAE=1.264 | MAPE=1.63%
17:18:51 |  Iter-45 | MAE=0.438 | MAPE=0.57%
17:24:53 |  Iter-46 | MAE=1.238 | MAPE=1.63%
17:31:05 |  Iter-47 | MAE=2.733 | MAPE=3.76%
17:37:35 |  Iter-48 | MAE=0.409 | MAPE=0.56%
17:44:05 |  Iter-49 | MAE=0.392 | MAPE=0.54%
17:49:34 |  Iter-50 | MAE=0.117 | MAPE=0.16%
17:55:25 |  Iter-51 | MAE=2.403 | MAPE=3.12%
18:01:02 |  Iter-52 | MAE=1.113 | MAPE=1.41%
18:06:47 |  Iter-53 | MAE=1.060 | MAPE=1.35%
