15:10:45 | ================================================================================
15:10:45 |  GUMNet_Fourier | DAU | H1 | walkforward | seed=123
15:10:45 | ================================================================================
15:10:45 | Data: 4513 rows | Features: 16
15:20:16 |  Iter-01 | MAE=1.386 | MAPE=1.68%
15:30:13 |  Iter-02 | MAE=0.446 | MAPE=0.54%
15:40:19 |  Iter-03 | MAE=0.945 | MAPE=1.16%
15:49:38 |  Iter-04 | MAE=1.268 | MAPE=1.59%
16:00:13 |  Iter-05 | MAE=0.171 | MAPE=0.22%
16:09:10 |  Iter-06 | MAE=0.627 | MAPE=0.78%
16:18:22 |  Iter-07 | MAE=1.465 | MAPE=1.86%
16:28:27 |  Iter-08 | MAE=0.145 | MAPE=0.18%
16:38:14 |  Iter-09 | MAE=0.227 | MAPE=0.28%
16:48:32 |  Iter-10 | MAE=1.144 | MAPE=1.41%
16:58:33 |  Iter-11 | MAE=0.121 | MAPE=0.15%
17:07:37 |  Iter-12 | MAE=0.625 | MAPE=0.78%
17:18:52 |  Iter-13 | MAE=0.363 | MAPE=0.46%
17:27:54 |  Iter-14 | MAE=0.114 | MAPE=0.14%
17:37:29 |  Iter-15 | MAE=0.660 | MAPE=0.82%
17:47:03 |  Iter-16 | MAE=0.595 | MAPE=0.74%
17:58:17 |  Iter-17 | MAE=0.772 | MAPE=0.97%
18:08:07 |  Iter-18 | MAE=1.401 | MAPE=1.80%
18:18:13 |  Iter-19 | MAE=0.612 | MAPE=0.77%
18:26:57 |  Iter-20 | MAE=1.245 | MAPE=1.61%
18:35:41 |  Iter-21 | MAE=0.239 | MAPE=0.31%
18:44:58 |  Iter-22 | MAE=1.854 | MAPE=2.33%
18:55:37 |  Iter-23 | MAE=0.112 | MAPE=0.14%
19:04:54 |  Iter-24 | MAE=1.147 | MAPE=1.41%
19:15:00 |  Iter-25 | MAE=0.231 | MAPE=0.28%
19:23:45 |  Iter-26 | MAE=1.582 | MAPE=1.94%
19:33:02 |  Iter-27 | MAE=1.273 | MAPE=1.56%
19:42:21 |  Iter-28 | MAE=0.073 | MAPE=0.09%
19:52:31 |  Iter-29 | MAE=0.426 | MAPE=0.52%
20:01:15 |  Iter-30 | MAE=1.395 | MAPE=1.66%
20:09:39 |  Iter-31 | MAE=1.651 | MAPE=1.93%
20:18:36 |  Iter-32 | MAE=0.242 | MAPE=0.29%
20:27:34 |  Iter-33 | MAE=0.077 | MAPE=0.09%
20:35:58 |  Iter-34 | MAE=2.217 | MAPE=2.64%
20:44:55 |  Iter-35 | MAE=1.339 | MAPE=1.55%
20:53:52 |  Iter-36 | MAE=1.996 | MAPE=2.25%
21:02:52 |  Iter-37 | MAE=1.123 | MAPE=1.27%
21:12:42 |  Iter-38 | MAE=1.566 | MAPE=1.80%
21:21:58 |  Iter-39 | MAE=1.124 | MAPE=1.30%
21:31:48 |  Iter-40 | MAE=0.149 | MAPE=0.17%
21:41:20 |  Iter-41 | MAE=0.682 | MAPE=0.78%
21:50:01 |  Iter-42 | MAE=1.522 | MAPE=1.71%
21:58:43 |  Iter-43 | MAE=1.799 | MAPE=2.06%
22:07:47 |  Iter-44 | MAE=0.078 | MAPE=0.09%
22:18:47 |  Iter-45 | MAE=0.819 | MAPE=0.92%
22:27:53 |  Iter-46 | MAE=1.292 | MAPE=1.45%
22:36:59 |  Iter-47 | MAE=1.020 | MAPE=1.18%
22:46:56 |  Iter-48 | MAE=0.447 | MAPE=0.52%
22:57:41 |  Iter-49 | MAE=0.281 | MAPE=0.33%
23:06:49 |  Iter-50 | MAE=0.269 | MAPE=0.31%
23:17:18 |  Iter-51 | MAE=3.139 | MAPE=3.44%
23:26:42 |  Iter-52 | MAE=2.071 | MAPE=2.24%
23:36:05 |  Iter-53 | MAE=0.897 | MAPE=0.98%
23:45:29 |  Iter-54 | MAE=0.383 | MAPE=0.41%
23:55:09 |  Iter-55 | MAE=0.012 | MAPE=0.01%
00:04:01 |  Iter-56 | MAE=0.443 | MAPE=0.48%
00:13:27 |  Iter-57 | MAE=0.233 | MAPE=0.25%
00:22:20 |  Iter-58 | MAE=21.507 | MAPE=18.73%
00:32:19 |  Iter-59 | MAE=14.268 | MAPE=11.36%
00:41:45 |  Iter-60 | MAE=18.880 | MAPE=13.20%
00:51:27 |  Iter-61 | MAE=6.558 | MAPE=4.30%
01:02:17 |  Iter-62 | MAE=6.399 | MAPE=4.12%
01:11:09 |  Iter-63 | MAE=21.174 | MAPE=11.45%
01:21:41 |  Iter-64 | MAE=11.502 | MAPE=7.15%
01:31:56 |  Iter-65 | MAE=0.269 | MAPE=0.16%
01:43:17 |  Iter-66 | MAE=25.889 | MAPE=13.35%
