11:27:11 | ================================================================================
11:27:11 |  GUMNet_Fourier | XANG | H1 | walkforward | seed=9999
11:27:11 | ================================================================================
11:27:12 | Data: 4513 rows | Features: 15
11:32:21 |  Iter-01 | MAE=0.126 | MAPE=0.16%
11:38:09 |  Iter-02 | MAE=0.209 | MAPE=0.27%
11:44:15 |  Iter-03 | MAE=0.444 | MAPE=0.57%
11:50:19 |  Iter-04 | MAE=2.143 | MAPE=2.85%
11:55:48 |  Iter-05 | MAE=0.404 | MAPE=0.54%
12:01:15 |  Iter-06 | MAE=0.284 | MAPE=0.38%
12:06:51 |  Iter-07 | MAE=1.389 | MAPE=1.89%
12:11:46 |  Iter-08 | MAE=0.476 | MAPE=0.64%
12:17:02 |  Iter-09 | MAE=0.711 | MAPE=0.96%
12:22:04 |  Iter-10 | MAE=0.284 | MAPE=0.38%
12:27:59 |  Iter-11 | MAE=0.210 | MAPE=0.28%
12:33:06 |  Iter-12 | MAE=0.484 | MAPE=0.66%
12:38:41 |  Iter-13 | MAE=0.125 | MAPE=0.17%
12:43:56 |  Iter-14 | MAE=0.476 | MAPE=0.66%
12:48:46 |  Iter-15 | MAE=0.055 | MAPE=0.08%
12:54:10 |  Iter-16 | MAE=0.464 | MAPE=0.64%
12:59:12 |  Iter-17 | MAE=0.549 | MAPE=0.76%
13:04:38 |  Iter-18 | MAE=1.497 | MAPE=2.12%
13:09:55 |  Iter-19 | MAE=0.276 | MAPE=0.38%
13:15:00 |  Iter-20 | MAE=1.144 | MAPE=1.63%
13:20:02 |  Iter-21 | MAE=0.455 | MAPE=0.64%
13:25:25 |  Iter-22 | MAE=1.529 | MAPE=2.11%
13:31:20 |  Iter-23 | MAE=0.503 | MAPE=0.70%
13:36:48 |  Iter-24 | MAE=0.336 | MAPE=0.46%
13:42:03 |  Iter-25 | MAE=0.909 | MAPE=1.26%
13:47:40 |  Iter-26 | MAE=1.320 | MAPE=1.83%
13:53:09 |  Iter-27 | MAE=0.632 | MAPE=0.89%
13:58:59 |  Iter-28 | MAE=0.666 | MAPE=0.93%
14:04:10 |  Iter-29 | MAE=0.505 | MAPE=0.70%
14:09:05 |  Iter-30 | MAE=0.978 | MAPE=1.35%
14:14:28 |  Iter-31 | MAE=0.207 | MAPE=0.28%
14:19:20 |  Iter-32 | MAE=0.694 | MAPE=0.98%
14:24:40 |  Iter-33 | MAE=0.515 | MAPE=0.70%
14:30:51 |  Iter-34 | MAE=1.832 | MAPE=2.57%
14:36:39 |  Iter-35 | MAE=1.682 | MAPE=2.29%
14:41:32 |  Iter-36 | MAE=1.301 | MAPE=1.74%
14:46:48 |  Iter-37 | MAE=1.250 | MAPE=1.68%
14:52:41 |  Iter-38 | MAE=2.897 | MAPE=4.04%
14:57:45 |  Iter-39 | MAE=1.086 | MAPE=1.51%
15:03:25 |  Iter-40 | MAE=1.383 | MAPE=1.87%
15:08:16 |  Iter-41 | MAE=0.265 | MAPE=0.36%
15:14:02 |  Iter-42 | MAE=0.196 | MAPE=0.26%
15:19:19 |  Iter-43 | MAE=1.123 | MAPE=1.48%
15:24:42 |  Iter-44 | MAE=2.091 | MAPE=2.69%
15:29:33 |  Iter-45 | MAE=0.374 | MAPE=0.49%
15:35:36 |  Iter-46 | MAE=1.704 | MAPE=2.25%
15:41:31 |  Iter-47 | MAE=2.508 | MAPE=3.45%
15:46:42 |  Iter-48 | MAE=0.371 | MAPE=0.51%
15:52:00 |  Iter-49 | MAE=0.067 | MAPE=0.09%
15:56:53 |  Iter-50 | MAE=0.164 | MAPE=0.23%
16:02:30 |  Iter-51 | MAE=3.015 | MAPE=3.91%
16:07:14 |  Iter-52 | MAE=2.128 | MAPE=2.70%
16:12:28 |  Iter-53 | MAE=0.045 | MAPE=0.06%
16:17:20 |  Iter-54 | MAE=1.263 | MAPE=1.58%
16:23:07 |  Iter-55 | MAE=0.602 | MAPE=0.75%
16:27:58 |  Iter-56 | MAE=0.694 | MAPE=0.86%
16:32:41 |  Iter-57 | MAE=0.184 | MAPE=0.23%
16:37:58 |  Iter-58 | MAE=9.843 | MAPE=10.75%
16:43:42 |  Iter-59 | MAE=6.116 | MAPE=6.30%
16:48:24 |  Iter-60 | MAE=3.473 | MAPE=3.39%
16:54:12 |  Iter-61 | MAE=3.627 | MAPE=3.34%
16:59:28 |  Iter-62 | MAE=5.472 | MAPE=4.61%
17:04:17 |  Iter-63 | MAE=20.716 | MAPE=14.46%
17:09:56 |  Iter-64 | MAE=19.989 | MAPE=16.25%
17:15:13 |  Iter-65 | MAE=2.233 | MAPE=1.89%
17:21:00 |  Iter-66 | MAE=9.368 | MAPE=6.85%
17:26:32 |  Iter-67 | MAE=3.847 | MAPE=2.71%
17:31:06 |  Iter-68 | MAE=3.787 | MAPE=2.58%
17:37:11 |  Iter-69 | MAE=4.072 | MAPE=2.80%
17:42:52 |  Iter-70 | MAE=7.742 | MAPE=5.30%
17:47:26 |  Iter-71 | MAE=12.871 | MAPE=8.14%
17:53:03 |  Iter-72 | MAE=0.561 | MAPE=0.36%
17:57:52 |  Iter-73 | MAE=0.475 | MAPE=0.29%
18:03:47 |  Iter-74 | MAE=4.072 | MAPE=2.80%
18:08:36 |  Iter-75 | MAE=21.420 | MAPE=16.07%
18:13:33 |  Iter-76 | MAE=7.073 | MAPE=5.45%
18:19:08 |  Iter-77 | MAE=4.830 | MAPE=3.64%
18:24:13 |  Iter-78 | MAE=8.839 | MAPE=6.15%
18:29:03 |  Iter-79 | MAE=1.773 | MAPE=1.25%
18:34:35 |  Iter-80 | MAE=3.297 | MAPE=2.36%
18:40:05 |  Iter-81 | MAE=5.807 | MAPE=3.92%
18:45:25 |  Iter-82 | MAE=6.532 | MAPE=4.49%
18:50:05 |  Iter-83 | MAE=5.211 | MAPE=3.66%
18:55:45 |  Iter-84 | MAE=19.671 | MAPE=16.02%
19:01:26 |  Iter-85 | MAE=13.324 | MAPE=10.04%
19:07:07 |  Iter-86 | MAE=1.394 | MAPE=1.08%
19:12:49 |  Iter-87 | MAE=1.333 | MAPE=0.99%
19:18:05 |  Iter-88 | MAE=7.205 | MAPE=5.68%
19:23:39 |  Iter-89 | MAE=1.811 | MAPE=1.49%
19:28:45 |  Iter-90 | MAE=2.607 | MAPE=2.13%
19:34:05 |  Iter-91 | MAE=2.318 | MAPE=1.82%
19:38:50 |  Iter-92 | MAE=0.444 | MAPE=0.36%
19:44:13 |  Iter-93 | MAE=3.903 | MAPE=3.23%
19:48:54 |  Iter-94 | MAE=3.972 | MAPE=3.15%
19:53:34 |  Iter-95 | MAE=1.714 | MAPE=1.34%
19:59:17 |  Iter-96 | MAE=2.635 | MAPE=2.08%
20:04:13 |  Iter-97 | MAE=2.454 | MAPE=1.89%
20:08:58 |  Iter-98 | MAE=1.357 | MAPE=1.05%
20:13:37 |  Iter-99 | MAE=1.048 | MAPE=0.80%
20:19:04 |  Iter-100 | MAE=1.440 | MAPE=1.06%
20:19:04 | 
 OVERALL: MAE=3.009, MAPE=2.60%, R2=0.9684 (31913.3s)
20:19:04 | Saved model checkpoint: /data/quyhv/oil_forecast_tail_risk/results_v4/walkforward/GUMNet_Fourier/XANG_H1_seed9999/model_checkpoint.pth
20:19:04 | Saved processor/scaler: /data/quyhv/oil_forecast_tail_risk/results_v4/walkforward/GUMNet_Fourier/XANG_H1_seed9999/processor.pkl
