12:15:31 | ================================================================================
12:15:31 |  GUMNet_Fusion | DAU | H1 | walkforward | seed=123
12:15:31 | ================================================================================
12:15:31 | Data: 4513 rows | Features: 16
12:20:45 |  Iter-01 | MAE=1.229 | MAPE=1.49%
12:25:40 |  Iter-02 | MAE=0.551 | MAPE=0.67%
12:32:10 |  Iter-03 | MAE=0.842 | MAPE=1.03%
12:36:56 |  Iter-04 | MAE=1.383 | MAPE=1.73%
12:42:08 |  Iter-05 | MAE=0.086 | MAPE=0.11%
12:47:03 |  Iter-06 | MAE=0.227 | MAPE=0.28%
12:52:32 |  Iter-07 | MAE=1.211 | MAPE=1.54%
12:58:37 |  Iter-08 | MAE=0.067 | MAPE=0.08%
13:04:32 |  Iter-09 | MAE=0.087 | MAPE=0.11%
13:09:53 |  Iter-10 | MAE=0.630 | MAPE=0.78%
13:17:06 |  Iter-11 | MAE=0.208 | MAPE=0.26%
13:23:28 |  Iter-12 | MAE=0.556 | MAPE=0.69%
13:28:22 |  Iter-13 | MAE=0.297 | MAPE=0.37%
13:35:19 |  Iter-14 | MAE=0.366 | MAPE=0.46%
13:42:40 |  Iter-15 | MAE=0.639 | MAPE=0.80%
13:47:35 |  Iter-16 | MAE=0.086 | MAPE=0.11%
13:53:41 |  Iter-17 | MAE=0.762 | MAPE=0.96%
13:58:23 |  Iter-18 | MAE=1.260 | MAPE=1.62%
14:04:02 |  Iter-19 | MAE=0.806 | MAPE=1.01%
14:09:32 |  Iter-20 | MAE=1.870 | MAPE=2.42%
14:15:46 |  Iter-21 | MAE=0.093 | MAPE=0.12%
14:20:58 |  Iter-22 | MAE=1.534 | MAPE=1.93%
14:29:07 |  Iter-23 | MAE=1.485 | MAPE=1.86%
14:36:54 |  Iter-24 | MAE=0.884 | MAPE=1.09%
14:47:30 |  Iter-25 | MAE=0.107 | MAPE=0.13%
14:54:06 |  Iter-26 | MAE=2.254 | MAPE=2.76%
15:00:27 |  Iter-27 | MAE=1.147 | MAPE=1.40%
15:08:54 |  Iter-28 | MAE=0.370 | MAPE=0.45%
15:15:58 |  Iter-29 | MAE=0.178 | MAPE=0.22%
15:21:44 |  Iter-30 | MAE=0.898 | MAPE=1.07%
15:27:41 |  Iter-31 | MAE=1.418 | MAPE=1.66%
15:35:39 |  Iter-32 | MAE=0.214 | MAPE=0.25%
15:42:31 |  Iter-33 | MAE=0.556 | MAPE=0.65%
15:47:43 |  Iter-34 | MAE=1.559 | MAPE=1.86%
15:52:38 |  Iter-35 | MAE=1.114 | MAPE=1.29%
15:59:10 |  Iter-36 | MAE=1.476 | MAPE=1.67%
16:03:57 |  Iter-37 | MAE=1.767 | MAPE=1.99%
16:10:56 |  Iter-38 | MAE=2.142 | MAPE=2.46%
16:15:49 |  Iter-39 | MAE=1.680 | MAPE=1.95%
16:21:08 |  Iter-40 | MAE=0.452 | MAPE=0.52%
16:27:03 |  Iter-41 | MAE=0.832 | MAPE=0.95%
16:33:10 |  Iter-42 | MAE=1.565 | MAPE=1.76%
16:38:46 |  Iter-43 | MAE=1.513 | MAPE=1.73%
16:44:28 |  Iter-44 | MAE=0.292 | MAPE=0.33%
16:49:34 |  Iter-45 | MAE=0.824 | MAPE=0.93%
16:55:34 |  Iter-46 | MAE=0.437 | MAPE=0.49%
17:01:52 |  Iter-47 | MAE=0.159 | MAPE=0.18%
17:07:42 |  Iter-48 | MAE=0.097 | MAPE=0.11%
17:14:00 |  Iter-49 | MAE=0.184 | MAPE=0.21%
17:21:16 |  Iter-50 | MAE=0.201 | MAPE=0.23%
17:27:33 |  Iter-51 | MAE=2.633 | MAPE=2.88%
17:32:30 |  Iter-52 | MAE=2.052 | MAPE=2.22%
17:38:12 |  Iter-53 | MAE=0.877 | MAPE=0.96%
17:43:54 |  Iter-54 | MAE=0.793 | MAPE=0.86%
17:49:54 |  Iter-55 | MAE=0.352 | MAPE=0.38%
17:54:51 |  Iter-56 | MAE=0.153 | MAPE=0.17%
18:00:15 |  Iter-57 | MAE=0.372 | MAPE=0.40%
18:06:24 |  Iter-58 | MAE=21.503 | MAPE=18.72%
18:11:20 |  Iter-59 | MAE=12.593 | MAPE=10.03%
18:19:43 |  Iter-60 | MAE=7.655 | MAPE=5.33%
18:26:18 |  Iter-61 | MAE=14.366 | MAPE=9.41%
18:32:54 |  Iter-62 | MAE=41.005 | MAPE=26.42%
18:39:21 |  Iter-63 | MAE=16.620 | MAPE=8.99%
