17:15:21 | ================================================================================
17:15:21 |  GUMNet_Fusion | XANG | H10 | walkforward | seed=777
17:15:21 | ================================================================================
17:15:21 | Data: 4513 rows | Features: 14
17:15:21 | ================================================================================
17:15:21 |  GUMNet_Fusion | XANG | H10 | walkforward | seed=9999
17:15:21 | ================================================================================
17:15:21 | Data: 4513 rows | Features: 14
17:15:21 | ================================================================================
17:15:21 |  GUMNet_Fusion | XANG | H10 | walkforward | seed=123
17:15:21 | ================================================================================
17:15:21 | Data: 4513 rows | Features: 14
17:34:12 |  Iter-01 | MAE=3.366 | MAPE=4.23%
17:34:45 |  Iter-01 | MAE=3.114 | MAPE=3.92%
17:40:45 |  Iter-01 | MAE=2.274 | MAPE=2.85%
17:53:58 |  Iter-02 | MAE=2.843 | MAPE=3.64%
17:56:22 |  Iter-02 | MAE=2.826 | MAPE=3.62%
18:05:37 |  Iter-02 | MAE=3.047 | MAPE=3.90%
18:14:00 |  Iter-03 | MAE=1.124 | MAPE=1.42%
18:23:00 |  Iter-03 | MAE=0.911 | MAPE=1.15%
18:24:29 |  Iter-03 | MAE=0.660 | MAPE=0.85%
18:32:53 |  Iter-04 | MAE=1.572 | MAPE=1.96%
18:44:42 |  Iter-04 | MAE=1.971 | MAPE=2.46%
18:48:48 |  Iter-04 | MAE=2.336 | MAPE=2.92%
18:55:12 |  Iter-05 | MAE=0.849 | MAPE=1.06%
19:04:15 |  Iter-05 | MAE=0.965 | MAPE=1.20%
19:11:01 |  Iter-05 | MAE=0.884 | MAPE=1.10%
19:13:51 |  Iter-06 | MAE=1.245 | MAPE=1.54%
19:22:25 |  Iter-06 | MAE=1.284 | MAPE=1.58%
19:36:49 |  Iter-06 | MAE=1.260 | MAPE=1.56%
19:38:11 |  Iter-07 | MAE=0.733 | MAPE=0.91%
19:40:34 |  Iter-07 | MAE=0.990 | MAPE=1.22%
19:59:51 |  Iter-08 | MAE=1.388 | MAPE=1.74%
20:03:04 |  Iter-07 | MAE=0.966 | MAPE=1.20%
20:04:19 |  Iter-08 | MAE=1.373 | MAPE=1.71%
20:22:42 |  Iter-09 | MAE=2.716 | MAPE=3.44%
20:26:05 |  Iter-09 | MAE=2.785 | MAPE=3.52%
20:28:11 |  Iter-08 | MAE=1.378 | MAPE=1.73%
20:48:13 |  Iter-09 | MAE=3.143 | MAPE=3.98%
20:51:23 |  Iter-10 | MAE=1.737 | MAPE=2.23%
20:57:08 |  Iter-10 | MAE=2.027 | MAPE=2.61%
21:10:06 |  Iter-11 | MAE=0.782 | MAPE=1.01%
21:10:23 |  Iter-10 | MAE=2.161 | MAPE=2.79%
21:18:03 |  Iter-11 | MAE=0.778 | MAPE=1.01%
21:30:53 |  Iter-12 | MAE=1.233 | MAPE=1.61%
21:31:23 |  Iter-11 | MAE=0.845 | MAPE=1.09%
21:38:56 |  Iter-12 | MAE=1.271 | MAPE=1.66%
21:52:23 |  Iter-12 | MAE=1.357 | MAPE=1.77%
22:01:06 |  Iter-13 | MAE=2.439 | MAPE=3.03%
22:01:52 |  Iter-13 | MAE=2.488 | MAPE=3.09%
22:15:25 |  Iter-13 | MAE=2.468 | MAPE=3.07%
22:20:18 |  Iter-14 | MAE=3.547 | MAPE=4.40%
22:23:04 |  Iter-14 | MAE=3.268 | MAPE=4.05%
22:39:01 |  Iter-15 | MAE=0.771 | MAPE=0.96%
22:44:59 |  Iter-15 | MAE=0.785 | MAPE=0.97%
22:48:22 |  Iter-14 | MAE=3.662 | MAPE=4.54%
22:57:15 |  Iter-16 | MAE=1.773 | MAPE=2.17%
23:06:08 |  Iter-16 | MAE=1.949 | MAPE=2.39%
23:10:51 |  Iter-15 | MAE=0.826 | MAPE=1.02%
23:19:45 |  Iter-17 | MAE=1.834 | MAPE=2.34%
23:27:33 |  Iter-17 | MAE=2.085 | MAPE=2.66%
23:34:26 |  Iter-16 | MAE=2.048 | MAPE=2.51%
23:39:04 |  Iter-18 | MAE=1.425 | MAPE=1.80%
