17:14:57 | ================================================================================
17:14:57 |  GUMNet_Fusion | XANG | H1 | walkforward | seed=2025
17:14:57 | ================================================================================
17:14:57 | Data: 4513 rows | Features: 15
17:21:48 |  Iter-01 | MAE=0.135 | MAPE=0.17%
17:28:57 |  Iter-02 | MAE=0.395 | MAPE=0.51%
17:35:55 |  Iter-03 | MAE=0.457 | MAPE=0.58%
17:43:28 |  Iter-04 | MAE=2.127 | MAPE=2.83%
17:48:25 |  Iter-05 | MAE=0.378 | MAPE=0.51%
17:53:47 |  Iter-06 | MAE=0.713 | MAPE=0.96%
17:59:44 |  Iter-07 | MAE=1.315 | MAPE=1.79%
18:08:26 |  Iter-08 | MAE=0.441 | MAPE=0.59%
18:15:26 |  Iter-09 | MAE=0.657 | MAPE=0.89%
18:21:40 |  Iter-10 | MAE=0.567 | MAPE=0.77%
18:29:23 |  Iter-11 | MAE=0.439 | MAPE=0.59%
18:35:46 |  Iter-12 | MAE=0.557 | MAPE=0.76%
18:43:17 |  Iter-13 | MAE=0.057 | MAPE=0.08%
18:50:32 |  Iter-14 | MAE=0.453 | MAPE=0.62%
18:57:30 |  Iter-15 | MAE=0.016 | MAPE=0.02%
19:05:36 |  Iter-16 | MAE=0.436 | MAPE=0.60%
19:14:49 |  Iter-17 | MAE=0.659 | MAPE=0.91%
19:21:37 |  Iter-18 | MAE=1.406 | MAPE=1.99%
19:28:25 |  Iter-19 | MAE=0.155 | MAPE=0.22%
19:35:04 |  Iter-20 | MAE=1.285 | MAPE=1.83%
19:43:18 |  Iter-21 | MAE=0.922 | MAPE=1.31%
19:50:33 |  Iter-22 | MAE=0.855 | MAPE=1.18%
19:57:55 |  Iter-23 | MAE=0.818 | MAPE=1.13%
20:03:42 |  Iter-24 | MAE=0.504 | MAPE=0.69%
20:10:56 |  Iter-25 | MAE=1.025 | MAPE=1.42%
20:21:03 |  Iter-26 | MAE=1.693 | MAPE=2.35%
20:28:09 |  Iter-27 | MAE=0.836 | MAPE=1.18%
20:36:31 |  Iter-28 | MAE=0.396 | MAPE=0.56%
20:42:55 |  Iter-29 | MAE=0.348 | MAPE=0.49%
