17:01:54 | ================================================================================
17:01:54 |  GUMNet_Graph | DAU | H1 | walkforward | seed=123
17:01:54 | ================================================================================
17:01:54 | Data: 4513 rows | Features: 16
17:12:56 |  Iter-01 | MAE=1.468 | MAPE=1.78%
17:24:29 |  Iter-02 | MAE=0.407 | MAPE=0.49%
17:34:51 |  Iter-03 | MAE=0.997 | MAPE=1.22%
17:44:54 |  Iter-04 | MAE=1.384 | MAPE=1.73%
17:56:27 |  Iter-05 | MAE=0.546 | MAPE=0.69%
18:07:05 |  Iter-06 | MAE=0.451 | MAPE=0.56%
18:17:44 |  Iter-07 | MAE=1.315 | MAPE=1.67%
18:28:39 |  Iter-08 | MAE=0.443 | MAPE=0.56%
18:39:00 |  Iter-09 | MAE=0.157 | MAPE=0.20%
18:50:31 |  Iter-10 | MAE=0.233 | MAPE=0.29%
19:01:10 |  Iter-11 | MAE=0.044 | MAPE=0.05%
19:12:24 |  Iter-12 | MAE=0.507 | MAPE=0.63%
19:22:45 |  Iter-13 | MAE=0.322 | MAPE=0.41%
19:33:07 |  Iter-14 | MAE=0.294 | MAPE=0.37%
19:43:13 |  Iter-15 | MAE=0.683 | MAPE=0.85%
19:54:14 |  Iter-16 | MAE=0.587 | MAPE=0.73%
20:06:37 |  Iter-17 | MAE=0.281 | MAPE=0.35%
20:17:30 |  Iter-18 | MAE=1.381 | MAPE=1.77%
20:28:23 |  Iter-19 | MAE=0.199 | MAPE=0.25%
20:39:33 |  Iter-20 | MAE=1.678 | MAPE=2.17%
20:51:19 |  Iter-21 | MAE=0.633 | MAPE=0.82%
21:02:50 |  Iter-22 | MAE=1.528 | MAPE=1.92%
21:12:54 |  Iter-23 | MAE=0.598 | MAPE=0.75%
21:23:50 |  Iter-24 | MAE=0.418 | MAPE=0.51%
21:34:12 |  Iter-25 | MAE=0.171 | MAPE=0.21%
21:44:15 |  Iter-26 | MAE=1.603 | MAPE=1.96%
21:54:51 |  Iter-27 | MAE=1.613 | MAPE=1.98%
22:04:51 |  Iter-28 | MAE=0.398 | MAPE=0.48%
22:16:02 |  Iter-29 | MAE=0.745 | MAPE=0.90%
22:28:24 |  Iter-30 | MAE=1.226 | MAPE=1.46%
22:39:02 |  Iter-31 | MAE=1.678 | MAPE=1.97%
22:49:23 |  Iter-32 | MAE=0.512 | MAPE=0.61%
23:00:36 |  Iter-33 | MAE=0.240 | MAPE=0.28%
23:10:57 |  Iter-34 | MAE=1.338 | MAPE=1.59%
23:21:36 |  Iter-35 | MAE=0.576 | MAPE=0.66%
23:32:14 |  Iter-36 | MAE=1.224 | MAPE=1.38%
23:44:21 |  Iter-37 | MAE=0.558 | MAPE=0.63%
23:54:59 |  Iter-38 | MAE=1.915 | MAPE=2.20%
00:05:40 |  Iter-39 | MAE=1.614 | MAPE=1.87%
00:16:39 |  Iter-40 | MAE=1.251 | MAPE=1.43%
00:26:45 |  Iter-41 | MAE=0.839 | MAPE=0.95%
00:38:37 |  Iter-42 | MAE=2.732 | MAPE=3.08%
00:50:11 |  Iter-43 | MAE=1.519 | MAPE=1.74%
01:01:37 |  Iter-44 | MAE=0.281 | MAPE=0.32%
01:13:20 |  Iter-45 | MAE=0.872 | MAPE=0.98%
01:23:52 |  Iter-46 | MAE=0.267 | MAPE=0.30%
01:34:23 |  Iter-47 | MAE=1.153 | MAPE=1.33%
