13:48:27 | ================================================================================
13:48:27 |  GUMNet_Graph | XANG | H1 | walkforward | seed=777
13:48:27 | ================================================================================
13:48:27 | Data: 4513 rows | Features: 15
13:54:29 |  Iter-01 | MAE=0.361 | MAPE=0.46%
14:00:24 |  Iter-02 | MAE=0.427 | MAPE=0.55%
14:06:05 |  Iter-03 | MAE=0.264 | MAPE=0.34%
14:11:57 |  Iter-04 | MAE=2.286 | MAPE=3.04%
14:18:18 |  Iter-05 | MAE=0.471 | MAPE=0.63%
14:24:15 |  Iter-06 | MAE=0.619 | MAPE=0.83%
14:30:45 |  Iter-07 | MAE=1.390 | MAPE=1.89%
14:36:26 |  Iter-08 | MAE=0.443 | MAPE=0.60%
14:42:11 |  Iter-09 | MAE=1.077 | MAPE=1.46%
14:47:56 |  Iter-10 | MAE=0.512 | MAPE=0.69%
14:53:23 |  Iter-11 | MAE=0.183 | MAPE=0.25%
14:58:33 |  Iter-12 | MAE=0.456 | MAPE=0.63%
15:03:43 |  Iter-13 | MAE=0.260 | MAPE=0.36%
15:09:02 |  Iter-14 | MAE=0.333 | MAPE=0.46%
15:14:12 |  Iter-15 | MAE=0.283 | MAPE=0.39%
15:19:40 |  Iter-16 | MAE=0.626 | MAPE=0.86%
15:25:25 |  Iter-17 | MAE=0.507 | MAPE=0.70%
15:31:02 |  Iter-18 | MAE=1.456 | MAPE=2.06%
15:36:38 |  Iter-19 | MAE=0.425 | MAPE=0.59%
15:43:17 |  Iter-20 | MAE=1.228 | MAPE=1.75%
15:48:43 |  Iter-21 | MAE=1.030 | MAPE=1.46%
15:54:01 |  Iter-22 | MAE=0.983 | MAPE=1.36%
15:59:10 |  Iter-23 | MAE=0.877 | MAPE=1.21%
16:04:27 |  Iter-24 | MAE=0.405 | MAPE=0.56%
16:09:44 |  Iter-25 | MAE=1.516 | MAPE=2.09%
16:15:01 |  Iter-26 | MAE=1.819 | MAPE=2.53%
16:20:37 |  Iter-27 | MAE=0.742 | MAPE=1.04%
16:26:22 |  Iter-28 | MAE=0.471 | MAPE=0.66%
16:31:14 |  Iter-29 | MAE=0.323 | MAPE=0.45%
16:36:41 |  Iter-30 | MAE=0.536 | MAPE=0.74%
16:41:59 |  Iter-31 | MAE=0.771 | MAPE=1.06%
16:47:35 |  Iter-32 | MAE=0.673 | MAPE=0.93%
16:53:11 |  Iter-33 | MAE=0.906 | MAPE=1.24%
16:58:38 |  Iter-34 | MAE=1.271 | MAPE=1.78%
17:05:15 |  Iter-35 | MAE=0.452 | MAPE=0.62%
17:11:09 |  Iter-36 | MAE=0.531 | MAPE=0.71%
17:16:27 |  Iter-37 | MAE=0.842 | MAPE=1.13%
17:22:12 |  Iter-38 | MAE=3.176 | MAPE=4.42%
17:27:57 |  Iter-39 | MAE=3.241 | MAPE=4.50%
17:33:16 |  Iter-40 | MAE=1.595 | MAPE=2.16%
17:39:01 |  Iter-41 | MAE=0.756 | MAPE=1.02%
17:44:36 |  Iter-42 | MAE=1.025 | MAPE=1.38%
17:50:13 |  Iter-43 | MAE=1.291 | MAPE=1.71%
17:56:39 |  Iter-44 | MAE=1.120 | MAPE=1.44%
18:01:53 |  Iter-45 | MAE=0.282 | MAPE=0.37%
18:07:51 |  Iter-46 | MAE=1.108 | MAPE=1.46%
18:13:32 |  Iter-47 | MAE=2.785 | MAPE=3.83%
18:19:30 |  Iter-48 | MAE=0.313 | MAPE=0.43%
18:25:56 |  Iter-49 | MAE=0.417 | MAPE=0.57%
18:31:45 |  Iter-50 | MAE=0.227 | MAPE=0.31%
18:37:43 |  Iter-51 | MAE=2.746 | MAPE=3.56%
18:43:24 |  Iter-52 | MAE=1.351 | MAPE=1.71%
