06:55:52 | ================================================================================
06:55:52 |  GUMNet_Mamba | DAU | H1 | walkforward | seed=123
06:55:52 | ================================================================================
06:55:52 | Data: 4513 rows | Features: 16
07:00:55 |  Iter-01 | MAE=1.439 | MAPE=1.75%
07:05:37 |  Iter-02 | MAE=0.571 | MAPE=0.69%
07:10:27 |  Iter-03 | MAE=1.314 | MAPE=1.61%
07:15:09 |  Iter-04 | MAE=1.092 | MAPE=1.37%
07:19:51 |  Iter-05 | MAE=0.045 | MAPE=0.06%
07:24:33 |  Iter-06 | MAE=0.437 | MAPE=0.55%
07:29:14 |  Iter-07 | MAE=1.642 | MAPE=2.08%
07:34:05 |  Iter-08 | MAE=0.267 | MAPE=0.34%
07:38:47 |  Iter-09 | MAE=0.340 | MAPE=0.43%
07:43:38 |  Iter-10 | MAE=0.283 | MAPE=0.35%
07:48:46 |  Iter-11 | MAE=0.232 | MAPE=0.29%
07:53:20 |  Iter-12 | MAE=0.400 | MAPE=0.50%
07:58:02 |  Iter-13 | MAE=0.403 | MAPE=0.51%
08:03:19 |  Iter-14 | MAE=0.237 | MAPE=0.30%
08:08:10 |  Iter-15 | MAE=0.681 | MAPE=0.85%
08:13:09 |  Iter-16 | MAE=0.688 | MAPE=0.86%
08:17:59 |  Iter-17 | MAE=0.486 | MAPE=0.61%
08:22:40 |  Iter-18 | MAE=0.984 | MAPE=1.26%
08:27:31 |  Iter-19 | MAE=0.334 | MAPE=0.42%
08:32:48 |  Iter-20 | MAE=1.795 | MAPE=2.32%
08:37:30 |  Iter-21 | MAE=0.419 | MAPE=0.54%
08:42:12 |  Iter-22 | MAE=1.376 | MAPE=1.73%
08:46:54 |  Iter-23 | MAE=0.956 | MAPE=1.20%
08:51:54 |  Iter-24 | MAE=0.514 | MAPE=0.63%
08:56:44 |  Iter-25 | MAE=0.062 | MAPE=0.08%
09:01:34 |  Iter-26 | MAE=1.728 | MAPE=2.11%
09:06:33 |  Iter-27 | MAE=2.142 | MAPE=2.62%
09:11:06 |  Iter-28 | MAE=0.717 | MAPE=0.87%
09:15:38 |  Iter-29 | MAE=0.586 | MAPE=0.71%
09:20:29 |  Iter-30 | MAE=0.399 | MAPE=0.48%
09:25:02 |  Iter-31 | MAE=2.003 | MAPE=2.35%
09:29:52 |  Iter-32 | MAE=0.587 | MAPE=0.70%
09:34:52 |  Iter-33 | MAE=0.301 | MAPE=0.35%
09:39:52 |  Iter-34 | MAE=0.744 | MAPE=0.89%
09:44:33 |  Iter-35 | MAE=0.316 | MAPE=0.36%
09:49:14 |  Iter-36 | MAE=1.283 | MAPE=1.45%
09:54:05 |  Iter-37 | MAE=1.152 | MAPE=1.30%
09:58:47 |  Iter-38 | MAE=2.096 | MAPE=2.41%
10:04:05 |  Iter-39 | MAE=1.803 | MAPE=2.09%
10:09:13 |  Iter-40 | MAE=0.507 | MAPE=0.58%
10:13:54 |  Iter-41 | MAE=0.370 | MAPE=0.42%
10:18:45 |  Iter-42 | MAE=2.336 | MAPE=2.63%
10:23:36 |  Iter-43 | MAE=1.637 | MAPE=1.87%
10:28:13 |  Iter-44 | MAE=0.504 | MAPE=0.57%
10:33:07 |  Iter-45 | MAE=1.133 | MAPE=1.27%
10:38:02 |  Iter-46 | MAE=0.378 | MAPE=0.42%
10:42:39 |  Iter-47 | MAE=0.791 | MAPE=0.91%
10:48:27 |  Iter-48 | MAE=0.752 | MAPE=0.87%
10:53:21 |  Iter-49 | MAE=0.474 | MAPE=0.55%
10:58:16 |  Iter-50 | MAE=0.266 | MAPE=0.31%
11:03:10 |  Iter-51 | MAE=3.551 | MAPE=3.89%
11:08:32 |  Iter-52 | MAE=1.281 | MAPE=1.38%
11:14:29 |  Iter-53 | MAE=1.583 | MAPE=1.73%
11:20:36 |  Iter-54 | MAE=1.082 | MAPE=1.17%
11:25:48 |  Iter-55 | MAE=0.343 | MAPE=0.37%
11:31:09 |  Iter-56 | MAE=1.062 | MAPE=1.15%
11:36:03 |  Iter-57 | MAE=0.189 | MAPE=0.20%
11:41:25 |  Iter-58 | MAE=21.495 | MAPE=18.72%
11:46:38 |  Iter-59 | MAE=9.677 | MAPE=7.71%
11:51:32 |  Iter-60 | MAE=14.686 | MAPE=10.26%
11:57:02 |  Iter-61 | MAE=14.808 | MAPE=9.70%
12:02:06 |  Iter-62 | MAE=7.822 | MAPE=5.04%
12:07:36 |  Iter-63 | MAE=24.326 | MAPE=13.15%
12:12:30 |  Iter-64 | MAE=23.464 | MAPE=14.58%
12:17:42 |  Iter-65 | MAE=4.998 | MAPE=3.05%
12:22:46 |  Iter-66 | MAE=25.834 | MAPE=13.32%
12:27:41 |  Iter-67 | MAE=5.723 | MAPE=2.98%
12:32:34 |  Iter-68 | MAE=1.709 | MAPE=0.90%
12:37:17 |  Iter-69 | MAE=12.230 | MAPE=6.19%
12:42:09 |  Iter-70 | MAE=1.644 | MAPE=0.83%
12:46:53 |  Iter-71 | MAE=21.837 | MAPE=9.75%
12:51:46 |  Iter-72 | MAE=4.131 | MAPE=1.86%
12:56:56 |  Iter-73 | MAE=11.739 | MAPE=4.84%
13:01:49 |  Iter-74 | MAE=13.159 | MAPE=6.00%
13:06:59 |  Iter-75 | MAE=14.498 | MAPE=7.07%
13:12:00 |  Iter-76 | MAE=3.647 | MAPE=1.69%
13:16:52 |  Iter-77 | MAE=17.524 | MAPE=7.38%
13:22:03 |  Iter-78 | MAE=11.737 | MAPE=4.66%
13:27:04 |  Iter-79 | MAE=13.624 | MAPE=5.71%
13:31:48 |  Iter-80 | MAE=4.848 | MAPE=1.98%
13:36:50 |  Iter-81 | MAE=52.345 | MAPE=17.91%
13:41:51 |  Iter-82 | MAE=30.084 | MAPE=11.24%
13:46:35 |  Iter-83 | MAE=23.151 | MAPE=9.57%
13:51:39 |  Iter-84 | MAE=58.710 | MAPE=30.75%
13:56:49 |  Iter-85 | MAE=17.006 | MAPE=8.44%
14:01:52 |  Iter-86 | MAE=1.734 | MAPE=0.84%
14:06:44 |  Iter-87 | MAE=7.773 | MAPE=4.08%
14:11:55 |  Iter-88 | MAE=15.569 | MAPE=8.64%
14:16:56 |  Iter-89 | MAE=10.526 | MAPE=6.34%
14:21:58 |  Iter-90 | MAE=2.124 | MAPE=1.32%
14:27:19 |  Iter-91 | MAE=0.862 | MAPE=0.53%
14:32:48 |  Iter-92 | MAE=7.408 | MAPE=5.00%
14:38:11 |  Iter-93 | MAE=0.427 | MAPE=0.29%
14:43:15 |  Iter-94 | MAE=10.319 | MAPE=6.45%
14:47:59 |  Iter-95 | MAE=1.668 | MAPE=1.01%
14:53:06 |  Iter-96 | MAE=1.017 | MAPE=0.62%
14:58:17 |  Iter-97 | MAE=1.775 | MAPE=1.07%
15:03:10 |  Iter-98 | MAE=7.737 | MAPE=4.83%
15:08:16 |  Iter-99 | MAE=1.896 | MAPE=1.16%
15:13:27 |  Iter-100 | MAE=2.465 | MAPE=1.44%
15:13:27 | 
 OVERALL: MAE=5.909, MAPE=3.39%, R2=0.9605 (29856.6s)
15:13:27 | Saved model checkpoint: /data/quyhv/oil_forecast_tail_risk/results_v4/walkforward/GUMNet_Mamba/DAU_H1_seed123/model_checkpoint.pth
15:13:27 | Saved processor/scaler: /data/quyhv/oil_forecast_tail_risk/results_v4/walkforward/GUMNet_Mamba/DAU_H1_seed123/processor.pkl
