05:39:57 | ================================================================================
05:39:57 |  GUMNet_Mamba | XANG | H1 | walkforward | seed=9999
05:39:57 | ================================================================================
05:39:57 | Data: 4513 rows | Features: 15
05:45:20 |  Iter-01 | MAE=0.169 | MAPE=0.22%
05:51:02 |  Iter-02 | MAE=0.202 | MAPE=0.25%
05:56:18 |  Iter-03 | MAE=0.287 | MAPE=0.37%
06:01:47 |  Iter-04 | MAE=2.579 | MAPE=3.43%
06:06:42 |  Iter-05 | MAE=0.487 | MAPE=0.65%
06:12:08 |  Iter-06 | MAE=0.497 | MAPE=0.67%
06:17:24 |  Iter-07 | MAE=1.505 | MAPE=2.05%
06:22:54 |  Iter-08 | MAE=0.535 | MAPE=0.72%
06:29:17 |  Iter-09 | MAE=0.911 | MAPE=1.23%
06:35:00 |  Iter-10 | MAE=0.913 | MAPE=1.24%
06:40:07 |  Iter-11 | MAE=0.354 | MAPE=0.48%
06:45:41 |  Iter-12 | MAE=0.339 | MAPE=0.46%
06:51:16 |  Iter-13 | MAE=0.286 | MAPE=0.40%
06:56:22 |  Iter-14 | MAE=0.519 | MAPE=0.71%
07:01:06 |  Iter-15 | MAE=0.333 | MAPE=0.46%
07:06:38 |  Iter-16 | MAE=0.558 | MAPE=0.77%
07:12:47 |  Iter-17 | MAE=0.495 | MAPE=0.68%
07:17:58 |  Iter-18 | MAE=1.226 | MAPE=1.73%
07:23:20 |  Iter-19 | MAE=0.168 | MAPE=0.23%
07:28:23 |  Iter-20 | MAE=0.772 | MAPE=1.10%
07:33:56 |  Iter-21 | MAE=1.126 | MAPE=1.59%
07:38:57 |  Iter-22 | MAE=0.630 | MAPE=0.87%
07:44:14 |  Iter-23 | MAE=1.356 | MAPE=1.87%
07:48:54 |  Iter-24 | MAE=0.073 | MAPE=0.10%
07:54:24 |  Iter-25 | MAE=1.524 | MAPE=2.10%
08:00:08 |  Iter-26 | MAE=1.831 | MAPE=2.54%
08:06:06 |  Iter-27 | MAE=0.098 | MAPE=0.14%
08:11:47 |  Iter-28 | MAE=0.479 | MAPE=0.67%
08:16:33 |  Iter-29 | MAE=0.661 | MAPE=0.92%
08:22:22 |  Iter-30 | MAE=0.259 | MAPE=0.36%
08:28:59 |  Iter-31 | MAE=0.591 | MAPE=0.81%
08:34:16 |  Iter-32 | MAE=0.607 | MAPE=0.83%
08:40:14 |  Iter-33 | MAE=0.516 | MAPE=0.70%
08:45:32 |  Iter-34 | MAE=1.135 | MAPE=1.59%
08:51:03 |  Iter-35 | MAE=0.408 | MAPE=0.55%
08:56:19 |  Iter-36 | MAE=0.557 | MAPE=0.74%
09:01:27 |  Iter-37 | MAE=1.305 | MAPE=1.75%
09:06:23 |  Iter-38 | MAE=2.795 | MAPE=3.89%
09:12:10 |  Iter-39 | MAE=1.428 | MAPE=1.98%
09:17:08 |  Iter-40 | MAE=1.407 | MAPE=1.90%
09:22:05 |  Iter-41 | MAE=0.409 | MAPE=0.55%
09:27:05 |  Iter-42 | MAE=1.281 | MAPE=1.72%
09:33:06 |  Iter-43 | MAE=1.742 | MAPE=2.30%
09:38:08 |  Iter-44 | MAE=1.426 | MAPE=1.84%
09:43:51 |  Iter-45 | MAE=0.763 | MAPE=1.00%
09:49:34 |  Iter-46 | MAE=1.130 | MAPE=1.49%
09:55:19 |  Iter-47 | MAE=2.260 | MAPE=3.11%
10:00:19 |  Iter-48 | MAE=0.179 | MAPE=0.24%
10:05:38 |  Iter-49 | MAE=0.561 | MAPE=0.77%
10:12:35 |  Iter-50 | MAE=0.701 | MAPE=0.96%
10:18:15 |  Iter-51 | MAE=2.791 | MAPE=3.62%
10:23:21 |  Iter-52 | MAE=1.400 | MAPE=1.77%
10:28:37 |  Iter-53 | MAE=0.114 | MAPE=0.14%
10:34:09 |  Iter-54 | MAE=2.250 | MAPE=2.81%
10:39:43 |  Iter-55 | MAE=0.712 | MAPE=0.89%
10:45:28 |  Iter-56 | MAE=0.827 | MAPE=1.03%
10:50:32 |  Iter-57 | MAE=0.156 | MAPE=0.19%
10:55:23 |  Iter-58 | MAE=10.426 | MAPE=11.39%
11:00:45 |  Iter-59 | MAE=6.029 | MAPE=6.21%
11:06:13 |  Iter-60 | MAE=5.132 | MAPE=5.01%
11:11:39 |  Iter-61 | MAE=12.754 | MAPE=11.74%
11:16:51 |  Iter-62 | MAE=6.285 | MAPE=5.32%
11:22:01 |  Iter-63 | MAE=20.784 | MAPE=14.50%
11:27:09 |  Iter-64 | MAE=14.181 | MAPE=11.53%
11:31:46 |  Iter-65 | MAE=2.182 | MAPE=1.84%
11:36:49 |  Iter-66 | MAE=13.160 | MAPE=9.61%
11:41:56 |  Iter-67 | MAE=4.484 | MAPE=3.14%
11:47:14 |  Iter-68 | MAE=3.441 | MAPE=2.35%
11:52:15 |  Iter-69 | MAE=3.627 | MAPE=2.50%
11:57:07 |  Iter-70 | MAE=2.506 | MAPE=1.71%
12:02:22 |  Iter-71 | MAE=9.203 | MAPE=5.81%
12:07:42 |  Iter-72 | MAE=2.724 | MAPE=1.73%
12:12:43 |  Iter-73 | MAE=3.674 | MAPE=2.26%
12:17:51 |  Iter-74 | MAE=11.770 | MAPE=8.13%
12:23:13 |  Iter-75 | MAE=16.698 | MAPE=12.53%
12:28:05 |  Iter-76 | MAE=9.067 | MAPE=6.99%
12:33:03 |  Iter-77 | MAE=4.120 | MAPE=3.11%
12:38:01 |  Iter-78 | MAE=7.539 | MAPE=5.24%
12:43:04 |  Iter-79 | MAE=2.284 | MAPE=1.61%
12:49:27 |  Iter-80 | MAE=3.958 | MAPE=2.83%
12:54:35 |  Iter-81 | MAE=9.032 | MAPE=6.10%
12:59:44 |  Iter-82 | MAE=9.136 | MAPE=6.27%
13:04:59 |  Iter-83 | MAE=4.716 | MAPE=3.31%
13:10:16 |  Iter-84 | MAE=23.428 | MAPE=19.09%
13:15:30 |  Iter-85 | MAE=13.949 | MAPE=10.50%
13:20:22 |  Iter-86 | MAE=0.492 | MAPE=0.38%
13:25:16 |  Iter-87 | MAE=1.054 | MAPE=0.78%
13:30:26 |  Iter-88 | MAE=7.166 | MAPE=5.66%
13:35:30 |  Iter-89 | MAE=1.067 | MAPE=0.88%
13:40:25 |  Iter-90 | MAE=2.924 | MAPE=2.39%
13:45:20 |  Iter-91 | MAE=2.377 | MAPE=1.89%
13:50:22 |  Iter-92 | MAE=1.560 | MAPE=1.30%
13:55:32 |  Iter-93 | MAE=2.802 | MAPE=2.32%
14:00:36 |  Iter-94 | MAE=3.200 | MAPE=2.54%
14:05:31 |  Iter-95 | MAE=1.896 | MAPE=1.48%
14:10:36 |  Iter-96 | MAE=2.200 | MAPE=1.74%
14:15:33 |  Iter-97 | MAE=2.351 | MAPE=1.82%
14:20:22 |  Iter-98 | MAE=2.056 | MAPE=1.60%
14:26:00 |  Iter-99 | MAE=0.123 | MAPE=0.09%
14:31:26 |  Iter-100 | MAE=0.589 | MAPE=0.43%
14:31:26 | 
 OVERALL: MAE=3.188, MAPE=2.76%, R2=0.9667 (31890.2s)
14:31:26 | Saved model checkpoint: /data/quyhv/oil_forecast_tail_risk/results_v4/walkforward/GUMNet_Mamba/XANG_H1_seed9999/model_checkpoint.pth
14:31:26 | Saved processor/scaler: /data/quyhv/oil_forecast_tail_risk/results_v4/walkforward/GUMNet_Mamba/XANG_H1_seed9999/processor.pkl
