05:19:55 | ================================================================================
05:19:55 |  GUMNet_MoE_Sparse | DAU | H10 | walkforward | seed=777
05:19:55 | ================================================================================
05:19:55 | Data: 4513 rows | Features: 15
05:35:35 |  Iter-01 | MAE=1.447 | MAPE=1.60%
05:51:10 |  Iter-02 | MAE=5.934 | MAPE=6.89%
06:06:46 |  Iter-03 | MAE=2.438 | MAPE=2.89%
06:22:32 |  Iter-04 | MAE=1.582 | MAPE=1.85%
06:38:36 |  Iter-05 | MAE=1.582 | MAPE=1.81%
06:54:54 |  Iter-06 | MAE=1.620 | MAPE=1.83%
07:11:06 |  Iter-07 | MAE=0.671 | MAPE=0.76%
07:27:17 |  Iter-08 | MAE=0.721 | MAPE=0.82%
07:43:29 |  Iter-09 | MAE=1.460 | MAPE=1.64%
07:59:40 |  Iter-10 | MAE=1.712 | MAPE=1.93%
08:15:51 |  Iter-11 | MAE=2.039 | MAPE=2.36%
08:32:03 |  Iter-12 | MAE=3.116 | MAPE=3.70%
08:47:52 |  Iter-13 | MAE=4.296 | MAPE=4.72%
09:04:15 |  Iter-14 | MAE=6.154 | MAPE=6.66%
09:20:07 |  Iter-15 | MAE=1.210 | MAPE=1.27%
09:35:59 |  Iter-16 | MAE=3.275 | MAPE=3.41%
09:51:50 |  Iter-17 | MAE=4.363 | MAPE=4.87%
10:07:41 |  Iter-18 | MAE=10.010 | MAPE=11.50%
10:23:33 |  Iter-19 | MAE=1.332 | MAPE=1.56%
10:39:24 |  Iter-20 | MAE=3.088 | MAPE=3.80%
10:55:16 |  Iter-21 | MAE=3.266 | MAPE=4.09%
11:11:07 |  Iter-22 | MAE=0.877 | MAPE=1.09%
11:27:09 |  Iter-23 | MAE=1.848 | MAPE=2.34%
11:43:18 |  Iter-24 | MAE=1.368 | MAPE=1.72%
11:59:32 |  Iter-25 | MAE=4.389 | MAPE=5.36%
