16:30:48 | ================================================================================
16:30:48 |  GUMNet_MoE_Sparse | XANG | H1 | walkforward | seed=2025
16:30:48 | ================================================================================
16:30:48 | Data: 4513 rows | Features: 15
16:36:09 |  Iter-01 | MAE=0.119 | MAPE=0.15%
16:42:53 |  Iter-02 | MAE=0.439 | MAPE=0.56%
16:49:09 |  Iter-03 | MAE=0.246 | MAPE=0.31%
16:55:24 |  Iter-04 | MAE=2.635 | MAPE=3.50%
17:01:01 |  Iter-05 | MAE=0.410 | MAPE=0.55%
17:06:09 |  Iter-06 | MAE=0.528 | MAPE=0.71%
17:12:06 |  Iter-07 | MAE=1.169 | MAPE=1.59%
17:17:33 |  Iter-08 | MAE=0.440 | MAPE=0.60%
17:23:21 |  Iter-09 | MAE=0.999 | MAPE=1.35%
17:28:49 |  Iter-10 | MAE=0.017 | MAPE=0.02%
17:34:47 |  Iter-11 | MAE=0.205 | MAPE=0.28%
17:40:55 |  Iter-12 | MAE=0.542 | MAPE=0.74%
17:46:24 |  Iter-13 | MAE=0.333 | MAPE=0.46%
17:52:31 |  Iter-14 | MAE=0.316 | MAPE=0.44%
17:58:28 |  Iter-15 | MAE=0.100 | MAPE=0.14%
18:04:06 |  Iter-16 | MAE=0.103 | MAPE=0.14%
18:10:22 |  Iter-17 | MAE=0.509 | MAPE=0.70%
18:16:10 |  Iter-18 | MAE=1.481 | MAPE=2.09%
18:22:07 |  Iter-19 | MAE=0.418 | MAPE=0.58%
18:29:03 |  Iter-20 | MAE=1.372 | MAPE=1.96%
18:35:19 |  Iter-21 | MAE=1.297 | MAPE=1.84%
18:40:58 |  Iter-22 | MAE=0.108 | MAPE=0.15%
18:46:45 |  Iter-23 | MAE=0.797 | MAPE=1.10%
18:52:52 |  Iter-24 | MAE=0.383 | MAPE=0.53%
18:59:09 |  Iter-25 | MAE=1.311 | MAPE=1.81%
19:04:27 |  Iter-26 | MAE=1.348 | MAPE=1.87%
19:10:53 |  Iter-27 | MAE=0.397 | MAPE=0.56%
19:17:00 |  Iter-28 | MAE=0.240 | MAPE=0.34%
19:23:55 |  Iter-29 | MAE=0.391 | MAPE=0.54%
19:30:40 |  Iter-30 | MAE=0.608 | MAPE=0.84%
19:36:47 |  Iter-31 | MAE=0.370 | MAPE=0.51%
19:43:04 |  Iter-32 | MAE=0.683 | MAPE=0.95%
19:48:03 |  Iter-33 | MAE=0.876 | MAPE=1.20%
19:53:42 |  Iter-34 | MAE=1.231 | MAPE=1.73%
19:58:51 |  Iter-35 | MAE=1.312 | MAPE=1.79%
20:04:29 |  Iter-36 | MAE=1.291 | MAPE=1.73%
20:10:46 |  Iter-37 | MAE=1.598 | MAPE=2.15%
20:17:31 |  Iter-38 | MAE=3.017 | MAPE=4.20%
20:23:10 |  Iter-39 | MAE=2.324 | MAPE=3.23%
20:29:17 |  Iter-40 | MAE=1.872 | MAPE=2.54%
20:35:14 |  Iter-41 | MAE=0.471 | MAPE=0.64%
20:41:50 |  Iter-42 | MAE=0.445 | MAPE=0.60%
20:48:55 |  Iter-43 | MAE=1.107 | MAPE=1.46%
20:56:36 |  Iter-44 | MAE=0.586 | MAPE=0.76%
21:01:50 |  Iter-45 | MAE=0.260 | MAPE=0.34%
21:09:20 |  Iter-46 | MAE=0.940 | MAPE=1.24%
21:16:13 |  Iter-47 | MAE=2.205 | MAPE=3.03%
21:21:37 |  Iter-48 | MAE=0.220 | MAPE=0.30%
21:27:40 |  Iter-49 | MAE=0.527 | MAPE=0.72%
21:33:34 |  Iter-50 | MAE=0.054 | MAPE=0.07%
21:40:07 |  Iter-51 | MAE=2.294 | MAPE=2.98%
21:45:31 |  Iter-52 | MAE=1.439 | MAPE=1.82%
21:51:34 |  Iter-53 | MAE=0.048 | MAPE=0.06%
21:58:26 |  Iter-54 | MAE=1.764 | MAPE=2.20%
22:04:49 |  Iter-55 | MAE=1.537 | MAPE=1.92%
22:10:32 |  Iter-56 | MAE=0.226 | MAPE=0.28%
22:16:06 |  Iter-57 | MAE=0.378 | MAPE=0.47%
22:22:19 |  Iter-58 | MAE=10.803 | MAPE=11.80%
22:28:12 |  Iter-59 | MAE=5.488 | MAPE=5.65%
22:33:47 |  Iter-60 | MAE=5.398 | MAPE=5.28%
22:40:19 |  Iter-61 | MAE=11.984 | MAPE=11.04%
22:45:34 |  Iter-62 | MAE=7.390 | MAPE=6.26%
22:50:48 |  Iter-63 | MAE=22.481 | MAPE=15.69%
22:56:42 |  Iter-64 | MAE=24.397 | MAPE=19.81%
23:02:26 |  Iter-65 | MAE=2.349 | MAPE=1.94%
23:07:42 |  Iter-66 | MAE=12.881 | MAPE=9.43%
23:13:49 |  Iter-67 | MAE=6.211 | MAPE=4.35%
23:20:06 |  Iter-68 | MAE=4.139 | MAPE=2.82%
23:26:23 |  Iter-69 | MAE=0.418 | MAPE=0.29%
23:32:09 |  Iter-70 | MAE=2.431 | MAPE=1.65%
23:38:16 |  Iter-71 | MAE=10.323 | MAPE=6.52%
23:44:02 |  Iter-72 | MAE=0.629 | MAPE=0.40%
23:49:49 |  Iter-73 | MAE=3.504 | MAPE=2.14%
23:56:07 |  Iter-74 | MAE=11.522 | MAPE=7.95%
00:02:11 |  Iter-75 | MAE=16.014 | MAPE=12.01%
00:07:48 |  Iter-76 | MAE=10.881 | MAPE=8.39%
00:14:44 |  Iter-77 | MAE=1.715 | MAPE=1.29%
00:20:56 |  Iter-78 | MAE=6.356 | MAPE=4.41%
00:27:20 |  Iter-79 | MAE=2.406 | MAPE=1.70%
00:34:04 |  Iter-80 | MAE=2.772 | MAPE=1.98%
00:40:06 |  Iter-81 | MAE=11.917 | MAPE=8.06%
00:46:40 |  Iter-82 | MAE=6.157 | MAPE=4.23%
00:52:20 |  Iter-83 | MAE=3.557 | MAPE=2.49%
00:58:32 |  Iter-84 | MAE=24.336 | MAPE=19.83%
01:04:00 |  Iter-85 | MAE=12.968 | MAPE=9.77%
01:09:51 |  Iter-86 | MAE=1.366 | MAPE=1.05%
01:16:47 |  Iter-87 | MAE=1.013 | MAPE=0.76%
01:23:52 |  Iter-88 | MAE=8.768 | MAPE=6.92%
01:29:44 |  Iter-89 | MAE=0.978 | MAPE=0.81%
01:35:56 |  Iter-90 | MAE=2.230 | MAPE=1.83%
01:41:37 |  Iter-91 | MAE=2.233 | MAPE=1.78%
01:47:18 |  Iter-92 | MAE=0.531 | MAPE=0.44%
01:52:59 |  Iter-93 | MAE=0.733 | MAPE=0.61%
01:59:01 |  Iter-94 | MAE=3.861 | MAPE=3.06%
02:04:52 |  Iter-95 | MAE=0.324 | MAPE=0.25%
02:11:14 |  Iter-96 | MAE=1.822 | MAPE=1.44%
02:16:55 |  Iter-97 | MAE=1.737 | MAPE=1.34%
02:22:56 |  Iter-98 | MAE=1.086 | MAPE=0.84%
02:28:36 |  Iter-99 | MAE=1.631 | MAPE=1.24%
02:35:00 |  Iter-100 | MAE=1.853 | MAPE=1.37%
02:35:00 | 
 OVERALL: MAE=3.199, MAPE=2.76%, R2=0.9615 (36251.7s)
02:35:00 | Saved model checkpoint: /data/quyhv/oil_forecast_tail_risk/results_v4/walkforward/GUMNet_MoE_Sparse/XANG_H1_seed2025/model_checkpoint.pth
02:35:00 | Saved processor/scaler: /data/quyhv/oil_forecast_tail_risk/results_v4/walkforward/GUMNet_MoE_Sparse/XANG_H1_seed2025/processor.pkl
