11:40:39 | ================================================================================
11:40:39 |  GUMNet_Patch | DAU | H1 | walkforward | seed=777
11:40:39 | ================================================================================
11:40:39 | Data: 4513 rows | Features: 16
11:45:44 |  Iter-01 | MAE=1.509 | MAPE=1.83%
11:50:35 |  Iter-02 | MAE=0.845 | MAPE=1.02%
11:55:44 |  Iter-03 | MAE=1.403 | MAPE=1.72%
12:00:52 |  Iter-04 | MAE=1.270 | MAPE=1.59%
12:05:44 |  Iter-05 | MAE=0.074 | MAPE=0.09%
12:10:36 |  Iter-06 | MAE=0.237 | MAPE=0.30%
12:15:19 |  Iter-07 | MAE=1.221 | MAPE=1.55%
12:20:00 |  Iter-08 | MAE=0.352 | MAPE=0.44%
12:24:52 |  Iter-09 | MAE=0.095 | MAPE=0.12%
12:29:34 |  Iter-10 | MAE=0.501 | MAPE=0.62%
12:34:16 |  Iter-11 | MAE=0.281 | MAPE=0.35%
12:38:58 |  Iter-12 | MAE=0.579 | MAPE=0.72%
12:43:40 |  Iter-13 | MAE=0.619 | MAPE=0.78%
12:48:31 |  Iter-14 | MAE=0.377 | MAPE=0.47%
12:53:30 |  Iter-15 | MAE=0.742 | MAPE=0.92%
12:58:13 |  Iter-16 | MAE=0.346 | MAPE=0.43%
13:03:21 |  Iter-17 | MAE=0.645 | MAPE=0.81%
13:08:04 |  Iter-18 | MAE=1.147 | MAPE=1.47%
13:12:45 |  Iter-19 | MAE=0.104 | MAPE=0.13%
13:17:36 |  Iter-20 | MAE=1.629 | MAPE=2.11%
13:22:19 |  Iter-21 | MAE=0.085 | MAPE=0.11%
13:26:52 |  Iter-22 | MAE=1.463 | MAPE=1.84%
13:31:26 |  Iter-23 | MAE=0.336 | MAPE=0.42%
13:36:08 |  Iter-24 | MAE=0.520 | MAPE=0.64%
13:41:00 |  Iter-25 | MAE=0.069 | MAPE=0.08%
13:45:59 |  Iter-26 | MAE=1.565 | MAPE=1.91%
13:50:51 |  Iter-27 | MAE=2.282 | MAPE=2.79%
13:55:50 |  Iter-28 | MAE=0.313 | MAPE=0.38%
14:00:32 |  Iter-29 | MAE=0.663 | MAPE=0.80%
14:05:23 |  Iter-30 | MAE=0.505 | MAPE=0.60%
14:10:15 |  Iter-31 | MAE=1.658 | MAPE=1.94%
14:15:23 |  Iter-32 | MAE=0.840 | MAPE=1.00%
14:20:14 |  Iter-33 | MAE=0.179 | MAPE=0.21%
14:25:23 |  Iter-34 | MAE=1.031 | MAPE=1.23%
14:30:15 |  Iter-35 | MAE=0.193 | MAPE=0.22%
14:34:57 |  Iter-36 | MAE=1.834 | MAPE=2.07%
14:39:40 |  Iter-37 | MAE=1.092 | MAPE=1.23%
14:44:48 |  Iter-38 | MAE=2.281 | MAPE=2.62%
14:49:29 |  Iter-39 | MAE=1.717 | MAPE=1.99%
14:54:47 |  Iter-40 | MAE=1.852 | MAPE=2.11%
