07:46:20 | ================================================================================
07:46:20 |  GUMNet_Patch | XANG | H1 | walkforward | seed=123
07:46:20 | ================================================================================
07:46:20 | Data: 4513 rows | Features: 15
07:51:50 |  Iter-01 | MAE=0.119 | MAPE=0.15%
07:57:07 |  Iter-02 | MAE=0.182 | MAPE=0.23%
08:02:42 |  Iter-03 | MAE=0.394 | MAPE=0.50%
08:07:36 |  Iter-04 | MAE=2.291 | MAPE=3.05%
08:12:26 |  Iter-05 | MAE=0.380 | MAPE=0.51%
08:17:40 |  Iter-06 | MAE=0.532 | MAPE=0.72%
08:23:23 |  Iter-07 | MAE=1.349 | MAPE=1.84%
08:29:08 |  Iter-08 | MAE=0.442 | MAPE=0.60%
08:34:09 |  Iter-09 | MAE=1.252 | MAPE=1.69%
08:39:34 |  Iter-10 | MAE=0.520 | MAPE=0.71%
08:45:13 |  Iter-11 | MAE=0.532 | MAPE=0.72%
08:50:54 |  Iter-12 | MAE=0.504 | MAPE=0.69%
08:56:04 |  Iter-13 | MAE=0.453 | MAPE=0.63%
09:01:15 |  Iter-14 | MAE=0.363 | MAPE=0.50%
09:06:01 |  Iter-15 | MAE=0.203 | MAPE=0.28%
09:11:44 |  Iter-16 | MAE=0.434 | MAPE=0.60%
09:16:43 |  Iter-17 | MAE=0.528 | MAPE=0.73%
09:22:35 |  Iter-18 | MAE=1.218 | MAPE=1.72%
09:27:49 |  Iter-19 | MAE=0.315 | MAPE=0.44%
09:33:22 |  Iter-20 | MAE=1.019 | MAPE=1.45%
09:38:54 |  Iter-21 | MAE=1.196 | MAPE=1.69%
09:44:23 |  Iter-22 | MAE=0.906 | MAPE=1.25%
09:49:03 |  Iter-23 | MAE=0.754 | MAPE=1.04%
09:54:36 |  Iter-24 | MAE=0.058 | MAPE=0.08%
10:00:09 |  Iter-25 | MAE=1.356 | MAPE=1.87%
10:05:19 |  Iter-26 | MAE=1.949 | MAPE=2.71%
10:10:49 |  Iter-27 | MAE=0.634 | MAPE=0.89%
10:15:36 |  Iter-28 | MAE=0.250 | MAPE=0.35%
10:21:05 |  Iter-29 | MAE=0.556 | MAPE=0.78%
10:27:00 |  Iter-30 | MAE=0.545 | MAPE=0.75%
10:32:24 |  Iter-31 | MAE=0.082 | MAPE=0.11%
10:37:54 |  Iter-32 | MAE=0.740 | MAPE=1.02%
10:42:59 |  Iter-33 | MAE=0.624 | MAPE=0.85%
10:48:22 |  Iter-34 | MAE=1.269 | MAPE=1.78%
10:53:31 |  Iter-35 | MAE=0.204 | MAPE=0.28%
10:59:19 |  Iter-36 | MAE=0.951 | MAPE=1.27%
11:05:12 |  Iter-37 | MAE=1.649 | MAPE=2.22%
11:10:34 |  Iter-38 | MAE=3.467 | MAPE=4.83%
11:15:28 |  Iter-39 | MAE=2.043 | MAPE=2.84%
11:20:43 |  Iter-40 | MAE=1.757 | MAPE=2.38%
11:26:02 |  Iter-41 | MAE=0.862 | MAPE=1.16%
11:31:06 |  Iter-42 | MAE=1.120 | MAPE=1.51%
11:36:10 |  Iter-43 | MAE=1.071 | MAPE=1.41%
11:42:03 |  Iter-44 | MAE=1.283 | MAPE=1.66%
11:47:23 |  Iter-45 | MAE=0.591 | MAPE=0.77%
11:53:35 |  Iter-46 | MAE=0.644 | MAPE=0.85%
11:58:54 |  Iter-47 | MAE=2.454 | MAPE=3.37%
12:04:02 |  Iter-48 | MAE=0.147 | MAPE=0.20%
12:09:30 |  Iter-49 | MAE=0.341 | MAPE=0.47%
12:14:58 |  Iter-50 | MAE=0.109 | MAPE=0.15%
12:20:01 |  Iter-51 | MAE=2.915 | MAPE=3.78%
12:26:01 |  Iter-52 | MAE=1.612 | MAPE=2.04%
12:31:52 |  Iter-53 | MAE=0.444 | MAPE=0.56%
12:37:26 |  Iter-54 | MAE=1.926 | MAPE=2.40%
12:43:16 |  Iter-55 | MAE=0.954 | MAPE=1.19%
12:48:25 |  Iter-56 | MAE=0.579 | MAPE=0.72%
12:53:49 |  Iter-57 | MAE=0.519 | MAPE=0.64%
12:58:57 |  Iter-58 | MAE=10.647 | MAPE=11.63%
13:04:24 |  Iter-59 | MAE=6.816 | MAPE=7.02%
13:09:40 |  Iter-60 | MAE=3.249 | MAPE=3.17%
13:14:57 |  Iter-61 | MAE=11.314 | MAPE=10.41%
13:19:53 |  Iter-62 | MAE=6.186 | MAPE=5.23%
13:25:00 |  Iter-63 | MAE=22.503 | MAPE=15.71%
13:30:21 |  Iter-64 | MAE=25.478 | MAPE=20.68%
13:36:14 |  Iter-65 | MAE=5.989 | MAPE=4.96%
13:41:14 |  Iter-66 | MAE=15.900 | MAPE=11.63%
13:46:58 |  Iter-67 | MAE=10.328 | MAPE=7.23%
13:52:13 |  Iter-68 | MAE=1.794 | MAPE=1.23%
13:57:46 |  Iter-69 | MAE=2.774 | MAPE=1.89%
14:02:24 |  Iter-70 | MAE=1.907 | MAPE=1.30%
14:07:14 |  Iter-71 | MAE=7.606 | MAPE=4.81%
14:12:29 |  Iter-72 | MAE=4.538 | MAPE=2.88%
14:17:21 |  Iter-73 | MAE=2.614 | MAPE=1.60%
14:22:06 |  Iter-74 | MAE=16.633 | MAPE=11.49%
14:27:31 |  Iter-75 | MAE=17.851 | MAPE=13.40%
14:32:55 |  Iter-76 | MAE=11.365 | MAPE=8.76%
14:37:41 |  Iter-77 | MAE=2.822 | MAPE=2.12%
14:42:17 |  Iter-78 | MAE=6.568 | MAPE=4.56%
14:47:01 |  Iter-79 | MAE=0.253 | MAPE=0.18%
14:51:38 |  Iter-80 | MAE=2.131 | MAPE=1.52%
14:56:21 |  Iter-81 | MAE=8.538 | MAPE=5.77%
15:01:15 |  Iter-82 | MAE=9.094 | MAPE=6.23%
15:05:55 |  Iter-83 | MAE=5.818 | MAPE=4.08%
15:10:40 |  Iter-84 | MAE=23.947 | MAPE=19.51%
15:15:39 |  Iter-85 | MAE=14.545 | MAPE=10.95%
15:20:16 |  Iter-86 | MAE=0.723 | MAPE=0.55%
15:24:52 |  Iter-87 | MAE=0.892 | MAPE=0.66%
15:29:44 |  Iter-88 | MAE=7.626 | MAPE=6.02%
15:34:38 |  Iter-89 | MAE=0.942 | MAPE=0.78%
15:39:18 |  Iter-90 | MAE=2.475 | MAPE=2.03%
15:44:11 |  Iter-91 | MAE=2.345 | MAPE=1.85%
15:48:56 |  Iter-92 | MAE=0.576 | MAPE=0.48%
15:54:06 |  Iter-93 | MAE=3.543 | MAPE=2.93%
15:59:00 |  Iter-94 | MAE=3.413 | MAPE=2.71%
16:03:46 |  Iter-95 | MAE=0.978 | MAPE=0.76%
16:08:34 |  Iter-96 | MAE=1.156 | MAPE=0.90%
16:13:04 |  Iter-97 | MAE=2.532 | MAPE=1.96%
16:17:41 |  Iter-98 | MAE=1.452 | MAPE=1.13%
16:22:33 |  Iter-99 | MAE=0.837 | MAPE=0.64%
16:27:08 |  Iter-100 | MAE=0.691 | MAPE=0.51%
16:27:08 | 
 OVERALL: MAE=3.410, MAPE=2.94%, R2=0.9571 (31248.6s)
16:27:08 | Saved model checkpoint: /data/quyhv/oil_forecast_tail_risk/results_v4/walkforward/GUMNet_Patch/XANG_H1_seed123/model_checkpoint.pth
16:27:08 | Saved processor/scaler: /data/quyhv/oil_forecast_tail_risk/results_v4/walkforward/GUMNet_Patch/XANG_H1_seed123/processor.pkl
