12:15:31 | ================================================================================
12:15:31 |  GUMNet_RL | DAU | H1 | walkforward | seed=123
12:15:31 | ================================================================================
12:15:31 | Data: 4513 rows | Features: 16
12:20:43 |  Iter-01 | MAE=1.303 | MAPE=1.58%
12:25:44 |  Iter-02 | MAE=0.685 | MAPE=0.83%
12:30:27 |  Iter-03 | MAE=0.878 | MAPE=1.08%
12:35:10 |  Iter-04 | MAE=1.466 | MAPE=1.83%
12:40:36 |  Iter-05 | MAE=0.237 | MAPE=0.30%
12:45:29 |  Iter-06 | MAE=0.365 | MAPE=0.46%
12:50:12 |  Iter-07 | MAE=1.302 | MAPE=1.65%
12:55:12 |  Iter-08 | MAE=0.446 | MAPE=0.56%
13:00:39 |  Iter-09 | MAE=0.229 | MAPE=0.29%
13:05:14 |  Iter-10 | MAE=0.226 | MAPE=0.28%
13:09:50 |  Iter-11 | MAE=0.186 | MAPE=0.23%
13:14:34 |  Iter-12 | MAE=0.503 | MAPE=0.62%
13:19:01 |  Iter-13 | MAE=0.739 | MAPE=0.93%
13:23:45 |  Iter-14 | MAE=0.403 | MAPE=0.51%
13:28:37 |  Iter-15 | MAE=0.773 | MAPE=0.96%
13:33:13 |  Iter-16 | MAE=0.477 | MAPE=0.59%
13:38:14 |  Iter-17 | MAE=0.148 | MAPE=0.19%
13:42:59 |  Iter-18 | MAE=1.084 | MAPE=1.39%
13:47:35 |  Iter-19 | MAE=0.101 | MAPE=0.13%
13:52:30 |  Iter-20 | MAE=2.106 | MAPE=2.72%
13:56:57 |  Iter-21 | MAE=0.088 | MAPE=0.11%
14:01:45 |  Iter-22 | MAE=1.189 | MAPE=1.49%
14:06:21 |  Iter-23 | MAE=0.428 | MAPE=0.53%
14:11:14 |  Iter-24 | MAE=0.726 | MAPE=0.89%
14:16:25 |  Iter-25 | MAE=0.312 | MAPE=0.38%
14:21:01 |  Iter-26 | MAE=1.860 | MAPE=2.27%
14:27:10 |  Iter-27 | MAE=1.658 | MAPE=2.03%
14:32:38 |  Iter-28 | MAE=0.066 | MAPE=0.08%
14:37:41 |  Iter-29 | MAE=0.861 | MAPE=1.04%
14:44:03 |  Iter-30 | MAE=0.428 | MAPE=0.51%
14:49:39 |  Iter-31 | MAE=2.243 | MAPE=2.63%
14:54:51 |  Iter-32 | MAE=0.945 | MAPE=1.12%
15:00:39 |  Iter-33 | MAE=0.091 | MAPE=0.11%
15:06:24 |  Iter-34 | MAE=1.038 | MAPE=1.24%
15:12:07 |  Iter-35 | MAE=0.874 | MAPE=1.01%
15:18:08 |  Iter-36 | MAE=1.415 | MAPE=1.60%
15:23:23 |  Iter-37 | MAE=0.903 | MAPE=1.02%
15:28:35 |  Iter-38 | MAE=2.334 | MAPE=2.68%
15:34:37 |  Iter-39 | MAE=1.590 | MAPE=1.84%
15:40:34 |  Iter-40 | MAE=0.623 | MAPE=0.71%
15:45:20 |  Iter-41 | MAE=0.728 | MAPE=0.83%
15:49:54 |  Iter-42 | MAE=1.996 | MAPE=2.25%
15:54:29 |  Iter-43 | MAE=1.835 | MAPE=2.10%
15:59:17 |  Iter-44 | MAE=0.504 | MAPE=0.57%
16:04:03 |  Iter-45 | MAE=1.099 | MAPE=1.23%
16:08:59 |  Iter-46 | MAE=0.209 | MAPE=0.23%
16:14:09 |  Iter-47 | MAE=0.449 | MAPE=0.52%
16:19:19 |  Iter-48 | MAE=0.615 | MAPE=0.71%
16:24:19 |  Iter-49 | MAE=0.750 | MAPE=0.87%
16:30:03 |  Iter-50 | MAE=0.320 | MAPE=0.37%
16:34:38 |  Iter-51 | MAE=3.747 | MAPE=4.11%
16:39:47 |  Iter-52 | MAE=1.349 | MAPE=1.46%
16:45:05 |  Iter-53 | MAE=1.425 | MAPE=1.56%
16:50:16 |  Iter-54 | MAE=0.732 | MAPE=0.79%
16:55:06 |  Iter-55 | MAE=0.435 | MAPE=0.47%
16:59:59 |  Iter-56 | MAE=1.465 | MAPE=1.59%
17:04:59 |  Iter-57 | MAE=0.258 | MAPE=0.28%
17:10:01 |  Iter-58 | MAE=21.503 | MAPE=18.72%
17:14:44 |  Iter-59 | MAE=12.100 | MAPE=9.64%
17:19:36 |  Iter-60 | MAE=15.710 | MAPE=10.98%
17:25:05 |  Iter-61 | MAE=14.405 | MAPE=9.44%
17:29:48 |  Iter-62 | MAE=0.735 | MAPE=0.47%
17:35:17 |  Iter-63 | MAE=22.586 | MAPE=12.21%
17:40:09 |  Iter-64 | MAE=22.102 | MAPE=13.74%
17:45:03 |  Iter-65 | MAE=2.689 | MAPE=1.64%
17:49:56 |  Iter-66 | MAE=30.350 | MAPE=15.64%
17:54:39 |  Iter-67 | MAE=2.212 | MAPE=1.15%
17:59:50 |  Iter-68 | MAE=5.740 | MAPE=3.01%
18:04:51 |  Iter-69 | MAE=13.041 | MAPE=6.60%
18:10:11 |  Iter-70 | MAE=2.426 | MAPE=1.22%
18:15:04 |  Iter-71 | MAE=19.747 | MAPE=8.82%
18:20:24 |  Iter-72 | MAE=7.446 | MAPE=3.35%
18:25:07 |  Iter-73 | MAE=15.530 | MAPE=6.41%
18:30:08 |  Iter-74 | MAE=9.898 | MAPE=4.51%
18:34:53 |  Iter-75 | MAE=20.083 | MAPE=9.79%
18:40:20 |  Iter-76 | MAE=7.186 | MAPE=3.33%
18:46:14 |  Iter-77 | MAE=15.240 | MAPE=6.42%
18:51:23 |  Iter-78 | MAE=8.368 | MAPE=3.32%
18:56:59 |  Iter-79 | MAE=14.529 | MAPE=6.09%
19:02:27 |  Iter-80 | MAE=7.600 | MAPE=3.10%
19:07:55 |  Iter-81 | MAE=56.128 | MAPE=19.20%
19:13:06 |  Iter-82 | MAE=24.967 | MAPE=9.33%
19:18:07 |  Iter-83 | MAE=19.919 | MAPE=8.23%
19:23:09 |  Iter-84 | MAE=59.008 | MAPE=30.92%
19:28:11 |  Iter-85 | MAE=10.313 | MAPE=5.01%
19:33:03 |  Iter-86 | MAE=3.635 | MAPE=1.84%
19:38:22 |  Iter-87 | MAE=7.553 | MAPE=3.94%
19:43:41 |  Iter-88 | MAE=19.780 | MAPE=10.97%
19:49:07 |  Iter-89 | MAE=13.811 | MAPE=8.34%
19:53:55 |  Iter-90 | MAE=2.346 | MAPE=1.42%
19:58:51 |  Iter-91 | MAE=0.604 | MAPE=0.37%
20:04:05 |  Iter-92 | MAE=7.695 | MAPE=5.20%
20:09:02 |  Iter-93 | MAE=3.069 | MAPE=2.10%
20:13:58 |  Iter-94 | MAE=11.101 | MAPE=6.94%
20:19:04 |  Iter-95 | MAE=0.541 | MAPE=0.33%
20:24:09 |  Iter-96 | MAE=0.577 | MAPE=0.34%
20:29:05 |  Iter-97 | MAE=2.216 | MAPE=1.33%
20:34:02 |  Iter-98 | MAE=6.403 | MAPE=3.99%
20:38:58 |  Iter-99 | MAE=2.857 | MAPE=1.75%
20:43:36 |  Iter-100 | MAE=2.830 | MAPE=1.66%
20:43:36 | 
 OVERALL: MAE=5.978, MAPE=3.43%, R2=0.9595 (30486.9s)
20:43:36 | Saved model checkpoint: /data/quyhv/oil_forecast_tail_risk/results_v4/walkforward/GUMNet_RL/DAU_H1_seed123/model_checkpoint.pth
20:43:36 | Saved processor/scaler: /data/quyhv/oil_forecast_tail_risk/results_v4/walkforward/GUMNet_RL/DAU_H1_seed123/processor.pkl
