15:51:41 | ================================================================================
15:51:41 |  GUMNet_RL | XANG | H10 | walkforward | seed=9999
15:51:41 | ================================================================================
15:51:41 | Data: 4513 rows | Features: 14
15:51:41 | ================================================================================
15:51:41 |  GUMNet_RL | XANG | H10 | walkforward | seed=777
15:51:41 | ================================================================================
15:51:41 | ================================================================================
15:51:41 |  GUMNet_RL | XANG | H10 | walkforward | seed=2025
15:51:41 | ================================================================================
15:51:41 | ================================================================================
15:51:41 |  GUMNet_RL | XANG | H10 | walkforward | seed=123
15:51:41 | ================================================================================
15:51:41 | Data: 4513 rows | Features: 14
15:51:41 | Data: 4513 rows | Features: 14
15:51:41 | Data: 4513 rows | Features: 14
16:00:26 |  Iter-01 | MAE=3.048 | MAPE=3.83%
16:00:26 |  Iter-01 | MAE=3.324 | MAPE=4.18%
16:00:28 |  Iter-01 | MAE=3.238 | MAPE=4.07%
16:01:12 |  Iter-01 | MAE=3.030 | MAPE=3.81%
16:09:03 |  Iter-02 | MAE=3.066 | MAPE=3.93%
16:09:03 |  Iter-02 | MAE=3.385 | MAPE=4.34%
16:09:07 |  Iter-02 | MAE=3.436 | MAPE=4.40%
16:10:36 |  Iter-02 | MAE=3.134 | MAPE=4.01%
16:17:36 |  Iter-03 | MAE=0.949 | MAPE=1.20%
16:17:41 |  Iter-03 | MAE=0.833 | MAPE=1.05%
16:17:44 |  Iter-03 | MAE=0.721 | MAPE=0.92%
16:19:57 |  Iter-03 | MAE=0.820 | MAPE=1.04%
16:26:16 |  Iter-04 | MAE=2.283 | MAPE=2.85%
16:26:31 |  Iter-04 | MAE=1.887 | MAPE=2.36%
16:27:30 |  Iter-04 | MAE=2.252 | MAPE=2.82%
16:29:27 |  Iter-04 | MAE=1.700 | MAPE=2.12%
16:35:20 |  Iter-05 | MAE=1.051 | MAPE=1.30%
16:35:39 |  Iter-05 | MAE=0.980 | MAPE=1.22%
16:36:30 |  Iter-05 | MAE=1.537 | MAPE=1.90%
16:38:56 |  Iter-05 | MAE=1.212 | MAPE=1.50%
16:44:32 |  Iter-06 | MAE=1.493 | MAPE=1.84%
16:44:51 |  Iter-06 | MAE=1.492 | MAPE=1.84%
16:45:09 |  Iter-06 | MAE=0.615 | MAPE=0.76%
16:48:15 |  Iter-06 | MAE=0.971 | MAPE=1.20%
16:53:40 |  Iter-07 | MAE=0.817 | MAPE=1.01%
16:53:52 |  Iter-07 | MAE=0.760 | MAPE=0.93%
16:54:06 |  Iter-07 | MAE=0.749 | MAPE=0.92%
16:57:32 |  Iter-07 | MAE=0.779 | MAPE=0.95%
17:02:39 |  Iter-08 | MAE=1.410 | MAPE=1.76%
17:02:51 |  Iter-08 | MAE=1.419 | MAPE=1.78%
17:03:18 |  Iter-08 | MAE=1.324 | MAPE=1.65%
17:06:45 |  Iter-08 | MAE=1.576 | MAPE=1.98%
17:11:25 |  Iter-09 | MAE=2.985 | MAPE=3.78%
17:11:57 |  Iter-09 | MAE=2.632 | MAPE=3.33%
17:12:30 |  Iter-09 | MAE=2.860 | MAPE=3.62%
17:16:12 |  Iter-09 | MAE=2.905 | MAPE=3.67%
17:24:57 |  Iter-10 | MAE=2.469 | MAPE=3.19%
17:26:41 |  Iter-10 | MAE=2.598 | MAPE=3.36%
17:27:46 |  Iter-10 | MAE=2.424 | MAPE=3.13%
17:34:21 |  Iter-10 | MAE=2.551 | MAPE=3.29%
17:42:28 |  Iter-11 | MAE=0.708 | MAPE=0.91%
17:44:39 |  Iter-11 | MAE=0.823 | MAPE=1.07%
17:45:51 |  Iter-11 | MAE=0.720 | MAPE=0.93%
