17:15:21 | ================================================================================
17:15:21 |  GUMNet_RL | XANG | H10 | walkforward | seed=777
17:15:21 | ================================================================================
17:15:21 | Data: 4513 rows | Features: 14
17:15:21 | ================================================================================
17:15:21 |  GUMNet_RL | XANG | H10 | walkforward | seed=2025
17:15:21 | ================================================================================
17:15:21 | Data: 4513 rows | Features: 14
17:15:21 | ================================================================================
17:15:21 |  GUMNet_RL | XANG | H10 | walkforward | seed=9999
17:15:21 | ================================================================================
17:15:21 | ================================================================================
17:15:21 |  GUMNet_RL | XANG | H10 | walkforward | seed=123
17:15:21 | ================================================================================
17:15:22 | Data: 4513 rows | Features: 14
17:15:22 | Data: 4513 rows | Features: 14
17:32:52 |  Iter-01 | MAE=3.048 | MAPE=3.83%
17:33:27 |  Iter-01 | MAE=3.324 | MAPE=4.18%
17:33:28 |  Iter-01 | MAE=3.238 | MAPE=4.07%
17:33:29 |  Iter-01 | MAE=3.030 | MAPE=3.81%
17:50:09 |  Iter-02 | MAE=3.385 | MAPE=4.34%
17:51:18 |  Iter-02 | MAE=3.066 | MAPE=3.93%
17:51:22 |  Iter-02 | MAE=3.134 | MAPE=4.01%
17:51:23 |  Iter-02 | MAE=3.436 | MAPE=4.40%
18:07:25 |  Iter-03 | MAE=0.833 | MAPE=1.05%
18:08:56 |  Iter-03 | MAE=0.820 | MAPE=1.04%
18:09:19 |  Iter-03 | MAE=0.949 | MAPE=1.20%
18:09:32 |  Iter-03 | MAE=0.721 | MAPE=0.92%
18:26:36 |  Iter-04 | MAE=1.700 | MAPE=2.12%
18:27:10 |  Iter-04 | MAE=2.252 | MAPE=2.82%
18:27:41 |  Iter-04 | MAE=2.283 | MAPE=2.85%
18:27:57 |  Iter-04 | MAE=1.887 | MAPE=2.36%
18:44:05 |  Iter-05 | MAE=1.212 | MAPE=1.50%
18:45:13 |  Iter-05 | MAE=1.537 | MAPE=1.90%
18:46:11 |  Iter-05 | MAE=1.051 | MAPE=1.30%
18:46:32 |  Iter-05 | MAE=0.980 | MAPE=1.22%
19:01:43 |  Iter-06 | MAE=0.971 | MAPE=1.20%
19:03:08 |  Iter-06 | MAE=0.615 | MAPE=0.76%
19:04:23 |  Iter-06 | MAE=1.493 | MAPE=1.84%
19:04:40 |  Iter-06 | MAE=1.492 | MAPE=1.84%
19:19:40 |  Iter-07 | MAE=0.779 | MAPE=0.95%
19:21:06 |  Iter-07 | MAE=0.760 | MAPE=0.93%
19:21:51 |  Iter-07 | MAE=0.817 | MAPE=1.01%
19:22:11 |  Iter-07 | MAE=0.749 | MAPE=0.92%
19:37:52 |  Iter-08 | MAE=1.576 | MAPE=1.98%
19:39:18 |  Iter-08 | MAE=1.419 | MAPE=1.78%
19:39:27 |  Iter-08 | MAE=1.410 | MAPE=1.76%
19:39:39 |  Iter-08 | MAE=1.324 | MAPE=1.65%
19:56:19 |  Iter-09 | MAE=2.905 | MAPE=3.67%
19:56:46 |  Iter-09 | MAE=2.632 | MAPE=3.33%
19:57:10 |  Iter-09 | MAE=2.860 | MAPE=3.62%
19:57:55 |  Iter-09 | MAE=2.985 | MAPE=3.78%
20:14:45 |  Iter-10 | MAE=2.551 | MAPE=3.29%
20:15:30 |  Iter-10 | MAE=2.598 | MAPE=3.36%
20:16:15 |  Iter-10 | MAE=2.424 | MAPE=3.13%
20:16:23 |  Iter-10 | MAE=2.469 | MAPE=3.19%
20:33:06 |  Iter-11 | MAE=0.650 | MAPE=0.84%
20:34:40 |  Iter-11 | MAE=0.823 | MAPE=1.07%
20:34:42 |  Iter-11 | MAE=0.708 | MAPE=0.91%
20:35:28 |  Iter-11 | MAE=0.720 | MAPE=0.93%
20:51:13 |  Iter-12 | MAE=1.862 | MAPE=2.43%
20:52:55 |  Iter-12 | MAE=1.508 | MAPE=1.97%
20:53:59 |  Iter-12 | MAE=1.982 | MAPE=2.58%
20:54:55 |  Iter-12 | MAE=1.996 | MAPE=2.60%
21:09:13 |  Iter-13 | MAE=2.738 | MAPE=3.40%
21:10:59 |  Iter-13 | MAE=2.562 | MAPE=3.18%
