15:16:35 | ================================================================================
15:16:35 |  GUMNet_RL | XANG | H1 | walkforward | seed=2025
15:16:35 | ================================================================================
15:16:35 | Data: 4513 rows | Features: 15
15:21:28 |  Iter-01 | MAE=0.254 | MAPE=0.32%
15:26:34 |  Iter-02 | MAE=0.259 | MAPE=0.33%
15:31:31 |  Iter-03 | MAE=0.388 | MAPE=0.50%
15:36:06 |  Iter-04 | MAE=2.440 | MAPE=3.25%
15:41:22 |  Iter-05 | MAE=0.351 | MAPE=0.47%
15:46:37 |  Iter-06 | MAE=0.519 | MAPE=0.70%
15:51:20 |  Iter-07 | MAE=1.318 | MAPE=1.80%
15:55:52 |  Iter-08 | MAE=0.506 | MAPE=0.69%
16:00:37 |  Iter-09 | MAE=1.260 | MAPE=1.70%
16:05:06 |  Iter-10 | MAE=0.679 | MAPE=0.92%
16:10:20 |  Iter-11 | MAE=0.102 | MAPE=0.14%
16:15:32 |  Iter-12 | MAE=0.774 | MAPE=1.06%
16:20:52 |  Iter-13 | MAE=0.284 | MAPE=0.39%
16:25:33 |  Iter-14 | MAE=0.669 | MAPE=0.92%
16:31:19 |  Iter-15 | MAE=0.154 | MAPE=0.21%
16:36:49 |  Iter-16 | MAE=0.727 | MAPE=1.00%
16:41:35 |  Iter-17 | MAE=0.535 | MAPE=0.74%
16:47:39 |  Iter-18 | MAE=1.393 | MAPE=1.97%
16:52:45 |  Iter-19 | MAE=0.424 | MAPE=0.59%
16:57:41 |  Iter-20 | MAE=1.138 | MAPE=1.62%
17:03:10 |  Iter-21 | MAE=1.206 | MAPE=1.71%
17:07:48 |  Iter-22 | MAE=0.852 | MAPE=1.18%
17:12:24 |  Iter-23 | MAE=0.884 | MAPE=1.22%
17:17:03 |  Iter-24 | MAE=0.121 | MAPE=0.17%
17:22:17 |  Iter-25 | MAE=1.651 | MAPE=2.28%
17:27:06 |  Iter-26 | MAE=1.489 | MAPE=2.07%
17:32:01 |  Iter-27 | MAE=0.264 | MAPE=0.37%
17:36:52 |  Iter-28 | MAE=0.532 | MAPE=0.75%
17:41:24 |  Iter-29 | MAE=0.390 | MAPE=0.54%
17:46:12 |  Iter-30 | MAE=0.184 | MAPE=0.25%
17:51:00 |  Iter-31 | MAE=0.604 | MAPE=0.83%
17:55:48 |  Iter-32 | MAE=0.798 | MAPE=1.09%
18:00:28 |  Iter-33 | MAE=0.785 | MAPE=1.07%
18:05:34 |  Iter-34 | MAE=1.257 | MAPE=1.76%
18:10:19 |  Iter-35 | MAE=0.623 | MAPE=0.85%
18:14:59 |  Iter-36 | MAE=0.728 | MAPE=0.97%
18:20:13 |  Iter-37 | MAE=2.033 | MAPE=2.73%
18:24:44 |  Iter-38 | MAE=3.039 | MAPE=4.23%
18:29:15 |  Iter-39 | MAE=2.114 | MAPE=2.94%
18:33:53 |  Iter-40 | MAE=1.670 | MAPE=2.26%
18:39:23 |  Iter-41 | MAE=0.575 | MAPE=0.77%
18:44:28 |  Iter-42 | MAE=1.369 | MAPE=1.84%
18:49:24 |  Iter-43 | MAE=1.251 | MAPE=1.65%
18:54:40 |  Iter-44 | MAE=1.400 | MAPE=1.81%
18:59:06 |  Iter-45 | MAE=0.320 | MAPE=0.42%
19:03:57 |  Iter-46 | MAE=1.649 | MAPE=2.17%
19:09:42 |  Iter-47 | MAE=2.193 | MAPE=3.02%
19:15:01 |  Iter-48 | MAE=0.289 | MAPE=0.39%
19:20:11 |  Iter-49 | MAE=0.737 | MAPE=1.01%
19:25:38 |  Iter-50 | MAE=0.374 | MAPE=0.51%
19:31:24 |  Iter-51 | MAE=2.662 | MAPE=3.45%
19:36:25 |  Iter-52 | MAE=0.402 | MAPE=0.51%
19:41:14 |  Iter-53 | MAE=0.028 | MAPE=0.04%
19:46:06 |  Iter-54 | MAE=1.831 | MAPE=2.28%
19:50:58 |  Iter-55 | MAE=0.462 | MAPE=0.58%
19:56:05 |  Iter-56 | MAE=1.001 | MAPE=1.24%
20:01:32 |  Iter-57 | MAE=0.792 | MAPE=0.98%
20:06:33 |  Iter-58 | MAE=10.171 | MAPE=11.11%
20:11:16 |  Iter-59 | MAE=6.014 | MAPE=6.19%
20:16:10 |  Iter-60 | MAE=4.865 | MAPE=4.75%
20:21:10 |  Iter-61 | MAE=12.671 | MAPE=11.67%
20:25:43 |  Iter-62 | MAE=7.991 | MAPE=6.78%
20:30:18 |  Iter-63 | MAE=22.444 | MAPE=15.67%
20:35:12 |  Iter-64 | MAE=26.112 | MAPE=21.20%
20:39:39 |  Iter-65 | MAE=2.200 | MAPE=1.83%
20:44:13 |  Iter-66 | MAE=12.406 | MAPE=9.08%
20:49:04 |  Iter-67 | MAE=5.991 | MAPE=4.18%
20:53:39 |  Iter-68 | MAE=2.947 | MAPE=2.02%
20:58:24 |  Iter-69 | MAE=4.101 | MAPE=2.81%
21:03:06 |  Iter-70 | MAE=2.304 | MAPE=1.57%
21:07:49 |  Iter-71 | MAE=13.052 | MAPE=8.24%
21:12:26 |  Iter-72 | MAE=2.096 | MAPE=1.34%
21:17:12 |  Iter-73 | MAE=3.178 | MAPE=1.94%
21:21:58 |  Iter-74 | MAE=12.097 | MAPE=8.35%
21:26:44 |  Iter-75 | MAE=18.006 | MAPE=13.52%
21:31:21 |  Iter-76 | MAE=8.076 | MAPE=6.23%
21:36:07 |  Iter-77 | MAE=1.158 | MAPE=0.87%
21:40:45 |  Iter-78 | MAE=6.540 | MAPE=4.54%
21:45:21 |  Iter-79 | MAE=1.126 | MAPE=0.79%
21:49:58 |  Iter-80 | MAE=1.976 | MAPE=1.41%
21:54:44 |  Iter-81 | MAE=11.087 | MAPE=7.49%
21:59:20 |  Iter-82 | MAE=6.648 | MAPE=4.57%
22:03:54 |  Iter-83 | MAE=4.542 | MAPE=3.18%
22:08:38 |  Iter-84 | MAE=23.593 | MAPE=19.22%
22:13:15 |  Iter-85 | MAE=13.737 | MAPE=10.34%
22:18:26 |  Iter-86 | MAE=1.356 | MAPE=1.02%
22:23:12 |  Iter-87 | MAE=0.946 | MAPE=0.70%
22:27:49 |  Iter-88 | MAE=8.260 | MAPE=6.52%
22:32:48 |  Iter-89 | MAE=2.049 | MAPE=1.69%
22:37:42 |  Iter-90 | MAE=2.268 | MAPE=1.86%
22:42:26 |  Iter-91 | MAE=2.068 | MAPE=1.63%
22:47:21 |  Iter-92 | MAE=1.962 | MAPE=1.62%
22:52:11 |  Iter-93 | MAE=3.266 | MAPE=2.70%
22:56:54 |  Iter-94 | MAE=2.357 | MAPE=1.87%
23:01:30 |  Iter-95 | MAE=1.251 | MAPE=0.98%
23:06:24 |  Iter-96 | MAE=2.907 | MAPE=2.29%
23:11:32 |  Iter-97 | MAE=2.412 | MAPE=1.86%
23:16:39 |  Iter-98 | MAE=2.130 | MAPE=1.65%
23:22:03 |  Iter-99 | MAE=0.212 | MAPE=0.16%
23:27:14 |  Iter-100 | MAE=0.639 | MAPE=0.47%
23:27:14 | 
 OVERALL: MAE=3.339, MAPE=2.89%, R2=0.9596 (29439.2s)
23:27:14 | Saved model checkpoint: /data/quyhv/oil_forecast_tail_risk/results_v4/walkforward/GUMNet_RL/XANG_H1_seed2025/model_checkpoint.pth
23:27:14 | Saved processor/scaler: /data/quyhv/oil_forecast_tail_risk/results_v4/walkforward/GUMNet_RL/XANG_H1_seed2025/processor.pkl
