11:40:39 | ================================================================================
11:40:39 |  GUMNet_Wavelet | DAU | H1 | walkforward | seed=777
11:40:39 | ================================================================================
11:40:39 | Data: 4513 rows | Features: 16
11:46:19 |  Iter-01 | MAE=1.474 | MAPE=1.79%
11:51:29 |  Iter-02 | MAE=0.760 | MAPE=0.92%
11:56:12 |  Iter-03 | MAE=1.193 | MAPE=1.46%
12:01:30 |  Iter-04 | MAE=1.043 | MAPE=1.30%
12:06:49 |  Iter-05 | MAE=0.075 | MAPE=0.09%
12:11:50 |  Iter-06 | MAE=0.224 | MAPE=0.28%
12:17:09 |  Iter-07 | MAE=1.353 | MAPE=1.72%
12:22:01 |  Iter-08 | MAE=0.110 | MAPE=0.14%
12:27:28 |  Iter-09 | MAE=0.073 | MAPE=0.09%
12:32:29 |  Iter-10 | MAE=0.729 | MAPE=0.90%
12:37:11 |  Iter-11 | MAE=0.144 | MAPE=0.18%
12:42:20 |  Iter-12 | MAE=0.432 | MAPE=0.54%
12:47:29 |  Iter-13 | MAE=0.243 | MAPE=0.31%
12:52:39 |  Iter-14 | MAE=0.174 | MAPE=0.22%
12:57:39 |  Iter-15 | MAE=0.747 | MAPE=0.93%
13:02:40 |  Iter-16 | MAE=0.339 | MAPE=0.42%
13:07:31 |  Iter-17 | MAE=0.803 | MAPE=1.01%
13:12:58 |  Iter-18 | MAE=1.272 | MAPE=1.63%
13:17:59 |  Iter-19 | MAE=0.441 | MAPE=0.55%
13:23:51 |  Iter-20 | MAE=1.310 | MAPE=1.69%
13:28:41 |  Iter-21 | MAE=0.146 | MAPE=0.19%
13:33:42 |  Iter-22 | MAE=0.428 | MAPE=0.54%
13:38:51 |  Iter-23 | MAE=0.774 | MAPE=0.97%
13:43:52 |  Iter-24 | MAE=1.264 | MAPE=1.55%
13:49:19 |  Iter-25 | MAE=0.156 | MAPE=0.19%
13:54:11 |  Iter-26 | MAE=1.205 | MAPE=1.47%
13:59:11 |  Iter-27 | MAE=1.512 | MAPE=1.85%
14:03:55 |  Iter-28 | MAE=0.094 | MAPE=0.11%
14:09:13 |  Iter-29 | MAE=0.508 | MAPE=0.62%
14:14:05 |  Iter-30 | MAE=0.871 | MAPE=1.04%
14:19:06 |  Iter-31 | MAE=2.115 | MAPE=2.48%
14:24:25 |  Iter-32 | MAE=0.372 | MAPE=0.44%
14:29:26 |  Iter-33 | MAE=0.515 | MAPE=0.60%
14:34:17 |  Iter-34 | MAE=1.012 | MAPE=1.20%
14:39:34 |  Iter-35 | MAE=0.939 | MAPE=1.08%
14:44:26 |  Iter-36 | MAE=1.572 | MAPE=1.78%
14:49:18 |  Iter-37 | MAE=0.290 | MAPE=0.33%
14:54:01 |  Iter-38 | MAE=1.891 | MAPE=2.17%
14:58:44 |  Iter-39 | MAE=1.037 | MAPE=1.20%
15:03:36 |  Iter-40 | MAE=0.445 | MAPE=0.51%
15:08:36 |  Iter-41 | MAE=1.133 | MAPE=1.29%
15:13:37 |  Iter-42 | MAE=1.889 | MAPE=2.13%
15:19:31 |  Iter-43 | MAE=1.782 | MAPE=2.04%
15:25:02 |  Iter-44 | MAE=0.068 | MAPE=0.08%
15:30:17 |  Iter-45 | MAE=1.388 | MAPE=1.56%
15:34:55 |  Iter-46 | MAE=0.610 | MAPE=0.68%
15:39:51 |  Iter-47 | MAE=0.667 | MAPE=0.77%
15:44:56 |  Iter-48 | MAE=0.559 | MAPE=0.65%
15:50:01 |  Iter-49 | MAE=0.265 | MAPE=0.31%
15:54:49 |  Iter-50 | MAE=0.514 | MAPE=0.59%
16:00:30 |  Iter-51 | MAE=1.404 | MAPE=1.54%
16:05:35 |  Iter-52 | MAE=0.497 | MAPE=0.54%
16:10:49 |  Iter-53 | MAE=1.009 | MAPE=1.10%
16:15:37 |  Iter-54 | MAE=1.201 | MAPE=1.30%
16:20:24 |  Iter-55 | MAE=0.506 | MAPE=0.55%
16:25:10 |  Iter-56 | MAE=0.703 | MAPE=0.76%
16:30:14 |  Iter-57 | MAE=0.109 | MAPE=0.12%
16:35:19 |  Iter-58 | MAE=21.485 | MAPE=18.71%
16:41:07 |  Iter-59 | MAE=13.521 | MAPE=10.77%
16:46:57 |  Iter-60 | MAE=11.722 | MAPE=8.18%
16:52:39 |  Iter-61 | MAE=14.984 | MAPE=9.82%
16:57:44 |  Iter-62 | MAE=3.067 | MAPE=1.98%
